L2 R U' L2 D F2
L2 R B U' L2 F
R L2 U' L2 D F2
B L2 R U' F L2
R L2 B U' L2 F
B R L2 U' F L2
U R U2 R' U R
B2 R D L2 U' L2
L' U' R U' L R'
L' U' R U' R' L
L2 U' R U' L2 R'
L2 U' R U' R' L2
L U' R U' L' R'
L U' R U' R' L'
B2 D L2 R U' L2
B2 D R L2 U' L2
L2 B R U' L2 F
R B L2 U' F L2
R B2 D L2 U' L2
B' L R U' D2 L' F
B2 L R U B2 U2 L'
B2 L R U' L' D2 F2
B2 L R U' D2 L' F2
B2 L R D L2 U' L
B' L R D2 U' L' F
B2 L R D2 U' L' F2
L' R U' L U L' U'
L' R U' L2 D L' F2
L R U' L' U L U'
L2 R U' L2 U L2 U'
L2 R U' L2 D F2 D
L2 R U' L2 D F2 D'
L2 R U' L2 D F2 D2
L R U' L2 D L F2
L2 R U' L2 F D F2
L R U' L2 D F2 L
L2 R U' L2 F' D F2
L2 R U' L2 F2 D F2
R' L U' R2 U' L' R2
R' L U' R2 U' R2 L'
R2 L U' R' U' L' R
R2 L U' R' U' R L'
R L U' L' U L U'
R L U' L2 D L F2
R L U' L2 D F2 L
L2 R U' F L2 D F2
L2 R U' F' L2 D F2
L2 R U' F2 L2 D F2
L' R U2 F U L F'
L' R U2 F U F' L
L' R U2 F' U F L
L2 R U2 D F2 U F2
U' L U L' R U' L
L' R U2 F2 U L F2
L' R U2 F2 U F2 L
L2 R U2 F U L2 F'
L2 R U2 F U F' L2
U' L U R L' U' L
L2 R U2 F' U F L2
L R U2 F' U F L'
L2 R U2 F2 U L2 F2
L2 R U2 F2 U F2 L2
L R U2 F2 U F2 L'
R L U2 F' U F L'
R L U2 F2 U F2 L'
L2 R D U2 F2 U F2
D2 L U' R U' L' R'
D2 L U' R U' R' L'
D' L U' R U' L' R'
D' L U' R U' R' L'
D L U' R U' L' R'
D L U' R U' R' L'
L2 R D' B2 U B2 U2
L2 R D' B2 U' D2 F2
L2 R D' B2 D L2 U'
L2 R D' B2 D2 U' F2
B2 L D L2 R U' L
B2 L D R L2 U' L
F2 L D F2 R U2 R
F2 L D' L2 U2 L B2
B2 L D2 R U' L' F2
L2 R B L' U' L' F
L R B L2 U' F L
R L B L2 U' F L
L' R B U B' U2 L
L R B U B' U2 L'
L2 R B U B' U2 L2
L R B U' L2 F L
L2 R B U' L2 D F
L2 R B U' L2 D' F
L2 R B U' L2 D2 F
L2 R B U' L2 F D
L2 R B U' L2 F D'
L2 R B U' L2 F D2
L2 R B U' F L2 F
L2 R B U' F' L2 F
L2 R B U' F2 L2 F
R L B U B' U2 L'
R L B U' L2 F L
R' L B' R2 U' L' F'
L2 R B' U B U2 L2
L R B' U B U2 L'
R L B' U B U2 L'
L' R B2 U R' B2 U2
L' R B2 U B2 U2 L
L R B2 U B2 U2 L'
L2 R B2 U B2 U2 L2
L R B2 U' L' D2 F2
L2 R B2 U' L2 D2 F2
L R B2 U' D2 L' F2
R L B2 U B2 U2 L'
R L B2 U' L' D2 F2
R L B2 U' D2 L' F2
L R B2 D L2 U' L
R L B2 D L2 U' L
L R B2 D2 U' L' F2
R L B2 D2 U' L' F2
R L' U' L U L' U'
R' L' U' R2 U' L R2
R' L' U' R2 U' R2 L
L' R' U' R2 U' L R2
L' R' U' R2 U' R2 L
L2 R' U' L2 D F2 B2
L2 R' U' L2 D B2 F2
R L' U' L2 D L' F2
R2 L' U' R' U' L R
R2 L' U' R' U' R L
L R' U' R2 U' L' R2
L R' U' R2 U' R2 L'
L2 R' U' R2 U' L2 R2
L2 R' U' R2 U' R2 L2
B2 L' R U B2 R' U2
B2 L' R U' L D2 F2
B2 L' R U' D2 L F2
R L' U2 F U L F'
R L' U2 F U F' L
B2 L' R U' D2 F2 L
B L' R U' L' F L2
R L' U2 F' U F L
B2 L' R D L2 U' L'
R L' U2 F2 U L F2
R L' U2 F2 U F2 L
B2 L' R D2 U' L F2
B2 L' R D2 U' F2 L
U' L' U L R U' L'
U' L' U R L U' L'
D2 L' U' R U' L R'
D2 L' U' R U' R' L
D' L' U' R U' L R'
D' L' U' R U' R' L
D L' U' R U' L R'
D L' U' R U' R' L
F L' U' F' R U' L
F2 L' U2 F2 U' L F2
F2 L' U2 F2 U' F2 L
B2 L' D L2 R U' L'
B2 L' D R L2 U' L'
L2 R' B R2 U' L2 F
R L' B U B' U2 L
B2 L' D2 R U' L F2
B2 L' D2 R U' F2 L
L2 R' B' R2 U' L2 F'
L2 R' B' R2 U' F' L2
B L' D2 R U' L F'
B L' D2 R U' F' L
L R' B' R2 U' L' F'
R L' B2 U R' B2 U2
R L' B2 U B2 U2 L
R' L2 U' L2 D F2 B2
R' L2 U' L2 D B2 F2
L' R2 U' R' U' L R
L' R2 U' R' U' R L
R' L2 U' R2 U' L2 R2
R' L2 U' R2 U' R2 L2
L2 R2 U' R' U' L2 R
L2 R2 U' R' U' R L2
R2 L2 U' R' U' L2 R
R2 L2 U' R' U' R L2
L R2 U' R' U' L' R
L R2 U' R' U' R L'
R L2 U' L2 U L2 U'
R L2 U' L2 D F2 D
R L2 U' L2 D F2 D'
R L2 U' L2 D F2 D2
R L2 U' L2 F D F2
R L2 U' L2 F' D F2
R L2 U' L2 F2 D F2
R L2 U' F L2 D F2
R L2 U' F' L2 D F2
R L2 U' F2 L2 D F2
R L2 U2 D F2 U F2
R L2 U2 F U L2 F'
R L2 U2 F U F' L2
R L2 U2 F' U F L2
R L2 U2 F2 U L2 F2
R L2 U2 F2 U F2 L2
R L2 D U2 F2 U F2
D2 L2 R U' L2 D F2
D' L2 R U' L2 D F2
B2 L2 R U B2 U2 L2
B2 L2 R U' L2 D2 F2
D L2 R U' L2 D F2
R L2 D' B2 U B2 U2
R L2 D' B2 U' D2 F2
B L2 R U' F L2 D
B L2 R U' F L2 D'
B L2 R U' F L2 D2
B L2 R U' F' L2 F2
R L2 D' B2 D L2 U'
B L2 R U' F2 L2 F'
R L2 D' B2 D2 U' F2
D2 L2 R B U' L2 F
D' L2 R B U' L2 F
B L2 R D' B2 U' F
B2 L2 R B' U' L2 F
D L2 R B U' L2 F
B L2 R B U' F L2
B L2 R B' U' F L2
B L2 R B2 U' F L2
U' L2 U L2 R U' L2
U' L2 U R L2 U' L2
D2 L2 U' R U' L2 R'
D2 L2 U' R U' R' L2
D' L2 U' R U' L2 R'
D' L2 U' R U' R' L2
D L2 U' R U' L2 R'
D L2 U' R U' R' L2
R' L2 B R2 U' L2 F
R L2 B L' U' L' F
F L2 U' F' R U' L2
R L2 B U B' U2 L2
R L2 B U' L2 D F
R L2 B U' L2 D' F
R L2 B U' L2 D2 F
R L2 B U' L2 F D
R L2 B U' L2 F D'
R L2 B U' L2 F D2
R L2 B U' F L2 F
R L2 B U' F' L2 F
R L2 B U' F2 L2 F
R' L2 B' R2 U' L2 F'
R' L2 B' R2 U' F' L2
R L2 B' U B U2 L2
R L2 B2 U B2 U2 L2
R L2 B2 U' L2 D2 F2
B L2 D' R B2 U' F
B L2 D' B2 R U' F
B2 L2 D2 R U' F2 L'
D2 L2 B R U' L2 F
D' L2 B R U' L2 F
R2 U R' U2 R U R'
D L2 B R U' L2 F
B L2 B R U' F L2
R' U R2 U2 R2 U R2
B2 L2 B' R U' L2 F
B L2 B' R U' F L2
B' L2 B2 R U' L2 F
B L2 B2 R U' F L2
B' R L U' D2 L' F
B2 R L U B2 U2 L'
B2 R L U' L' D2 F2
B2 R L U' D2 L' F2
B' R L D2 U' L' F
B2 R L D L2 U' L
B2 R L D2 U' L' F2
B2 R L' U B2 R' U2
B2 R L' U' L D2 F2
B2 R L' U' D2 L F2
B2 R L' U' D2 F2 L
B2 R L' D L2 U' L'
B R L' U' L' F L2
B2 R L' D2 U' L F2
B2 R L' D2 U' F2 L
D2 R L2 U' L2 D F2
D' R L2 U' L2 D F2
B2 R L2 U B2 U2 L2
B2 R L2 U' L2 D2 F2
D R L2 U' L2 D F2
B R L2 U' F L2 D
B R L2 U' F L2 D'
B R L2 U' F L2 D2
B R L2 U' F' L2 F2
D2 R L2 B U' L2 F
B R L2 U' F2 L2 F'
D' R L2 B U' L2 F
B R L2 D' B2 U' F
U' R U L U2 L' R'
U' R U L U2 R' L'
B2 R L2 B' U' L2 F
U' R U L' U2 L R'
U' R U L' U2 R' L
U' R U L2 U2 L2 R'
U' R U L2 U2 R' L2
D R L2 B U' L2 F
B R L2 B U' F L2
B R L2 B' U' F L2
B R L2 B2 U' F L2
B2 R U B2 U' B2 U'
B2 R U B2 U2 D L2
B2 R U B2 D U2 L2
B2 R U B2 D' R2 U2
U' R U' R' U2 R U2
B R U B' U' B U'
U' R U' R' F2 L' F2
U' R U' R2 D2 L2 R
U' R U' R2 D2 R L2
B2 R U' D2 F2 D' L2
U' R U' F2 R' F2 L'
B R U' F2 D' L2 F
U R U2 R' U R D
U R U2 R' U R D'
U R U2 R' U R D2
U R U2 R' U D R
U R U2 R' U D' R
U R U2 R' U D2 R
U R U2 R' D U R
U R U2 R' D' U R
U R U2 R' D2 U R
U R U2 R' B U R
U R U2 R' B' U R
U R U2 R' B2 U R
U R U2 D R' U R
U R U2 D' R' U R
U R U2 D2 R' U R
B2 R D L2 U' L2 D
B2 R D L2 U' L2 D'
B2 R D L2 U' L2 D2
B2 R D L2 D' B2 U'
B2 R D L2 B U' L2
B2 R D L2 B' U' L2
B2 R D L2 B2 U' L2
B R D L2 U' F L2
B' R D B' L U' L'
B2 R D B L2 U' L2
