L2 U' B R' U' L2
L2 U2 L D L B'
L' D L' U2 L2 B'
L' D L' F U2 L2
L D L U2 B' L2
L2 R U' B R' U' L2
L2 R U2 L D L B'
B' L U L' D2 R2 F'
L' R D L' U2 L2 B'
L' R D L' F U2 L2
R' L D L U2 B' L2
R2 L D L U2 B' L2
L R D L U2 B' L2
R L D L U2 B' L2
B' L U' L B U2 L2
D L U2 D R2 B' L'
D L U2 D B' L' R2
D L U2 D B' R2 L'
D L U2 B' L' D R2
F' L D L U2 B' L2
D L U2 B' D L' R2
D L U2 B' D R2 L'
F2 L D L U2 B' L2
F L D L U2 B' L2
D L D U2 R2 B' L'
D L D U2 B' L' R2
D L D U2 B' R2 L'
D L D B' L' R2 F'
D L D B' R2 L' F'
D L D' L2 F U2 L
D L B' L' D R2 F'
D L B' D L' R2 F'
D L B' D R2 L' F'
L2 R' U' B R' U' L2
L2 R' U2 L D L B'
R' L' D L' U2 L2 B'
L' R' D L' U2 L2 B'
R' L' D L' F U2 L2
L' R' D L' F U2 L2
L R' D L U2 B' L2
R2 L' D L' U2 L2 B'
R2 L' D L' F U2 L2
R L' D L' U2 L2 B'
R L' D L' F U2 L2
D2 L' U2 R2 D' L B'
F' L' D L' U2 L2 B'
F' L' D L' F U2 L2
F2 L' D L' U2 L2 B'
F2 L' D L' F U2 L2
U2 L' D L' F U2 F'
F L' D L' U2 L2 B'
F L' D L' F U2 L2
D L' D F U2 L R2
D L' D F U2 R2 L
D L' D' L2 U2 B' L'
D L' D' F L2 U2 L'
D L' F U' F U' L
R' L2 U' B R' U' L2
R' L2 U2 L D L B'
L2 R2 U' B R' U' L2
R2 L2 U' B R' U' L2
L2 R2 U2 L D L B'
R L2 U' B R' U' L2
R2 L2 U2 L D L B'
R L2 U2 L D L B'
L' R2 D L' U2 L2 B'
L' R2 D L' F U2 L2
L R2 D L U2 B' L2
B L2 U' R' U' F L2
F' L2 U' B R' U' L2
F2 L2 U' B R' U' L2
F' L2 U2 L D L B'
F2 L2 U2 L D L B'
F L2 U' B R' U' L2
F L2 U2 L D L B'
L2 U L U D L B'
L2 U L D U L B'
B' L2 B U L' U L'
L2 U D L F2 U B'
L2 U D F2 L U B'
D' R D L2 F' U2 L2
D' R D F' L2 U2 L2
B R D B2 D R2 F'
D' R D' B' R2 F' B
D' R D' B' R2 B F'
D' R F' D L2 U2 L2
L2 U' R B R' U' L2
L2 U' R' B R' U' L2
L2 U' R2 B R' U' L2
L2 U' D' R' B2 U' B'
L2 U' D' B2 R' U' B
L2 U' B R' U' L2 D
L2 U' B R' U' L2 D'
L2 U' B R' U' L2 D2
L2 U' B R' D' B2 U'
L2 U' B R' B U' L2
L2 U' B R' B' U' L2
L2 U' B R' B2 U' L2
L2 U' B D' R' B2 U'
D' R' D L2 U2 L2 B
D' R' D L2 U2 B L2
L2 U' B' U2 L U L
L2 U' B' D' B2 R' U'
L2 U' B2 U' L' B' L'
D' R' D' B' R2 F' B2
D' R' D' B' R2 B2 F'
L U' B2 U' L' R' B'
L U' B2 U' R' L' B'
L2 U2 L D L D B'
L2 U2 L D L D' B'
L2 U2 L D L D2 B'
L2 U2 L D L B' D
L2 U2 L D L B' D'
L2 U2 L D L B' D2
L2 U2 L' D L B' L2
L2 U2 L' B' L' D' B2
L2 U2 L2 R D' R' B
L2 U2 L2 D L B' L'
L2 U2 L2 D' R' B R
L2 U2 L2 B U R' U'
L2 U2 L2 B' U' L U
L2 U2 R L2 D' R' B
L' U2 D L D2 R2 B'
L' U2 D L D2 B' R2
L' U2 D L B' D2 R2
L2 U2 D L D' B' L2
L2 U2 D L B' D' L2
L2 U2 D L' D' L2 B'
L U2 D' B2 L' R' B
L U2 D' B2 R' L' B
L U2 D' B2 R' B L'
L2 U2 B L2 U R' U'
L2 U2 B U R' U' L2
L2 U2 B' L' D' L' B2
L2 U2 B' L' D' B2 L'
L2 U2 B' L2 U' L' U
L2 U2 B' U' L U L
L' D L D2 B' R2 F'
L' D L B' D2 R2 F'
L' D L' R U2 L2 B'
L' D L' R F U2 L2
L' D L' R' U2 L2 B'
L' D L' R' F U2 L2
L D L R U2 B' L2
L' D L' R2 U2 L2 B'
L' D L' R2 F U2 L2
L D L R' U2 B' L2
L D L R2 U2 B' L2
L' D L' U2 L2 D B'
L' D L' U2 L2 D' B'
L' D L' U2 L2 D2 B'
L' D L' U2 L2 B' D
L' D L' U2 L2 B' D'
L' D L' U2 L2 B' D2
L' D L' U2 B L2 B'
L' D L' U2 B' L2 B'
L' D L' U2 B2 L2 B'
L D L U2 B L2 B2
L D L U2 B' L2 D
L D L U2 B' L2 D'
L D L U2 B' L2 D2
L D L U2 B2 L2 B
L' D L' D2 R2 F U2
L' D L' D2 F R2 U2
L' D L' F R U2 L2
L' D L' F R' U2 L2
L' D L' F R2 U2 L2
L' D L' F U2 L2 D
L' D L' F U2 L2 D'
L' D L' F U2 L2 D2
L D L D2 R2 U2 B'
L' D L' F D2 R2 U2
L D L F U2 B' L2
L D L F' U2 B' L2
L D L F2 U2 B' L2
L D L' F L2 U2 L2
L' D R L' U2 L2 B'
L' D R L' F U2 L2
L' D R' L' U2 L2 B'
L' D R' L' F U2 L2
L D R L U2 B' L2
L' D R2 L' U2 L2 B'
L' D R2 L' F U2 L2
L D R' L U2 B' L2
L D R2 L U2 B' L2
L2 D U L F2 U B'
L2 D U F2 L U B'
L' D U2 L D2 R2 B'
L' D U2 L D2 B' R2
L' D U2 L B' D2 R2
L2 D U2 L D' B' L2
L2 D U2 L B' D' L2
L2 D U2 L' D' L2 B'
L' D F U2 L B' R'
L' D F2 U2 L R B'
L' D F2 U2 L B' R
L' D F2 U2 R L B'
L D F2 L R U2 B'
L D F2 R L U2 B'
B U R' U L2 U2 F
B U R' U B' L2 U2
L' D' L' R F' U2 L2
L' D' L' R' U2 L2 B
L' D' L' R' U2 B L2
L D' L R F' U2 L2
L D' L R' U2 L2 B
L D' L R' U2 B L2
L' D' R L' F' U2 L2
L2 D' R D F' U2 L2
L2 D' R D' R2 U2 B
L' D' R' L' U2 L2 B
L' D' R' L' U2 B L2
L2 D' R D' F' R2 U2
L2 D' R F' U' B2 U'
L2 D' R F' U2 D L2
L2 D' R F' D U2 L2
L2 D' R F' D' R2 U2
L D' R L F' U2 L2
L2 D' R' U' B2 U' B'
L2 D' R' U2 D L2 B
L2 D' R' U2 D B L2
L2 D' R' D U2 L2 B
L2 D' R' D U2 B L2
L2 D' R' D' R2 F' U2
L D' R' L U2 L2 B
L D' R' L U2 B L2
U' D' L' B2 R' U B
D' U' L' B2 R' U B
L2 D' U' R' B2 U' B'
B' U' L U' L B U2
L2 D' U' B2 R' U' B
L D' U2 B2 L' R' B
L D' U2 B2 R' L' B
L D' U2 B2 R' B L'
L D' F2 L R F' U2
L D' F2 R L F' U2
L D' F2 R F' L U2
B' U' D2 L U R2 F'
L2 D2 R D R F' U2
L2 D2 R' D R' U2 B
L2 D2 R2 F U L' U
L2 D2 R2 F' U' R U'
L2 D2 F R2 U L' U
B' U2 L2 B U L' U
L2 D2 F' R2 U' R' U'
B U2 L2 U' R' U' F
L2 F U' B R' U' L2
L' F U2 D L B' R'
L2 F U2 L D L B'
L' F D U2 L B' R'
B D R D B2 R2 F'
U2 F' L2 B' U L U
L2 F' U' B R' U' L2
L2 F' U2 L D L B'
L F2 L D' R F' U2
L F2 R D L U2 B'
B' D2 L U L' R2 F'
B' D2 L U R2 L' F'
L' F2 U2 R D L B'
L' F2 U2 D L R B'
L' F2 U2 D L B' R
L' F2 U2 D R L B'
L2 F2 U' B R' U' L2
L2 F2 U2 L D L B'
L' F2 D U2 L R B'
L' F2 D U2 L B' R
L' F2 D U2 R L B'
L F2 D L R U2 B'
L F2 D R L U2 B'
L F2 D' L R F' U2
L F2 D' R L F' U2
L F2 D' R F' L U2
B' D2 R2 U' L U F'
B' D2 R2 F' U' L U
B' D2 U' L U R2 F'
U' B R' U L2 U2 L2
L2 B U' R' U' L2 F
D2 B' R' D R' F' B
D2 B' R' D R' B F'
D2 B' R2 F' U R U'
