B' R U R2 U' F'
B' R' F' R2 D B2
U R2 U' R' F' B
U R2 U' R' B F'
B2 D' R' F' B R2
B2 D' R' B F' R2
B' L R' U' L' F' R2
B L R' U L' F' R2
R' L U' L' F' R2 B'
R' L U' L' F' B' R2
R' L U' L' B' F' R2
U L R2 U' R' F' B
U L R2 U' R' B F'
L R' U' L' F' R2 B'
L R' U' L' F' B' R2
L R' U' L' B' F' R2
B' L' R' U' L F' R2
B' L' R' U' F' L R2
B' L' R' U' F' R2 L
U' L' R2 U R' F' B'
U' L' R2 U R' B' F'
U L' R2 U' R' F' B
U L' R2 U' R' B F'
U' L' U R B' D2 F2
U' L' U R' F' R2 B'
U' L' U R' F' B' R2
U' L' U R' B' F' R2
U' L' U B' R' F' R2
B' L2 R' U' L2 F' R2
B' L2 R' U' F' L2 R2
B' L2 R' U' F' R2 L2
U L2 R2 U' R' F' B
U L2 R2 U' R' B F'
R2 U R U' F' B R2
R2 U R U' B F' R2
B' R U L R2 U' F'
B' R U L' R2 U' F'
B' R U L2 R2 U' F'
B' R U R2 L U' F'
B' R U R2 L' U' F'
B' R U R2 L2 U' F'
B' R U R2 U' D F'
B' R U R2 U' D' F'
B' R U R2 U' D2 F'
B' R U R2 U' F' D
B' R U R2 U' F' D'
B' R U R2 U' F' D2
B' R U R2 D U' F'
B' R U R2 D' U' F'
B' R U R2 D2 U' F'
B R U' L R2 U F'
B R U' L U' B U2
B R U' R2 L U F'
B' R U2 D B U2 B
B' R U2 D' F2 B U2
B' R U2 D' B F2 U2
B' R U2 B U' R2 U'
B' R U2 B U2 D B2
B' R U2 B D U2 B2
B' R U2 B D' F2 U2
B2 R U2 B U' R' U'
B' R D L2 B2 L2 F
B' R D R2 F' R2 B2
B' R D R2 F' B2 R2
B' R D R2 B2 F' R2
B' R D U2 B U2 B
B' R D B' D2 F2 B'
B' R D B' D2 B' F2
B' R D B2 L2 F L2
B' R D B2 U2 B' U2
B' R D' R2 F' R2 B
B' R D' U2 F2 B U2
B' R D' U2 B F2 U2
B' R D' B' D2 F2 B2
B' R D' B' D2 B2 F2
R' U' L' U F' R2 B'
R' U' L' U F' B' R2
R U' L U' F B U2
R' U' L' U B' F' R2
R U' L U' B F U2
B' R F U R2 U' F'
R U' L' R2 U F' B'
R U' L' R2 U B' F'
R U' L' U B' D2 F2
R U' L' U' B U2 B2
L U' L' B' R D' F2
B' R F' U R2 U' F'
B' R F2 U R2 U' F'
B' R B D B2 D2 F2
R U' R2 L' U F' B'
R U' R2 L' U B' F'
B' R B' D B2 D F2
B' R B' D2 F2 D' B2
B' R' L U' L' F' R2
B R' L U L' F' R2
B' R' L' U' L F' R2
B' R' L' U' F' L R2
B' R' L' U' F' R2 L
B' R' L2 U' L2 F' R2
B' R' L2 U' F' L2 R2
B' R' L2 U' F' R2 L2
B R' U' L U F' R2
U R' U' R' F' R' B
B' R' F R2 F2 D B2
B' R' F' R2 U R2 U'
B' R' F' R2 D B2 D
B' R' F' R2 D B2 D'
B' R' F' R2 D B2 D2
B' R' F' R2 B D B2
B' R' F' R2 B' D B2
B' R' F' R2 B2 D B2
B2 R' F' R' D' R' B
B' R' F' B R2 D B2
B' R' F' B' R2 D B2
B' R' F' B2 R2 D B2
B R' F' R2 U' L U
B R' F' U' L U R2
B' R' F2 R2 D F B2
B' R' F2 R2 D B2 F
B' R' F2 R2 F D B2
F R' F' B' R D B2
B' R' B F' R2 D B2
B' R' B' F' R2 D B2
F R' B' F' R D B2
B' R' B2 F' R2 D B2
U' R2 L' U R' F' B'
U' R2 L' U R' B' F'
U R2 L U' R' F' B
U R2 L U' R' B F'
U R2 L' U' R' F' B
U R2 L' U' R' B F'
B' R2 U R U' F' R2
U R2 L2 U' R' F' B
U R2 L2 U' R' B F'
R U2 F B U' R U'
R U2 F' B U L' U
U R2 U' R' D F' B
U R2 U' R' D B F'
U R2 U' R' D' F' B
U R2 U' R' D' B F'
U R2 U' R' D2 F' B
U R2 U' R' D2 B F'
U R2 U' R' F' D B
U R2 U' R' F' D' B
U R2 U' R' F' D2 B
U R2 U' R' F' B D
U R2 U' R' F' B D'
U R2 U' R' F' B D2
U R2 U' R' B D F'
U R2 U' R' B D' F'
U R2 U' R' B D2 F'
U R2 U' R' B F' D
U R2 U' R' B F' D'
U R2 U' R' B F' D2
U R2 U' F R' F' B
U R2 U' F R' B F'
U R2 U' F' R' F' B
U R2 U' F' R' B F'
U R2 U' F2 R' F' B
U R2 U' F2 R' B F'
R U2 B U L' U B'
R U2 B U' R U' B
R U2 B F U' R U'
R U2 B F' U L' U
U R2 F' L' U' R' B
B' U R' U' R' F' R'
B' U R' F' L' U' R2
D' U R2 U' R' F' B
D' U R2 U' R' B F'
D2 U R2 U' R' F' B
D2 U R2 U' R' B F'
D U R2 U' R' F' B
D U R2 U' R' B F'
U D R2 U' R' F' B
U D R2 U' R' B F'
B U' L R2 U R' F'
B U' L U R' F' R2
B U' L B' R' U R2
U D' R2 U' R' F' B
U D' R2 U' R' B F'
B U' R2 L U R' F'
B2 U' B' L R' U R2
B2 U' B' R' L U R2
U D2 R2 U' R' F' B
U D2 R2 U' R' B F'
B' U2 R D B2 L F
B' D R U R2 U' F'
B' D R' F' R2 D B2
R' F' R B' R D B2
R' F' R2 U R U' B
R' F' R2 U' L' U B'
R' F' R2 B U' L U
R' F' R2 B' U R' U'
R' F' U R U' B R
U2 F' U L' B' R' U
R' F' U' L' U R2 B'
R' F' U' L' U B' R2
B' D' R U R2 U' F'
B2 D' R U2 F' B U2
B2 D' R U2 B F' U2
B' D' R' F' R2 D B2
R' F' B R2 U' L U
R' F' B U' L U R2
B2 D' R' F B R2 F2
B2 D' R' F' B R2 D
B2 D' R' F' B R2 D'
B2 D' R' F' B R2 D2
B2 D' R' F' B' R2 B2
B2 D' R' F' B2 R2 B'
B2 D' R' F2 B R2 F
B2 D' R' B F R2 F2
B2 D' R' B F' R2 D
B2 D' R' B F' R2 D'
B2 D' R' B F' R2 D2
B2 D' R' B F2 R2 F
B2 D' R' B' F' R2 B2
B2 D' R' B2 F' R2 B'
R' F' B' R D R B2
R' F' B' R D B2 R
R' F' B' R2 U R U'
R' F' B' U R' U' R'
R' F' B2 R' D' R' B
B2 D' F R' F' B R
B2 D' F R' B F' R
B2 D' B R' F' B R2
B2 D' B R' B F' R2
B2 D' B' R' F' B R2
B2 D' B' R' B F' R2
B2 D' B2 R' F' B R2
B2 D' B2 R' B F' R2
B' D2 R U R2 U' F'
U2 F2 D' L' F B' U2
U2 F2 D' L' B' F U2
B' D2 R' F' R2 D B2
R' B L U L' F' R2
R' B U' L U F' R2
R B U' L U2 L' U'
R' B F' R2 U' L U
R' B F' U' L U R2
U' B' L' R' U R2 B'
U' B' L' R' U B' R2
D2 B' R U R2 U' F'
D' B' R U R2 U' F'
U' B' R' L' U R2 B'
U' B' R' L' U B' R2
D2 B' R' F' R2 D B2
D B' R U R2 U' F'
D' B' R' F' R2 D B2
L2 B' R' U' L2 F' R2
L2 B' R' U' F' L2 R2
L2 B' R' U' F' R2 L2
D B' R' F' R2 D B2
L B' R' U' L' F' R2
R B' U R' U B2 U2
R B' U R' U' D2 F2
R B' U R' D L2 U'
R B' U R' D2 U' F2
R B' U D L2 R' U'
R B' U D R' L2 U'
R B' U D2 R' U' F2
R B' U2 B2 U L U
R B' D U L2 R' U'
R B' D U R' L2 U'
R' B' F' R D R B2
R' B' F' R D B2 R
R' B' F' R2 U R U'
R' B' F' U R' U' R'
R B' D2 U R' U' F2
R B' D2 F2 U R' U'
D2 B2 D' R' F' B R2
D2 B2 D' R' B F' R2
D' B2 D' R' F' B R2
D' B2 D' R' B F' R2
R B2 U2 B' U L U
D B2 D' R' F' B R2
D B2 D' R' B F' R2
R' B2 F' R' D' R' B
