U R' U' F' R
U L R' U' F' R
U L' R' U' F' R
U L2 R' U' F' R
U R' L U' F' R
U R' L' U' F' R
U R' L2 U' F' R
U R' U' F' R D
U R' U' F' R D'
U R' U' F' R D2
U R' U' F' D R
U R' U' F' D' R
U R' U' F' D2 R
U R' F U' F2 R
F' U R' U' F' R2
U F' R' U' F' R2
U L R' U' F' R D
U L R' U' F' R D'
U L R' U' F' R D2
U L R' U' F' D R
U L R' U' F' D' R
U L R' U' F' D2 R
U L R' F U' F2 R
U2 L U' R' U' F' R
U L F' R' U' F' R2
L' R' U' L F' R F2
R' L' U' L F' R F2
R' L' U' F' L R F
L' R' U' F' L R F
R' L' U' F' R L F
L' R' U' F' R L F
R' L' U' F2 L F R
L' R' U' F2 L F R
F' L' R' U' L R2 F
F' L' R' U' L F R2
F' L' R' U' R2 L F
D' L' R' F U' L F
U L' R' U' F' R D
U L' R' U' F' R D'
U L' R' U' F' R D2
U L' R' U' F' D R
U L' R' U' F' D' R
U L' R' U' F' D2 R
U L' R' F U' F2 R
U2 L' U' R' U' F' R
R' L' F' U' L R F
R' L' F' U' R L F
L' R' F' U' L R F
L' R' F' U' R L F
D' L' F R' U' L F
U L' F' R' U' F' R2
U L2 R' U' F' R D
U L2 R' U' F' R D'
U L2 R' U' F' R D2
U L2 R' U' F' D R
U L2 R' U' F' D' R
U L2 R' U' F' D2 R
U L2 R' F U' F2 R
U2 L2 U' R' U' F' R
U L2 F' R' U' F' R2
R2 U R U' R2 F' R
L' U R' U' L F' R
L' U R' U' F' L R
L' U R' U' F' R L
L2 U R' U' L2 F' R
L2 U R' U' F' L2 R
L2 U R' U' F' R L2
L U R' U' L' F' R
R U R2 U' R F' R
R U R2 U' F' R F'
R U R2 F' U' R F'
U R F' R2 U' F' R'
F' R B U L R2 U'
F' R B U R2 L U'
F' R' L' U' L R2 F
F' R' L' U' L F R2
F' R' L' U' R2 L F
U R' L U' F' R D
U R' L U' F' R D'
U R' L U' F' R D2
U R' L U' F' D R
U R' L U' F' D' R
U R' L U' F' D2 R
D' R' L' F U' L F
U R' L F U' F2 R
U R' L' U' F' R D
U R' L' U' F' R D'
U R' L' U' F' R D2
U R' L' U' F' D R
U R' L' U' F' D' R
U R' L' U' F' D2 R
U R' L' F U' F2 R
U R' L2 U' F' R D
U R' L2 U' F' R D'
U R' L2 U' F' R D2
U R' L2 U' F' D R
U R' L2 U' F' D' R
U R' L2 U' F' D2 R
U R' L2 F U' F2 R
U R' U L U2 F' R
U R' U L' U2 F' R
U R' U L2 U2 F' R
U R' U B U2 F' R
U R' U B' U2 F' R
U R' U B2 U2 F' R
U R' U' L' F' L R
U R' U' L' F' R L
U R' U' L2 F' L2 R
U R' U' L2 F' R L2
U R' U' R' F' R F'
U R' U' F R F2 R
U R' U' F R' F2 R
U R' U' F R2 F2 R
U R' U' F' R2 D R'
U R' U' F' R2 D' R'
U R' U' F' R2 D2 R'
U R' U' F' D R D
U R' U' F' D R D'
U R' U' F' D R D2
U R' U' F' D' R D
U R' U' F' D' R D'
U R' U' F' D' R D2
U R' U' F' D2 R D
U R' U' F' D2 R D'
U R' U' F' D2 R D2
U R' U' F' B R B'
U R' U' F' B2 R B2
U R' U' F2 R F R
U R' U' F2 R' F R
U R' U' F2 R2 F R
U R' U' F2 D F R
U R' U' F2 D' F R
U R' U' F2 D2 F R
U R' U' B F' R B'
U R' U' B2 F' R B2
U R' U2 B U F' R
U R' U2 B' U F' R
U R' U2 B2 U F' R
U R' D' L' F U' F2
U R' F U L' U2 F2
U R' F U' R F2 R
U R' F U' R' F2 R
U R' F U' R2 F2 R
U R' F U' F2 R D
U R' F U' F2 R D'
U R' F U' F2 R D2
U R' F U' F2 D R
U R' F U' F2 D' R
U R' F U' F2 D2 R
D2 R' B L U' L' R'
D2 R' B L U' R' L'
F' R' B L U' L' R2
F' R' B L U' R2 L'
F' R2 U R U' R2 F'
U R2 F' U' R F' B
U R2 F' U' R B F'
F' U L R' U' F' R2
F2 U L R' F U' F2
F2 U L F R' U' F'
D' U L' R' F U' F2
F' U L' R' U' F' R2
D' U L' F R' U' F'
F' U L2 R' U' F' R2
D' U R' L' F U' F2
F' U R' L U' F' R2
F' U R' L' U' F' R2
F' U R' L2 U' F' R2
D' U R' U' D F' R
D2 U R' U' D2 F' R
F' U R' U' F R2 F2
F' U R' U' F' R2 D
F' U R' U' F' R2 D'
F' U R' U' F' R2 D2
F' U R' U' F2 R2 F
D' U R' D U' F' R
F2 U R' L F U' F2
D2 U R' D2 U' F' R
F' U R' D' F2 U' F
D U R F' R2 U' F'
F2 U R' U' F R F2
F' U R' F U' R2 F2
F' U R' F U' F2 R2
F' U R' F2 U' R2 F
F' U R' F2 U' F R2
U D R F' R2 U' F'
F2 U R' F2 U' F R
D U R' U2 B U F'
F U R' U L' U2 F'
F U R' U' F2 R F
U D R' U2 B U F'
F U R' F2 U' R F
F' U D R' U' F' R2
F' U D' R' U' F' R2
F' U D2 R' U' F' R2
R D B2 D' R F' R
R D B2 D' F' R F'
R' D' L' F U' L F
F' U F R' U' F' R
F U F' R' U' F' R
F U F2 R' U' F' R2
U D' L' R' F U' F2
U D' L' F R' U' F'
U D' R' L' F U' F2
U D' R' U' D F' R
U D' R' D U' F' R
D' U' B2 L B' U F
U' D' B2 L B' U F
F' U' B2 L U R F
F2 U' B2 L U F R
U D2 R' U' D2 F' R
U D2 R' D2 U' F' R
F U2 L' U' R' U' F'
R' D2 B L U' L' R'
R' D2 B L U' R' L'
U F R' U L' U2 F'
U F R' U' F2 R F
U F R' F2 U' R F
F' D U R' U' F' R2
R' F' L' U' L R F
R' F' L' U' R L F
U F' L R' U' F' R2
U F' L' R' U' F' R2
R' F' R U R' U' F'
U F' L2 R' U' F' R2
L' F' R' U' L R2 F
L' F' R' U' L F R2
L' F' R' U' R2 L F
U F' R' L U' F' R2
U F' R' L' U' F' R2
U F' R' L2 U' F' R2
U F' R' U' F R2 F2
U F' R' U' F' R2 D
U F' R' U' F' R2 D'
U F' R' U' F' R2 D2
U F' R' U' F2 R2 F
U F' R' D' F2 U' F
U F' R' F U' R2 F2
U F' R' F U' F2 R2
U F' R' F2 U' R2 F
U F' R' F2 U' F R2
U2 F' U' L' R' U' R2
U2 F' U' R' L' U' R2
U F' D R' U' F' R2
R' F' B L U' L' R
R' F' B L U' R L'
U F' D' R' U' F' R2
R F' D B2 D' R F'
U F' D2 R' U' F' R2
F' D' U R' U' F' R2
U F2 R' F U' R F2
F' D2 U R' U' F' R2
D2 B L U' L' R' B'
D2 B L U' R' L' B'
F' B L U' L' R B'
F' B L U' L' B' R
F' B L U' R L' B'
R' B F' L U' L' R
R' B F' L U' R L'
B F' L U' L' R B'
B F' L U' L' B' R
B F' L U' R L' B'
U' B2 L U F' R F2
U' B2 D' L B' U F
