D R' B D2 F2
D L2 R' F L2 B
D L2 R' F B L2
D L2 R' B F L2
D L2 F L2 R' B
D L2 F R' L2 B
D L2 F R' B L2
D R B2 R2 F' B
D R B2 R2 B F'
D R' L2 F L2 B
D R' L2 F B L2
D R' L2 B F L2
D R' U2 B' U2 B2
D R' D B D2 F2
D R' D' B D2 F2
D R' D2 B D2 F2
D R' F B D2 F2
D R' F B D2 F2
D R' F' B D2 F2
D R' F2 B D2 F2
D R' B U2 B2 U2
D R' B D2 F2 D
D R' B D2 F2 D'
D R' B D2 F2 D2
D R' B F D2 F2
D R' B F' D2 F2
D R' B F2 D2 F2
D F R' B D2 F2
D F' R' B D2 F2
D F2 R' B D2 F2
D' L R' B' L F L2
D L R' B L F L2
R' L D' L F B' L2
R' L D' L B' F L2
D L U2 L' R' F' B
D L U2 L' R' B F'
D' L U2 R' B' L' F'
D L U2 R' L' F' B
D L U2 R' L' B F'
D L U2 R' B L' F'
U2 L U2 D R' F' B
U2 L U2 D R' B F'
U2 L D U2 R' F' B
U2 L D U2 R' B F'
L R' D' L F B' L2
L R' D' L B' F L2
F L' U L' R' F L2
F L' U L' F L2 R'
F L' U L' F R' L2
F L' U R' L' F L2
L2 R' F L D' L B2
L2 R' F L2 U' L U
L2 R' F U' L' U L'
F' L2 R U' R2 F L2
F' L2 R U' F L2 R2
F' L2 R U' F R2 L2
R' L2 F L D' L B2
R' L2 F L2 U' L U
D' L2 R' F L' B' L'
F' L2 R' F L2 D B2
R' L2 F U' L' U L'
D L2 R' F L' B L'
D L2 R' F L2 D B
D L2 R' F L2 D' B
D L2 R' F L2 D2 B
D L2 R' F L2 B D
D L2 R' F L2 B D'
D L2 R' F L2 B D2
D L2 R' F B L2 D
D L2 R' F B L2 D'
D L2 R' F B L2 D2
D L2 R' F B' L2 B2
D L2 R' F' L2 F2 B
D L2 R' F' L2 B F2
D L2 R' F' B L2 F2
D L2 R' F2 L2 F' B
D L2 R' F2 L2 B F'
D L2 R' F2 B L2 F'
D L2 R' B F L2 D
D L2 R' B F L2 D'
D L2 R' B F L2 D2
D L2 R' B F' L2 F2
D L2 R' B F2 L2 F'
D L2 R' B' F L2 B2
U' L2 U D R' F B
U' L2 U D R' B F
U' L2 U D F R' B
D L2 U R' F L2 B
D L2 U R' F B L2
D L2 U R' B F L2
D L2 U F L2 R' B
D L2 U F R' L2 B
D L2 U F R' B L2
D L2 U' R' F L2 B
D L2 U' R' F B L2
D L2 U' R' B F L2
D L2 U' F L2 R' B
D L2 U' F R' L2 B
D L2 U' F R' B L2
U L2 U' D R' F B
U L2 U' D R' B F
U L2 U' D F R' B
D L2 U2 R' F L2 B
U2 L2 U2 D R' F B
U2 L2 U2 D R' B F
D L2 U2 R' F B L2
U2 L2 U2 D F R' B
D L2 U2 R' B F L2
D L2 U2 F L2 R' B
D L2 U2 F R' L2 B
D L2 U2 F R' B L2
U' L2 D U R' F B
U' L2 D U R' B F
U' L2 D U F R' B
U2 L2 D U2 R' F B
U2 L2 D U2 R' B F
U2 L2 D U2 F R' B
U L2 D U' R' F B
U L2 D U' R' B F
U L2 D U' F R' B
D' L2 F L' R' B' L'
D2 L2 F L2 D' R' B
D' L2 F L2 D2 R' B
F' L2 F L2 D R' B
D' L2 F R' L' B' L'
F2 L2 F L2 R' D B2
D L2 F L' R' B L'
F2 L2 F R' L2 D B2
D L2 F L2 R' D B
D L2 F L2 R' D' B
D L2 F L2 R' D2 B
D L2 F L2 R' B D
D L2 F L2 R' B D'
D L2 F L2 R' B D2
D L2 F R' L' B L'
D L2 F R' L2 D B
D L2 F R' L2 D' B
D L2 F R' L2 D2 B
D L2 F R' L2 B D
D L2 F R' L2 B D'
D L2 F R' L2 B D2
D L2 F R' B L2 D
D L2 F R' B L2 D'
D L2 F R' B L2 D2
D L2 F R' B' L2 B2
D L2 F' L2 R' F2 B
D L2 F' L2 R' B F2
D L2 F' L2 F2 R' B
D L2 F' R' L2 F2 B
D L2 F' R' L2 B F2
D L2 F' R' F2 L2 B
D L2 F' R' F2 B L2
D L2 F' R' B L2 F2
D L2 F' R' B F2 L2
U L2 F' R U' R2 F2
U L2 F' R U' F2 R2
D L2 F2 L2 F' R' B
F' R L2 U' R2 F L2
F' R L2 U' F L2 R2
F' R L2 U' F R2 L2
D R U2 F' B' U2 R2
D R U2 B' U2 R2 B
D R U2 B' F' U2 R2
D R B R2 D2 F2 B
D R B R2 D2 B F2
F' R B2 R2 D F' B2
F' R B2 R2 D B2 F'
F' R B2 R2 F' D B2
D R B2 R2 D F' B
D R B2 R2 D B F'
D R B2 R2 D' F' B
D R B2 R2 D' B F'
D R B2 R2 D2 F' B
D R B2 R2 D2 B F'
D R B2 R2 F' D B
D R B2 R2 F' D' B
D R B2 R2 F' D2 B
D R B2 R2 F' B D
D R B2 R2 F' B D'
D R B2 R2 F' B D2
D R B2 R2 B D F'
D R B2 R2 B D' F'
D R B2 R2 B D2 F'
D R B2 R2 B F' D
D R B2 R2 B F' D'
D R B2 R2 B F' D2
D' R' L B' L F L2
D R' L B L F L2
D' R' L2 F L' B' L'
F' R' L2 F L2 D B2
D R' L2 F L' B L'
D R' L2 F L2 D B
D R' L2 F L2 D' B
D R' L2 F L2 D2 B
D R' L2 F L2 B D
D R' L2 F L2 B D'
D R' L2 F L2 B D2
D R' L2 F B L2 D
D R' L2 F B L2 D'
D R' L2 F B L2 D2
D R' L2 F B' L2 B2
D R' L2 F' L2 F2 B
D R' L2 F' L2 B F2
F' R' U L2 R2 U' F
D R' L2 F' B L2 F2
D R' L2 F2 L2 F' B
D R' L2 F2 L2 B F'
D R' L2 F2 B L2 F'
D R' L2 B F L2 D
D R' L2 B F L2 D'
D R' L2 B F L2 D2
D R' L2 B F' L2 F2
D R' L2 B F2 L2 F'
F' R' U R2 L2 U' F
F' R' U R2 U B' U2
D R' L2 B' F L2 B2
D R' U L2 U' F B
D R' U L2 U' B F
F' R' U' D2 L2 U F
D R' U' L2 U F B
D R' U' L2 U B F
F' R' U2 D B' U2 B'
F' R' U2 D' F2 B' U2
F' R' U2 D' B' F2 U2
D2 R' U2 B' U L U
F' R' U2 B' U' R2 U'
F' R' U2 B' U2 D B2
F' R' U2 B' D U2 B2
F' R' U2 B' D' F2 U2
D R' U2 D B' U2 B2
D R' U2 D' B' U2 B2
D R' U2 D2 B' U2 B2
D R' U2 F B' U2 B2
F2 R' U2 B' U' R' U'
F' R' D L2 F L2 B2
F' R' D L2 F B2 L2
F' R' D L2 B2 F L2
D R' U2 F' B' U2 B2
D R' U2 F2 B' U2 B2
D R' U2 B' U2 B2 D
D R' U2 B' U2 B2 D'
D R' U2 B' U2 B2 D2
F' R' D R2 B2 R2 F'
D R' U2 B' D2 F2 U2
D R' U2 B' F U2 B2
D R' U2 B' F' U2 B2
D R' U2 B' F2 U2 B2
F' R' D U2 B' U2 B'
D R' D L2 F L2 B
D R' D L2 F B L2
F R' U2 B' U L' U
D R' D L2 B F L2
F' R' D B D2 F2 B
F' R' D B D2 B F2
F' R' D B2 R2 F' R2
F' R' D B2 U2 B U2
D R' D U2 B' U2 B2
D R' D F B D2 F2
B2 R' D B2 R' F' B
B2 R' D B2 R' B F'
F' R' D' L2 F L2 B'
D R' D F' B D2 F2
D R' D F2 B D2 F2
