L' R' F' U' L B
R' L' F' U' L B
R' U L' F' U' B
L' U' L B' R' B
L' U' D2 L B' R'
L' U' B' R' B L
L' D2 U' L B' R'
R' B U L' F' U'
R' L' D F' U' L B
L' R' D F' U' L B
D' L' R' F' R U' L
B' L' R' F' U' L B
B2 L' R' F' U' L B
B L' R' F' U' L B
U L' R' F U' B R
R' L' D' F' U' L B
L' R' D' F' U' L B
R' L' D2 F' U' L B
D2 L' U F U2 L R
D2 L' U F U2 R L
L' R' D2 F' U' L B
D2 L' U' L2 B' L' R'
B' L' U' L B' R' B
D2 L' U' L2 B' R' L'
B2 L' U' L B' R' B
B L' U' L B' R' B
D' L' U' D' L B' R'
B' L' U' D2 L B' R'
D L' U' D L B' R'
B2 L' U' D2 L B' R'
B L' U' D2 L B' R'
B' L' U' B' R' B L
B2 L' U' B' R' B L
L2 R' F' L U' L B
B L' U' B' R' B L
R' L' F' U' L D B
R' L' F' U' L D' B
R' L' F' U' L D2 B
R' L' F' U' L B D
R' L' F' U' L B D'
R' L' F' U' L B D2
R' L' F' U' L' B L2
R' L' F' U' L2 B L'
R' L' F' U' D L B
R' L' F' U' D' L B
R' L' F' U' D2 L B
L' R' F' U' L D B
L' R' F' U' L D' B
L' R' F' U' L D2 B
L' R' F' U' L B D
L' R' F' U' L B D'
L' R' F' U' L B D2
L' R' F' U' L' B L2
L' R' F' U' L2 B L'
L' R' F' U' D L B
L' R' F' U' D' L B
L' R' F' U' D2 L B
R' L' F' D U' L B
L' R' F' D U' L B
R' L' F' D' U' L B
L' R' F' D' U' L B
R' L' F' D2 U' L B
L' R' F' D2 U' L B
U L' U2 B' U R' B
D L' D U' L B' R'
D' L' D' U' L B' R'
B' L' D2 U' L B' R'
B2 L' D2 U' L B' R'
B L' D2 U' L B' R'
U L' F R' U' B R2
U L' F U' R' B R2
R' L2 F' L U' L B
R' U L F' L2 U' B
R' U L' D F' U' B
R' U L' D' F' U' B
R' U L' D2 F' U' B
R' U L' F' U' D B
R' U L' F' U' D' B
R' U L' F' U' D2 B
R' U L' F' U' B D
R' U L' F' U' B D'
R' U L' F' U' B D2
R' U L' F' D U' B
R' U L' F' D' U' B
R' U L' F' D2 U' B
R U L' R2 F' U' B
R2 U L' F R F' U'
R' U L2 F' L U' B
L' U R F' L' U2 L2
R U R2 L' F' U' B
U' L2 B' U R' F' B
U' L2 B' U R' B F'
R' U D L' F' U' B
U' L2 B2 R' U B R'
R' U D' L' F' U' B
R' U D2 L' F' U' B
R2 U D2 L' F R U'
R2 U F R F' L' U'
L' U' L R' B' R' B2
L' U' L B' R' D B
L' U' L B' R' D' B
L' U' L B' R' D2 B
L' U' L B' R' B D
L' U' L B' R' B D'
L' U' L B' R' B D2
L' U' L B2 R' B R'
L' U' L' B' L2 R' B
L' U' L' B' R' L2 B
L' U' L' B' R' B L2
L' U' L2 B' L' R' B
L' U' L2 B' R' L' B
L' U' L2 B' R' B L'
L' U' R' L B' R' B2
L' U' D2 L R B' R'
L' U' D2 L R' B' R'
L' U' D2 L R2 B' R'
L' U' D2 L D B' R'
L' U' D2 L D' B' R'
L' U' D2 L D2 B' R'
L' U' D2 L B' R' D
L' U' D2 L B' R' D'
L' U' D2 L B' R' D2
L' U' D2 L B' D R'
L' U' D2 L B' D' R'
L' U' D2 L B' D2 R'
L' U' D2 R L B' R'
L' U' D2 R' L B' R'
L' U' D2 R2 L B' R'
D' R' L' F' R U' L
B' R' L' F' U' L B
B2 R' L' F' U' L B
B R' L' F' U' L B
U R' L' F U' B R
D' R' U L' F' R U'
B' R' U L' F' U' B
B2 R' U L' F' U' B
B R' U L' F' U' B
L' U' B' L R' B L
L' U' B' L' R' B L
L' U' B' L2 R' B L
L' U' B' R' L B L
L' U' B' R' L' B L
L' U' B' R' L2 B L
L' U' B' R' D B L
L' U' B' R' D' B L
L' U' B' R' D2 B L
L' U' B' R' B L D
L' U' B' R' B L D'
L' U' B' R' B L D2
L' U' B' R' B D L
L' U' B' R' B D' L
L' U' B' R' B D2 L
F2 R' F D B R2 F'
F R' F' L' U' L B
B' R' B U L' F' U'
B2 R' B U L' F' U'
F2 R' B U' R2 B U
B R' B U L' F' U'
F2 R2 U' R' B L U
F' R2 D R F' B R'
F' R2 D R B F' R'
R' D L' F' U' L B
R' D U L' F' U' B
R' D B U L' F' U'
R' D' L' F' U' L B
L' D' R' F' R U' L
R' D' U L' F' U' B
R2 D' F' D R F' B
R2 D' F' D R B F'
R' D' B U L' F' U'
R' D2 L' F' U' L B
L' D2 R' F' U' L B'
R' D2 U L' F' U' B
F2 U' B' R U R2 B
L' D2 U' L R B' R'
L' D2 U' L R' B' R'
L' D2 U' L R2 B' R'
L' D2 U' L D B' R'
L' D2 U' L D' B' R'
L' D2 U' L D2 B' R'
L' D2 U' L B' R' D
L' D2 U' L B' R' D'
L' D2 U' L B' R' D2
L' D2 U' L B' D R'
L' D2 U' L B' D' R'
L' D2 U' L B' D2 R'
R2 D2 U L' F R U'
L' D2 U' R L B' R'
L' D2 U' R' L B' R'
L' D2 U' R2 L B' R'
L' D2 F U' L B' R'
L' D2 F' U' L B' R'
L' D2 F2 U' L B' R'
R' D2 B U L' F' U'
D' F L' U L F R
L' F R' F' U' L B
L' F U' L B' R' B
L' F U' D2 L B' R'
L' F U' B' R' B L
U F U' R' F' B R2
U F U' R' B F' R2
L' F D2 U' L B' R'
L' F' R' F' U' L B
L' F' U' L B' R' B
L' F' U' D2 L B' R'
L' F' U' B' R' B L
R2 F' D R F' B R'
R2 F' D R B F' R'
L' F' D2 U' L B' R'
L' F2 R' F' U' L B
L' F2 U' L B' R' B
L' F2 U' D2 L B' R'
L' F2 U' B' R' B L
L' F2 D2 U' L B' R'
D B L' R' F' U' L
D B R' L' F' U' L
R' B U L F' L2 U'
R' B U L' D F' U'
R' B U L' D' F' U'
R' B U L' D2 F' U'
R' B U L' F' U' D
R' B U L' F' U' D'
R' B U L' F' U' D2
R' B U L' F' D U'
R' B U L' F' D' U'
R' B U L' F' D2 U'
R' B U L2 F' L U'
R' B U D L' F' U'
R' B U D' L' F' U'
R' B U D2 L' F' U'
L' B U' B' L R' B
L' B U' B' R' L B
R' B D U L' F' U'
R' B D' U L' F' U'
R' B D2 U L' F' U'
R' B' L' F' U' L B2
R' B' U L' F' U' B2
U' B' U2 L' U' R' B
R' B2 L' F' U' L B'
