D' L' F U' L
L' F' U' L R
L' F' U' R L
D' L' D F U' L
D' L' D' F U' L
D' L' D2 F U' L
D' L' F U' L D
D' L' F U' L D'
D' L' F U' L D2
D' L' F U' D L
D' L' F U' D' L
D' L' F U' D2 L
D' L' F D U' L
D' L' F D' U' L
D' L' F D2 U' L
B' L' F' U' L R
B2 L' F' U' L R
B' L' F' U' R L
B2 L' F' U' R L
B L' F' U' L R
B L' F' U' R L
L' U' L F' R F
L' U' F' R F L
L' U2 F' U L R
L' U2 F' U R L
F2 U' R B U B'
L' F U L' U2 L2
L' F U' L D2 R2
L2 F' L U' L R
L2 F' L U' R L
L' F' U' L R D
L' F' U' L R D'
L' F' U' L R D2
L' F' U' L D R
L' F' U' L D' R
L' F' U' L D2 R
L' F' U' R L D
L' F' U' R L D'
L' F' U' R L D2
L' F' U' R D L
L' F' U' R D' L
L' F' U' R D2 L
L' F' U' D L R
L' F' U' D R L
L' F' U' D' L R
L' F' U' D' R L
L' F' U' D2 L R
L' F' U' D2 R L
L' F' D U' L R
L' F' D U' R L
L' F' D' U' L R
L' F' D' U' R L
L' F' D2 U' L R
L' F' D2 U' R L
B' D' L' F U' L
B2 D' L' F U' L
R2 F' D R F' B2
R2 F' D R B2 F'
R2 F' D B2 R F'
B D' L' F U' L
D2 B L' U' L R'
D2 B L' U' R' L
D' B L' F U' L
D' B' L' F U' L
D' B2 L' F U' L
F' L U' L' D R F'
F' L U' R D' L' F
F' L U' D L' R F'
F' L U' D R L' F'
F' L U' D' L' R F
F' L U' D' R L' F
F' L D U' L' R F'
F' L D U' R L' F'
F' L D' U' L' R F
F' L D' U' R L' F
L' R F' R' U' L R2
L' R F' R' U' R2 L
D' L F' L2 F U' L'
U L F' L2 U' R B'
U L F' L2 U' B' R
D2 L B L2 U' L R'
D2 L B L2 U' R' L
D' L' R F R' U' L
R' L' D R F' U' L
L' R' D R F' U' L
D L' R F' R' U' L
D' L' R2 F R2 U' L
D2 L' U' L B R' B'
F' L' U' L D R F'
B' L' U' L F' R F
B2 L' U' L F' R F
B L' U' L F' R F
F' L' U' D L R F'
F' L' U' D R L F'
F' L' U' D R F' L
B' L' U' F' R F L
D2 L' U' B R' B' L
B2 L' U' F' R F L
B L' U' F' R F L
R' L' F' U' L R B
R' L' F' U' R L B
L' R' F' U' L R B
L' R' F' U' R L B
R2 L' F' R2 U' L R'
R2 L' F' R2 U' R' L
R L' F' R' U' L R2
R L' F' R' U' R2 L
B' L' U2 F' U L R
B' L' U2 F' U R L
B2 L' U2 F' U L R
B2 L' U2 F' U R L
B L' U2 F' U L R
B L' U2 F' U R L
F' L' D U' L R F'
F' L' D U' R L F'
F' L' D U' R F' L
D' L' D F U' L D
D' L' D F U' L D'
D' L' D F U' L D2
D' L' D F U' D L
D' L' D F U' D' L
D' L' D F U' D2 L
D' L' D F D U' L
D' L' D F D' U' L
D' L' D F D2 U' L
D' L' D' F U' L D
D' L' D' F U' L D'
D' L' D' F U' L D2
D' L' D' F U' D L
D' L' D' F U' D' L
D' L' D' F U' D2 L
D' L' D' F D U' L
D' L' D' F D' U' L
D' L' D' F D2 U' L
D L' D' F' U' L R
D L' D' F' U' R L
D' L' D2 F U' L D
D' L' D2 F U' L D'
D' L' D2 F U' L D2
D' L' D2 F U' D L
D' L' D2 F U' D' L
D' L' D2 F U' D2 L
D' L' D2 F D U' L
D' L' D2 F D' U' L
D' L' D2 F D2 U' L
D2 L' D2 F' U' L R
D2 L' D2 F' U' R L
D' L' F U R U2 L
D' L' F U R' U2 L
D' L' F U R2 U2 L
D' L' F U' L2 D L'
D' L' F U' L2 D' L'
D' L' F U' L2 D2 L'
B' L' F U L' U2 L2
D' L' F U' D L D
D' L' F U' D L D'
D' L' F U' D L D2
D' L' F U' D' L D
D' L' F U' D' L D'
D' L' F U' D' L D2
D' L' F U' D2 L D
D' L' F U' D2 L D'
D' L' F U' D2 L D2
D' L' F U' F L F'
D' L' F U' F2 L F2
B' L' F U' L D2 R2
D' L' F U2 F U L
D' L' F U2 F' U L
D' L' F U2 F2 U L
D' L' F D U' L D
D' L' F D U' L D'
D' L' F D U' L D2
B2 L' F U L' U2 L2
D' L' F D' U' L D
D' L' F D' U' L D'
D' L' F D' U' L D2
B2 L' F U' L D2 R2
B L' F U L' U2 L2
D' L' F D2 U' L D
D' L' F D2 U' L D'
D' L' F D2 U' L D2
B L' F U' L D2 R2
U L' F U L' F' U2
D' L' F B2 U R' U2
D' L' F' U' L D R2
D' L' F' U' D L R2
D' L' F' U' D R2 L
B' L' F' U' L R D
B' L' F' U' L R D'
B' L' F' U' L R D2
B' L' F' U' L D R
