D' L U' L' B R'
D' L U' B L' R'
D' L U' B R' L'
U L U' B D' R2
U L U2 B' U B2
U L' F L2 U' B
L U' L' D' B R'
L U' B L' D' R2
L U' B D' L' R2
L U' B D' R2 L'
L U2 B' U L' B2
L U2 B' U B2 L'
D' U L U' B R'
U D' L U' B R'
L' F L2 U' L' B
L' F L2 U' B L'
B D F' D2 R F'
B D' R D2 F' R
D F' B D' R F'
D' B R2 D' R F'
D2 B D' R F' R
D2 B D' F' R F'
D' B D' R F' R2
D B F' D' R F'
L B' U' L' B2 R'
F' L U' L' D' B R'
D' L U' L B L2 R'
D' L U' L B R' L2
D2 L U' L' D B R'
D' L U' L' B R' D
D' L U' L' B R' D'
D' L U' L' B R' D2
D' L U' L' B D R'
D' L U' L' B D' R'
D' L U' L' B D2 R'
F2 L U' L' D' B R'
D L U' L' D2 B R'
F L U' L' D' B R'
D2 L U' D L' B R'
D2 L U' D B L' R'
D2 L U' D B R' L'
D L U' D2 L' B R'
U L U' D B D' R2
D L U' D2 B L' R'
D L U' D2 B R' L'
U L U' D' B D' R2
F' L U' B L' D' R2
D' L U' B L' R' D
D' L U' B L' R' D'
D' L U' B L' R' D2
D' L U' B L' D R'
D' L U' B L' D' R'
D' L U' B L' D2 R'
F' L U' B D' L' R2
F' L U' B D' R2 L'
D' L U' B R' L' D
D' L U' B R' L' D'
D' L U' B R' L' D2
D' L U' B R' D L'
D' L U' B R' D' L'
U L U' D2 B D' R2
D' L U' B R' D2 L'
D' L U' B D L' R'
D' L U' B D R' L'
D' L U' B D' L' R'
D' L U' B D' R' L'
D' L U' B D2 L' R'
D' L U' B D2 R' L'
F2 L U' B L' D' R2
F2 L U' B D' L' R2
F2 L U' B D' R2 L'
F L U' B L' D' R2
F L U' B D' L' R2
F L U' B D' R2 L'
U L U' B R D' R2
U L U' B R' D' R2
U L U' B R2 D' R2
U L U' B U' B2 U
U L U' B D' R2 D
U L U' B D' R2 D'
U L U' B D' R2 D2
U L U2 D B' U B2
U L U2 D' B' U B2
U L U2 D2 B' U B2
F' L U2 B' U L' B2
F' L U2 B' U B2 L'
F2 L U2 B' U L' B2
F2 L U2 B' U B2 L'
F L U2 B' U L' B2
F L U2 B' U B2 L'
U L U2 B' L U B2
U L U2 B' L' U B2
U L U2 B' L2 U B2
U L U2 B' U B2 D
U L U2 B' U B2 D'
U L U2 B' U B2 D2
U L U2 B' D L2 U
D2 L D U' L' B R'
D2 L D U' B L' R'
D2 L D U' B R' L'
U L D U' B D' R2
U L D U2 B' U B2
U L D' U' B D' R2
U L D' U2 B' U B2
D L D2 U' L' B R'
D L D2 U' B L' R'
D L D2 U' B R' L'
U L D2 U' B D' R2
U L D2 U2 B' U B2
U L F U' B D' R2
U L F U2 B' U B2
U L F' U' B D' R2
U L F' U2 B' U B2
U L F2 U' B D' R2
U L F2 U2 B' U B2
B' L B' R' U B' L'
F' L B' U' L' B2 R'
D' L B' U' B2 L' R'
D' L B' U' B2 R' L'
F2 L B' U' L' B2 R'
U' L B' U B2 D2 F2
F L B' U' L' B2 R'
U2 L' U' F L2 U' B
U' L' U2 F L2 U' B
D2 L' D L F2 B R'
D2 L' D L B R' F2
D2 L' D L B F2 R'
D2 L' D F2 L B R'
U L' D F U' F B
U L' D F U' B F
F' L' F L2 U' L' B
F' L' F L2 U' B L'
F2 L' F L2 U' L' B
F2 L' F L2 U' B L'
F L' F L2 U' L' B
F L' F L2 U' B L'
B' L' F U' L F B2
B' L' F U' L B2 F
U L' F L2 U' D B
U L' F L2 U' D' B
U L' F L2 U' D2 B
U L' F L2 U' B D
U L' F L2 U' B D'
U L' F L2 U' B D2
U L' F L2 D U' B
U L' F L2 D' U' B
U L' F L2 D2 U' B
U L' F U' D F2 B
U L' F U' D B F2
U L' F U' B D F2
U L' F D U' F2 B
U L' F D U' B F2
U L' F' L2 F2 U' B
U L' F2 L2 F' U' B
B2 L2 R' U L2 B' R'
R' U L' F L2 R U'
R' U L' F R L2 U'
L' U F L2 U' L' B
L' U F L2 U' B L'
B R D F' D2 R F'
B R D' R D2 F' R
B2 R D' F2 B R' B2
B2 R D' B R' F2 B2
B2 R D' B R' B2 F2
B2 R D' B F2 R' B2
L U' L' D' B R' D
L U' L' D' B R' D'
L U' L' D' B R' D2
L U' L' D' B D R'
L U' L' D' B D' R'
L U' L' D' B D2 R'
L U' D L' D' B R'
L U' D B L' D' R2
L U' D B D' L' R2
L U' D B D' R2 L'
B2 R B2 D' F2 B R'
B2 R B2 D' B R' F2
B2 R B2 D' B F2 R'
L U' D' L' D' B R'
L U' D' B L' D' R2
L U' D' B D' L' R2
L U' D' B D' R2 L'
L U' D2 L' D' B R'
L' U' F L2 U' L' B
L' U' F L2 U' B L'
L U' D2 B L' D' R2
L U' D2 B D' L' R2
L U' D2 B D' R2 L'
B2 R' L2 U L2 B' R'
L U' B L' R D' R2
L U' B L' R' D' R2
L U' B L' R2 D' R2
L U' B L' U' B2 U
L U' B L' D' R2 D
L U' B L' D' R2 D'
L U' B L' D' R2 D2
L U' B L2 D' L R2
L U' B L2 D' R2 L
L U' B R L' D' R2
L U' B R D' L' R2
L U' B R D' R2 L'
L U' B R' L' D' R2
L U' B R' D' L' R2
L U' B R' D' R2 L'
L U' B R2 L' D' R2
L U' B R2 D' L' R2
L U' B R2 D' R2 L'
L U' B U' B2 U L'
L U' B D' L' R2 D
L U' B D' L' R2 D'
L U' B D' L' R2 D2
L U' B D' R2 L' D
L U' B D' R2 L' D'
L U' B D' R2 L' D2
L U' B D' R2 D L'
L U' B D' R2 D' L'
L U' B D' R2 D2 L'
L U' B D2 L' D R2
L U' B' L' B2 D' R2
B R' D F' D2 R F'
B R' D' R D2 F' R
L U2 D B' U L' B2
L U2 D B' U B2 L'
L U2 D' B' U L' B2
L U2 D' B' U B2 L'
L' U2 F L2 U' L' B
L' U2 F L2 U' B L'
L U2 D2 B' U L' B2
L U2 D2 B' U B2 L'
L U2 B' L U L2 B2
L U2 B' L U B2 L2
L U2 B' L2 U L B2
L U2 B' U L B2 L2
L U2 B' U L' B2 D
L U2 B' U L' B2 D'
L U2 B' U L' B2 D2
L U2 B' U B L' B
L U2 B' U B2 L' D
L U2 B' U B2 L' D'
L U2 B' U B2 L' D2
L U2 B' U B2 D L'
L U2 B' U B2 D' L'
L U2 B' U B2 D2 L'
L U2 B' D L2 U L
