U2 L' U' R' U' F
L' U' R' U' F L
U R' U L' U2 F
D2 F2 R D F' B2
D2 F2 R D B2 F'
D2 F2 R F' D B2
F2 D2 R D F' B2
F2 D2 R D B2 F'
F2 D2 R F' D B2
R' L U L2 U2 F L
R' L U B' L2 U2 L
U L R' U L2 U2 F
U L R' U B' L2 U2
L' R U' R2 U' F L
L' R U2 D F L B2
L' R U2 F L D B2
L' R U2 F D L B2
L' R D U2 F L B2
B2 L U' L2 U2 F L
B2 L U' B' L2 U2 L
L' R D' F2 U2 L F'
L' R D' F2 U2 F' L
L R' U L2 U2 F L
L R' U B' L2 U2 L
R2 L' U' R U' F L
R L' U' R2 U' F L
R L' U2 D F L B2
R2 L' U2 F D' L B'
R L' U2 F L D B2
R L' U2 F D L B2
F2 L' R D F L B2
F2 L' R F L D B2
F2 L' R F D L B2
F2 L' R' U' R2 F L
F2 L' R' U' F L R2
F2 L' R' U' F R2 L
R L' D U2 F L B2
R L' D' F2 U2 L F'
R L' D' F2 U2 F' L
U2 L' U' R' U' D F
U2 L' U' R' U' D' F
U2 L' U' R' U' D2 F
U2 L' U' R' U' F D
U2 L' U' R' U' F D'
U2 L' U' R' U' F D2
U2 L' U' R' D U' F
U2 L' U' R' D' U' F
U2 L' U' R' D2 U' F
U2 L' U' D R' U' F
U2 L' U' D' R' U' F
U2 L' U' D2 R' U' F
U' L' U2 R' U' R F
B' L' U2 D F L B'
B2 L' U2 D' F L B2
B' L' U2 F D L B'
U2 L' U2 F U R' U'
B2 L' U2 F D' L B2
U2 L' D U' R' U' F
B' L' D U2 F L B'
B2 L' D F2 U2 L F'
B2 L' D F2 U2 F' L
U2 L' D' U' R' U' F
B2 L' D' U2 F L B2
U2 L' D2 U' R' U' F
F L' F L R D B2
F L' F R L D B2
F L' F R D L B2
U2 L' F' U' R' U' F2
L' R2 U' R U' F L
L' R2 U2 F D' L B'
R2 U R U L' U2 F
R U R2 U L' U2 F
U' L2 B2 L U R' F
U' L2 B2 L U F R'
F2 R L' D F L B2
F2 R L' F L D B2
F2 R L' F D L B2
F2 R U L' R2 U' F
F2 R U R2 L' U' F
D2 R D F2 R F B2
D2 R D F2 R B2 F
D2 R D F2 B2 R F
D2 R D B2 F2 R F
D R D F2 R F' B2
D R D F2 R B2 F'
D R D F2 B2 R F'
D R D B2 F2 R F'
D2 R F2 D R F B2
D2 R F2 D R B2 F
D2 R F2 D B2 R F
L' U' R' U' D F L
L' U' R' U' D' F L
L' U' R' U' D2 F L
L' U' R' U' F L D
L' U' R' U' F L D'
L' U' R' U' F L D2
L' U' R' U' F D L
L' U' R' U' F D' L
L' U' R' U' F D2 L
L' U' R' U' F' L F2
L' U' R' U' F2 L F'
L' U' R' D U' F L
L' U' R' D' U' F L
L' U' R' D2 U' F L
L' U' D R' U' F L
L' U' D' R' U' F L
L' U' D2 R' U' F L
U R' L U L2 U2 F
U R' L U B' L2 U2
F2 R' L' U' R2 F L
F2 R' L' U' F L R2
F2 R' L' U' F R2 L
U' R' U L' U2 F L
U2 R' U L' R U2 F
U2 R' U R L' U2 F
U R' U L B' L2 U2
U R' U L' U2 D F
U R' U L' U2 D' F
U R' U L' U2 D2 F
U R' U L' U2 F D
U R' U L' U2 F D'
U R' U L' U2 F D2
U R' U L' D U2 F
U R' U L' D' U2 F
U R' U L' D2 U2 F
U R' U L' B U2 F
U R' U L' B' U2 F
U R' U L' B2 U2 F
U R' U B L' U2 F
U R' U B' L' U2 F
U R' U B2 L' U2 F
U2 R' U' F2 L' R F
U2 R' U' F2 R L' F
U R' U' D2 F2 R F'
U R' U' F2 D2 R F'
R2 U2 L' U' R U' F
U R' D2 U' F2 R F'
U R' D2 F2 U' R F'
R U2 L' U' R2 U' F
R U2 L' U2 D F B2
R U2 L' U2 D B2 F
R U2 L' U2 F D B2
R U2 L' D U2 F B2
R U2 L' D U2 B2 F
R U2 L' D' F2 U2 F'
L' U2 R' U' R F L
U2 R' F2 U' L' R F
U2 R' F2 U' R L' F
U R' F2 L' U' R F
U R' F2 U' D2 R F'
U R' F2 D2 U' R F'
L' U2 F L U R' U'
L' U2 F U R' U' L
L' D U' R' U' F L
F2 U L' R' U' R2 F
F2 U L' R' U' F R2
D2 U R' U L' B U2
D2 U R' U B L' U2
F2 U R' L' U' R2 F
F2 U R' L' U' F R2
R D B2 D F2 R F'
D2 U F2 R' U' R2 F'
F2 U D2 R' U' R2 F'
L' D' U' R' U' F L
B2 U' L U' L2 U2 F
B2 U' L U' B' L2 U2
L' D2 U' R' U' F L
U D2 R' U L' B U2
U D2 R' U B L' U2
B2 U2 L' U2 D' F B2
