R D B R F'
R B D R F'
B' R D B R F'
B2 R D B R F'
B R D B R F'
D R D' F' B R2
D R D' B F' R2
D R F' D' B R2
B' R B D R F'
B2 R B D R F'
B R B D R F'
D R' D' R2 F' B
D R' D' R2 B F'
F' R2 U' R' U B
R D B R D F'
R D B R D' F'
R D B R D2 F'
R D B R F' D
R D B R F' D'
R D B R F' D2
R D B' R F' B2
R D B' R B2 F'
R D B2 R F' B'
R D B2 R B' F'
F' U' R U R B
R D' B D2 R F'
R D2 B R D' F2
U F L' R U' R
U F R L' U' R
R B D R D F'
R B D R D' F'
R B D R D2 F'
R B D R F' D
R B D R F' D'
R B D R F' D2
R B2 D R F' B'
R B2 D R B' F'
R B2 D B' R F'
F' L R U L' B R
F' L R U B L' R
F' L R U B R L'
L' R D L B R F'
L R D L' B R F'
R L D L' B R F'
L R D B L' R F'
L R D B R L' F'
R L D B L' R F'
R L D B R L' F'
L R D' L' B R F
R L D' L' B R F
L R D' B L' R F
L R D' B R L' F
R L D' B L' R F
R L D' B R L' F
U L F L' R U' R
U L F R L' U' R
U2 L F U' L' U' R2
L R B L' D R F'
R L B L' D R F'
L2 R B L2 D R F'
L R B R D' L' F
R L B R D' L' F
L R B D L' R F'
L R B D R L' F'
L R B D' L' R F
R L B D L' R F'
L R B D' R L' F
R L B D R L' F'
R L B D' L' R F
R L B D' R L' F
F' L' R U L B R
F L' R U' L B R
R L' D L B R F'
U L' F L' R U' R
U L' F R L' U' R
F' L2 R U L2 B R
F' L2 R U B L2 R
F' L2 R U B R L2
R L2 B L2 D R F'
U L2 F L' R U' R
U L2 F R L' U' R
F' R L U L' B R
F' R L U B L' R
F' R L U B R L'
F' R L' U L B R
F R L' U' L B R
F' R L2 U L2 B R
F' R L2 U B L2 R
F' R L2 U B R L2
U' R U D R F' B
U' R U D R B F'
F R U L' U' B R
U R U' D R F' B
U R U' D R B F'
D R U' B2 U F' B'
D R U' B2 U B' F'
U' R D U R F' B
U' R D U R B F'
B' R D B R D F'
B' R D B R D' F'
B' R D B R D2 F'
B' R D B R F' D
B' R D B R F' D'
B' R D B R F' D2
B' R D B' R F' B2
B' R D B' R B2 F'
B' R D B2 R F' B'
B' R D B2 R B' F'
B2 R D B R D F'
B2 R D B R D' F'
B2 R D B R D2 F'
B2 R D B R F' D
B2 R D B R F' D'
B2 R D B R F' D2
B2 R D B' R F' B2
B2 R D B' R B2 F'
D R D F' D2 B R2
D R D F' B D2 R2
B2 R D B2 R F' B'
B2 R D B2 R B' F'
D R D B D2 F' R2
D R D B F' D2 R2
U R D U' R F' B
U R D U' R B F'
B R D B R D F'
B R D B R D' F'
B R D B R D2 F'
B R D B R F' D
B R D B R F' D'
B R D B R F' D2
B R D B' R F' B2
B R D B' R B2 F'
B R D B2 R F' B'
B R D B2 R B' F'
B' R D' B D2 R F'
B2 R D' B D2 R F'
D R D' F B R2 F2
D R D' F' B R2 D
D R D' F' B R2 D'
D R D' F' B R2 D2
D R D' F' B' R2 B2
D R D' F' B2 R2 B'
D R D' F2 B R2 F
D R D' B F R2 F2
D R D' B F' R2 D
D R D' B F' R2 D'
D R D' B F' R2 D2
D R D' B F2 R2 F
D R D' B' F' R2 B2
B R D' B D2 R F'
D R D' B2 F' R2 B'
B' R D2 B R D' F2
B2 R D2 B R D' F2
D R D2 B D F' R2
B R D2 B R D' F2
D R F' R2 D' R2 B
D R F' U' B2 U B'
D R F' D B D2 R2
D R F' D' B R2 D
D R F' D' B R2 D'
D R F' D' B R2 D2
D R F' D' B' R2 B2
D R F' D' B2 R2 B'
D R F' D2 B D R2
D R F' B U' B U
D R F2 D' F B R2
D R F2 D' B R2 F
D R F2 D' B F R2
F' R B R U' R' U
F' R B R2 D' R' F2
F' R B R2 D' F2 R'
B' R B D R D F'
B' R B D R D' F'
B' R B D R D2 F'
B' R B D R F' D
B' R B D R F' D'
B' R B D R F' D2
B2 R B D R D F'
B2 R B D R D' F'
B2 R B D R D2 F'
B2 R B D R F' D
B2 R B D R F' D'
B2 R B D R F' D2
F R B R U L' U'
D R B U' B U F'
B R B D R D F'
B R B D R D' F'
B R B D R D2 F'
B R B D R F' D
B R B D R F' D'
B R B D R F' D2
F R B U L' U' R
D R B F' U' B U
B' R B2 D R F' B'
B' R B2 D R B' F'
B' R B2 D B' R F'
B2 R B2 D R F' B'
B2 R B2 D R B' F'
B2 R B2 D B' R F'
B R B2 D R F' B'
B R B2 D R B' F'
B R B2 D B' R F'
F' R' U' R2 U B R
F' R' D' R2 B R F2
D R' D' R2 D F' B
D R' D' R2 D B F'
D R' D' R2 D' F' B
D R' D' R2 D' B F'
D R' D' R2 D2 F' B
D R' D' R2 D2 B F'
D R' D' R2 F' D B
D R' D' R2 F' D' B
D R' D' R2 F' D2 B
D R' D' R2 F' B D
D R' D' R2 F' B D'
D R' D' R2 F' B D2
D R' D' R2 B D F'
D R' D' R2 B D' F'
D R' D' R2 B D2 F'
D R' D' R2 B F' D
D R' D' R2 B F' D'
D R' D' R2 B F' D2
U R' F L' R U' R2
U R' F R L' U' R2
L U2 R2 D' L' F B'
L U2 R2 D' L' B' F
R' U2 F' U R U R2
R' U2 F' U2 R' D' F2
F R2 U L' R' U' B
F' R2 U' L R' U B
F' R2 U' L' R' U B
F' R2 U' L2 R' U B
F R2 U R' L' U' B
F' R2 U' R' L U B
F' R2 U' R' L' U B
F' R2 U' R' L2 U B
F' R2 U' R' U D B
F' R2 U' R' U D' B
F' R2 U' R' U D2 B
F' R2 U' R' U B D
F' R2 U' R' U B D'
F' R2 U' R' U B D2
F' R2 U' R' D U B
F' R2 U' R' D' U B
F' R2 U' R' D2 U B
F2 R2 U' R' U F' B
F2 R2 U' R' U B F'
R D L B L' R F'
R D L B R L' F'
F' R2 F U' R' U B
U R2 F L' R U' R'
U R2 F R L' U' R'
F' R2 F' U' R' U B
R' D R F' R B R
F' R2 F2 U' R' U B
R D L2 B L2 R F'
R D L2 B R L2 F'
R D L2 B R F' L2
R2 D R D' F' R' B
R2 D R F' D' R' B
R D R F' R' B R
R' D R2 B R' F' R2
R' D F R F' R2 B
F U L' R U' R B
F U L' U' R B R
F U L' F R U' R
R D F B R F' R
F U R L' U' R B
R' D B' R2 B R' F'
R D B L' R F' L
R D B L2 R F' L2
R D B R L' F' L
R D B R L2 F' L2
R D B R D F' D
R D B R D F' D'
R D B R D F' D2
R D B R D' F' D
R D B R D' F' D'
R D B R D' F' D2
R D B R D2 F' D
R D B R D2 F' D'
R D B R D2 F' D2
R D B R F2 D F
R D B R F2 D' F
R D B R F2 D2 F
R D B R' F R2 F'
R D B R' F' R2 F'
R D B R' F2 R2 F'
R D B R2 D R' F'
R D B R2 D' R' F'
R D B R2 D2 R' F'
R D B R2 F R' F'
R D B R2 F' R' F'
R D B R2 F2 R' F'
R D B F R F' R
R D B' R F' B2 D
R D B' R F' B2 D'
R D B' R F' B2 D2
R D B' R B2 D F'
R D B' R B2 D' F'
R D B' R B2 D2 F'
R D B' R B2 F' D
R D B' R B2 F' D'
R D B' R B2 F' D2
R D B2 R D F' B'
R D B2 R D B' F'
R D B2 R D' F' B'
R D B2 R D' B' F'
