F R B' L U' L'
D2 U F L' U' B'
U D2 F L' U' B'
D2 F L' R U' L
D2 F R L' U' L
B' F L R U' L'
B' F R L U' L'
F B' L R U' L'
F B' R L U' L'
F L R U' D L' F
F L R D U' L' F
F L R B' L U' L2
F L D R U' L' F
F L D' R U' L' F'
F L B' L R U' L2
F L B' R L U' L2
B2 L' U' L F R B
D L' U' F L R B
D L' U' F R L B
F L' D' R U' L F'
F L' D' R U' F' L
F L2 R B' L U' L
F L2 D' R B2 U' F'
F L2 D' B2 R U' F'
F L2 B' L R U' L
F L2 B' R L U' L
R' U D2 F L' U' B'
F R L U' D L' F
F R L D U' L' F
R2 U D2 F L' U' B'
F R L B' L U' L2
R U D2 F L' U' B'
F R L2 B' L U' L
D2 R U F L' U' B'
F R D L' U' F L
D2 R F L' R U' L
B' R F L R U' L'
D2 R F R L' U' L
B' R F R L U' L'
U R D2 F L' U' B'
D' R F' U F2 R U'
F R B' L U' L' D
F R B' L U' L' D'
F R B' L U' L' D2
F R B' L U' D L'
F R B' L U' D' L'
F R B' L U' D2 L'
F R B' L D U' L'
F R B' L D' U' L'
F R B' L D2 U' L'
F R B' L B U' L'
F R B' L B' U' L'
F R B' L B2 U' L'
F R B' D L U' L'
F R B' D' L U' L'
F R B' D2 L U' L'
F R B2 L' U' L F
D2 R' U F L' U' B'
D2 R' F L' R U' L
B' R' F L R U' L'
D2 R' F R L' U' L
B' R' F R L U' L'
U R' D2 F L' U' B'
F R' B' L R2 U' L'
F R' B' R2 L U' L'
D2 R2 U F L' U' B'
D2 R2 F L' R U' L
B' R2 F L R U' L'
D2 R2 F R L' U' L
B' R2 F R L U' L'
U R2 D2 F L' U' B'
D U L' U' F R B'
D U L' U' F B' R
D U L' U' B' F R
U D L' U' F R B'
U D L' U' F B' R
U D L' U' B' F R
D2 U R F L' U' B'
D2 U R' F L' U' B'
D2 U R2 F L' U' B'
D2 U F L' R U' B'
D2 U F L' R' U' B'
D2 U F L' R2 U' B'
D2 U F L' U' D B'
D2 U F L' U' D' B'
D2 U F L' U' D2 B'
D2 U F L' U' B' D
D2 U F L' U' B' D'
D2 U F L' U' B' D2
D2 U F L' D U' B'
D2 U F L' D' U' B'
D2 U F L' D2 U' B'
D2 U F R L' U' B'
D2 U F R' L' U' B'
D2 U F R2 L' U' B'
D2 U F D L' U' B'
D2 U F D' L' U' B'
D2 U F D2 L' U' B'
D U F L' U' F B'
D U F L' U' B' F
U D F L' U' F B'
U D F L' U' B' F
B' U F L U F U2
F2 U F' D' R U' F'
F' U F2 D' R U' F'
F' U' D L' U R2 F
F' U' D L' U F R2
R' D2 U F L' U' B'
R2 D2 U F L' U' B'
U D2 R F L' U' B'
R D2 U F L' U' B'
R' D2 F L' R U' L
R' D2 F R L' U' L
U D2 R' F L' U' B'
R2 D2 F L' R U' L
U D2 R2 F L' U' B'
R2 D2 F R L' U' L
U D2 F L' R U' B'
U D2 F L' R' U' B'
U D2 F L' R2 U' B'
U D2 F L' U' D B'
U D2 F L' U' D' B'
U D2 F L' U' D2 B'
U D2 F L' U' B' D
U D2 F L' U' B' D'
U D2 F L' U' B' D2
U D2 F L' D U' B'
U D2 F L' D' U' B'
U D2 F L' D2 U' B'
U D2 F R L' U' B'
U D2 F R' L' U' B'
R D2 F L' R U' L
U D2 F R2 L' U' B'
R D2 F R L' U' L
U D2 F D L' U' B'
U D2 F D' L' U' B'
U D2 F D2 L' U' B'
D' F L R U' L' F'
D' F L' R U' L F'
D' F L' R U' F' L
D2 F L' R U' L D
D2 F L' R U' L D'
D2 F L' R U' L D2
D2 F L' R U' D L
D2 F L' R U' D' L
D2 F L' R U' D2 L
D2 F L' R D U' L
D2 F L' R D' U' L
D2 F L' R D2 U' L
D2 F L' D R U' L
D2 F L' D' R U' L
D2 F L' D2 R U' L
D' F L2 R U' L2 F'
D' F L2 R U' F' L2
D F L' R U' F L
D' F R L U' L' F'
D' F R L' U' L F'
D' F R L' U' F' L
D' F R L2 U' L2 F'
D' F R L2 U' F' L2
D2 F R L' U' L D
D2 F R L' U' L D'
D2 F R L' U' L D2
D2 F R L' U' D L
D2 F R L' U' D' L
D2 F R L' U' D2 L
D2 F R L' D U' L
D2 F R L' D' U' L
D2 F R L' D2 U' L
D2 F R D L' U' L
D2 F R D' L' U' L
D2 F R D2 L' U' L
R' F R B' L U' L'
D2 F R B L' U' L
D2 F R B' L' U' L
D2 F R B2 L' U' L
D F R L' U' F L
R2 F R B' L U' L'
R F R B' L U' L'
F' D L' U R2 F L
F' D L' U F L R2
F' D L' U F R2 L
D2 F D L' R U' L
D2 F D R L' U' L
D2 F D' L' R U' L
F D L' R U' F L
D2 F D' R L' U' L
U F D L' U' F B'
U F D L' U' B' F
D2 F D2 L' R U' L
D2 F D2 R L' U' L
D2 F B L' R U' L
D2 F B R L' U' L
F D R L' U' F L
R' F B' L R U' L'
D2 F B' L' R U' L
F' D R2 U' L' U F
R' F B' R L U' L'
D2 F B' R L' U' L
D2 F B2 L' R U' L
D2 F B2 R L' U' L
R2 F B' L R U' L'
R2 F B' R L U' L'
F' D U' L' U R2 F
F' D U' L' U F R2
R F B' L R U' L'
R F B' R L U' L'
B' D F L R U' L'
B' D F R L U' L'
D2 F' U F2 L' R U'
D2 F' U F2 R L' U'
D' F' U F2 R U' F'
F D' L R U' L' F'
F D' L' R U' L F'
F D' L' R U' F' L
F D' L2 R U' L2 F'
F D' L2 R U' F' L2
F D' R L U' L' F'
F D' R L' U' L F'
F D' R L' U' F' L
F D' R L2 U' L2 F'
F D' R L2 U' F' L2
B' D' F L R U' L'
B' D' F R L U' L'
D' F2 U F' R U' F'
B' D2 F L R U' L'
B' D2 F R L U' L'
D2 B U F L' U' B'
B' F L R U' L' D
B' F L R U' L' D'
B' F L R U' L' D2
B' F L R U' D L'
B' F L R U' D' L'
B' F L R U' D2 L'
B' F L R D U' L'
B' F L R D' U' L'
B' F L R D2 U' L'
B' F L R B U' L'
B' F L R B' U' L'
B' F L R B2 U' L'
B' F L D R U' L'
B' F L D' R U' L'
B' F L D2 R U' L'
B' F L B R U' L'
B' F L B' R U' L'
B' F L B2 R U' L'
B2 F L' R U' L F
B' F R L U' L' D
B' F R L U' L' D'
B' F R L U' L' D2
B' F R L U' D L'
B' F R L U' D' L'
B' F R L U' D2 L'
B' F R L D U' L'
B' F R L D' U' L'
B' F R L D2 U' L'
B' F R L B U' L'
B' F R L B' U' L'
B' F R L B2 U' L'
B' F R D L U' L'
B' F R D' L U' L'
B' F R D2 L U' L'
B2 F R L' U' L F
B2 F R B L U' L'
D2 B F L' R U' L
D2 B F R L' U' L
B F R D2 L2 U' L2
F B R D2 L2 U' L2
B' F D L R U' L'
B' F D R L U' L'
B' F D' L R U' L'
B' F D' R L U' L'
B' F D2 L R U' L'
B' F D2 R L U' L'
D2 B' U F L' U' B'
F B' L R U' L' D
F B' L R U' L' D'
F B' L R U' L' D2
F B' L R U' D L'
F B' L R U' D' L'
F B' L R U' D2 L'
F B' L R D U' L'
F B' L R D' U' L'
F B' L R D2 U' L'
F B' L R B U' L'
F B' L R B' U' L'
F B' L R B2 U' L'
F B' L D R U' L'
F B' L D' R U' L'
F B' L D2 R U' L'
F B' L B R U' L'
F B' L B' R U' L'
F B' L B2 R U' L'
U2 B' U' R' F L U'
U2 B' U' F L R' U'
U2 B' U' F R' L U'
F B' R L U' L' D
F B' R L U' L' D'
F B' R L U' L' D2
F B' R L U' D L'
F B' R L U' D' L'
F B' R L U' D2 L'
F B' R L D U' L'
F B' R L D' U' L'
F B' R L D2 U' L'
F B' R L B U' L'
F B' R L B' U' L'
F B' R L B2 U' L'
F B' R D L U' L'
F B' R D' L U' L'
F B' R D2 L U' L'
B' F' U F2 L R U'
B' F' U F2 R L U'
F2 B' U L F' R U'
R' B' F L R U' L'
D2 B' F L' R U' L
F' B' U F2 L R U'
F' B' U F2 R L U'
R' B' F R L U' L'
D2 B' F R L' U' L
F2 B' U F' L R U'
F2 B' U F' R L U'
R2 B' F L R U' L'
R2 B' F R L U' L'
R B' F L R U' L'
R B' F R L U' L'
F B' D L R U' L'
F B' D R L U' L'
F B' D' L R U' L'
F B' D' R L U' L'
F B' D2 L R U' L'
F B' D2 R L U' L'
F B2 L' R U' L F
D2 B2 U F L' U' B'
F B2 R L' U' L F
B' F2 U L F' R U'
F B2 R B L U' L'
B' F2 U F' L R U'
B' F2 U F' R L U'
D2 B2 F L' R U' L
D2 B2 F R L' U' L
