D' L' R2 U L B'
D2 L' U L F2 B'
D2 L' U L B' F2
D2 L' U F2 L B'
D' L2 R2 U L2 B'
D2 L2 U L2 F2 B'
D2 L2 U L2 B' F2
L' U L D2 F2 B'
L' U L D2 B' F2
L2 U L2 D2 F2 B'
L2 U L2 D2 B' F2
L2 U B' L2 F B'
L2 U B' L2 B' F
L2 U' F B2 U2 L2
L2 U' B2 U2 L2 B'
L2 U' B2 F U2 L2
D' R2 L' U L B'
D' R2 L2 U L2 B'
B' U' B U D2 F2
B' U' B U' B2 U2
B' U' B D' R2 U
B' U' B D2 U F2
B' U2 B' U B2 U
B' U2 B' U2 D' R2
B' U2 B' D L2 U2
B' U2 B' D' U2 R2
B2 D L2 U2 L2 B
B2 D L2 U2 B L2
B2 D' B' R2 F' B2
B2 D' B' R2 B2 F'
D2 F2 B' U' B U
D2 F2 B2 D' B R2
D2 B' U' B U F2
D' B' U' B R2 U
D2 B' F2 U' B U
D' B2 D' F2 B R2
D' B2 D' B R2 F2
D' B2 D' B F2 R2
L' R U L D2 F2 B'
L' R U L D2 B' F2
D B2 D' B R2 F'
U B2 D B L2 F
D2 B2 F2 D' B R2
L2 R U L2 D2 F2 B'
L2 R U L2 D2 B' F2
L2 R U B' L2 F B'
L2 R U B' L2 B' F
L2 R U' F B2 U2 L2
L2 R U' B2 U2 L2 B'
L2 R U' B2 F U2 L2
B2 L U B2 U B' L'
B2 L U2 L' D' B R2
B2 L U2 D' L' B R2
B2 L U2 D' B L' R2
B2 L U2 D' B R2 L'
B2 L D L2 U2 L B
B2 L D' U2 L' B R2
B2 L D' U2 B L' R2
B2 L D' U2 B R2 L'
L' R' U L D2 F2 B'
L' R' U L D2 B' F2
R' L' U L D2 F2 B'
R' L' U L D2 B' F2
R2 L' U L D2 F2 B'
R2 L' U L D2 B' F2
R L' U L D2 F2 B'
R L' U L D2 B' F2
L2 R' U L2 D2 F2 B'
L2 R' U L2 D2 B' F2
L2 R' U B' L2 F B'
L2 R' U B' L2 B' F
L2 R' U' F B2 U2 L2
L2 R' U' B2 U2 L2 B'
L2 R' U' B2 F U2 L2
D2 L' R U L F2 B'
D2 L' R U L B' F2
D2 L' R U F2 L B'
D2 L' R' U L F2 B'
D2 L' R' U L B' F2
D2 L' R' U F2 L B'
D2 L' R2 U L F2 B'
D2 L' R2 U L B' F2
D' L' R2 U L D B'
D' L' R2 U L D' B'
D' L' R2 U L D2 B'
D2 L' R2 U F2 L B'
D' L' R2 U L B' D
D' L' R2 U L B' D'
D' L' R2 U L B' D2
D' L' R2 F U L B'
D' L' R2 F' U L B'
D' L' R2 F2 U L B'
D2 L' U L F2 D B'
D2 L' U L F2 D' B'
D2 L' U L F2 D2 B'
D2 L' U L F2 B' D
D2 L' U L F2 B' D'
D2 L' U L F2 B' D2
D2 L' U L B' F2 D
D2 L' U L B' F2 D'
D2 L' U L B' F2 D2
D' L' U L D' F2 B'
D' L' U L D' B' F2
F' L' U L D2 F2 B'
F' L' U L D2 B' F2
D' L' U L B' D' F2
F2 L' U L D2 F2 B'
F2 L' U L D2 B' F2
D L' U L D F2 B'
D L' U L D B' F2
D L' U L B' D F2
F L' U L D2 F2 B'
F L' U L D2 B' F2
D2 L' U F' L F' B'
D2 L' U F' L B' F'
D2 L' U F2 L D B'
D2 L' U F2 L D' B'
D2 L' U F2 L D2 B'
D2 L' U F2 L B' D
D2 L' U F2 L B' D'
D2 L' U F2 L B' D2
D2 L' U' L F2 R B'
D2 L' U' L F2 B' R
