R U B U2 R' B'
U2 L U F R2 B R'
L2 R D2 R2 U' F' R
U2 L' U B' L U2 L'
U2 L' U' B' L U2 B
D L' F U2 L U F
R L2 D2 R2 U' F' R
B L2 R' F' D' L2 B2
B L2 R' F' D' B2 L2
R U L B U2 R' B'
R U L' B U2 R' B'
R U L2 B U2 R' B'
R U R2 D2 L2 F' R
R U R2 D2 F' L2 R
R U R2 D2 F' R L2
R U F B U2 R' B'
F' R U B U2 R' B'
F2 R U B U2 R' B'
R U F' B U2 R' B'
F R U B U2 R' B'
R' U B U2 F' R' B'
R U F2 B U2 R' B'
R' U B' L U2 F' B
R' U B' L U2 B F'
R U B L2 F U2 R'
R U B U2 R B' R2
R U B U2 R' D B'
R U B U2 R' D' B'
R U B U2 R' D2 B'
R U B U2 R' B' D
R U B U2 R' B' D'
R U B U2 R' B' D2
R U B U2 R2 B' R
R U B U2 D R' B'
R U B U2 D' R' B'
R U B U2 D2 R' B'
R U B D U2 R' B'
R U B D' U2 R' B'
R U B D2 U2 R' B'
R U B F U2 R' B'
R U B F' U2 R' B'
R U B F2 U2 R' B'
R U B' L B2 U2 B'
R U' L B U2 L' R'
R U' L B U2 R' L'
D' R F' U B U2 B'
R U' L2 B U2 L2 R'
R U' L2 B U2 R' L2
R' U' F R2 F2 B R'
R' U' F R2 B R' F2
R' U' F R2 B F2 R'
R2 U' F R2 B R' F'
R U' F R2 F' B R'
R U' F R2 B F' R'
B R' L2 F' D' L2 B2
B R' L2 F' D' B2 L2
B' R' U F' L' D2 R2
B' R' U' L U2 F' L'
B R' U B' U' F' B
B R' U B' U' B F'
R' U' B' L U2 L' F'
R U' B L U2 L' R'
R U' B L U2 R' L'
R U' B L' U2 L R'
R U' B L' U2 R' L
R U' B L2 U2 L2 R'
R U' B L2 U2 R' L2
R U' B' L B2 U2 L'
L' U2 L B U R' F
L' U2 L B U F R'
L U2 L' U' B' L U2
B R' F' U B' U' B
D' R' B U2 B' U' F'
L' U2 D L B' U F
B' R' B2 U F' L' R'
B' R' B2 U F' R' L'
B R2 U2 B' U' R F'
L' D U2 L B' U F
B U B' U' B R' F'
L2 D2 R2 U' R F' R
L2 D2 R2 U' F' R F'
L2 D2 R2 F' U' R F'
R F U B U2 R' B'
R F' U B U2 R' B'
L F2 R U B U2 R'
R' F2 U' F R2 B R'
R F2 U B U2 R' B'
U' B' L U R' U L'
D2 B' R' U F' L' R
D2 B' R' U F' R L'
D' B' R' B U F' L'
D2 B' R2 F' U R F'
