F2 L' F U' R B
D' F2 L' F U' B2
F' D2 R2 U' R' F'
U2 L R D' L B' U
D' L U2 R B' U B'
D' L U2 B' R U B'
U2 L D' L R B' U
L2 R F U' L' U2 L
U2 L D' L B' R U
U2 L D' R L B' U
F2 L' R F U' R B
F2 L' R' F U' R B
F2 L' R2 F U' R B
F2 L' U2 L' B' U R'
F2 L' U2 B' L' U R'
F2 L' D F U' R B
F2 L' D' F U' R B
L2 R' B' R2 F' U R
F2 L' D2 F U' R B
F2 L' F U' R D B
F2 L' F U' R D' B
F2 L' F U' R D2 B
F2 L' F U' R B D
F2 L' F U' R B D'
F2 L' F U' R B D2
F2 L' F U' D R B
F2 L' F U' D' R B
F2 L' F U' D2 R B
F2 L' F U' B R B
F2 L' F U' B' R B
F2 L' F U' B2 R B
F2 L' F D U' R B
F2 L' F D' U' R B
F2 L' F D2 U' R B
D' L' F2 L' F' U' B2
F2 L' F2 R F' U' R
F2 L' F2 D R F' U'
U2 L2 R U F' R F
U2 L2 R U2 F' U' R
U' L2 R F' U L2 R
U' L2 R F' U R L2
U2 L2 R D2 B U R'
B L2 R F U' L' U2
R L2 F U' L' U2 L
U2 L2 R2 D R' B U
B' L2 R2 F' R' U R2
D' L2 U2 R B U B
R' L2 B' R2 F' U R
U2 L2 D R U2 F' U'
U2 L2 D R' B R2 U
U2 L2 D2 R B U R'
U2 L2 D2 B R U R2
U2 R L D' L B' U
F2 R L' F U' R B
U2 R L2 U F' R F
U2 R L2 U2 F' U' R
U' R L2 F' U L2 R
U' R L2 F' U R L2
U2 R L2 D2 B U R'
B R L2 F U' L' U2
U2 R D' L B' U B'
U' R F' L2 U L2 R
U' R F' L2 U R L2
D R F' U F' U2 F
B R F2 L2 F U R
R' U' F D' F2 R B2
R' U' F D' F2 B2 R
R' U' F D' B2 F2 R
F2 R' L' F U' R B
R' U' F' D' R F2 B2
R' U' F' D' R B2 F2
R' U' F' D' B2 R F2
R2 U' F' R D' F2 B2
R2 U' F' R D' B2 F2
U' R' F D' F2 R B2
U' R' F D' F2 B2 R
U' R' F D' B2 F2 R
R2 U2 L2 D R' B U
U' R' F' D' R F2 B2
U' R' F' D' R B2 F2
U' R' F' D' B2 R F2
L U2 R D' L B' U
L U2 D' L R B' U
L U2 D' L B' R U
L U2 D' R L B' U
F2 R2 L' F U' R B
B' R2 L2 F' R' U R2
U2 R2 L2 D R' B U
F' R2 U' R' D' F' B2
F' R2 U' R' D' B2 F'
F' R2 U' R' F' D' B2
F' R2 U' D' R' F' B2
F' R2 U' D' R' B2 F'
F' R2 U2 L2 U R' F'
D2 R2 U2 R' B U R'
D2 R2 U2 D' R' B U
D2 R2 U2 B U R' F'
D2 R2 D' U2 R' B U
F' R2 D' U' R' F' B2
F' R2 D' U' R' B2 F'
B' R2 F' L2 R' U R2
U' R2 F' R D' F2 B2
U' R2 F' R D' B2 F2
B' R2 F' R' L2 U R2
L' D F2 L' R F' U'
L' D F2 R L' F' U'
F' U R D' B2 L F
F' U D F2 L' B' U2
F' U D' R B2 L F
F U D F2 U2 R F'
F U D' L' U2 F B2
F U D' L' U2 B2 F
R' D' L' F U' F B2
R' D' L' F U' B2 F
U2 D' L R B' U B'
U2 D' L B' R U B'
U2 D' R L B' U B'
L D' U2 L R B' U
L D' U2 L B' R U
L D' U2 R L B' U
L' D' F2 L' R F U'
L' D' F2 R L' F U'
F' U' R' F' R2 D' B2
F' U' D R' F' R2 B
F' U' D' R' F' R2 B2
F' U' D' R' F' B2 R2
F' U' D' R' B2 F' R2
F' U' D' B2 R' F' R2
D' U2 L R B' U B'
D' U2 L B' R U B'
D' U2 R L B' U B'
F' U2 L2 R2 U R' F'
F' U2 L2 U R' F' R2
F' U2 L2 B' R' U R2
F2 U2 L2 B' U R' F'
F' U2 R2 L2 U R' F'
D' F L' F L' U' B2
R F L2 U' L U2 L'
F' U2 B' L2 R' U R2
F' U2 B' R' L2 U R2
R' F U' D' F2 R B2
R' F U' D' F2 B2 R
R' F U' D' B2 F2 R
R' F D' U' F2 R B2
R' F D' U' F2 B2 R
R' F D' U' B2 F2 R
U F D F2 U2 R F'
U F D' L' U2 F B2
U F D' L' U2 B2 F
F' D U F2 L' B' U2
F' D U' R' F' R2 B
F D U F2 U2 R F'
R' F' U' D' R F2 B2
R' F' U' D' R B2 F2
R' F' U' D' B2 R F2
R' F' U2 L2 R2 U R'
R' F' U2 R2 L2 U R'
R2 F' U' R D' F2 B2
R2 F' U' R D' B2 F2
R F' U R D' B2 L
R F' U D' R B2 L
R2 F' U2 L2 R' U R2
R2 F' U2 R' L2 U R2
F2 D' L' F U' R B2
F2 D' L' F U' B2 R
R' F' D' U' R F2 B2
R' F' D' U' R B2 F2
R' F' D' U' B2 R F2
R' F' D2 L2 R2 U' R'
R' F' D2 R2 L2 U' R'
R F' D' U R B2 L
F' D' R2 U' R' F' B2
F' D' R2 U' R' B2 F'
F' D' U R B2 L F
F' D' U' R' F' R2 B2
F' D' U' R' F' B2 R2
F' D' U' R' B2 F' R2
F' D' U' B2 R' F' R2
F D' U L' U2 F B2
F D' U L' U2 B2 F
D' F2 L' R F U' B2
D' F2 L' R' F U' B2
D' F2 L' R2 F U' B2
L' F2 L' R F U' R
D' F2 L' D' R2 F U'
D' F2 L' D' F R2 U'
D' F2 L' F R U' B2
D' F2 L' F R' U' B2
D' F2 L' F R2 U' B2
D' F2 L' F U' B2 D
D' F2 L' F U' B2 D'
D' F2 L' F U' B2 D2
D' F2 L' F D' R2 U'
D' F2 R L' F U' B2
L' F2 R L' F U' R
D' F2 R' L' F U' B2
D' F2 R2 L' F U' B2
D2 F2 R2 D L' F U'
F' D2 L R2 U' R' F'
F' D2 L' R2 U' R' F'
D2 F2 D L' F U' B2
F2 D2 L' R2 F U' R
F2 D2 L' F R2 U' R'
F' D2 L2 R2 U' R' F'
F' D2 R2 L U' R' F'
F' D2 R2 L' U' R' F'
F' D2 R2 L2 U' R' F'
F' D2 R2 U' R' D F'
F' D2 R2 U' R' D' F'
F' D2 R2 U' R' D2 F'
F' D2 R2 U' R' F' D
F' D2 R2 U' R' F' D'
F' D2 R2 U' R' F' D2
F' D2 R2 U' D R' F'
F' D2 R2 U' D' R' F'
F' D2 R2 U' D2 R' F'
F' D2 R2 U' F R' F'
F' D2 R2 U' F' R' F'
F' D2 R2 U' F2 R' F'
F' D2 R2 D U' R' F'
F2 D2 R2 L' F U' R
F' D2 R2 D' U' R' F'
F' D2 R2 D2 U' R' F'
F' D2 R2 F' L' U' R'
R F2 B L2 F U R
F2 D2 F R2 U' R' F'
R B L2 F U' L' U2
R B F2 L2 F U R
R' B' L2 R2 F' U R
R' B' R2 L2 F' U R
R' B' R2 F' L2 U R
L2 B' R2 F' R' U R2
