R2 L' F2 U' F' B
R2 L' F2 U' B F'
L' R2 F2 U' F' B
L' R2 F2 U' B F'
L' U' D R2 F B
L' U' D R2 B F
L' D U' R2 F B
L' D U' R2 B F
F D R2 F L' U'
F D F L' R2 U'
F D F R2 L' U'
L' F2 L2 U' F' B'
L' F2 L2 U' B' F'
R2 F2 L' U' F B
R2 F2 L' U' B F
L F2 L2 U' F B'
L F2 L2 U' B' F
L' F2 U F U2 F2
L' F2 U' F' D2 B2
L F2 U F B' U2
L F2 U B' F U2
B2 L D L2 R2 F B
B2 L D L2 R2 B F
B2 L D R2 L2 F B
B2 L D R2 L2 B F
U L D F' B' U2 R2
U L D B' U2 R2 B
U L D B' F' U2 R2
U L D' L2 F' U2 F2
U L D' F' L2 U2 F
U L D' F' B' L2 U2
U L D' B' L2 F' U2
U L D' B' F' L2 U2
R2 L F2 L2 U' F B
R2 L F2 L2 U' B F
R2 L F2 U B' U2 B2
R2 L F2 U' B D2 F2
F' L F' L2 U' F B'
F' L F' L2 U' B' F
F' L F' U F B' U2
F' L F' U B' F U2
U L F' B' U' F' U'
F' L B' U' F' B U'
F' L B' U' B F' U'
U L B' U2 D R2 B
U L B' D U2 R2 B
R2 L' U' D F B R2
U L B' D F' U2 R2
R2 L' U' D B R2 F
R2 L' U' D B F R2
U L B' D' L2 F' U2
U L B' D' F' L2 U2
U L B' F' U' F' U'
R2 L' U' B D R2 F
R2 L' U' B D F R2
R2 L' D U' F B R2
R2 L' D U' B R2 F
R2 L' D U' B F R2
U2 L' U D R2 F B
U2 L' U D R2 B F
F2 L' U' F U R U'
F L' U' D2 F R B2
F L' U' D2 F B2 R
F L' U' D2 B2 F R
F2 L' U2 R U F B
F2 L' U2 R U B F
U L' U2 D R2 F B
U L' U2 D R2 B F
R2 L' F2 L U' F' B
R2 L' F2 L U' B F'
R2 L' F2 L' U' F' B
R2 L' F2 L' U' B F'
R2 L' F2 L2 U' F' B
R2 L' F2 L2 U' B F'
U' L' D R2 F L B
B2 L' D R2 F L2 B
B2 L' D R2 F B L2
U2 L' D U R2 F B
U2 L' D U R2 B F
B2 L' D R2 B F L2
R2 L' F2 U' D F' B
R2 L' F2 U' D B F'
R2 L' F2 U' D' F' B
R2 L' F2 U' D' B F'
R2 L' F2 U' D2 F' B
R2 L' F2 U' D2 B F'
R2 L' F2 U' F' D B
R2 L' F2 U' F' D' B
R2 L' F2 U' F' D2 B
R2 L' F2 U' F' B D
R2 L' F2 U' F' B D'
R2 L' F2 U' F' B D2
R2 L' F2 U' B D F'
R2 L' F2 U' B D' F'
R2 L' F2 U' B D2 F'
R2 L' F2 U' B F' D
R2 L' F2 U' B F' D'
R2 L' F2 U' B F' D2
B L' D R2 F L' B
B L' D R2 F B L'
F L' D R2 U' F R
B L' D R2 B F L'
R2 L' F2 D U' F' B
R2 L' F2 D U' B F'
R2 L' F2 D' U' F' B
R2 L' F2 D' U' B F'
R2 L' F2 D2 U' F' B
R2 L' F2 D2 U' B F'
U L' D U2 R2 F B
U L' D U2 R2 B F
U L' D F' U2 R2 F2
U L' D F' U2 F2 R2
U L' D' L2 F' B' U2
U L' D' L2 B' F' U2
U L' D' F' L2 U2 F2
F L' D2 U' F R B2
F L' D2 U' F B2 R
F L' D2 U' B2 F R
F' L' F' L2 U' F2 B'
F' L' F' L2 U' B' F2
F' L' F' U F U2 F
F' L' F' D' L2 U' B'
U L' F' U' F' U' F'
L' R2 U' D F B R2
L' R2 U' D B R2 F
L' R2 U' D B F R2
L' R2 U' B D R2 F
L' R2 U' B D F R2
L' R2 D U' F B R2
L' R2 D U' B R2 F
L' R2 D U' B F R2
L' R2 F2 L U' F' B
L' R2 F2 L U' B F'
L' R2 F2 L' U' F' B
L' R2 F2 L' U' B F'
L' R2 F2 L2 U' F' B
L' R2 F2 L2 U' B F'
L2 R2 F2 L U' F B
L2 R2 F2 L U' B F
R2 L2 F2 L U' F B
R2 L2 F2 L U' B F
L' R2 F2 U' D F' B
L' R2 F2 U' D B F'
L' R2 F2 U' D' F' B
L' R2 F2 U' D' B F'
L' R2 F2 U' D2 F' B
L' R2 F2 U' D2 B F'
L' R2 F2 U' F' D B
L' R2 F2 U' F' D' B
L' R2 F2 U' F' D2 B
L' R2 F2 U' F' B D
L' R2 F2 U' F' B D'
L' R2 F2 U' F' B D2
L' R2 F2 U' B D F'
L' R2 F2 U' B D' F'
L' R2 F2 U' B D2 F'
L' R2 F2 U' B F' D
L' R2 F2 U' B F' D'
L' R2 F2 U' B F' D2
L R2 F2 L2 U' F B
L R2 F2 L2 U' B F
L' R2 F2 D U' F' B
L' R2 F2 D U' B F'
L' R2 F2 D' U' F' B
L' R2 F2 D' U' B F'
L' R2 F2 D2 U' F' B
L' R2 F2 D2 U' B F'
L R2 F2 U B' U2 B2
L R2 F2 U' B D2 F2
F' L2 U' F' L' U' L
F2 L2 U2 R' U F' B'
F2 L2 U2 R' U B' F'
U L2 F' U' F' L' U'
L' U D F' U2 R2 F2
L' U D F' U2 F2 R2
L' U D' L2 F' B' U2
L' U D' L2 B' F' U2
L U D F' B' U2 R2
L' U D' F' L2 U2 F2
L U D B' U2 R2 B
L U D B' F' U2 R2
L U D' L2 F' U2 F2
L U D' F' L2 U2 F
L U D' F' B' L2 U2
L U D' B' L2 F' U2
L U D' B' F' L2 U2
L' U F' U' F' U' F'
L U F' B' U' F' U'
L U B' U2 D R2 B
L U B' D U2 R2 B
L U B' D F' U2 R2
L U B' D' L2 F' U2
L U B' D' F' L2 U2
F R D R2 F L' U'
L U B' F' U' F' U'
F R D F L' R2 U'
F R D F R2 L' U'
L' U' R2 D F B R2
L' U' R2 D B R2 F
L' U' R2 D B F R2
L' U' R2 B D R2 F
L' U' R2 B D F R2
L' U' D R' F R' B
L' U' D R2 D F B
L' U' D R2 D B F
L' U' D R2 D' F B
L' U' D R2 D' B F
L' U' D R2 D2 F B
