F L' U L U2 B
F L' U' B2 R' B'
F U' L' U' L B
F' U2 R U R' B
F2 L U L' B' U2 B2
D' L U B' L' U2 B2
U' L U' D' L' F B
U' L U' D' L' B F
U' L U' D' B L' F
F L U' D F2 B R
F L U' D B F2 R
D' L U' B D2 F2 R
U' L U' B D' L' F
D L U' F2 B R F'
D L U' B F2 R F'
F L U' B D F2 R
F L D U' F2 B R
F L D U' B F2 R
U' L D' U' L' F B
U' L D' U' L' B F
U' L D' U' B L' F
F' L F2 L' U' B R
F L F2 L2 U' B R
D L F2 U' B R F'
F L' R U' B2 R' B
F L' R2 U L F' U2
F L' R2 U F' L U2
F2 L' U L U2 F B
F2 L' U L U2 B F
F L' U L U2 D B
F L' U L U2 D' B
F L' U L U2 D2 B
F L' U L U2 B D
F L' U L U2 B D'
F L' U L U2 B D2
F L' U L D U2 B
F L' U L D' U2 B
F L' U L D2 U2 B
F L' U L F U2 B
F L' U L F' U2 B
F L' U L F2 U2 B
F L' U D L U2 B
F L' U D' L U2 B
F L' U D2 L U2 B
F L' U F L U2 B
F L' U F' L U2 B
F L' U F2 L U2 B
F L' U' R B2 R' B
D' L' U' F B2 R' B'
F L' U' D B2 R' B'
F L' U' D' B2 R' B'
F L' U' D2 B2 R' B'
D' L' U' B2 R' F B'
D' L' U' B2 R' B' F
D' L' U' B2 F R' B'
F2 L' U' B2 R' F' B'
F2 L' U' B2 R' B' F'
F L' U' B2 R B' R2
F L' U' B2 R' D B'
F L' U' B2 R' D' B'
F L' U' B2 R' D2 B'
F L' U' B2 R' B' D
F L' U' B2 R' B' D'
F L' U' B2 R' B' D2
F L' U' B2 R2 B' R
F L' U' B2 D R' B'
F L' U' B2 D' R' B'
F L' U' B2 D2 R' B'
F L' U2 B2 U R' B'
F L' D U L U2 B
F L' D U' B2 R' B'
F L' D' U L U2 B
F L' D' U' B2 R' B'
F L' D2 U L U2 B
F L' D2 U' B2 R' B'
F L' F U L U2 B
F L' F U' B2 R' B'
F L' F' U L U2 B
F L' F' U' B2 R' B'
F L' F2 U L U2 B
F L' F2 U' B2 R' B'
F L2 D L F2 U' B
F' L2 D F2 L' U' B
F L2 D F2 L U' B
