D2 L R2 F U' F
D2 L F R2 U' F
D2 R2 L F U' F
D2 R2 U' F R F
D2 R2 F U' F R
D2 F R2 U' F R
U2 B' L2 U F R
D2 L R' F R' U' F
D2 L R2 D' F L2 U'
D2 L R2 F U' D F
D2 L R2 F U' D' F
D2 L R2 F U' D2 F
D2 L R2 F U' F D
D2 L R2 F U' F D'
D2 L R2 F U' F D2
D2 L R2 F D U' F
D2 L R2 F D' U' F
D2 L R2 F D2 U' F
B2 L U' F B2 R' U'
B2 L U' B2 R' F U'
B2 L U' B2 F R' U'
D L D R2 F L U'
D L D F L R2 U'
D L D F R2 L U'
D' L D' R2 F U' F
D' L D' F R2 U' F
D2 L D' F L2 U' B'
D' L D2 F L2 U' B'
D L D2 F L U' B2
D2 L F R2 U' D F
D2 L F R2 U' D' F
D2 L F R2 U' D2 F
D2 L F R2 U' F D
D2 L F R2 U' F D'
D2 L F R2 U' F D2
D2 L F R2 D U' F
D2 L F R2 D' U' F
D2 L F R2 D2 U' F
D2 L F U' D F B2
D2 L F U' D B2 F
D2 L F U' F D B2
D' L F U' B2 D' F2
D' L F U2 R2 U B2
D2 L F D U' F B2
D2 L F D U' B2 F
D' L F D' R2 U' F2
D2 L' R2 U2 B' U F2
D2 L' R2 D' L2 F U'
D' L' U2 R2 B' U B'
D' L' U2 B' R2 U B'
D' L' B' R2 F' U B'
U2 L2 R D' B R2 U
U2 L2 R D2 B U F2
U2 L2 R B R2 U F'
U2 L2 R B U' B U2
U2 L2 R' D' R2 B U
U2 L2 U D2 F R F
U2 L2 U F R D2 F2
U2 L2 U F D2 R F2
U2 L2 U F' D2 F2 R
U2 L2 U' B L B U2
D L2 D R2 F' U' R
D L2 D F' R2 U' R'
U2 L2 D' R B R U
U2 L2 D2 R B U F2
D L2 D2 R F' U' B2
U2 L2 D2 U F R F
U2 L2 B U' B L U2
U2 L2 B' U' B' U2 R'
U2 R L2 D' B R2 U
U2 R L2 D2 B U F2
U2 R L2 B R2 U F'
U2 R L2 B U' B U2
D' R U2 R B U B
L' U B2 U L' B U
L' U B2 U B L' U
L U B2 U' R' F U'
L U B2 U' F R' U'
U2 R B L2 R2 U F'
U2 R B L2 U' B U2
U2 R B R2 L2 U F'
U2 R B' L2 B2 U F
D2 R' L F R' U' F
U2 R' L2 D' R2 B U
U2 R' D' R2 B U B
D2 R' F R' U' F R
L' U2 D' R2 B' L' U
L' U2 D' B' L' R2 U
L' U2 D' B' R2 L' U
D2 R2 L D' F L2 U'
D2 R2 L F U' D F
D2 R2 L F U' D' F
D2 R2 L F U' D2 F
D2 R2 L F U' F D
D2 R2 L F U' F D'
D2 R2 L F U' F D2
D2 R2 L F D U' F
D2 R2 L F D' U' F
D2 R2 L F D2 U' F
L' U2 D2 B' L' U F2
D2 R2 L' U2 B' U F2
D2 R2 L' D' L2 F U'
D2 R2 U B L U2 F2
D2 R2 U B' U2 R' F2
D2 R2 U B' U2 F2 R'
D2 R2 U' R F R F
D2 R2 U' R' F R F
D2 R2 U' R2 F R F
D2 R2 U' F R D F
D2 R2 U' F R D' F
D2 R2 U' F R D2 F
D2 R2 U' F R F D
D2 R2 U' F R F D'
D2 R2 U' F R F D2
D2 R2 U' F R' F R2
D2 R2 U' F R2 F R'
D2 R2 U' F D R F
D2 R2 U' F D' R F
D2 R2 U' F D2 R F
D2 R2 U2 R B U F2
R' U2 B' L2 U F R
R2 U2 B' L2 U F R
R U2 B' L2 U F R
D2 R2 D' L F L U'
D2 R2 F U' R F R
D2 R2 F U' R' F R
D2 R2 F U' R2 F R
D2 R2 F U' D F R
D2 R2 F U' D' F R
D2 R2 F U' D2 F R
D2 R2 F U' F R D
D2 R2 F U' F R D'
D2 R2 F U' F R D2
D2 R2 F U' F D R
D2 R2 F U' F D' R
D2 R2 F U' F D2 R
D2 R2 F D U' F R
D2 R2 F D' U' F R
D2 R2 F D2 U' F R
D2 R2 F' L F U' F2
L' D L2 F U2 L U
D2 R2 F' U' F R F2
D2 R2 F2 L F U' F'
L D L2 U2 B' L' U
L' D F L2 F R U'
L D F L2 U2 L' U
L' D F2 L2 R F U'
L' D F2 R L2 F U'
L D F' L2 F2 R U'
B2 U B' L2 F U R'
L' D' U2 R2 B' L' U
L' D' U2 B' L' R2 U
L' D' U2 B' R2 L' U
L D' F U2 L R2 U
L D' F U2 R2 L U
D2 U' F D R F B2
D2 U' F D R B2 F
D2 U' F D B2 R F
U' D' F B2 D' R F2
D' U' F B2 D' R F2
