B2 L U' L' U' B'
U2 L U L' D' R' B
U2 L U D' L' R' B
U2 L U D' R' L' B
U2 L U D' R' B L'
D' L U' L' U' R' B
B2 L U' L' R U' B'
B2 L U' L' R' U' B'
B2 L U' L' R2 U' B'
B2 L U' L' U' D B'
B2 L U' L' U' D' B'
B2 L U' L' U' D2 B'
B2 L U' L' U' B' D
B2 L U' L' U' B' D'
B2 L U' L' U' B' D2
B2 L U' L' D U' B'
B2 L U' L' D' U' B'
B2 L U' L' D2 U' B'
B2 L U' R L' U' B'
B2 L U' R' L' U' B'
B2 L U' R2 L' U' B'
B2 L U' D L' U' B'
B2 L U' D' L' U' B'
B2 L U' D2 L' U' B'
B2 L D U' L' U' B'
U2 L D' U L' R' B
U2 L D' U R' L' B
U2 L D' U R' B L'
B2 L D' U' L' U' B'
B2 L D2 U' L' U' B'
B2 L F2 U R U B
B2 L B' U' L' R' U'
B2 L B' U' R' L' U'
L2 R' D L F2 B' L'
L2 R' D L B' F2 L'
L2 R' D L2 F2 L' B'
L2 R' D F2 L B' L2
U2 L' U L D' R' B
U2 L' U R' D L B'
U2 L' U D L R' B'
U2 L' U D R' L B'
U2 L' U D' L R' B
U2 L' U D' R' L B
D' L' U' L U' R' B
B L' U' L R' F U'
B L' U' L F R' U'
B L' U' R' L F U'
U2 L' D U L R' B'
U2 L' D U R' L B'
U2 L' D' U L R' B
U2 L' D' U R' L B
D L' F U' L U' R'
R' L2 D L F2 B' L'
R' L2 D L B' F2 L'
R' L2 D L2 F2 L' B'
R' L2 D F2 L B' L2
D' L2 R' D F2 L' B
D' L2 R' D F2 B L'
D' L2 R' D B F2 L'
D L2 R' D F2 L' B'
D' L2 R' B D F2 L'
U2 L2 U L2 D' R' B
D' L2 U' L2 U' R' B
D' L2 U2 R' D F2 B
D' L2 U2 R' D B F2
D' L2 U2 R' B D F2
D2 L2 U2 D R' F2 B
D2 L2 U2 D R' B F2
D2 L2 U2 D F2 R' B
D2 L2 D R' F2 L' B
D2 L2 D R' F2 B L'
D2 L2 D R' B F2 L'
D2 L2 D U2 R' F2 B
D2 L2 D U2 R' B F2
D2 L2 D U2 F2 R' B
D L2 D R' F2 L' B'
D2 L2 D' B2 L U2 B'
D L2 D' B2 L F U2
R U R' U2 D' R' B
R U R' D' U2 R' B
R2 U R2 U2 D' R' B
R2 U R2 D' U2 R' B
B2 R U L R' F' U2
D' R U R' U2 R' B
B2 R U R' L F' U2
B2 R U R' F' L U2
D' R U F' R' U2 R'
D' R U' B R2 B L
D' R U' B2 L R2 B
D' R U' B2 R2 L B
D R U' B2 L R2 B'
D R U' B2 L B' R2
D R U' B2 R2 L B'
L' U' L U' D' R' B
L' U' L D' U' R' B
L U' L' U' D' R' B
L U' L' D' U' R' B
L2 U' L2 U' D' R' B
L2 U' L2 D' U' R' B
L' U' D L U' R' B'
U R B' L U R2 F'
L' U' D' L U' R' B
D' R B2 U' L R2 B
D' R B2 U' R2 L B
D R B2 U' L R2 B'
D R B2 U' L B' R2
D R B2 U' R2 L B'
L U' D' L' U' R' B
D' R' L2 D F2 L' B
D' R' L2 D F2 B L'
D' R' L2 D B F2 L'
D' R' L2 B D F2 L'
D R' L2 D F2 L' B'
B2 R' U L R U2 B
B2 R' U R L U2 B
B R' U R U B U
D' R' B L2 D F2 L'
U' R' B U R' B' U'
B R' F2 B' U' L' R'
B R' F2 B' U' R' L'
B R' B U L R U2
B R' B U R L U2
U2 R' B' U' L R U
U2 R' B' U' R L U
B R' B' U R U2 R2
B R' B' U' R' D2 L2
L2 U2 D F2 D2 R' B
B R' B' F2 U' L' R'
B R' B' F2 U' R' L'
L2 U2 D' R' D2 F2 B
L2 U2 D' R' D2 B F2
R U2 D B2 U L B'
U2 R2 D' R' F2 B R2
U2 R2 D' R' B R2 F2
U2 R2 D' R' B F2 R2
L2 D L R' F2 B' L'
L2 D L R' B' F2 L'
L2 D L U2 R' F2 B'
L2 D L U2 R' B' F2
L2 D L U2 F2 R' B'
L2 D L' F U2 R' F
L2 D L' F U2 F R'
R' D L2 D F2 L' B'
L2 D L2 R' F2 L' B'
L2 D R' L F2 B' L'
L2 D R' L B' F2 L'
L2 D R' L2 F2 L' B'
L2 D R' F2 L B' L2
L' D U' L U' R' B'
U2 D L U R' B' L'
L2 D U2 F2 D2 R' B
R D U2 B2 U L B'
L2 D B2 L U2 F2 B'
L2 D B2 L U2 B' F2
L2 D' R' D2 F2 L' B
L2 D' R' D2 F2 B L'
L2 D' R' D2 B F2 L'
U2 D' L U L' R' B
U2 D' L U R' L' B
U2 D' L U R' B L'
U2 D' L' U L R' B
U2 D' L' U R' L B
L' D' U' L U' R' B
U2 D' L2 U L2 R' B
U2 D' L2 U R' L2 B
U2 D' L2 U R' B L2
L D' U' L' U' R' B
L2 D' U2 R' D2 F2 B
L2 D' U2 R' D2 B F2
B U' L R' F U' F'
U' D' R' B U B' U'
D' U' R' B U B' U'
U' D' R' B2 D B' L2
D' U' R' B2 D B' L2
U2 D' R' B U' R U
U2 D' R2 D' R F2 B
U2 D' R2 D' R B F2
D' U' F U' F' R' B
U' D' F U' F' R' B
D2 U' F' R U' R2 F
D2 U' F' R U' F R2
D' U' F' U' R' F B
D' U' F' U' R' B F
U' D' F' U' R' F B
U' D' F' U' R' B F
D' U' F' U' F R' B
U' D' F' U' F R' B
R D' F2 U R' U2 B
B U' R' L F U' F'
D' U' F2 U' R' F2 B
D' U' F2 U' R' B F2
U' D' F2 U' R' F2 B
U' D' F2 U' R' B F2
D' U' F2 U' F2 R' B
U' D' F2 U' F2 R' B
B U' R' F' U' F R
L2 D' B2 U2 B2 R' B
L2 D' B2 D2 L U2 B'
D' U2 L U L' R' B
D' U2 L U R' L' B
D' U2 L U R' B L'
D' U2 L' U L R' B
D' U2 L' U R' L B
D U2 L U R' B' L'
B U' F' R' U' F R
D' U2 L2 U L2 R' B
D' U2 L2 U R' L2 B
D' U2 L2 U R' B L2
D' U2 R' B U' R U
D' U2 R2 D' R F2 B
D' U2 R2 D' R B F2
B' U2 L B U L' R'
B' U2 L B U R' L'
D2 U2 F L' U L R'
D2 U2 F L' U R' L
U2 D2 F L' U L R'
U2 D2 F L' U R' L
U' D2 F' R U' R2 F
U' D2 F' R U' F R2
B' U2 D L B' U L'
U' F U' D' F' R' B
U' F U' F' D' R' B
D2 F U2 L' U L R'
D2 F U2 L' U R' L
B2 D L U' L' U' B'
U' F D' U' F' R' B
B' D U2 L B' U L'
D2 F' R U R' U2 R'
D2 F' R B2 U' L R2
D2 F' R B2 U' R2 L
U' F' U' D' R' F B
U' F' U' D' R' B F
U' F' U' D' F R' B
U' F' U' F D' R' B
B2 D' L U' L' U' B'
U' F' D' U' R' F B
U' F' D' U' R' B F
U' F' D' U' F R' B
R' F2 L2 D L F2 B'
R' F2 L2 D L B' F2
R' F2 L2 D F2 L B'
U' F2 U' F2 D' R' B
B2 D2 L U' L' U' B'
U' F2 D' L2 U' R' B
U F2 U2 D' L2 R' B
U F2 U2 D' R' L2 B
U F2 U2 D' R' B L2
R' F2 B R' U' L' R
R' F2 B R' U' R L'
U F2 D' R' B L2 F
U F2 D' U2 L2 R' B
U F2 D' U2 R' L2 B
U F2 D' U2 R' B L2
R' B R' U R2 U2 R'
R' B R' U' D2 L2 R
R' B R' U' D2 R L2
R' B R' D B2 U' R
R' B R' D2 U' L2 R
R' B R' D2 U' R L2
R2 B R' U R' U2 R'
U' B U R' F' B' U'
U' B U R' B' F' U'
R2 B R' B2 U' L R2
R2 B R' B2 U' R2 L
U2 B U R' F' U' F
B2 F L U' L' U' B'
R2 B D R' B2 U' R2
R2 B D2 R' U' L2 R2
R2 B D2 R' U' R2 L2
R' B F2 R' U' L' R
R' B F2 R' U' R L'
U2 B' L B U L' R'
U2 B' L B U R' L'
U B' L U' B U2 R'
B2 F' L U' L' U' B'
U2 B' D L B' U L'
R2 B' D B2 R' U' R2
F' B2 L U' L' U' B'
B2 F2 L U' L' U' B'
F2 B2 L U' L' U' B'
F B2 L U' L' U' B'
R2 B2 U R2 U2 R' B
U B2 U' L F B2 U2
U B2 U' L B2 F U2
R B2 U' L' R2 B' L2
R B2 U' L' B' L2 R2
R B2 U' L' B' R2 L2
R B2 U' R2 L' B' L2
