L U2 F D R2 B
B2 U' F' L' U' B2
B' U' F' L' U' B
L F D R2 D2 L2
U' F' L' U2 L U
U F' U2 F R U
L' B' U' F' U' B
B' L U' F' U' F2 B
B' L U' F' U' B F2
B2 L U' F' U' F2 B2
B2 L U' F' U' B2 F2
B' L U2 F D B R2
B' L U2 F B D R2
D2 L U2 F D R2 B
F L U2 D F R2 B
D' L U2 F D R2 B
B2 L U2 F B2 D R2
D L U2 F D R2 B
B' L U2 B F D R2
B2 L U2 B2 F D R2
F L D R2 D2 F L2
F L D R2 F D2 L2
F L D U2 F R2 B
F L D F R2 D2 L2
F L D' L2 B' U2 B
R' L F2 L' D' F' R
R' L F2 D' L' F' R
D2 L F D R2 D2 L2
D' L F D R2 D2 L2
D L F D R2 D2 L2
U L F' U2 F R U
U' L F2 R F L' U'
U2 L' U' F' U' L F
U2 L' U2 L F D R2
L R' F2 L' D' F' R
F L' D R2 D2 L2 F
L R' F2 D' L' F' R
F L' D B' U2 B R2
F L' D' B' L2 U2 B
U' L' F' L' U' D' B2
U' L' F' L' U2 L2 U
U' L' F' L' D' U' B2
U' L' F' L' D2 R2 U'
U L' F' U2 F R U
D2 L' B' U' F' U' B
D' L' B' U' F' U' B
B' L' B' U' F' U' B2
B2 L' B' U' F' U' B'
D L' B' U' F' U' B
F L' B' U' F2 U' B
F L' B' U2 D B R2
F L' B' U2 B D R2
F L' B' D U2 B R2
F L' B' D' L2 U2 B
U' L2 D' F' L' U' B2
U' L2 D2 F' L' R2 U'
U' L2 D2 F' R2 L' U'
U' L2 F' L' U2 L' U
U' L2 F' D' L' U' B2
U' L2 F' D2 L' R2 U'
U' L2 F' D2 R2 L' U'
U L2 F' U2 F R U
L' U F' L2 B' U' F
L U F' L2 B' U' F2
L U F' U2 F U F
L U F' D' L2 B' U'
L' U' F' U B' U2 B
L U' F' U' F2 D2 B2
U R' U2 R F' L' U'
R' U2 R B U' F' U'
R' U2 D R B U2 R'
L U2 D F D R2 B
L U2 D' F D R2 B
L U2 D2 F D R2 B
L U2 F R2 D B R2
L U2 F R2 B D R2
L U2 F D R2 D B
L U2 F D R2 D' B
L U2 F D R2 D2 B
L U2 F D R2 B D
L U2 F D R2 B D'
L U2 F D R2 B D2
L U2 F D B R2 B
L U2 F D B' R2 B
L U2 F D B2 R2 B
L U2 F B D R2 B
L U2 F B' D R2 B
L U2 F B2 D R2 B
L U2 B F D R2 B
