L U L U R2 F
L U L U F R2
F U L2 R U R
F U R L2 U R
L2 R U' R' U2 F' R2
B' L U L U R2 F
B' L U L U F R2
B2 L U L U R2 F
B2 L U L U F R2
F L U L R U R
B L U L U R2 F
B L U L U F R2
F L U R L U R
U' L U2 L U R2 F
U' L U2 L U F R2
L2 R B2 U L R F
L2 R B2 U R L F
L2 R' U' R U2 R2 F'
L2 R' U' R B U2 R2
F L' U L' R U R
F L' U R L' U R
F' L' U2 L' U L R2
F' L' U2 L' U R2 L
R' L2 U' R U2 R2 F'
R' L2 U' R B U2 R2
R L2 U' R' U2 F' R2
U L' B2 L' U R2 F'
F L2 R U R D2 L2
F L2 R U' R' U2 R2
U L2 R U D2 R F'
U L2 R D2 U R F'
U2 L2 R' U L2 R' F'
U2 L2 R' U R' L2 F'
U2 L2 R' U R' F' L2
F L2 R B2 U L R
F L2 R B2 U R L
U2 L2 U L2 R' F' R'
U2 L2 U R' L2 F' R'
U2 L2 U R' F' L2 R'
U2 L2 U R' F' R' L2
U L2 U L' R2 F L
U L2 U L' F L R2
U L2 U L' F R2 L
U L2 U R D2 R F'
U L2 U R2 L' F L
U L2 U' L B' U2 R2
U L2 U' L' U2 R2 F
U L2 U' L' U2 F R2
F' L2 U2 L U' L' R2
F' L2 U2 L U' R2 L'
U L2 U2 L' U' R2 F
U L2 U2 L' U' F R2
F L2 D R B2 U L
R L2 B2 U L R F
R L2 B2 U R L F
L U L R U R F
L U L R' U R' F
L U L R' U F R'
L U L U R' F R'
L U L U R2 D F
L U L U R2 D' F
L U L U R2 D2 F
L U L U R2 F D
L U L U R2 F D'
L U L U R2 F D2
L U L U F R2 D
L U L U F R2 D'
L U L U F R2 D2
L U L U F' R2 F2
L U L D B2 U F
L' U L' U' B' U2 R2
L U L B U R2 F
L U L B U F R2
L U L B' U R2 F
L U L B' U F R2
L U L B2 U R2 F
L U L B2 U F R2
L' U L' B2 U R2 F'
D2 L2 F' U' L' R2 U'
D2 L2 F' U' R2 L' U'
L U R L U R F
L U R' L U R' F
L U R' L U F R'
U2 L2 B' R' U L2 R'
U2 L2 B' R' U R' L2
L U D L B2 U F
R U D' B2 L R F
R U D' B2 R L F
F R L2 U R D2 L2
F R L2 U' R' U2 R2
U R L2 U D2 R F'
U R L2 D2 U R F'
F R L2 B2 U L R
F R L2 B2 U R L
F R U D' B2 L R
F R U D' B2 R L
F R D' U B2 L R
F R D' U B2 R L
U2 R D' B2 D' R F'
U' R D2 R2 U' F' R'
U2 R B' R D' F2 B2
U2 R B' R D' B2 F2
F R B2 L2 U L' R
F R B2 L2 U R L'
U2 R B2 D' R F' B2
U2 R B2 D' R B2 F'
U2 R B2 D' B2 R F'
U2 R' L2 U L2 R' F'
U2 R' L2 U R' L2 F'
U2 R' L2 U R' F' L2
U' R' U' D' F' R' B2
U' R' U' F' R' D' B2
U' R' U' F' D' R' B2
U' R' U2 L2 U F' R'
U' R' D' U' F' R' B2
F R' D' F2 L' R' B2
F R' D' F2 R' L' B2
F R' D' F2 R' B2 L'
L2 U2 L' U' L R2 F
L2 U2 L' U' L F R2
L2 U2 L' U' R2 L F
L U2 R2 U' L U F
L2 U2 B L U' L' R2
L2 U2 B L U' R2 L'
L2 D R B2 U L F
U2 R2 B' U' L2 R' U
U2 R2 B' U' R' L2 U
L D U L B2 U F
L2 D F R B2 U L
F' U L2 U2 L U' R2
F' U L2 D B2 R' U
F' U L2 B2 R' U R'
F U L2 R U R D
F U L2 R U R D'
F U L2 R U R D2
F U L2 R U D R
F U L2 R U D' R
F U L2 R U D2 R
F U L2 R D U R
F U L2 R D' U R
F U L2 R D2 U R
F U L2 R B U R
F U L2 R B' U R
F U L2 R B2 U R
F U L2 D R B2 U
F U L2 D B2 R U
