U2 L2 R' U' F L2
R' U B' R U2 R'
R' U' R B' U2 B
U2 R' L2 U' F L2
B' U B U2 R' U'
B' U B' L B2 U
U' B' U' B R' U'
L2 R U D F B2 L
L2 R U D B2 F L
L2 R U F D B2 L
B' L U B U2 R' U'
B' L U B' L B2 U
L2 R D U F B2 L
L2 R D U B2 F L
B2 L B U B U B'
L2 R' U R U2 R' F
L2 R' U R U2 F R'
U' L' R' U L B' U2
U2 L' R' U' L' F L2
B' L' U B U2 R' U'
B' L' U B' L B2 U
B2 L' U B2 L2 U F
B2 L' U2 D' R2 F' B2
B2 L' U2 D' R2 B2 F'
B2 L' D L2 F2 B U2
B2 L' D L2 B F2 U2
B2 L' D F2 L2 B U2
B2 L' D F2 B L2 U2
B2 L' D B L2 F2 U2
B2 L' D B F2 L2 U2
B2 L' D' U2 R2 F' B2
B2 L' D' U2 R2 B2 F'
B2 L' D' B U2 B R2
R' L2 U R U2 R' F
R' L2 U R U2 F R'
R L2 U D F B2 L
R L2 U D B2 F L
R L2 U F D B2 L
B2 L' B U L2 B U
B2 L' B U B L2 U
R L2 D U F B2 L
R L2 D U B2 F L
L2 R2 D' F2 L' U F'
R2 L2 D' F2 L' U F'
U' L2 R' U L2 B' U2
U' L2 R' U' D2 R2 F
U' L2 R' U' D2 F R2
U' L2 R' U' F D2 R2
U' L2 R' D F2 U' F'
U2 L2 R' U' F L2 D
U2 L2 R' U' F L2 D'
U2 L2 R' U' F L2 D2
U2 L2 R' U' F' L2 F2
U2 L2 R' U' F2 L2 F'
U' L2 R' D2 U' R2 F
U' L2 R' D2 U' F R2
U2 L2 R' D' B2 U' F
U2 L2 R' B U' F L2
U2 L2 R' B' U' F L2
U2 L2 R' B2 U' F L2
B' L2 U B U2 R' U'
B' L2 U B' L B2 U
U' L2 D R' F2 U' F'
R' U L R U2 R' F'
U2 L2 D' R' B2 U' F
U' L2 D2 R' U' R' F
U' L2 D2 R' U' F R'
R U L D B2 L F
R' U L2 R U2 R' F
R' U L2 R U2 F R'
R' U R L U2 R' F'
R' U R L2 U2 R' F
R' U R L2 U2 F R'
R U L2 D F B2 L
R U L2 D B2 F L
R U L2 F D B2 L
R' U R B2 L B U2
R' U R' B' R2 U2 R'
B2 L2 B U L' B U
B2 L2 B U B L' U
R' U D B' R U2 R'
R U D L B2 L F
R U D L2 F B2 L
R U D L2 B2 F L
R' U D' B' R U2 R'
R' U D2 B' R U2 R'
R' U B R B2 L U2
R' U B' L R U2 R'
R' U B' L' R U2 R'
R' U B' L2 R U2 R'
R' U B' R L U2 R'
R' U B' R L' U2 R'
R' U B' R L2 U2 R'
R' U B' R U2 R' D
R' U B' R U2 R' D'
R' U B' R U2 R' D2
R' U B' R U2 D R'
R' U B' R U2 D' R'
R' U B' R U2 D2 R'
R' U B' R D U2 R'
R' U B' R D' U2 R'
R' U B' R D2 U2 R'
R' U B' D R U2 R'
R' U B' D' R U2 R'
R' U B' D2 R U2 R'
U R D2 L2 U R' F
U R D2 L2 U F R'
R' U' R D B' U2 B
R' U' R D' B' U2 B
R' U' R D2 B' U2 B
R' U' R F B' U2 B
R' U' R F' B' U2 B
R' U' R F2 B' U2 B
R' U' R B' U2 D B
R' U' R B' U2 D' B
R' U' R B' U2 D2 B
R' U' R B' U2 B D
R' U' R B' U2 B D'
R' U' R B' U2 B D2
R' U' R B' D U2 B
R' U' R B' D' U2 B
R' U' R B' D2 U2 B
R' U' R B' F U2 B
R' U' R B' F' U2 B
R' U' R B' F2 U2 B
U2 R F2 D B2 R2 F'
R' U' R' B' R2 F' U2
R' U' D R B' U2 B
U' R B' U' B R2 U'
R' U' D' R B' U2 B
R U' D R' B' U2 B'
R U' D B' U2 B' L
R' U' D2 R B' U2 B
R U' D' R' F2 B' U2
R U' D' R' B' F2 U2
R U' D' F2 R' B' U2
U' R' L' U L B' U2
U2 R' L' U' L' F L2
U' R' L2 U L2 B' U2
U' R' L2 U' D2 R2 F
U' R' L2 U' D2 F R2
U' R' L2 U' F D2 R2
U' R' L2 D F2 U' F'
U' R' L2 D2 U' R2 F
U' R' L2 D2 U' F R2
U2 R' L2 U' F L2 D
U2 R' L2 U' F L2 D'
U2 R' L2 U' F L2 D2
U2 R' L2 U' F' L2 F2
U2 R' L2 U' F2 L2 F'
U2 R' L2 D' B2 U' F
U2 R' L2 B U' F L2
R' U' F' B' U2 B L
U2 R' L2 B' U' F L2
U2 R' L2 B2 U' F L2
D2 R' U B' R U2 R'
D' R' U B' R U2 R'
U' R' U B' U B U
F' R' U B' R U2 R'
F2 R' U B' R U2 R'
D2 R' U' R B' U2 B
R' U' F2 B' U2 L' B
R' U' F2 B' U2 B L'
D' R' U' R B' U2 B
U2 R' U B' U' B U'
F' R' U' R B' U2 B
D R' U B' R U2 R'
R' U' B R B2 U2 B
F2 R' U' R B' U2 B
F R' U B' R U2 R'
D R' U' R B' U2 B
F R' U' R B' U2 B
U2 R' U' F2 D' L2 F
R' U' B' R2 F' R' U2
U R' U' B' U2 B R
R' U' B' F' U2 B L
R' U' B' F2 U2 L' B
R' U' B' F2 U2 B L'
R2 U' B' R2 U' R' U'
U2 R' D L2 U' F L2
U2 R' D' L2 U' F L2
L2 U2 L R' U' L' F
L U2 L R' U' L' F'
U2 R' D2 L2 U' F L2
L' U2 L' R' U' F L
L U2 L' R' U' L F'
L U2 L' R' U' F' L
L2 U2 L2 R' U' L2 F
L U2 L2 R' U' L2 F'
L U2 L2 R' U' F' L2
R2 U2 R U R B' U2
R2 U2 R U B' R U2
L' U2 R' L' U' F L
L2 U2 R' L U' L' F
L2 U2 R' L2 U' L2 F
L U2 R' L U' L' F'
L U2 R' L' U' L F'
L U2 R' L' U' F' L
L U2 R' L2 U' L2 F'
L U2 R' L2 U' F' L2
U2 R' B D L2 U' L2
U' R' B' U' B U' B'
R U2 R2 U R B' U2
R U2 R2 U B' R U2
R2 U2 D2 R U' L2 F
L2 U2 F U F' R' U'
R U2 B2 R2 U' L F'
R U2 B2 R2 U' F' L
R D L2 U F B2 L
R D L2 U B2 F L
U' R2 B' U' B R U'
R' D U B' R U2 R'
R' D U' R B' U2 B
R D U L B2 L F
R D U L2 F B2 L
R D U L2 B2 F L
B2 U L R2 B2 U F'
B2 U L U D' R2 F'
B2 U L D' U R2 F'
B' U L B U2 R' U'
B' U L B' L B2 U
R D U' R' B' U2 B'
B2 U L B2 U' B' U2
R D U' B' U2 B' L
B' U L' B U2 R' U'
B' U L' B' L B2 U
B2 U L' B2 L2 U F
U2 D L2 R' U' F L2
B' U L2 B U2 R' U'
B' U L2 B' L B2 U
U2 D R' L2 U' F L2
B2 U R2 L B2 U F'
B' U D L B U B2
B' U D B L U B'
B2 U D' L U R2 F'
