U' D' L U' R B'
U' D' L U' B' R
D' U' L U' R B'
D' U' L U' B' R
U' L R F' R U' R'
U' L R' F' R U' R
U' L R2 U' D R' B
U' L R2 D U' R' B
U' L R2 F' R U' R2
U' L U' R2 D R' B
U' L U' D R' B R2
U' L D R' U' B R2
U' L D U' R' B R2
U' L F' R F U' R
U' L F2 U L' U2 B'
D' L' U' L2 U' R B'
D' L' U' L2 U' B' R
F2 L' U' L2 R U' B
F2 L' U' R L2 U' B
F2 L' F U' L2 R U'
F2 L' F U' R L2 U'
D' L2 U' L' U' R B
U' R L F' R U' R'
U2 R U D' L U' B'
U2 R D' U L U' B'
B2 R D' F2 B2 L B'
B2 R D' B2 L F2 B'
B2 R D' B2 L B' F2
B2 R D' B2 F2 L B'
U' R F' L R U' R'
U' R F' R L U' R'
U2 R F' U L R U'
U2 R F' U R L U'
B2 R B2 D' L F2 B'
B2 R B2 D' L B' F2
B2 R B2 D' F2 L B'
U' R' L F' R U' R
L U' F2 U' F2 R B
U' R' D' L F2 U' B'
U' R' D' F2 L U' B'
U R' D B2 R' U B
U' R' F' L R U' R
U' R' F' R L U' R
B2 R' F2 U L' R2 B'
B2 R' F2 U L' B' R2
B2 R' F2 U R2 L' B'
L' U2 R2 D R' F2 B
L' U2 R2 D R' B F2
L' U2 R2 D F2 R' B
L' U2 D R' F2 B R2
L' U2 D R' B R2 F2
L' U2 D R' B F2 R2
U' R2 L U' D R' B
U' R2 L D U' R' B
U' R2 L F' R U' R2
U' R2 D L U' R' B
U' R2 D' L U' R' B'
U' R2 F' L R U' R2
U' R2 F' R L U' R2
L' D R' F2 L' B R2
L' D R' F2 B L' R2
L' D R' F2 B R2 L'
L' D R' B F2 L' R2
L' D R' B F2 R2 L'
U' D L R' U' B R2
U' D L U' R' B R2
L' D U2 R' F2 B R2
L' D U2 R' B R2 F2
L' D U2 R' B F2 R2
U' D R' L U' B R2
B2 U D R' U B R2
R' D' L F2 U' B' L'
L' D' L B2 U2 B R
L' D' L2 B2 U2 R B
D' U' L R' U' R2 B'
D' U' L R' U' B' R2
U' D' L R' U' R2 B'
U' D' L R' U' B' R2
D' U' L R2 U' R' B'
U' D' L R2 U' R' B'
D' U' L U' R D B'
D' U' L U' R D' B'
D' U' L U' R D2 B'
D' U' L U' R B' D
D' U' L U' R B' D'
D' U' L U' R B' D2
D' U' L U' R' B' R2
D' U' L U' D R B'
D' U' L U' D B' R
D' U' L U' D' R B'
D' U' L U' D' B' R
U' D' L U' R D B'
U' D' L U' R D' B'
U' D' L U' R D2 B'
D' U' L U' D2 R B'
U' D' L U' R B' D
U' D' L U' R B' D'
U' D' L U' R B' D2
D' U' L U' D2 B' R
U' D' L U' R' B' R2
U' D' L U' D R B'
U' D' L U' D B' R
U' D' L U' D' R B'
D' U' L U' B R B2
U' D' L U' D' B' R
U' D' L U' D2 R B'
D' U' L U' B' R D
D' U' L U' B' R D'
D' U' L U' B' R D2
U' D' L U' D2 B' R
D' U' L U' B' D R
D' U' L U' B' D' R
D' U' L U' B' D2 R
U' D' L U' B R B2
U' D' L U' B' R D
U' D' L U' B' R D'
U' D' L U' B' R D2
U' D' L U' B' D R
U' D' L U' B' D' R
U' D' L U' B' D2 R
D U B2 R' U B R2
D' U' L D U' R B'
D' U' L D U' B' R
U' D' L D U' R B'
U' D' L D U' B' R
D' U' L D' U' R B'
D' U' L D' U' B' R
U' D' L D' U' R B'
U' D' L D' U' B' R
D' U' L D2 U' R B'
D' U' L D2 U' B' R
U' D' L D2 U' R B'
U' D' L D2 U' B' R
U D B2 R' U B R2
U2 D' L U' R B' L'
U2 D' L U' B' L' R
U2 D' L U' B' R L'
D U' L R' U' B R2
D U' L U' R' B R2
F' U' L R U2 B U
F' U' L R' F' R2 U'
U2 D' R U L U' B'
D' U' R' L U' R2 B'
U' D' R' L U' R2 B'
D' U' R' L U' B' R2
U' D' R' L U' B' R2
U' D' R2 L U' R' B'
D' U' R2 L U' R' B'
D U' R' L U' B R2
R' D' F2 L U' B' L2
L' D' F2 L' F B2 U2
F' U' R L U2 B U
L' D' F2 L' B2 F U2
L' D' F2 B2 L' F U2
F' U' R' L F' R2 U'
F' U' R' F' L R2 U'
F' U' R' F' R2 L U'
L' D' B2 L U2 R B'
L' D' B2 L U2 B' R
L' D' B2 L2 U2 R B
L' D' B2 F2 L' F U2
D' U2 L U' R B' L'
D' U2 L U' B' L' R
D' U2 L U' B' R L'
D' U2 R U L U' B'
B2 D U R' U B R2
U' F' L R F U' R
U' F' R L F U' R
U' F' R F L U' R
U2 F' U L R F U'
U2 F' U R L F U'
D' F' U' L U' B' R'
B D' L U2 R F' B'
B D' L U2 R B' F'
B D' L U2 B' R F'
B D' L2 U2 R F' B
B D' L2 U2 R B F'
B D' R F' B2 L B'
B D' R B2 L F' B'
B D' R B2 L B' F'
B D' R B2 F' L B'
D' F2 L' U' L2 U' B'
D' F2 L' D F U2 F
D' F2 L' D' F B2 U2
D' F2 L' D' B2 F U2
D' F2 L' F U' L2 U'
D' F2 L' F U2 D F2
D' F2 L' F D U2 F2
D' F2 L' F D' B2 U2
D2 B2 U R' U R2 B
D B2 U R' U B R2
U B2 D R' U B R2
