U' L U' D2 B R'
U' L D2 U' B R'
U' L F' U' B R
F L' U' L2 U' B
F L' U2 D F2 B
F L' U2 D B F2
F L' U2 B D F2
F L' D U2 F2 B
F L' D U2 B F2
F L' D' B2 U2 B'
D2 U' L U' B R'
F' U' L U' B R
U' D2 L U' B R'
F' U2 B D' R F'
U' F' L U' B R
U2 F' B D' R F'
U2 B F' D' R F'
R2 L U F' R2 U2 R'
U' L R2 U F' U2 R
U' L U F L' U2 B
U' L U F' U2 B R
U2 L U' L' D2 B R'
U' L U' D2 B R' D
U' L U' D2 B R' D'
U' L U' D2 B R' D2
U' L U' D2 B D R'
U' L U' D2 B D' R'
U' L U' D2 B D2 R'
U2 L U' D2 L' B R'
U2 L U' D2 B L' R'
U2 L U' D2 B R' L'
U' L U' F' B R F
U' L U' B F' R F
U2 L D2 U' L' B R'
U2 L D2 U' B L' R'
U2 L D2 U' B R' L'
U' L D2 U' B R' D
U' L D2 U' B R' D'
U' L D2 U' B R' D2
U' L D2 U' B D R'
U' L D2 U' B D' R'
U' L D2 U' B D2 R'
U' L D2 F U' B R'
U' L D2 F' U' B R'
U' L D2 F2 U' B R'
U' L F U L' U2 B
U' L F' U' D B R
U' L F' U' D' B R
U' L F' U' D2 B R
U' L F' U' B R D
U' L F' U' B R D'
U' L F' U' B R D2
U' L F' U' B D R
U' L F' U' B D' R
U' L F' U' B D2 R
U' L F' U' B' R B2
U' L F' U' B2 R B'
U' L F' D U' B R
U' L F' D' U' B R
U' L F' D2 U' B R
D2 L' U' L2 U' B R'
F' L' U' L2 U' B R
F L' U' L2 U' D B
F L' U' L2 U' D' B
F L' U' L2 U' D2 B
F L' U' L2 U' B D
F L' U' L2 U' B D'
F L' U' L2 U' B D2
F L' U' L2 D U' B
F L' U' L2 D' U' B
F L' U' L2 D2 U' B
D' L' U' F L2 U' B
F' L' U2 D B R F2
D L' U2 D F2 B R'
D L' U2 D B R' F2
D L' U2 D B F2 R'
F L' U2 D F2 D B
F L' U2 D F2 D' B
F L' U2 D F2 D2 B
F L' U2 D F2 B D
F L' U2 D F2 B D'
F L' U2 D F2 B D2
D2 L' U2 B R' D F2
F L' U2 D B F2 D
F L' U2 D B F2 D'
F L' U2 D B F2 D2
D2 L' U2 B D R' F2
D2 L' U2 B D F2 R'
F' L' U2 B R D F2
F' L' U2 B D R F2
F L' U2 D2 B D' F2
F L' U2 F D F2 B
F L' U2 F D B F2
F L' U2 F B D F2
F L' U2 F' D F2 B
F L' U2 F' D B F2
F L' U2 F' B D F2
F L' U2 F2 D F2 B
F L' U2 F2 D B F2
F L' U2 F2 B D F2
F L' U2 B U L2 U'
F L' U2 B D F2 D
F L' U2 B D F2 D'
F L' U2 B D F2 D2
F L' U2 B F D F2
F L' U2 B F' D F2
F L' U2 B F2 D F2
F L' U2 B2 D F2 B'
F L' U2 B2 D B' F2
F' L' D U2 B R F2
D L' D U2 F2 B R'
D L' D U2 B R' F2
D L' D U2 B F2 R'
F L' D U2 F2 D B
F L' D U2 F2 D' B
F L' D U2 F2 D2 B
F L' D U2 F2 B D
F L' D U2 F2 B D'
F L' D U2 F2 B D2
F L' D U2 B F2 D
F L' D U2 B F2 D'
F L' D U2 B F2 D2
F L' D F U2 F B
F L' D F U2 B F
F L' D F' U2 F' B
F L' D F' U2 B F'
D L' D B R' F2 L'
F L' D B' U2 F2 B2
F L' D B' U2 B2 F2
F L' D B2 U2 F2 B'
F L' D B2 U2 B' F2
F' L' D' B2 U2 R B'
F' L' D' B2 U2 B' R
F L' D' F B2 U2 B'
F L' D' F' B2 U2 B'
F2 L' D' B2 U2 B' R'
F L' D' F2 B2 U2 B'
F L' D' B2 U2 D B'
F L' D' B2 U2 D' B'
F L' D' B2 U2 D2 B'
F L' D' B2 U2 B' D
F L' D' B2 U2 B' D'
F L' D' B2 U2 B' D2
F L' D' B2 D U2 B'
F L' D' B2 D' U2 B'
F L' D' B2 D2 U2 B'
F L' D' B2 F U2 B'
F L' D' B2 F' U2 B'
F L' D' B2 F2 U2 B'
F L' D2 U2 B D' F2
F L' F U' L2 U' B
F L' F U2 D F2 B
F L' F U2 D B F2
F L' F U2 B D F2
F L' F D U2 F2 B
F L' F D U2 B F2
F L' F D' B2 U2 B'
U' L' F' L2 U' B R
F L' F' U' L2 U' B
L R2 U F' R2 U2 R'
F L' F' U2 D F2 B
F L' F' U2 D B F2
F L' F' U2 B D F2
F L' F' D U2 F2 B
F L' F' D U2 B F2
F L' F' D' B2 U2 B'
F L' F2 U' L2 U' B
F L' F2 U2 D F2 B
F L' F2 U2 D B F2
F L' F2 U2 B D F2
F L' F2 D U2 F2 B
F L' F2 D U2 B F2
F L' F2 D' B2 U2 B'
D2 L' B R' D F2 L'
D2 L' B D R' F2 L'
F L' B D' B2 U2 B2
F L' B' U' L2 U' B2
F L' B' U2 B2 D F2
F L' B2 U2 D F2 B'
F L' B2 U2 D B' F2
F L' B2 U2 B' D F2
F L' B2 D U2 F2 B'
F L' B2 D U2 B' F2
F L' B2 D' B2 U2 B
D2 L2 U' L' U' B R'
F' L2 U' L' U' B R
U' L2 D' L' F U' B
U' L2 D2 L' U' B R'
B2 L2 F L' U R' U
L2 U' L' U' D2 B R'
L2 U' L' D2 U' B R'
L2 U' L' F' U' B R
L' U' L2 U' D2 B R'
L' U' L2 D2 U' B R'
L' U' L2 F' U' B R
L2 U' D' L' F U' B
L2 U' D2 L' U' B R'
L' U' F' L2 U' B R
L U' F' U' B R F
B R' F' D' R F' L'
B R' F2 D L' F R
L' U2 D F2 D B R'
U' R2 L U F' U2 R
L' U2 D2 B D' R' F2
L' U2 D2 B D' F2 R'
L' U2 F D F2 B R
L' U2 F D B F2 R
L' U2 F B D F2 R
L' U2 F' D B R F2
L' U2 F' B R D F2
L' U2 F' B D R F2
L2 U2 F' D B R F'
L2 U2 F' B D R F'
L' U2 B F D F2 R
L' U2 B F' R D F2
L' U2 B F' D R F2
L2 U2 B F' D R F'
U' D L U' D B R'
U' D L D U' B R'
L' D U2 F2 D B R'
B' U R' U F' R B2
B' U R' U F' B2 R
B' U R' U B2 F' R
B2 U D R' B U B2
U2 D B D' R F' R
U2 D B D' F' R F'
D2 U B' U B2 R' F'
D' U' L U' B D' R2
U' D' L U' B D' R2
D' U' L U2 B' U B2
D2 U' L U' B R' D
D2 U' L U' B R' D'
D2 U' L U' B R' D2
D2 U' L U' B D R'
D2 U' L U' B D' R'
D2 U' L U' B D2 R'
U' D' L U2 B' U B2
D U B2 R' B U B2
D2 U' L F U' B R'
D2 U' L F' U' B R'
U D B2 R' B U B2
D2 U' L F2 U' B R'
D U' L U' D B R'
D U' L D U' B R'
U' D' L' F L2 U' B
D' U' L' F L2 U' B
F' U B2 R' U R2 B'
F' U B2 R' U B' R2
F2 U B2 R' U B' R'
L2 D' U' L' F U' B
F' U' L U' D B R
F' U' L U' D' B R
F' U' L U' D2 B R
F' U' L U' B R D
F' U' L U' B R D'
F' U' L U' B R D2
F' U' L U' B D R
F' U' L U' B D' R
F' U' L U' B D2 R
F' U' L U' B' R B2
F' U' L U' B2 R B'
F' U' L D U' B R
F' U' L D' U' B R
F' U' L D2 U' B R
F2 U' L U' B' R' B2
F U' L U L2 U2 B
F U' L U' D2 B R2
F U' L U' B D2 R2
F U' L D F2 U' B
F U' L D2 U' B R2
D2 U' F L U' B R'
D2 U' F' L U' B R'
D2 U' F2 L U' B R'
F' U' D L U' B R
F' U' D' L U' B R
F' U' D2 L U' B R
U' D2 L U' B R' D
U' D2 L U' B R' D'
U' D2 L U' B R' D2
U' D2 L U' B D R'
U' D2 L U' B D' R'
U' D2 L U' B D2 R'
D2 U2 L U' L' B R'
D2 U2 L U' B L' R'
D2 U2 L U' B R' L'
U' D2 L F U' B R'
U' D2 L F' U' B R'
U' D2 L F2 U' B R'
U2 D2 L U' L' B R'
U2 D2 L U' B L' R'
U2 D2 L U' B R' L'
F U' F2 L U' B R
L2 D2 U' L' U' B R'
F' U2 L U' L' B R
F' U2 L U' B L' R
F' U2 L U' B R L'
U' D2 F L U' B R'
L' D2 U2 B D' R' F2
L' D2 U2 B D' F2 R'
U' D2 F' L U' B R'
U' D2 F2 L U' B R'
D2 U2 B R2 D' R F'
D2 U2 B D' R F' R2
L' D2 B D' R' F2 L'
U2 D2 B R2 D' R F'
