F2 L' F U R U
L2 U2 D R F' B
L2 U2 D R B F'
L U2 D R F' B'
L U2 D R B' F'
L U2 D B' R F'
L U2 B' D R F'
L D U2 R F' B'
L D U2 R B' F'
L2 D U2 R F' B
L2 D U2 R B F'
L D U2 B' R F'
U2 L R D' B' L' F
U2 L R B' D' L' F
F' L U R U B' R'
U L U D R F' B'
U L U D R B' F'
U L U D B' R F'
U L U B' D R F'
U' L U' D R F' B'
U' L U' D R B' F'
U' L U' D B' R F'
U' L U' B' D R F'
B' L U2 D R F' B'
B' L U2 D R B' F'
B' L U2 D B' R F'
B2 L U2 D R F' B'
B2 L U2 D R B' F'
B2 L U2 D B' R F'
B L U2 D R F' B'
B L U2 D R B' F'
B L U2 D B' R F'
F' L U2 B' R' D' F2
B' L U2 B' D R F'
B2 L U2 B' D R F'
B L U2 B' D R F'
U2 L D R B' L' F'
B' L D U2 R F' B'
U' L D U' R F' B'
B' L D U2 R B' F'
U' L D U' R B' F'
U' L D U' B' R F'
B' L D U2 B' R F'
B2 L D U2 R F' B'
B2 L D U2 R B' F'
B2 L D U2 B' R F'
U L D U R F' B'
U L D U R B' F'
U L D U B' R F'
B L D U2 R F' B'
B L D U2 R B' F'
B L D U2 B' R F'
U2 L D B' L' R F'
U2 L D B' R L' F'
U2 L D' R B' L' F
U2 L D' B' L' R F
U2 L D' B' R L' F
U2 L B' L' D R F'
U2 L B' R D' L' F
D' L B' U L U R
U2 L B' D L' R F'
U2 L B' D R L' F'
U2 L B' D' L' R F
U2 L B' D' R L' F
F2 L' D F U R U
F2 L' D' F U R U
F2 L' D2 F U R U
F L' F L' U' L U'
F2 L' F U R U D
F2 L' F U R U D'
F2 L' F U R U D2
F2 L' F U R D U
F2 L' F U R D' U
F2 L' F U R D' U
F2 L' F U R D2 U
F2 L' F U D R U
F2 L' F U D' R U
F2 L' F U D2 R U
F' L' F U2 D R F'
F' L' F D U2 R F'
F2 L' F D U R U
F2 L' F D' U R U
F2 L' F D2 U R U
F2 L' F B U R U
F2 L' F B' U R U
F2 L' F B2 U R U
F2 L' B F U R U
F2 L' B' F U R U
F2 L' B2 F U R U
B' L2 U2 D R F' B
B' L2 U2 D R B F'
B2 L2 U2 D R F' B
B2 L2 U2 D R B F'
B L2 U2 D R F' B
B L2 U2 D R B F'
B' L2 D U2 R F' B
B' L2 D U2 R B F'
B2 L2 D U2 R F' B
B2 L2 D U2 R B F'
B L2 D U2 R F' B
B L2 D U2 R B F'
U2 R L D' B' L' F
U2 R L B' D' L' F
D R D' F' B2 L B'
D R D' B2 L F' B'
D R D' B2 L B' F'
D R D' B2 F' L B'
D R B2 D' L F' B'
D R B2 D' L B' F'
