B L U L' R' U
B L U R' L' U
U R B R' U B'
B R' U' L R U2
B R' U' R L U2
B' U2 L U' L' R'
B' U2 L U' R' L'
U L R B R' U B'
B L U L' R' U D
B L U L' R' U D'
B L U L' R' U D2
B L U L' R' D U
B L U L' R' D' U
B L U L' R' D2 U
B L U L' D R' U
B L U L' D' R' U
B L U L' D2 R' U
B L U R' L' U D
B L U R' L' U D'
B L U R' L' U D2
B L U R' L' D U
B L U R' L' D' U
B L U R' L' D2 U
B L U R' D L' U
B L U R' D' L' U
B L U R' D2 L' U
B L U D L' R' U
B L U D R' L' U
B L U D' L' R' U
B L U D' R' L' U
B L U D2 L' R' U
B L U D2 R' L' U
B' L U2 L' U L R'
B' L U2 L' U R' L
B L D U L' R' U
B L D U R' L' U
B L D' U L' R' U
B L D' U R' L' U
B L D2 U L' R' U
B L D2 U R' L' U
D L B' U L' U R'
U L' R B R' U B'
U L2 R B R' U B'
L' U L R B R' U
L U L' R B R' U
L2 U L2 R B R' U
L' U R L B R' U
L2 U R L2 B R' U
L U R L' B R' U
L2 U R B L2 R' U
L2 U R B R' L2 U
L U R B L' R' U
L U R B R' L' U
L U D L' U F R
U R L B R' U B'
U R L' B R' U B'
U R L2 B R' U B'
B' R D B2 R' U L
U R B R' U D B'
U R B R' U D' B'
U R B R' U D2 B'
U R B R' U B' D
U R B R' U B' D'
U R B R' U B' D2
U R B R' D U B'
U R B R' D' U B'
U R B R' D2 U B'
U R B D R' U B'
U R B D' R' U B'
U R B D2 R' U B'
B' R B2 R' U L R'
B' R B2 R' U R' L
B R B2 R2 U L R
B R B2 R2 U R L
B R' U' L R U2 D
B R' U' L R U2 D'
B R' U' L R U2 D2
B R' U' L R D U2
B R' U' L R D' U2
B R' U' L R D2 U2
B R' U' L D R U2
B R' U' L D' R U2
B R' U' L D2 R U2
B R' U' R L U2 D
B R' U' R L U2 D'
B R' U' R L U2 D2
B R' U' R L D U2
B R' U' R L D' U2
B R' U' R L D2 U2
B R' U' R D L U2
B R' U' R D' L U2
B R' U' R D2 L U2
B R' U' D L R U2
B R' U' D R L U2
B R' U' D' L R U2
B R' U' D' R L U2
B R' U' D2 L R U2
B R' U' D2 R L U2
B R' D U' L R U2
B R' D U' R L U2
B R' D' U' L R U2
B R' D' U' R L U2
B R' D2 U' L R U2
B R' D2 U' R L U2
B R' F2 U L' D2 R2
B R' F2 U' L U2 L2
B R' F2 B2 U L' R'
B R' F2 B2 U R' L'
B R' B2 U R' D2 L2
B R' B2 U' R U2 R2
L2 U2 D' F R F' B2
L2 U2 D' F R B2 F'
L2 U2 D' F B2 R F'
L2 U2 D' B2 F R F'
B R' B2 F2 U L' R'
B R' B2 F2 U R' L'
L2 U2 F D' R F' B2
L2 U2 F D' R B2 F'
L2 U2 F D' B2 R F'
L2 D L F2 B' U2 R'
L2 D L B' F2 U2 R'
U R2 B R' B U B2
L D U L' U F R
L2 D F2 L B' U2 R'
L2 D F2 L' U2 F R
D' U R B U F' B'
D' U R B U B' F'
F' U R B R' U B'
F2 U R B R' U B'
B' U R' U L U' L'
L2 D F2 B L B' U2
L2 D B L F2 B' U2
L2 D B L B' F2 U2
F U R B R' U B'
L2 D B F2 L B' U2
B U R' B2 U R' B2
B' U B' U B R' F'
B' U B2 R' U B2 R'
L2 D' U2 F R F' B2
L2 D' U2 F R B2 F'
L2 D' U2 F B2 R F'
L2 D' U2 B2 F R F'
U D' R B U F' B'
U D' R B U B' F'
B' U2 L U' L' R' D
B' U2 L U' L' R' D'
B' U2 L U' L' R' D2
B' U2 L U' L' D R'
B' U2 L U' L' D' R'
B' U2 L U' L' D2 R'
B' U2 L U' R' L' D
B' U2 L U' R' L' D'
B' U2 L U' R' L' D2
B' U2 L U' R' D L'
B' U2 L U' R' D' L'
B' U2 L U' R' D2 L'
B' U2 L U' D L' R'
B' U2 L U' D R' L'
B' U2 L U' D' L' R'
B' U2 L U' D' R' L'
B' U2 L U' D2 L' R'
B' U2 L U' D2 R' L'
B' U2 L D U' L' R'
B' U2 L D U' R' L'
B' U2 L D' U' L' R'
B' U2 L D' U' R' L'
B' U2 L D2 U' L' R'
B' U2 L D2 U' R' L'
D2 U2 F L' U' L R
D2 U2 F L' U' R L
U2 D2 F L' U' L R
U2 D2 F L' U' R L
B' U2 R' U L R U'
B' U2 R' U R L U'
B' U2 D L U' L' R'
B' U2 D L U' R' L'
B' U2 D' L U' L' R'
B' U2 D' L U' R' L'
B' U2 D2 L U' L' R'
B' U2 D2 L U' R' L'
B' U2 F L U' L' R'
B' U2 F L U' R' L'
B' U2 F' L U' L' R'
B' U2 F' L U' R' L'
B' U2 F2 L U' L' R'
B' U2 F2 L U' R' L'
B U2 B2 L U' L' R'
B U2 B2 L U' R' L'
B D L U L' R' U
B D L U R' L' U
B D R' U' L R U2
B D R' U' R L U2
U2 F B' L U' L' R
U2 F B' L U' R L'
B' D U2 L U' L' R'
B' D U2 L U' R' L'
D2 F' U R B U B'
B D' L U L' R' U
B D' L U R' L' U
B D' R' U' L R U2
B D' R' U' R L U2
B' D' U2 L U' L' R'
B' D' U2 L U' R' L'
B D2 L U L' R' U
B D2 L U R' L' U
B D2 R' U' L R U2
B D2 R' U' R L U2
B' D2 U2 L U' L' R'
B' D2 U2 L U' R' L'
L2 B L U L R' U
L2 B L U R' L U
L B L U L2 R' U
L B L U R' L2 U
D B L B' U L' U
R' B R' U' L R2 U2
R' B R' U' R2 L U2
R2 B R' U' L R' U2
R2 B R' U' R' L U2
U B R B R2 U B2
R2 B R' B2 U L R'
R2 B R' B2 U R' L
U B R' U2 F' U' B'
F' B L U L' R' U
F' B L U R' L' U
F2 B L U L' R' U
F2 B L U R' L' U
B F L U L' R' U
B F L U R' L' U
F B L U L' R' U
F B L U R' L' U
F' B R' U' L R U2
F' B R' U' R L U2
F2 B R' U' L R U2
F2 B R' U' R L U2
B F R' U' L R U2
B F R' U' R L U2
F B R' U' L R U2
F B R' U' R L U2
B' F U2 L U' L' R'
B' F U2 L U' R' L'
B F' L U L' R' U
B F' L U R' L' U
U B' U2 L F U' B
B F' R' U' L R U2
B F' R' U' R L U2
B' F' U2 L U' L' R'
B' F' U2 L U' R' L'
U2 B' F L U' L' R
U2 B' F L U' R L'
F' B' U2 L U' L' R'
F' B' U2 L U' R' L'
F2 B' U2 L U' L' R'
F2 B' U2 L U' R' L'
F B' U2 L U' L' R'
F B' U2 L U' R' L'
B F2 L U L' R' U
B F2 L U R' L' U
B F2 R' U' L R U2
B F2 R' U' R L U2
B' F2 U2 L U' L' R'
B' F2 U2 L U' R' L'
