B2 L2 U B' L U
B2 U L2 B' L U
B2 L U L B' L U
B2 L U B' L B' U
B2 L U2 D' R' B R'
B2 L U2 D' B R' B
B2 L D L' F L' U2
B2 L D F L' F U2
B2 L D' U2 R' B R'
B2 L D' U2 B R' B
B2 L' U B' L U R'
U' L' U B2 U2 B R'
B2 L2 U B' L U D
B2 L2 U B' L U D'
B2 L2 U B' L U D2
B2 L2 U B' L D U
B2 L2 U B' L D' U
B2 L2 U B' L D2 U
B2 L2 U B' D L U
B2 L2 U B' D' L U
B2 L2 U B' D2 L U
B2 L2 F U B' L U
B2 L2 F' U B' L U
B2 L2 F2 U B' L U
B L2 B U L' B2 U
B L2 B U B2 L' U
F R U R' F' B2 U2
F R U R' B2 F' U2
F R' U R B2 U2 B'
F R' U B2 R U2 B
F R' U' D2 F2 L' B'
B' R' F L2 U' F L'
F R' D2 U' F2 L' B'
D2 R' F U' F L' B'
B' R' F U' L2 F L'
B2 U L B' L B' U
B2 U L2 B' L U D
B2 U L2 B' L U D'
B2 U L2 B' L U D2
B2 U L2 B' L D U
B2 U L2 B' L D' U
B2 U L2 B' L D2 U
B2 U L2 B' D L U
B2 U L2 B' D' L U
B2 U L2 B' D2 L U
U2 D F L2 R U' L2
U2 D F R L2 U' L2
B2 U B U2 R' F U'
B2 U B U2 F R' U'
B2 U B' L2 B' L' U
B2 U B2 U2 F R U'
R2 D' F2 R2 B L U
B' U' R' F L2 U' F
B' U' R' F U B' U2
B2 U' D' R' F U' B
B2 U' D' F R' U' B
B2 U' D2 F U2 L' U
B2 U' D2 F' R F2 U'
B' U' F L2 R' U' F
B' U' F R' L2 U' F
B' U' F R' U B' U2
B2 U' F D' R' U' B
B2 U' F B R' B' U'
B2 U' F2 D2 F' R U'
B2 U' B R' F B' U'
B2 U' B R' B' F U'
B2 U' B F R' B' U'
R' D2 F U' F L' B'
D U2 F L2 R U' L2
D U2 F R L2 U' L2
D2 U2 F2 U F' R U'
U2 D2 F2 U F' R U'
U' F L U F B2 U2
U' F L U B2 F U2
U' F L D L2 U' B'
U' F L' U B2 U2 B
U' F L' U' D2 F2 B'
U' F L' U' D2 B' F2
U' F L' D2 U' F2 B'
U' F L' D2 U' B' F2
U2 F R D L2 U' L2
B2 U2 B U R' F U'
B2 U2 B U F R' U'
R F U R' F' B2 U2
R F U R' B2 F' U2
U2 F D L2 R U' L2
U2 F D R L2 U' L2
U' F D2 L' U' F2 B'
U' F D2 L' U' B' F2
B2 D' U' R' F U' B
B2 D' U' F R' U' B
F D2 R' U' F2 L' B'
B2 D2 U' F U2 L' U
B2 D2 U' F' R F2 U'
B2 D2 F' U' R F2 U'
F D2 B' R' U' F2 L'
B' F R' U R B' U2
B' F R' U B' R U2
D2 B' R' F U' F L'
D2 B' U' R' F U' F
D2 B' U' F R' U' F
D B' U' R' F L2 U'
D B' U' F L2 R' U'
D B' U' F R' L2 U'
F B' R' U R B' U2
F B' R' U B' R U2
B2 F' D L U2 R2 B'
B2 F' D L U2 B' R2
B2 F' D L' F U2 R2
L' B2 L' U B' L U
L B2 L U B' L U
L' B2 U B' L U R'
U' B2 U' F R B2 U'
U' B2 U' F B2 R U'
U' B2 U' B2 F R U'
L2 B2 U B U2 R' U'
L2 B2 U B' L B2 U
L B2 U L B' L U
L B2 U B' L B' U
B2 F2 U' D2 F' R U'
F2 B2 U' D2 F' R U'
L B2 U2 D' R' B R'
L B2 U2 D' B R' B
L B2 D L' F L' U2
F' B2 D L U2 R2 B'
F' B2 D L U2 B' R2
F' B2 D L' F U2 R2
L B2 D F L' F U2
L B2 D' U2 R' B R'
L B2 D' U2 B R' B
B2 F2 D2 U' F' R U'
F2 B2 D2 U' F' R U'
