F2 L U F2 U
F2 L U2 D' L2
F2 L D R2 U2
F2 L D' U2 L2
F2 D L R2 U2
F2 D R2 L U2
F2 D' L U2 L
L F2 U F2 U
L F2 U2 D' L2
L F2 D R2 U2
L F2 D' U2 L2
F2 L R U F2 U
F2 L R U2 D' L2
F2 L R D R2 U2
F2 L R D' U2 L2
F2 L R' U F2 U
F2 L R' U2 D' L2
F2 L R' D R2 U2
F2 L R' D' U2 L2
F2 L R2 U F2 U
F2 L R2 U2 D' L2
F2 L R2 D R2 U2
F2 L R2 D' U2 L2
D' L U L U L'
F2 L U F2 U D
F2 L U F2 U D'
F2 L U F2 U D2
F2 L U F2 D U
F2 L U F2 D' U
F2 L U F2 D2 U
F2 L U' D2 B2 U'
F2 L U2 L D' L2
F2 L U2 L' D' L2
F2 L U2 L2 D' L2
F2 L U2 D' L2 D
F2 L U2 D' L2 D'
F2 L U2 D' L2 D2
D2 L U2 B2 D L2
F2 L D R2 U2 D
F2 L D R2 U2 D'
F2 L D R2 U2 D2
F2 L D R2 D U2
F2 L D R2 D' U2
F2 L D R2 D2 U2
F' L D F' R U2
F2 L D' R U2 L2
F2 L D' R' U2 L2
F2 L D' R2 U2 L2
F2 L D' U2 L2 D
F2 L D' U2 L2 D'
F2 L D' U2 L2 D2
R' L F2 U F2 U
F2 L D2 U' B2 U'
R' L F2 U2 D' L2
R' L F2 D R2 U2
R' L F2 D' U2 L2
R2 L F2 U F2 U
R2 L F2 U2 D' L2
R2 L F2 D R2 U2
L R F2 U F2 U
R2 L F2 D' U2 L2
L R F2 U2 D' L2
L R F2 D R2 U2
L R F2 D' U2 L2
R L F2 U F2 U
R L F2 U2 D' L2
R L F2 D R2 U2
R L F2 D' U2 L2
U' L F2 U R U
U' L F2 U R U
L R' F2 U F2 U
L R' F2 U2 D' L2
L R' F2 D R2 U2
L R' F2 D' U2 L2
F2 L2 U F2 U R
L R2 F2 U F2 U
L R2 F2 U2 D' L2
L R2 F2 D R2 U2
L R2 F2 D' U2 L2
F2 L2 D L' R2 U2
F2 L2 D R2 L' U2
F2 L2 D' L' U2 L'
L U D' L2 U L2
F2 R L U F2 U
F2 R L U2 D' L2
F2 R L D R2 U2
F2 R L D' U2 L2
F2 R D L R2 U2
F2 R D R2 L U2
F2 R D' L U2 L
F2 R' L U F2 U
F2 R' L U2 D' L2
F2 R' L U2 D' L2
F2 R' L D R2 U2
F2 R' L D' U2 L2
F2 R' D L R2 U2
F2 R' D R2 L U2
F2 R' D' L U2 L
F2 R2 L U F2 U
F2 R2 L U2 D' L2
F2 R2 L D R2 U2
F2 R2 L D' U2 L2
L U2 D2 B2 D L2
F2 R2 D L R2 U2
F2 R2 D R2 L U2
F2 R2 D' L U2 L
B2 U R' D2 F2 B2
B2 U R' D2 B2 F2
B2 U D2 R' F2 B2
B2 U D2 R' B2 F2
B2 U D2 F2 R' B2
F2 U F2 U' L U2
F2 U F2 B2 U R'
L D' U L2 U L2
F2 U B2 F2 U R'
F2 U' D2 B2 U' R'
B2 U' F2 B2 L U2
B U' F2 B' L U2
B2 U' B2 L F2 U2
B U' B' L F2 U2
B2 U' B2 F2 L U2
B U' B' F2 L U2
L D2 U2 B2 D L2
U2 D2 B2 R' D L2
D2 U2 B2 R' D L2
U2 D2 B2 D L2 R'
U2 D2 B2 D R' L2
D2 U2 B2 D L2 R'
D2 U2 B2 D R' L2
F2 D L R2 U2 D
F2 D L R2 U2 D'
F2 D L R2 U2 D2
F2 D L R2 D U2
F2 D L R2 D' U2
F2 D L R2 D2 U2
F2 D L U2 D2 L2
F2 D L D2 U2 L2
F2 D L D2 U2 L2
F2 D R2 L U2 D
F2 D R2 L U2 D'
F2 D R2 L U2 D2
F2 D R2 L D U2
F2 D R2 L D' U2
F2 D R2 L D2 U2
F2 D R2 D L U2
F2 D R2 D' L U2
F2 D R2 D2 L U2
F2 D' L R U2 L
F2 D' L R' U2 L
F2 D' L R2 U2 L
F2 D' L U2 L D
F2 D' L U2 L D'
F2 D' L U2 L D2
F2 D' L U2 D L
F2 D' L U2 D' L
F2 D' L U2 D2 L
F2 D' L D U2 L
F2 D' L D' U2 L
F2 D' L D2 U2 L
B2 D' L2 R2 U R
F2 D' R L U2 L
F2 D' R' L U2 L
B2 D' R2 L2 U R
R' F2 L U F2 U
F2 D' R2 L U2 L
R' F2 L U2 D' L2
R' F2 L D R2 U2
R' F2 L D' U2 L2
L' F2 L2 U F2 U
L' F2 L2 U2 D' L2
L' F2 L2 D R2 U2
U' F2 L U' L' U'
L' F2 L2 D' U2 L2
R2 F2 L U F2 U
R2 F2 L U2 D' L2
R2 F2 L D R2 U2
R2 F2 L D' U2 L2
R F2 L U F2 U
R F2 L U2 D' L2
R F2 L D R2 U2
R F2 L D' U2 L2
L F2 R U F2 U
L F2 R U2 D' L2
L F2 R D R2 U2
L F2 R D' U2 L2
L F2 R' U F2 U
L F2 R' U2 D' L2
L F2 R' D R2 U2
L F2 R' D' U2 L2
L F2 R2 U F2 U
L F2 R2 U2 D' L2
L F2 R2 D R2 U2
L F2 R2 D' U2 L2
L F2 U F2 U D
L F2 U F2 U D'
L F2 U F2 U D2
L F2 U F2 D U
L F2 U F2 D' U
L F2 U F2 D2 U
R' F2 D L R2 U2
R' F2 D R2 L U2
L F2 U' D2 B2 U'
L2 F2 U2 R D' L2
R' F2 D' L U2 L
F2 D2 L U' B2 U'
F2 D2 L U2 D L2
F2 D2 L D U2 L2
L2 F2 U2 D' L2 R
F2 D2 L D' R2 U2
L2 F2 U2 D' R L2
L F2 U2 L D' L2
L F2 U2 L' D' L2
L F2 U2 L2 D' L2
L F2 U2 D' L2 D
L F2 U2 D' L2 D'
L F2 U2 D' L2 D2
R2 F2 D L R2 U2
R2 F2 D R2 L U2
L2 F2 D R2 U2 R'
L F2 D R2 U2 D
L F2 D R2 U2 D'
L F2 D R2 U2 D2
L F2 D R2 D U2
L F2 D R2 D' U2
L F2 D R2 D2 U2
R2 F2 D' L U2 L
L2 F2 D' U2 L2 R
L2 F2 D' U2 R L2
L F2 D' R U2 L2
L F2 D' R' U2 L2
L F2 D' R2 U2 L2
L F2 D' U2 L2 D
L F2 D' U2 L2 D'
L F2 D' U2 L2 D2
R F2 D L R2 U2
L F2 D2 U' B2 U'
R F2 D R2 L U2
R F2 D' L U2 L
B2 D2 U R' F2 B2
B2 D2 U R' B2 F2
B2 D2 U F2 R' B2
F2 D2 U' B2 U' R'
D' L R U L U L'
F2 L R U F2 U D
F2 L R U F2 U D'
F2 L R U F2 U D2
F2 L R U F2 D U
F2 L R U F2 D' U
F2 L R U F2 D2 U
F2 L R U' D2 B2 U'
F2 L R U2 L D' L2
F2 L R U2 L' D' L2
F2 L R U2 L2 D' L2
D2 L R U2 B2 D L2
F2 L R U2 D' L2 D
F2 L R U2 D' L2 D'
F2 L R U2 D' L2 D2
F2 L R D R2 U2 D
F2 L R D R2 U2 D'
F2 L R D R2 U2 D2
F2 L R D R2 D U2
F2 L R D R2 D' U2
F2 L R D R2 D2 U2
F2 L R D' R U2 L2
F2 L R D' R' U2 L2
F2 L R D' R2 U2 L2
F2 L R D' U2 L2 D
F2 L R D' U2 L2 D'
F2 L R D' U2 L2 D2
R' L U D' L2 U L2
F2 L R D2 U' B2 U'
R2 L U D' L2 U L2
L R U D' L2 U L2
R L U D' L2 U L2
D' L R' U L U L'
F2 L R' U F2 U D
F2 L R' U F2 U D'
F2 L R' U F2 U D2
F2 L R' U F2 D U
F2 L R' U F2 D' U
F2 L R' U F2 D2 U
F2 L R' U' D2 B2 U'
F2 L R' U2 L D' L2
F2 L R' U2 L' D' L2
F2 L R' U2 L2 D' L2
D2 L R' U2 B2 D L2
F2 L R' U2 D' L2 D
F2 L R' U2 D' L2 D'
F2 L R' U2 D' L2 D2
F2 L R' D R2 U2 D
F2 L R' D R2 U2 D'
F2 L R' D R2 U2 D2
F2 L R' D R2 D U2
F2 L R' D R2 D' U2
F2 L R' D R2 D2 U2
F2 L R' D' R U2 L2
F2 L R' D' R' U2 L2
F2 L R' D' R2 U2 L2
F2 L R' D' U2 L2 D
F2 L R' D' U2 L2 D'
F2 L R' D' U2 L2 D2
F2 L R' D2 U' B2 U'
D' L R2 U L U L'
F2 L R2 U F2 U D
F2 L R2 U F2 U D'
F2 L R2 U F2 U D2
F2 L R2 U F2 D U
F2 L R2 U F2 D' U
F2 L R2 U F2 D2 U
F2 L R2 U' D2 B2 U'
F2 L R2 U2 L D' L2
F2 L R2 U2 L' D' L2
F2 L R2 U2 L2 D' L2
D2 L R2 U2 B2 D L2
F2 L R2 U2 D' L2 D
F2 L R2 U2 D' L2 D'
F2 L R2 U2 D' L2 D2
F2 L R2 D R2 U2 D
F2 L R2 D R2 U2 D'
F2 L R2 D R2 U2 D2
F2 L R2 D R2 D U2
F2 L R2 D R2 D' U2
F2 L R2 D R2 D2 U2
F2 L R2 D' R U2 L2
F2 L R2 D' R' U2 L2
F2 L R2 D' R2 U2 L2
F2 L R2 D' U2 L2 D
F2 L R2 D' U2 L2 D'
F2 L R2 D' U2 L2 D2
F2 L R2 D2 U' B2 U'
R' L U2 D2 B2 D L2
D' L U L U L' D
D' L U L U L' D'
D' L U L U L' D2
D' L U L U D L'
D' L U L U D' L'
D' L U L U D2 L'
D2 L U L U L' B2
D2 L U L U B2 L'
D' L U L D U L'
D' L U L D' U L'
D' L U L D2 U L'
D2 L U L' U L B2
R2 L U2 D2 B2 D L2
L R U2 D2 B2 D L2
D2 L U L2 U L2 B2
D2 L U L2 U B2 L2
F2 L U L' F2 L U
F L U L F' U B'
F2 L U L2 F2 L2 U
F2 L U R F2 R' U
B2 L U R' D2 F2 B2
B2 L U R' D2 B2 F2
R L U2 D2 B2 D L2
D' L U D L U L'
D2 L U D L2 U L2
F2 L U R2 F2 R2 U
D' L U D' L U L'
D' L U D2 L U L'
F2 L U D' F U L2
F2 L U D' F' U L2
F2 L U D' F2 U L2
D' L U F L U L'
B2 L U D2 R' F2 B2
B2 L U D2 R' B2 F2
B2 L U D2 F2 R' B2
D' L U F' L U L'
D L U D2 L2 U L2
F2 L U F D F U
F2 L U F D' F U
F2 L U F D2 F U
D' L U F2 L U L'
F2 L U F' D F' U
F2 L U F' D' F' U
F2 L U F' D2 F' U
F L U F' L U B'
U' L U' L' U F2 U2
U' L U' L' U' D2 B2
U' L U' L' D R2 U'
U' L U' L' D2 U' B2
D2 L U' R U' B2 L
U' L U' D L' R2 U'
U' L U' D R2 L' U'
D L U' R2 U R2 U2
D L U' R2 U' D2 L2
D L U' R2 D B2 U'
D L U' R2 D2 U' L2
U' L U' D2 L' U' B2
F2 L U' D' B U' L2
F2 L U' D' B' U' L2
F2 L U' D' B2 U' L2
F2 L U' D2 B2 U' D
F2 L U' D2 B2 U' D'
F2 L U' D2 B2 U' D2
F2 L U' D2 B2 D U'
F2 L U' D2 B2 D' U'
F2 L U' D2 B2 D2 U'
B2 L U' F2 B2 L U2
R' L D' U L2 U L2
F2 L U' B U' D' L2
F2 L U' B U2 F2 U
F2 L U' B D' U' L2
F2 L U' B D2 B2 U'
F2 L U' B' U' D' L2
F2 L U' B' U2 F2 U
F2 L U' B' D' U' L2
R2 L D' U L2 U L2
F2 L U' B' D2 B2 U'
B2 L U' B2 L F2 U2
L R D' U L2 U L2
F2 L U' B2 U' D' L2
F2 L U' B2 U2 F2 U
F2 L U' B2 D' U' L2
B2 L U' B2 F2 L U2
F2 L U' B2 D2 B2 U'
D2 L U2 L B2 D L2
F2 L U2 L U' F2 U
F2 L U2 L D' L2 D
F2 L U2 L D' L2 D'
F2 L U2 L D' L2 D2
D2 L U2 L' B2 D L2
F2 L U2 L' U' F2 U
F2 L U2 L' D' L2 D
F2 L U2 L' D' L2 D'
F2 L U2 L' D' L2 D2
R L D' U L2 U L2
D2 L U2 L2 B2 D L2
F2 L U2 L2 U' F2 U
F2 L U2 L2 D' L2 D
F2 L U2 L2 D' L2 D'
F2 L U2 L2 D' L2 D2
F2 L U2 R D' L2 R'
F2 L U2 R D' R' L2
F2 L U2 R' D' L2 R
F2 L U2 R' D' R L2
F2 L U2 D L D2 L2
F2 L U2 D L' D2 L2
F2 L U2 D L2 D2 L2
F2 L U2 D' L D L
F2 L U2 D' L D' L
F2 L U2 D' L D2 L
F2 L U2 D' L' D L'
F2 L U2 D' L' D' L'
F2 L U2 D' L' D2 L'
F2 L U2 D' F L2 F'
F2 L U2 D' F2 L2 F2
F2 L U2 D' B' L2 B
F2 L U2 D' B2 L2 B2
D L U2 D B2 D L2
F2 L U2 D2 L D L2
F2 L U2 D2 L' D L2
F2 L U2 D2 L2 D L2
D2 L U2 B2 L D L2
F2 L U2 B D' B' L2
D2 L U2 B2 L' D L2
D2 L U2 B2 L2 D L2
D2 L U2 B2 U B2 U'
D2 L U2 B2 D L2 D
D2 L U2 B2 D L2 D'
D2 L U2 B2 D L2 D2
R' L D2 U2 B2 D L2
F2 L U2 B' D' L2 B
F2 L U2 B' D' B L2
D L U2 B2 D L2 B2
D L U2 B2 D B2 L2
R2 L D2 U2 B2 D L2
L R D2 U2 B2 D L2
F2 L D R D R U2
F2 L D R D' R U2
R L D2 U2 B2 D L2
F2 L D R D2 R U2
F2 L D R' D R' U2
F2 L D R' D' R' U2
F2 L D R' D2 R' U2
D2 L D U L2 U L2
D' L D U L U L'
U' L D U' L' R2 U'
U' L D U' R2 L' U'
F2 L D U2 L D2 L2
F2 L D U2 L' D2 L2
F2 L D U2 L2 D2 L2
F' L D F' R U2 D
F' L D F' R U2 D'
F' L D F' R U2 D2
F' L D F' R D U2
F' L D F' R D' U2
F' L D F' R D2 U2
F' L D F' D R U2
F2 L D F R2 U2 B
F' L D F' D' R U2
D L D U2 B2 D L2
F' L D F' D2 R U2
F2 L D F' R2 F U2
F2 L D F2 R2 F2 U2
F2 L D B R2 B' U2
F2 L D B' R2 U2 F'
F2 L D B2 R2 B2 U2
B2 L D' L2 R2 U R
F2 L D' R U2 L2 D
F2 L D' R U2 L2 D'
F2 L D' R U2 L2 D2
F2 L D' R D2 R2 U2
F2 L D' R' U2 L2 D
F2 L D' R' U2 L2 D'
F2 L D' R' U2 L2 D2
D' L D' U L U L'
F2 L D' R' D2 R2 U2
B2 L D' R2 L2 U R
F2 L D' R2 U2 L2 D
F2 L D' R2 U2 L2 D'
F2 L D' R2 U2 L2 D2
F2 L D' R2 D2 R2 U2
F2 L D' U F U L2
F2 L D' U F' U L2
F2 L D' U F2 U L2
F2 L D' U' B U' L2
F2 L D' U' B' U' L2
F2 L D' U' B2 U' L2
F2 L D' U2 L D L
F2 L D' U2 L D' L
F2 L D' U2 L D2 L
F2 L D' U2 L' D L'
F2 L D' U2 L' D' L'
F2 L D' U2 L' D2 L'
F2 L D' U2 F L2 F'
F2 L D' U2 F2 L2 F2
F2 L D' U2 B' L2 B
F2 L D' U2 B2 L2 B2
F2 L D' F' U2 L2 B'
D L D' F2 U F2 U
D L D' F2 U2 D' L2
D L D' F2 D R2 U2
D L D' F2 D' U2 L2
F2 L D' B U2 L2 F
F2 L D2 R U' B2 U'
F2 L D2 R U2 D L2
F2 L D2 R D U2 L2
F2 L D2 R D' R2 U2
F2 L D2 R' U' B2 U'
F2 L D2 R' U2 D L2
D' L D2 U L U L'
F2 L D2 R' D U2 L2
F2 L D2 R' D' R2 U2
F2 L D2 R2 U' B2 U'
F2 L D2 R2 U2 D L2
F2 L D2 R2 D U2 L2
F2 L D2 R2 D' R2 U2
D L D2 U L2 U L2
L' R F2 L2 U F2 U
