U2 R' F2 U' F B'
U2 R' F2 U' B' F
U2 F2 R' U' F' B'
U2 F2 R' U' B' F'
D2 B2 L U F B
D2 B2 L U B F
B2 L U D F B R2
B2 L U D B R2 F
B2 L U D B F R2
B2 L U B D R2 F
B2 L U B D F R2
B L U B2 D R2 F
B L U B2 D F R2
B2 L U2 F2 U' F' B
B2 L U2 F2 U' B F'
B L U2 F2 U' F' B2
B L U2 F2 U' B2 F'
B2 L D U F B R2
B2 L D U B R2 F
B2 L D U B F R2
B' L D2 B2 U F B2
B' L D2 B2 U B2 F
B2 L D2 B2 U F B'
B2 L D2 B2 U B' F
B L' U B2 D R2 F'
D' L' U' B' L' F U2
B L' D L2 U R2 F
B L' D L2 U F R2
U L' F2 U' L F B'
U L' F2 U' L B' F
D R U B' R D' F2
U2 R U' D R2 F' B'
U2 R U' D R2 B' F'
U2 R D U' R2 F' B'
U2 R D U' R2 B' F'
U2 R F2 R2 U' F' B'
U2 R F2 R2 U' B' F'
U2 R F2 U B U2 B2
U2 R F2 U' B' D2 F2
D2 R B2 L U F B
D2 R B2 L U B F
U2 R' U' D F' R2 B'
U2 R' U' D F' B' R2
U2 R' U' D B' F' R2
U2 R' U' B' D F' R2
U2 R' D U' F' R2 B'
U2 R' D U' F' B' R2
U2 R' D U' B' F' R2
U2 R' F2 R U' F B'
U2 R' F2 R U' B' F
U2 R' F2 R' U' F B'
U2 R' F2 R' U' B' F
U2 R' F2 R2 U' F B'
U2 R' F2 R2 U' B' F
U2 R' F2 U' D F B'
U2 R' F2 U' D B' F
U2 R' F2 U' D' F B'
U2 R' F2 U' D' B' F
U2 R' F2 U' D2 F B'
U2 R' F2 U' D2 B' F
U2 R' F2 U' F D B'
U2 R' F2 U' F D' B'
U2 R' F2 U' F D2 B'
U2 R' F2 U' F B' D
U2 R' F2 U' F B' D'
U2 R' F2 U' F B' D2
U2 R' F2 U' B' D F
U2 R' F2 U' B' D' F
U2 R' F2 U' B' D2 F
U2 R' F2 U' B' F D
U2 R' F2 U' B' F D'
U2 R' F2 U' B' F D2
U2 R' F2 D U' F B'
U2 R' F2 D U' B' F
R' U2 R' F2 U' F B'
R' U2 R' F2 U' B' F
U2 R' F2 D' U' F B'
U2 R' F2 D' U' B' F
L U2 R F2 U' F' B
L U2 R F2 U' B F'
U2 R' F2 D2 U' F B'
U2 R' F2 D2 U' B' F
R2 U2 R' F2 U' F B'
R2 U2 R' F2 U' B' F
R U2 R' F2 U' F B'
R U2 R' F2 U' B' F
D2 R' B2 L U F B
D2 R' B2 L U B F
R' U2 F2 R' U' F' B'
R' U2 F2 R' U' B' F'
R2 U2 F2 R' U' F' B'
R2 U2 F2 R' U' B' F'
R U2 F2 R' U' F' B'
R U2 F2 R' U' B' F'
U2 R2 F2 R U' F' B'
U2 R2 F2 R U' B' F'
D2 R2 B2 L U F B
D2 R2 B2 L U B F
B' U L' F2 U' L F
D U R B' R D' F2
U2 D R' U' F' R' B'
U D R B' R D' F2
D U R2 B' U' R' U
U D R2 B' U' R' U
D2 U B' U' R' B' U
B' U F2 L' U' L F
D U B' R D' R F2
B' U F2 B L U' L'
D U B' R2 U' R U
D U B' U' R' U R'
U D B' R D' R F2
U D B' R2 U' R U
U D B' U' R' U R'
B2 U B U L F2 U'
B2 U B U F2 L U'
B' U B F2 L U' L'
U' D' L2 F U R U
D' U' L2 F U R U
D U2 R' U' F' R' B'
F2 U2 R' F2 U F B'
F2 U2 R' F2 U B' F
R' D2 B2 L U F B
R' D2 B2 L U B F
B U2 R' F2 U' F B2
B U2 R' F2 U' B2 F
R2 D2 B2 L U F B
R2 D2 B2 L U B F
U D2 B' U' R' B' U
R D2 B2 L U F B
R D2 B2 L U B F
F2 U2 F2 R' U F' B'
F2 U2 F2 R' U B' F'
B U2 F2 R' U' F' B2
B U2 F2 R' U' B2 F'
U2 F R' F U' F2 B'
U2 F R' F U' B' F2
B2 D L U F B R2
B2 D L U B R2 F
B2 D L U B F R2
U F2 L' U' L F B'
U F2 L' U' L B' F
U2 F2 R U B U2 B2
U2 F2 R U' B' D2 F2
U2 F2 R' U' D F' B'
U2 F2 R' U' D B' F'
U2 F2 R' U' D' F' B'
U2 F2 R' U' D' B' F'
U2 F2 R' U' D2 F' B'
U2 F2 R' U' D2 B' F'
U2 F2 R' U' F' D B'
U2 F2 R' U' F' D' B'
U2 F2 R' U' F' D2 B'
U2 F2 R' U' F' B' D
U2 F2 R' U' F' B' D'
U2 F2 R' U' F' B' D2
U2 F2 R' U' B' D F'
U2 F2 R' U' B' D' F'
U2 F2 R' U' B' D2 F'
U2 F2 R' U' B' F' D
U2 F2 R' U' B' F' D'
U2 F2 R' U' B' F' D2
U2 F2 R' D U' F' B'
U2 F2 R' D U' B' F'
U2 F2 R' D' U' F' B'
U2 F2 R' D' U' B' F'
U2 F2 R' D2 U' F' B'
U2 F2 R' D2 U' B' F'
B' D2 L B2 U F B2
B' D2 L B2 U B2 F
U2 F2 U' B' U' R' U
B2 D2 L B2 U F B'
B2 D2 L B2 U B' F
U2 F2 D R' U' F' B'
U2 F2 D R' U' B' F'
U2 F2 D' R' U' F' B'
U2 F2 D' R' U' B' F'
U2 F2 D2 R' U' F' B'
U2 F2 D2 R' U' B' F'
U F2 B L U' L' B2
U F2 B L U' B2 L'
D' B L U F B2 R'
D' B L U B2 R' F
D' B L U B2 F R'
D2 B L B U F B
D2 B L B U B F
U F2 B' U' R' U R
D B L U R2 F B2
D B L U R2 B2 F
D B L U F R2 B2
D B L U F B2 R2
D B L U B2 R2 F
D B L U B2 F R2
D B L' U B2 R2 F'
B' D2 B2 L U F B2
B' D2 B2 L U B2 F
F2 D2 B2 L U' F B
F2 D2 B2 L U' B F
U B U L F2 U' B2
U B U F2 L U' B2
U B F2 L U' L' B2
U B F2 L U' B2 L'
U B' R D R2 D2 F2
U B' R D' F2 D2 R2
U B' R' U F2 U' F2
U B' R' D R2 D' F2
U B' R2 U F2 L' U'
U B' U F2 U2 R' U
U B' U' R' U D R2
U B' U' R' U2 F2 U'
U B' U' R' D U R2
U B' U' R' D2 B2 U
U B' U' D R' U R'
U B' U' D2 R' B2 U
U B' D R D' R F2
U B' D R2 U' R U
U B' D U' R' U R'
U B' D2 R D' R2 F2
U B' D2 R D' F2 R2
U B' D2 U' R' B2 U
D2 B2 L U D F B
D2 B2 L U D B F
D2 B2 L U D' F B
D2 B2 L U D' B F
D2 B2 L U D2 F B
D2 B2 L U D2 B F
D2 B2 L U F D B
D2 B2 L U F D' B
D2 B2 L U F D2 B
D2 B2 L U F B D
D2 B2 L U F B D'
D2 B2 L U F B D2
D2 B2 L U B D F
D2 B2 L U B D' F
D2 B2 L U B D2 F
D2 B2 L U B F D
D2 B2 L U B F D'
D2 B2 L U B F D2
D2 B2 L D U F B
D2 B2 L D U B F
D2 B2 L D' U F B
D2 B2 L D' U B F
D2 B2 L D2 U F B
D2 B2 L D2 U B F
D2 B2 L' U B D2 F2
D2 B2 L' U' B' U2 B2
D B2 L U F B R2
D B2 L U B R2 F
D B2 L U B F R2
U B' F2 U' R' U R
D2 B2 U B U L U'
D2 B2 D L U F B
D2 B2 D L U B F
D2 B2 D' L U F B
D2 B2 D' L U B F
D2 B2 D2 L U F B
D2 B2 D2 L U B F
