R' U L' U2 L F'
R' U L' U2 F' L
B2 L R U D2 R2 F'
R' L U L2 U2 L2 F'
R' L U L2 U2 F' L2
B2 L R U' L2 B U2
B2 L R U' B L2 U2
B2 L R D2 U R2 F'
U2 L R' U L2 B' U2
B2 L R' U D2 F' R2
B2 L R' U F' D2 R2
U2 L R' U' D2 R2 F
U2 L R' U' D2 F R2
B2 L R' U' L2 U2 F'
U2 L R' U' F D2 R2
U2 L R' D F2 U' F'
B2 L R' D' B2 U F'
U2 L R' D2 U' R2 F
U2 L R' D2 U' F R2
B2 L R' D2 U F' R2
L' R U2 R2 U' F' R2
L R D2 L2 U R2 F'
R L D2 L2 U R2 F'
U2 L D R' F2 U' F'
B2 L D' R' B2 U F'
B2 L D' B2 R' U F'
U2 L D2 R' U' R' F
U2 L D2 R' U' F R'
B2 L D2 R' U F' R'
L2 R' U L U2 L' F'
L R' U L2 U2 L2 F'
L R' U L2 U2 F' L2
R2 L' U2 R U' F' R'
R L' U2 R2 U' F' R2
F' L' R' U' F' L' R
F' L' R' U' F' R L'
U' L' U' L R' U' F
U' L' U' R' L U' F
U L' U' R' U' L F'
U L' U' R' U' F' L
R' L2 U L U2 L' F'
L' R2 U2 R U' F' R'
U2 L' B' U' B R' U'
U2 L2 R' U L B' U2
F' L2 R' B' U' F' R
R' U L' R U2 L F
R' U L' U2 L D F'
R' U L' U2 L D' F'
R' U L' U2 L D2 F'
R' U L' U2 L F' D
R' U L' U2 L F' D'
R' U L' U2 L F' D2
R' U L' U2 L' F' L2
R' U L' U2 D L F'
R' U L' U2 D F' L
R' U L' U2 D' L F'
R' U L' U2 D' F' L
R' U L' U2 D2 L F'
R' U L' U2 D2 F' L
R' U L' U2 F L F2
R' U L' U2 F' L D
R' U L' U2 F' L D'
R' U L' U2 F' L D2
R' U L' U2 F' D L
R' U L' U2 F' D' L
R' U L' U2 F' D2 L
R' U L' D U2 L F'
R' U L' D U2 F' L
R' U L' D' U2 L F'
R' U L' D' U2 F' L
R' U L' D2 U2 L F'
R' U L' D2 U2 F' L
R' U L' B' U2 F' L'
R' U R L' U2 L F
R' U R2 B L' U2 L
R' U D L' U2 L F'
R' U D L' U2 F' L
R' U D' L' U2 L F'
R' U D' L' U2 F' L
R' U D2 L' U2 L F'
R' U D2 L' U2 F' L
B2 R L U D2 R2 F'
B2 R L U' L2 B U2
B2 R L U' B L2 U2
B2 R L D2 U R2 F'
R' U F' U2 F L' U2
R' U F2 R D2 F B2
R' U F2 R D2 B2 F
R' U F2 D2 R F B2
R' U F2 D2 R B2 F
R' U F2 D2 B2 R F
R' U B L' U2 L F'
R' U B L' U2 F' L
B R U' L' B U2 B2
B R U' B L' U2 B'
R' U B' L' U2 L F'
R' U B' L' U2 F' L
R' U B2 L' U2 L F'
R' U B2 L' U2 F' L
F2 R D B2 D2 L2 F
R' U' L' B U2 F' B'
R' U' L' B U2 B' F'
R' U' L' B' U2 F' B
R' U' L' B' U2 B F'
R2 U' L' U' R U' F'
R' U' L' B2 U2 F' B2
R' U' L' B2 U2 B2 F'
R U' L' U' R2 U' F'
R U' L' D B U2 B
R U' L' D' F2 B U2
R U' L' D' B F2 U2
R U' L' B U' R2 U'
R U' L' B U2 D B2
R U' L' B D U2 B2
R U' L' B D' F2 U2
L' U' R' U R B U2
R' U' R' F2 L' R F'
R' U' R' F2 R L' F'
U R F2 D R F' B2
U R F2 D R B2 F'
U R F2 D B2 R F'
R U' D L' B U2 B
R U' D B L' U2 B
B2 R' L U D2 F' R2
B2 R' L U F' D2 R2
R U' D' L' F2 B U2
R U' D' L' B F2 U2
B2 R' L U' L2 U2 F'
U2 R' L U L2 B' U2
U2 R' L U' D2 R2 F
U2 R' L U' D2 F R2
U2 R' L U' F D2 R2
B2 R' L D' B2 U F'
B2 R' L D2 U F' R2
U2 R' L D F2 U' F'
U2 R' L D2 U' R2 F
U2 R' L D2 U' F R2
R U' D' F2 B U2 R
R U' D' B L' F2 U2
R U' D' B F2 U2 R
F' R' L' U' F' L' R
F' R' L' U' F' R L'
U2 R' L2 U L B' U2
F' R' L2 B' U' F' R
D2 R' U L' U2 L F'
D2 R' U L' U2 F' L
D' R' U L' U2 L F'
D' R' U L' U2 F' L
