B L D' B R2 U
B L D2 B U F2
B L B R2 U F'
B L B U' B U2
B2 U' B U' R' U'
B D' L B R2 U
B D2 L B U F2
L B L B U F
B L R2 D' R2 B U
B2 L U' B U' R' U'
B L U' B2 U B' U
B' L U2 R' F' U' F
B L D B U D F2
B L D B U2 L2 U'
B L D B D U F2
B L D B D2 R2 U
B L D' R2 U2 F' U'
B L D' B R2 U D
B L D' B R2 U D'
B L D' B R2 U D2
B L D' B R2 D U
B L D' B R2 D' U
B L D' B R2 D2 U
B L D' B U D' F2
B L D' B D' U F2
B L D' B' R2 B2 U
B L D' B2 R2 B' U
B L D2 B R U F2
B L D2 B R' U F2
B L D2 B R2 U F2
B L D2 B U F2 D
B L D2 B U F2 D'
B L D2 B U F2 D2
B L D2 B D R2 U
R' L B L B U F
R2 L B L B U F
L R B L B U F
R L B L B U F
D' L B L U R2 F
D' L B L U F R2
B L B R2 U D F'
B L B R2 U D' F'
B L B R2 U D2 F'
B L B R2 U F' D
B L B R2 U F' D'
B L B R2 U F' D2
B L B R2 D U F'
B L B R2 D' U F'
B L B R2 D2 U F'
B L B U R2 F' R2
B L B U' D B U2
B L B U' D' B U2
B L B U' D2 B U2
B L B U' B U2 D
B L B U' B U2 D'
B L B U' B U2 D2
B L B U' B D U2
B L B U' B D' U2
B L B U' B D2 U2
B L B D R2 U F'
B L B D U' B U2
B L B D' R2 U F'
B L B D' U' B U2
B L B D2 R2 U F'
B L B D2 U' B U2
D L' U' L' U2 F B'
D L' U' L' U2 B' F
B2 L' U' B U' R' U'
L R' B L B U F
B L' B L2 R2 U F'
B L' B L2 U' B U2
B L' B R2 L2 U F'
B L' B' L2 B2 U F
D' L2 R U R F B
D' L2 R U R B F
D' L2 U R B R F
D' L2 U F R B R
L R2 B L B U F
B2 L2 U' B U' R' U'
B' L2 U2 R' F U' F'
B L2 D' L' B R2 U
B L2 D' B L' R2 U
B L2 D' B R2 L' U
B L2 D2 L' B U F2
B L2 D2 B L' U F2
L2 U R D' F B R2
L2 U R D' B R2 F
L2 U R D' B F R2
L2 U R F D' B R2
L2 U R' D' R2 F B
L2 U R' D' R2 B F
B L2 B L' R2 U F'
B L2 B L' U' B U2
B L2 B R2 L' U F'
L2 U D' R B R F
L2 U D' F R B R
L2 U F R D' B R2
L2 U F R' D' R2 B
D' R L2 U R F B
D' R L2 U R B F
L2 U F D' R B R
D' R U R B D2 F2
D' R U' B' U2 R B
U R D B D2 R2 F2
U R D B D2 F2 R2
B R D2 L B' U F2
U R D' B R2 D2 F2
U R D' B2 R2 F' B'
U R D' B2 R2 B' F'
B' R B' U2 R2 U' F'
B2 R' D' R' U F' B
B2 R' D' R' U B F'
U R' D' R2 B D2 F2
U R' D' B2 R2 F' B
U R' D' B2 R2 B F'
B' R' B' U' B U2 B'
B R2 L D' R2 B U
B2 R2 D L U F' B'
B2 R2 D L U B' F'
B R2 D' L R2 B U
B R2 D' R2 L B U
B2 R2 B' L B U F'
U' D L F L U2 F
D' U R B R D2 F2
D' U R B D2 R F2
D U R B D2 R2 F2
D U R B D2 F2 R2
U D R B D2 R2 F2
U D R B D2 F2 R2
U' D B' L F L U2
L2 D' R U R F B
L2 D' R U R B F
D' U B2 R B R F'
B' U B2 L B U L'
D U' L F L U2 F
L2 D' U R B R F
L2 D' U F R B R
U D' R B R D2 F2
U D' R B D2 R F2
L' D' B L R' U R'
L' D' B R' L U R'
L D' B L U R2 F
L D' B L U F R2
U' D' B' L F U2 R2
D' U' B' L F U2 R2
U' D' B' L' U2 R2 B'
U' D' B' L' U2 B' R2
D' U' B' L' U2 R2 B'
D' U' B' L' U2 B' R2
U' D' B' U2 R B R
D' U' B' U2 R B R
D U' B' L F L U2
B2 U' F B U' R' U'
U D' B2 R B R F'
B2 U' F' B U' R' U'
B2 U' F2 B U' R' U'
B2 U' B U' R' U' D
B2 U' B U' R' U' D'
B2 U' B U' R' U' D2
B2 U' B U' R' D U'
B2 U' B U' R' D' U'
B2 U' B U' R' D2 U'
B2 U' B U' D R' U'
B2 U' B U' D' R' U'
B2 U' B U' D2 R' U'
B2 U' B D U' R' U'
B2 U' B D' U' R' U'
B2 U' B D2 U' R' U'
B2 U' B F U' R' U'
B2 U' B F' U' R' U'
B2 U' B F2 U' R' U'
B' U2 L2 R' F U' F'
B' U2 R' L2 F U' F'
B2 D L R2 U F' B'
B2 D L R2 U B' F'
B2 D L U B' D2 F2
B2 D L U' B U2 B2
B2 D L' U' F B U2
B2 D L' U' B F U2
B D L B2 R' B' U
B2 D R2 L U F' B'
B2 D R2 L U B' F'
B D' L R2 U2 F' U'
B D' L D' B U F2
B D' L B R2 U D
B D' L B R2 U D'
B D' L B R2 U D2
B D' L B R2 D U
B D' L B R2 D' U
B D' L B R2 D2 U
B D' L B U D' F2
