U2 L D R2 F' U'
D' L2 B U2 L' U'
B2 R' D' B' L2 U
B2 R' D2 B' U B'
B2 R' B' U D2 B2
B2 R' B' U' F2 U2
B2 R' B' D' L2 U
B2 R' B' D2 U B2
U2 D L R2 F' U'
U2 D R2 L F' U'
U2 D R2 F' L U'
U2 D R2 F' L U'
D U2 L R2 F' U'
D U2 R2 L F' U'
D U2 R2 F' L U'
B D' L2 R U F'
B D' R L2 U F'
B2 D' R' B' L2 U
B2 D2 R' B' U B'
L' B D2 R2 U B2
L B U' F2 U2 F2
D2 B2 R' B' U B
D' B2 R' B' L2 U
U2 L R2 D F' R2 U'
U2 L R2 D2 F' U' B2
U2 L R2 F' R2 U' B
U2 L R2 F' U F' U2
D L R2 F' U2 F U
U2 L U F2 U B U
U2 L U2 D' L2 B U
U2 L U2 D' B L2 U
U2 L U2 D2 B U B
F2 L U2 F2 B U B'
U2 L U2 B U D2 B2
U2 L U2 B U' F2 U2
U2 L U2 B D' L2 U
U2 L U2 B D2 U B2
F2 L U2 B F2 U B'
U2 L D R2 D F' U'
U2 L D R2 D' F' U'
U2 L D R2 D2 F' U'
U2 L D R2 F' U' D
U2 L D R2 F' U' D'
U2 L D R2 F' U' D2
U2 L D R2 F' D U'
U2 L D R2 F' D' U'
U2 L D R2 F' D2 U'
U2 L D F R2 F' U'
U2 L D F' R2 F' U'
U2 L D F2 R2 F' U'
B L D' L2 R U F'
B L D' R L2 U F'
B L D' R L2 U F'
U2 L D' U2 L2 B U
U2 L D' U2 B L2 U
U2 L D2 R2 F' U' B2
U2 L D2 U2 B U B
D L F R2 F' B U'
D L F R2 B F' U'
U2 L F' R2 F' U' B
U2 L F2 U2 B U B'
D L' R2 F' L2 B' U'
R2 L' D2 R2 B U B
D L' U2 L2 R2 F' U'
D L' U2 R2 L2 F' U'
D L' U2 R2 F' L2 U'
D' L' D L' B U F2
D2 L' D L2 B U F2
U2 L' D R2 F' U' F'
D2 L' D B L2 U F2
D' L' D B L' U F2
D L' D B U F2 B
D L' D B U B F2
B L' D' L2 R U F'
B L' D' R L2 U F'
D' L' D2 L' B R2 U
D L' D2 L2 B R2 U
B2 L' D2 R' B U B
D' L' D2 B L' R2 U
D' L' D2 B R2 L' U
D L' D2 B L2 R2 U
D L' D2 B R2 L2 U
D' L' B L' U2 L' U'
D2 L' B U D F2 B
D2 L' B U D B F2
D2 L' B U B D F2
D2 L' B U2 L2 U' B
D' L' B D L' U F2
D2 L' B D U F2 B
D2 L' B D U B F2
D' L' B D2 L' R2 U
D L' B U D F2 B2
D L' B U D B2 F2
D' L' B D2 R2 L' U
D L' B U2 L2 R2 U'
D L' B U2 R2 L2 U'
D L' B D U F2 B2
D L' B D U B2 F2
D L' B D2 L2 R2 U
D L' B D2 R2 L2 U
L' R2 D2 R2 B U B
B2 L2 R' D' L2 B' U
D' L2 R2 U2 L' F' U'
F2 L2 U F2 B R U
F2 L2 U B F2 R U
D' L2 U2 L' U2 B U
D L2 U2 L' R2 F' U'
D L2 U2 R2 L' F' U'
U2 L2 D L' R2 F' U'
U2 L2 D R2 L' F' U'
D' L2 D B U2 L' U'
B2 L2 D' L2 R' B' U
B2 L2 D' R' L2 B' U
B L2 D' L2 R U F'
B L2 D' R L2 U F'
D' L2 D' B U2 L' U'
D' L2 D2 B U2 L' U'
U' L2 F2 U B R U
D' L2 F2 B R F2 U
D' L2 B R U2 L' U'
D' L2 B R' U2 L' U'
D' L2 B R2 U2 L' U'
D2 L2 B U2 L' U' B
D' L2 B U2 L' U' D
D' L2 B U2 L' U' D'
D' L2 B U2 L' U' D2
D' L2 B U2 L' D U'
D' L2 B U2 L' D' U'
D' L2 B U2 L' D2 U'
D' L2 B U2 D L' U'
D' L2 B U2 D' L' U'
D' L2 B U2 D2 L' U'
D' L2 B D U2 L' U'
D' L2 B D' U2 L' U'
D' L2 B D2 U2 L' U'
D L2 B U2 L' R2 U'
D' L2 B F2 R F2 U
D L2 B U2 R2 L' U'
D R U2 L R F' U'
D R U2 R L F' U'
D R U2 R F' L U'
B R D' L2 R U F'
B R D' R L2 U F'
B2 R D' B' L2 U F2
B2 R B' R2 U D2 B2
B2 R B' R2 U' F2 U2
B2 R B' R2 D' L2 U
B2 R B' R2 D2 U B2
B2 R B' D' L2 U F2
D' R B2 L2 R' B U
D' R B2 R' L2 B U
D2 R B2 R' B U B'
D' R B2 R' B L2 U
B2 R' L2 D' L2 B' U
R' U' F2 U' L F U'
L2 U' F2 U B R U
R2 U' F2 U' F L U'
L U' F2 U B U F2
D2 R' U2 L F U' B2
B2 R' U' F2 U B' U
D R' U2 L R' F U'
D R' U2 L F R' U'
D R' U2 R' L F U'
B2 R' D B' U D B2
B2 R' D B' U2 R2 U'
B2 R' D B' D U B2
B2 R' D B' D2 L2 U
B2 R' D' L2 U2 F U'
R' U2 L D R2 F U'
R' U2 L D F R2 U'
B R' D' L2 R U F'
B R' D' R L2 U F'
R' U2 L D2 F U' B2
R' U2 L F U F U2
B2 R' D' B L2 B2 U
B2 R' D' B' L2 U D
B2 R' D' B' L2 U D'
B2 R' D' B' L2 U D2
B2 R' D' B' L2 D U
B2 R' D' B' L2 D' U
B2 R' D' B' L2 D2 U
B2 R' D' B' U D' B2
B2 R' D' B' D' U B2
B2 R' D' B2 L2 B U
R2 U2 L D F' R2 U'
R2 U2 L D2 F' U' B2
R2 U2 L F' R2 U' B
R2 U2 L F' U F' U2
B2 R' D2 B' U D B'
B2 R' D2 B' U D' B'
B2 R' D2 B' U D2 B'
B2 R' D2 B' U B' D
B2 R' D2 B' U B' D'
B2 R' D2 B' U B' D2
B2 R' D2 B' D U B'
B2 R' D2 B' D' U B'
B2 R' D2 B' D2 U B'
L2 U2 L' D R2 F' U'
L' U2 L2 D R2 F' U'
B2 R' B D' L2 U R2
B2 R' B' L U D2 B2
B2 R' B' L U' F2 U2
R' U2 D L R2 F U'
B2 R' B' L D' L2 U
B2 R' B' L D2 U B2
R' U2 D L F R2 U'
B2 R' B' L' U D2 B2
B2 R' B' L' U' F2 U2
B2 R' B' L' D' L2 U
B2 R' B' L' D2 U B2
B2 R' B' L2 U D2 B2
B2 R' B' L2 U' F2 U2
B2 R' B' L2 D' L2 U
B2 R' B' L2 D2 U B2
R' U2 D R2 L F U'
B2 R' B' U D2 B2 D
B2 R' B' U D2 B2 D'
B2 R' B' U D2 B2 D2
B2 R' B' U B D2 B2
B2 R' B' U B' D2 B2
B2 R' B' U B2 D2 B2
B2 R' B' U' F2 U2 D
B2 R' B' U' F2 U2 D'
B2 R' B' U' F2 U2 D2
B2 R' B' U' F2 D U2
B2 R' B' U' F2 D' U2
B2 R' B' U' F2 D2 U2
B2 R' B' U2 D R2 U'
L' U2 D R2 F' U' F'
B2 R' B' D U2 R2 U'
B2 R' B' D' L2 U D
B2 R' B' D' L2 U D'
B2 R' B' D' L2 U D2
B2 R' B' D' L2 D U
B2 R' B' D' L2 D' U
B2 R' B' D' L2 D2 U
L2 U2 D L' R2 F' U'
B2 R' B' D2 L U B2
B2 R' B' D2 L' U B2
B2 R' B' D2 L2 U B2
B2 R' B' D2 U B2 D
B2 R' B' D2 U B2 D'
B2 R' B' D2 U B2 D2
R2 U2 D L F' R2 U'
L2 U2 D R2 L' F' U'
R2 U2 D F' L R2 U'
R2 U2 D F' R2 L U'
R' U2 D2 L F U' B2
B2 R' B2 D' L2 B U
B2 R' B2 D' B L2 U
B2 R' B2 D2 B U B
U2 R2 L D F' R2 U'
U2 R2 L D2 F' U' B2
R2 U2 D2 L F' U' B2
U2 R2 L F' R2 U' B
U2 R2 L F' U F' U2
L U2 D' B L2 F U
D R2 L F' U2 F U
R2 U2 D2 F' L U' B2
D' R2 L2 U2 L' F' U'
D R2 L' F' L2 B' U'
R2 U2 F' L R2 U' B
R2 U2 F' L U F' U2
R2 U2 F' R2 L U' B
D2 R2 U2 L F' U' B2
D2 R2 U2 F' L U' B2
L U2 B D' L2 F U
U2 R2 D L F' R2 U'
U2 R2 D F' L R2 U'
U2 R2 D F' R2 L U'
B2 R2 D' R B' L2 U
B R2 D' L2 R U F'
B R2 D' R L2 U F'
B2 R2 D' B' L2 R U
B2 R2 D' B' R L2 U
U2 R2 D2 L F' U' B2
B2 R2 D2 R B' U B'
U2 R2 D2 F' L U' B2
B2 R2 D2 B' R U B'
U2 R2 F' L R2 U' B
U2 R2 F' L U F' U2
U2 R2 F' R2 L U' B
D R2 F' L2 B' L' U'
B2 R2 B' R U D2 B2
B2 R2 B' R U' F2 U2
B2 R2 B' R D' L2 U
B2 R2 B' R D2 U B2
B2 R2 B' D' L2 R U
B2 R2 B' D' R L2 U
B2 R2 B' D2 R U B2
L D R2 F' U2 F U
R' D U2 L R2 F U'
R' D U2 L F R2 U'
R' D U2 R2 L F U'
U2 D L R2 D F' U'
U2 D L R2 D' F' U'
U2 D L R2 D2 F' U'
U2 D L R2 F' U' D
U2 D L R2 F' U' D'
U2 D L R2 F' U' D2
U2 D L R2 F' D U'
U2 D L R2 F' D' U'
U2 D L R2 F' D2 U'
L' D U2 R2 F' U' F'
L2 D U2 L' R2 F' U'
R2 D U2 L F' R2 U'
U2 D L F R2 F' U'
L2 D U2 R2 L' F' U'
U2 D L F' R2 F' U'
U2 D L F2 R2 F' U'
R2 D U2 F' L R2 U'
R2 D U2 F' R2 L U'
U2 D L' R2 F' L2 U'
L D F R2 F' B U'
L D F R2 B F' U'
L' D B U F2 D B2
L' D B U2 R2 U' F2
B' U R' F' D' R2 B
L' D B D R2 U B2
L2 D B U2 L' R2 U'
L2 D B U2 R2 L' U'
U2 D R2 L D F' U'
U2 D R2 L D' F' U'
U2 D R2 L D2 F' U'
U2 D R2 L F' U' D
U2 D R2 L F' U' D'
U2 D R2 L F' U' D2
U2 D R2 L F' D U'
U2 D R2 L F' D' U'
U2 D R2 L F' D2 U'
U2 D R2 L' F' L2 U'
U2 D R2 D L F' U'
U2 D R2 D F' L U'
U2 D R2 D' L F' U'
U2 D R2 D' F' L U'
U2 D R2 D2 L F' U'
U2 D R2 D2 F' L U'
U2 D R2 F L F2 U'
U2 D R2 F' L U' D
U2 D R2 F' L U' D'
U2 D R2 F' L U' D2
U2 D R2 F' L D U'
U2 D R2 F' L D' U'
U2 D R2 F' L D2 U'
U2 D R2 F' D L U'
U2 D R2 F' D' L U'
U2 D R2 F' D2 L U'
U2 D F L R2 F' U'
D U R2 F' L U' L'
U2 D F R2 L F' U'
U2 D F R2 F' L U'
U D R2 F' L U' L'
U2 D F' L R2 F' U'
U2 D F' R2 L F' U'
U2 D F' R2 F' L U'
U2 D F2 L R2 F' U'
U2 D F2 R2 L F' U'
