R2 L U' F L' U2
L R2 U' F L' U2
R2 L U' F L' U2 D
R2 L U' F L' U2 D'
R2 L U' F L' U2 D2
R2 L U' F L' D U2
R2 L U' F L' D' U2
R2 L U' F L' D2 U2
R2 L U' F D L' U2
R2 L U' F D' L' U2
R2 L U' F D2 L' U2
B' L R2 U' F L' U2
B2 L R2 U' F L' U2
B L R2 U' F L' U2
R2 L D' L2 U B' R'
R2 L B U' F L' U2
R2 L B' U' F L' U2
R2 L B2 U' F L' U2
D' L B' L2 U F2 B'
D' L B' L2 U B' F2
R2 L' U D2 B R' B2
R2 L' U F' R F B'
R2 L' U F' R B' F
R2 L' U F' B' R F
R2 L' U B' F' R F
D' L B' U' F U2 F
R2 L' U B2 D2 B R'
R2 L' U' L2 F L' U2
R2 L' U' F' U2 R B'
R2 L' U' F' U2 B' R
R2 L' U' F2 U2 B' R'
R2 L' U2 F' U' R B'
R2 L' U2 F' U' B' R
R' L' D R' B U B2
L' R' D R' B U B2
L2 R' D2 R' U B R'
R2 L' D2 U B R' B2
R2 L' D2 B U R' B2
F L' U F' R2 U B'
D' L' U2 F U' F B'
D' L' U2 F U' B' F
R2 L' B2 U D2 B R'
R2 L' B2 D2 U B R'
L' R2 U D2 B R' B2
L' R2 U F' R F B'
L' R2 U F' R B' F
L' R2 U F' B' R F
L2 R2 U D2 R' B R'
R2 L2 U D2 R' B R'
L2 R2 U D2 B R' B
R2 L2 U D2 B R' B
L' R2 U B' F' R F
L' R2 U B2 D2 B R'
L' R2 U' L2 F L' U2
L2 R2 U' L' F L' U2
R2 L2 U' L' F L' U2
L' R2 U' F' U2 R B'
L' R2 U' F' U2 B' R
L' R2 U' F2 U2 B' R'
L2 R2 U' F L' F U2
R2 L2 U' F L' F U2
L R2 U' F L' U2 D
L R2 U' F L' U2 D'
L R2 U' F L' U2 D2
L R2 U' F L' D U2
L R2 U' F L' D' U2
L R2 U' F L' D2 U2
L R2 U' F D L' U2
L R2 U' F D' L' U2
L R2 U' F D2 L' U2
L' R2 U2 F' U' R B'
L' R2 U2 F' U' B' R
L2 R2 D' L B' L U
R2 L2 D' L B' L U
L R2 D' L2 U B' R'
L2 R2 D' B' L B' U
R' L2 D2 R' U B R'
R2 L2 D' B' L B' U
L' R2 D2 U B R' B2
L2 R2 D2 U R' B R'
L2 R2 D2 U B R' B
L' R2 D2 B U R' B2
R2 L2 D2 U R' B R'
R2 L2 D2 U B R' B
L2 R2 D2 B U R' B
R2 L2 D2 B U R' B
L R2 B U' F L' U2
L R2 B' U' F L' U2
L' R2 B2 U D2 B R'
L' R2 B2 D2 U B R'
L R2 B2 U' F L' U2
L' U F D' F2 R B'
L' U F D' F2 B' R
L' U F D' B' F2 R
L' U F B' D' F2 R
L' U F' D' R F2 B'
L' U F' D' R B' F2
L' U F' D' B' R F2
L' U F' B' D' R F2
L' U B' F D' F2 R
L' U B' F' D' R F2
R2 U' F L' U' R U'
L U' F L' U R2 U
L U' F L' U2 D' F2
L U' F L' D B2 U2
L U' F L' D' U2 F2
L U' F U2 D' F2 R
L U' F D L' B2 U2
L U' F D B2 L' U2
L U' F D' L' U2 F2
L U' F D' U2 F2 R
R2 U' F' U L' U R
R2 U2 R U' D2 B R'
R2 U2 R D2 U' B R'
R2 U2 R F' U' B R
R2 U2 R' U F' U2 R
R2 U2 D R F' U' B
B' R2 L U' F L' U2
B2 R2 L U' F L' U2
B R2 L U' F L' U2
R2 U2 D2 R U' B R'
R2 U2 F' R' U' R2 B
R2 U2 F' R2 U' R' B
R' D L' R' B U B2
F' R2 F L' U R' B'
R' D R' L' B U B2
R' D R' B L' U B'
R2 D U2 R F' U' B
L2 D' L B' L U F2
R2 D' L B' L2 U B'
R2 D' L B' U' F U2
R2 D' L' U2 F U' B'
L D' L2 U F2 B' R'
L D' L2 U B' R' F2
L D' L2 U B' F2 R'
L2 D' B' L B' U F2
R2 D2 L' U B R' B2
R2 D2 L' B U R' B2
D2 U2 L2 R U' B R'
U2 D2 L2 R U' B R'
D2 U2 R L2 U' B R'
U2 D2 R L2 U' B R'
R2 D2 U2 R U' B R'
R2 D2 B L' U R' B'
F' U2 R2 F U R' B
L F L' U F' R2 U
L' F' R2 F U R' B'
U' F' U L' R2 U R'
U' F' U R2 L' U R'
R2 B L U' F L' U2
L B R2 U' F L' U2
R2 B' L U' F L' U2
L B' R2 U' F L' U2
R2 B2 L U' F L' U2
L' B2 R2 U' F' U2 R
L B2 R2 U' F L' U2
