D2 R' B U F2 B'
D2 R' B U B' F2
D' R2 B U R' B'
L D' R2 B' U B
L D2 B' U F2 B
L D2 B' U B F2
D' B R2 U R B'
D' B R2 U B' R
L B' L2 U F B
L B' L2 U B F
L B' U B D2 F2
L B' U' B' U2 B2
D2 L R' B U F2 B'
D2 L R' B U B' F2
D' L R2 B U R' B'
R' L D' R2 B' U B
R2 L D' R2 B' U B
L R D' R2 B' U B
R L D' R2 B' U B
R' L D2 B' U F2 B
R' L D2 B' U B F2
U L D L2 F U' L
R2 L D2 B' U F2 B
R2 L D2 B' U B F2
L R D2 B' U F2 B
L R D2 B' U B F2
R L D2 B' U F2 B
R L D2 B' U B F2
R' L B' L2 U F B
R' L B' L2 U B F
R2 L B' L2 U F B
R2 L B' L2 U B F
L R B' L2 U F B
L R B' L2 U B F
R L B' L2 U F B
R L B' L2 U B F
R' L B' U B D2 F2
R' L B' U' B' U2 B2
R2 L B' U B D2 F2
L R B' U B D2 F2
L R B' U' B' U2 B2
R2 L B' U' B' U2 B2
R L B' U B D2 F2
R L B' U' B' U2 B2
D' L B R2 U R B'
D' L B R2 U B' R
B' L B' L U F B2
B' L B' L U B2 F
B2 L B' R2 U F' B'
B2 L B' R2 U B' F'
B2 L B' U B' D2 F2
B2 L B' U' B U2 B2
U' L B2 U L' B U
U' L B2 U B L' U
D2 L' R' B U F2 B'
D2 L' R' B U B' F2
L R' D' R2 B' U B
D' L' R2 B U R' B'
L R' D2 B' U F2 B
L R' D2 B' U B F2
B2 L' U2 F U' F' B2
B2 L' U2 F U' B2 F'
U L' D F L2 U' L'
L R' B' L2 U F B
L R' B' L2 U B F
L R' B' U B D2 F2
L R' B' U' B' U2 B2
U L' D2 F U' F L
U2 L' F U F' B2 U2
U2 L' F U B2 F' U2
U L' F U B2 R' U2
U L' F U' L D2 F2
U L' F U' D2 L F2
U L' F U' D2 F2 L
U L' F D L2 U' L'
U L' F D2 U' L F2
U L' F D2 U' F2 L
D' L' B R2 U R B'
D' L' B R2 U B' R
U' L' B2 U' R' F U'
U' L' B2 U' F R' U'
L R2 D' R2 B' U B
U2 L' B2 U' F B2 U'
U2 L' B2 U' B2 F U'
L R2 D2 B' U F2 B
L R2 D2 B' U B F2
D2 L2 R' B U F2 B'
D2 L2 R' B U B' F2
D' L2 R2 B U R' B'
B' L2 U F B' R' B2
B' L2 U B' R' F B2
B' L2 U B' R' B2 F
B' L2 U B' F R' B2
B L2 U' F B U2 R
B L2 U' B F U2 R
L R2 B' L2 U F B
L R2 B' L2 U B F
L R2 B' U B D2 F2
L R2 B' U' B' U2 B2
D' L2 B R2 U R B'
D' L2 B R2 U B' R
L' U D F L2 U' L2
U L2 B' U' L2 F R
L U D L2 F U' L2
B' L2 B2 U F B' R'
B' L2 B2 U B' R' F
B' L2 B2 U B' F R'
L' U F D L2 U' L2
D2 R D R2 B U B'
