L U' F L' B' U
L2 D' L B' L R'
L2 D' L B' R' L
L2 D' B' L R' B'
L2 D' B' R' L B'
B' L R' U' F L' U
R' L U' F L' B' U
R2 L U' F L' B' U
L R U' F L' B' U
R L U' F L' B' U
B' L U' F L' U R'
D' L U' F U B' R'
L2 R D' L B' L R'
L2 R D' L B' R' L
L2 R D' B' L R' B'
L2 R D' B' R' L B'
B' L F L' U F' R'
D' L B' R' U' F U
D' L B' U' F U R'
L R' U' F L' B' U
L2 R' D' L B' L R'
L2 R' D' L B' R' L
L2 R' D' B' L R' B'
L2 R' D' B' R' L B'
B' L' D R' B D L2
L R2 U' F L' B' U
B2 L' B D L2 R' B
B2 L' B D R' L2 B
B2 L' B D R' B L2
R' L2 D' L B' L R'
R' L2 D' L B' R' L
L2 R2 D' L B' L R'
L2 R2 D' L B' R' L
R2 L2 D' L B' L R'
R2 L2 D' L B' R' L
R L2 D' L B' L R'
R L2 D' L B' R' L
R' L2 D' B' L R' B'
R' L2 D' B' R' L B'
L2 R2 D' B' L R' B'
L2 R2 D' B' R' L B'
R2 L2 D' B' L R' B'
R2 L2 D' B' R' L B'
R L2 D' B' L R' B'
R L2 D' B' R' L B'
B' L2 R' D' L B' L
B' L2 R' D' B' L B'
B' L2 D' L R' B' L
D' L2 D' L' B' L R'
D' L2 D' L' B' R' L
B' L2 D' R' L B' L
B' L2 D' R' B' L B'
D2 L2 D' B' L R' B
D2 L2 D' B' R' L B
L' U R' F' R B' U'
L' U R' F' B' R U'
L' U R' B' F' R U'
L' U B' R' F' R U'
L2 U' L' F B' L' U
L2 U' L' B' F L' U
B' R' L U' F L' U
L2 U' F L' F B' U
L2 U' F L' B' F U
L U' F L' D B' U
L U' F L' D' B' U
L U' F L' D2 B' U
L U' F L' B' U D
L U' F L' B' U D'
L U' F L' B' U D2
L U' F L' B' D U
L U' F L' B' D' U
L U' F L' B' D2 U
B' R' L2 D' L B' L
B' R' L2 D' B' L B'
L U' F D L' B' U
L U' F D' L' B' U
L U' F D2 L' B' U
L U' F B L' B' U
L U' F B' L' B' U
L U' F B2 L' B' U
L U' B F L' B' U
L U' B' F L' B' U
L U' B2 F L' B' U
U R' F' R B U' L
U R' F' B R U' L
U R' B F' R U' L
L2 D' L R B' L R'
L2 D' L R B' R' L
L2 D' L R' B' L R'
L2 D' L R' B' R' L
L2 D' L R2 B' L R'
L2 D' L R2 B' R' L
L2 D' L B' L R' D
L2 D' L B' L R' D'
L2 D' L B' L R' D2
L2 D' L B' L D R'
L2 D' L B' L D' R'
L2 D' L B' L D2 R'
L2 D' L B' R' L D
L2 D' L B' R' L D'
L2 D' L B' R' L D2
L2 D' L B' R' D L
L2 D' L B' R' D' L
L2 D' L B' R' D2 L
L2 D' L B' D L R'
L2 D' L B' D R' L
L2 D' L B' D' L R'
L2 D' L B' D' R' L
L2 D' L B' D2 L R'
L2 D' L B' D2 R' L
L D' L D' B' L R'
L D' L D' B' R' L
D2 U B R' F' U' L
D' U B U' L B' R'
L2 D' R L B' L R'
L2 D' R L B' R' L
L2 D' R B' L R' B'
L2 D' R B' R' L B'
L2 D' R' L B' L R'
L2 D' R' L B' R' L
L2 D' R' B' L R' B'
L2 D' R' B' R' L B'
L2 D' R2 L B' L R'
L2 D' R2 L B' R' L
L2 D' R2 B' L R' B'
L2 D' R2 B' R' L B'
L2 D' B' L R B' R2
L2 D' B' L R' D B'
L2 D' B' L R' D' B'
L2 D' B' L R' D2 B'
L2 D' B' L R' B' D
L2 D' B' L R' B' D'
L2 D' B' L R' B' D2
L2 D' B' L R2 B' R
L2 D' B' L D R' B'
L2 D' B' L D' R' B'
L2 D' B' L D2 R' B'
L2 D' B' R L B' R2
L2 D' B' R' L D B'
L2 D' B' R' L D' B'
L2 D' B' R' L D2 B'
L2 D' B' R' L B' D
L2 D' B' R' L B' D'
L2 D' B' R' L B' D2
L2 D' B' R2 L B' R
L2 D' B' D2 L R' B
L2 D' B' D2 R' L B
U D' B U' L B' R'
U D2 B R' F' U' L
U' F L' F2 B' U L'
U' F L' B' U' R U2
U' F L' B' F2 U L'
L F L' B' U F' R'
B' D L' R' B D L2
B' D R' L' B D L2
L F B' L' U F' R'
L' F' R B' U' R' F
L' F' R B' U' F R'
L' F' B' R U' R2 F
L' F' B' R U' F R2
U B R' F' R U' L
U B U' D' L B' R'
L' B D B2 L2 R' B
L' B D B2 R' L2 B
L' B D B2 R' B L2
L2 B D' B' L B' R'
U B D' U' L B' R'
D2 B' L F U F' R'
D B' L' R' B D L2
L2 B' R' D' L B' L
L2 B' R' D' B' L B'
D B' R' L' B D L2
L B' R' U' F L' U
L B' U' F L' U R'
L2 B' D' L R' B' L
L2 B' D' R' L B' L
L2 B' D' R' B' L B'
L' B' F' R U' R2 F
L' B' F' R U' F R2
L B' F L' U F' R'
