R2 U2 B' R' F' U
B2 R2 F' L' B' U'
B' L D F R U B2
B' L D2 F L2 R U
B' L D2 F R L2 U
B' L F R U2 R U'
B' L F D R U B2
B' L F D2 L2 R U
B' L F D2 R L2 U
B2 L' R2 F' B' L' U'
B2 L' R2 B' F' L' U'
R2 L' F' B' L' F U'
B' L' D2 L2 F R U
R2 L' B' F' L' F U'
B' L' B' R2 F' L' U'
F' L2 R2 F L B' U'
L' R2 F' B' L' F U'
L' R2 B' F' L' F U'
F' L2 F L R2 B' U'
F' L2 F L B' R2 U'
F' L2 F R2 L B' U'
B' R U2 R B L U'
F R B' U2 R B U'
R2 U2 R' F' B' R' U
R2 U2 R' B' F' R' U
B R' B2 L F R U
R2 U2 D B' R' F' U
R2 U2 D' B' R' F' U
R2 U2 D2 B' R' F' U
B2 R2 L' F' B' L' U'
B2 R2 L' B' F' L' U'
F' R2 L2 F L B' U'
R2 U2 F B' R' F' U
R2 U2 F' B' R' F' U
R2 U2 F2 B' R' F' U
F R2 U2 R' F' B' U
F R2 U2 R' B' F' U
R2 U2 B' R' D F' U
R2 U2 B' R' D' F' U
R2 U2 B' R' D2 F' U
R2 U2 B' R' F' U D
R2 U2 B' R' F' U D'
R2 U2 B' R' F' U D2
R2 U2 B' R' F' D U
R2 U2 B' R' F' D' U
R2 U2 B' R' F' D2 U
R2 U2 B' D R' F' U
R2 U2 B' D' R' F' U
R2 U2 B' D2 R' F' U
B2 R2 D F' L' B' U'
R2 U2 B' F R' F' U
R2 U2 B' F' R' F' U
R2 U2 B' F2 R' F' U
B2 R2 D' F' L' B' U'
B2 R2 D2 F' L' B' U'
B2 R2 F' L' D B' U'
B2 R2 F' L' D' B' U'
B2 R2 F' L' D2 B' U'
B2 R2 F' L' B' U' D
B2 R2 F' L' B' U' D'
B2 R2 F' L' B' U' D2
B2 R2 F' L' B' D U'
B2 R2 F' L' B' D' U'
B2 R2 F' L' B' D2 U'
B2 R2 F' D L' B' U'
B2 R2 F' D' L' B' U'
B2 R2 F' D2 L' B' U'
B2 R2 F' B L' B' U'
B2 R2 F' B' L' B' U'
B2 R2 F' B2 L' B' U'
B2 R2 B F' L' B' U'
B2 R2 B' F' L' B' U'
B2 R2 B2 F' L' B' U'
R2 D U2 B' R' F' U
B' U D B L F B
B' U D B L B F
U2 D B' R' F' U B'
B' U B L D F B2
B' U B L D B2 F
B' U B L F D B2
B' U B D L F B2
B' U B D L B2 F
B' U B' D B2 L F
R2 D' U2 B' R' F' U
R2 D2 U2 B' R' F' U
B' U2 R B L R U'
B' U2 R B R L U'
D2 U2 B' L2 R' F' U
D2 U2 B' R' L2 F' U
D2 U2 B' R' F' L2 U
U2 D2 B' L2 R' F' U
U2 D2 B' R' L2 F' U
U2 D2 B' R' F' L2 U
D U2 B' R' F' U B'
L2 F R2 B2 L B' U'
B' D L F R U B2
B' D U B L F B
B' D U B L B F
L2 F' L' F2 R2 B U'
R2 F' L2 F L B' U'
B2 D B U B L F
L' F' R2 B' L' F U'
L' F' B' L' R2 F U'
L' F' B' L' F R2 U'
L' F' B' R2 L' F U'
B' D2 L F L R U
B' D2 L F R L U
B' F R U2 R B U'
U B D L F B2 R'
U B D L B2 R' F
U B D L B2 F R'
D2 B' L F L R U
D2 B' L F R L U
U2 B' R' F' U2 R' U'
L' B' R2 F' L' F U'
B2 F' L' R2 F' B' U'
B2 F' L' R2 B' F' U'
B' F' L' B' R2 F' U'
F' B' L' B' R2 F' U'
D B' U B L F B2
D B' U B L B2 F
U2 B' D R' F' U B2
F B' R U2 R B U'
B2 F' R2 L' F' B' U'
B2 F' R2 L' B' F' U'
R B' U2 R B L U'
U2 B' D2 L2 R' F' U
U2 B' D2 R' L2 F' U
U2 B' D2 R' F' L2 U
L' B' F' L' R2 F U'
L' B' F' L' F R2 U'
L' B' F' R2 L' F U'
R' B2 L F B R U
R' B2 L B F R U
F' B2 L' R2 F' B' U'
F' B2 L' R2 B' F' U'
F' B2 R2 L' F' B' U'
F' B2 R2 L' B' F' U'
