D2 B2 U B L F
F' L' D F' R B' U'
F' L' D F' B' R U'
F' L' D B' F' R U'
F' L' B' D F' R U'
U' R D R2 F' B' L'
U' R D R2 B' F' L'
U2 R F2 B L U' B2
U2 R B L F2 U' B2
U2 R B F2 L U' B2
D2 R B2 U B L F
D R' U' R' F' B' L'
D R' U' R' B' F' L'
U' R' D F' R2 B' L'
U' R' D F' B' L' R2
U' R' D F' B' R2 L'
U' R' D B' F' L' R2
U' R' D B' F' R2 L'
U' R' F2 U' F B' L'
U' R' F2 U' B' F L'
U' R' B' D F' L' R2
U' R' B' D F' R2 L'
D2 R' B2 U B L F
D2 R2 B2 U B L F
U' D R' F' R' B' L'
D U R2 B L F B2
D U R2 B L B2 F
B2 U D B L R2 F
B2 U D B L F R2
B2 U D B R2 L F
U D R2 B L F B2
U D R2 B L B2 F
D' U B L F B2 R'
D' U B L B2 R' F
D' U B L B2 F R'
D U B L R2 F B2
D U B L R2 B2 F
D U B L F R2 B2
D U B L F B2 R2
D U B L B2 R2 F
D U B L B2 F R2
U' D B' R' F' L' R'
U' D B' R' F' R' L'
D U B R2 L F B2
D U B R2 L B2 F
U D B L R2 F B2
U D B L R2 B2 F
U D B L F R2 B2
U D B L F B2 R2
U D B L B2 R2 F
U D B L B2 F R2
U D B R2 L F B2
U D B R2 L B2 F
B2 U B L D R2 F
B2 U B L D F R2
B2 U B D L R2 F
B2 U B D L F R2
B2 U B D R2 L F
U' D' L2 F R B U2
D' U' L2 F R B U2
D U' R' F' R' B' L'
F2 U' D' F' B' L' F
U D' B L F B2 R'
F2 U' D' B' F' L' F
U D' B L B2 R' F
U D' B L B2 F R'
D U' B' R' F' L' R'
D U' B' R' F' R' L'
F2 U' B' D' F' L' F
F2 U2 R' F' R U B'
R' D2 B2 U B L F
R2 D2 B2 U B L F
R D2 B2 U B L F
L F L' R U B' R'
D2 F R B2 U B L
B2 U2 F2 U' B L F
L F R L' U B' R'
F2 D R U' F' B' L'
F2 D R U' B' F' L'
B2 D U B L R2 F
B2 D U B L F R2
B2 D U B R2 L F
F2 D' U' F' B' L' F
F2 D' U' B' F' L' F
U2 F2 R B L U' B2
U2 F2 U' B L F B2
U2 F2 U' B L B2 F
F2 D2 L' B' L U' B'
L F2 U2 F' R U B
U B L B2 D R2 F
U B L B2 D F R2
F' B L' F' B' U' B'
F' B L' B' F' U' B'
U' B' R D R2 F' L'
U' B' R' D F' L' R2
U' B' R' D F' R2 L'
B' F' L' F' B' U' B
B' F' L' B' F' U' B
F' B' L' F' B' U' B
B2 F' L' F' B' U' B2
F' B' L' B' F' U' B
B2 F' L' B' F' U' B2
B F' L' F' B' U' B'
B F' L' B' F' U' B'
U' B' D R' F' L' R'
U' B' D R' F' R' L'
F' B2 L' F' B' U' B2
F' B2 L' B' F' U' B2
D2 B2 U L F B L
D2 B2 U L B F L
D2 B2 U D B L F
D2 B2 U D' B L F
D2 B2 U D2 B L F
D2 B2 U F B L F
D2 B2 U F' B L F
D2 B2 U F2 B L F
D2 B2 U B L D F
D2 B2 U B L D' F
D2 B2 U B L D2 F
D2 B2 U B L F D
D2 B2 U B L F D'
D2 B2 U B L F D2
D2 B2 U B D L F
D2 B2 U B D' L F
D2 B2 U B D2 L F
D2 B2 U B F L F
D2 B2 U B F' L F
D2 B2 U B F2 L F
D B2 U B L R2 F
D B2 U B L F R2
D B2 U B R2 L F
D2 B2 D U B L F
D2 B2 D' U B L F
D2 B2 D2 U B L F
