R2 U R F' B L
R2 U R B L F'
R2 U R B F' L
R2 U' R F' L' B'
R U' R2 F' L' B'
R' L' B' R' U' R F'
L' R' B' R' U' R F'
R2 L' B' R' U' R2 F'
L' R2 B' R' U' R2 F'
R2 U L R F' B L
R2 U L R B L F'
R2 U L R B F' L
R2 U L' R F' B L
R2 U L' R B L F'
R2 U L' R B F' L
R2 U L2 R F' B L
R2 U L2 R B L F'
R2 U L2 R B F' L
R2 U R L F' B L
R2 U R L B L F'
R2 U R L B F' L
R2 U R L' F' B L
R2 U R L' B L F'
R2 U R L' B F' L
R2 U R L2 F' B L
R2 U R L2 B L F'
R2 U R L2 B F' L
R2 U R D F' B L
R2 U R D B L F'
R2 U R D B F' L
R2 U R D' F' B L
R2 U R D' B L F'
R2 U R D' B F' L
R2 U R D2 F' B L
R2 U R D2 B L F'
R2 U R D2 B F' L
R2 U R F B L F2
R2 U R F' L B L
R2 U R F' L' B L
R2 U R F' L2 B L
R2 U R F' D B L
R2 U R F' D' B L
R2 U R F' D2 B L
R2 U R F' B L D
R2 U R F' B L D'
R2 U R F' B L D2
R2 U R F' B D L
R2 U R F' B D' L
R2 U R F' B D2 L
R2 U R B L D F'
R2 U R B L D' F'
R2 U R B L D2 F'
R2 U R B L F' D
R2 U R B L F' D'
R2 U R B L F' D2
R2 U R B L' F' L2
R2 U R B D L F'
R2 U R B D F' L
R2 U R B D' L F'
R2 U R B D' F' L
R2 U R B D2 L F'
R2 U R B D2 F' L
R2 U R B F L F2
R2 U R B F' L D
R2 U R B F' L D'
R2 U R B F' L D2
R2 U R B F' D L
R2 U R B F' D' L
R2 U R B F' D2 L
R U R B L R F'
R U R B R L F'
R U R B R F' L
L U F R U B R2
D2 R U' R2 F' L' B'
D' R U' R2 F' L' B'
F' R U' R2 F' L' B'
F2 R U' R2 F' L' B'
D R U' R2 F' L' B'
R2 U B L R F' B
R2 U B L R B F'
F R U' R2 F' L' B'
R2 U B R L F' B
R2 U B R L B F'
R2 U B R F' L B
R2 U' L' R F' B' L'
R2 U' L' R B' F' L'
R U' L' R2 F' B' L'
R U' L' R2 B' F' L'
R2 U' L' B' R F' L'
R2 U' R L' F' B' L'
R2 U' R L' B' F' L'
R2 U' R D F' L' B'
R2 U' R D' F' L' B'
R2 U' R D2 F' L' B'
R2 U' R F' L' D B'
R2 U' R F' L' D' B'
R2 U' R F' L' D2 B'
R2 U' R F' L' B' D
R2 U' R F' L' B' D'
R2 U' R F' L' B' D2
R2 U' R F' D L' B'
R2 U' R F' D' L' B'
R2 U' R F' D2 L' B'
R2 U' R F' B L' B'
R2 U' R F' B' L' B'
R2 U' R F' B2 L' B'
R2 U' R B F' L' B'
R2 U' R B' F' L' B'
R2 U' R B2 F' L' B'
R U' R2 L' F' B' L'
R U' R2 L' B' F' L'
R U' R2 D F' L' B'
R U' R2 D' F' L' B'
R U' R2 D2 F' L' B'
R U' R2 F' L' D B'
R U' R2 F' L' D' B'
R U' R2 F' L' D2 B'
R U' R2 F' L' B' D
R U' R2 F' L' B' D'
R U' R2 F' L' B' D2
R U' R2 F' D L' B'
R U' R2 F' D' L' B'
R U' R2 F' D2 L' B'
R U' R2 F' B L' B'
R U' R2 F' B' L' B'
R U' R2 F' B2 L' B'
R U' R2 B F' L' B'
R U' R2 B' F' L' B'
R U' R2 B2 F' L' B'
R U' F' L' R2 F' B'
R U' F' L' R2 B' F'
R U' F' R2 L' F' B'
R U' F' R2 L' B' F'
B' R' U' D2 F' L' R
B' R' U' D2 F' R L'
R2 U' B R F' L' B'
R2 U' B' R F' L' B'
R2 U' B2 R F' L' B'
B' R' D2 U' F' L' R
B' R' D2 U' F' R L'
B' R' B U' F' L' R'
B' R' B U' F' R' L'
D2 R2 U R F' B L
D2 R2 U R B L F'
D2 R2 U R B F' L
D' R2 U R F' B L
D' R2 U R B L F'
D' R2 U R B F' L
F' R2 U R F' B L
F' R2 U R B L F'
F' R2 U R B F' L
F2 R2 U R F' B L
F2 R2 U R B L F'
F2 R2 U R B F' L
D R2 U R F' B L
D R2 U R B L F'
D R2 U R B F' L
D2 R2 U' R F' L' B'
D' R2 U' R F' L' B'
F R2 U R F' B L
F R2 U R B L F'
F R2 U R B F' L
F' R2 U' R F' L' B'
F2 R2 U' R F' L' B'
D R2 U' R F' L' B'
F R2 U' R F' L' B'
L F R2 U R F' B
L F R2 U R B F'
R F U' R2 F' L' B'
R F' U' R2 F' L' B'
R F2 U' R2 F' L' B'
B' D2 R' U' F' L' R
B' D2 R' U' F' R L'
R' B' R' U' R F' L'
L' B' R' U' D2 F' R
L' B' R' D2 U' F' R
R2 B' R' U' R2 F' L'
L' B' D2 R' U' F' R
