F2 U B' R' F' U2
B L D2 F B2 U F
B L D2 B2 F U F
B' L' U' R' F2 B' U'
B' L' U' R' B' F2 U'
B' L' U' F2 R' B' U'
F2 L' D' B' L R' U'
F2 L' D' B' R' L U'
F2 L' B' L' R' U' F
F2 L' B' R' L' U' F
F2 L2 U' D F L' B'
F2 L2 D U' F L' B'
F2 R U B' R' F' U2
L2 U' D R2 F L' B'
L2 U' D F L' R2 B'
L2 U' D F L' B' R2
L2 U' D F R2 L' B'
F2 R' U B' R' F' U2
F2 R2 U B' R' F' U2
L2 D U' R2 F L' B'
L2 D U' F L' R2 B'
L2 D U' F L' B' R2
L2 D U' F R2 L' B'
F2 U R B' R' U2 B2
F2 U R B' U2 B2 L
F2 U R' F' B' R' U2
F2 U R' B' F' R' U2
F2 U R2 B' R' U2 B
F2 U D B' R' F' U2
F2 U D' B' R' F' U2
F2 U D2 B' R' F' U2
F2 U F B' R' F' U2
D' U B' L2 R' F' U2
D' U B' R' L2 F' U2
D' U B' R' F' L2 U2
F2 U F' B' R' F' U2
D U B' R' F' U2 R'
U' D B2 R2 F' L' B'
U D B' R' F' U2 R'
F2 U F2 B' R' F' U2
F2 U B' R' D F' U2
F2 U B' R' D' F' U2
F2 U B' R' D2 F' U2
F2 U B' R' F' U2 D
F2 U B' R' F' U2 D'
F2 U B' R' F' U2 D2
F2 U B' R' F' D U2
F2 U B' R' F' D' U2
F2 U B' R' F' D2 U2
F2 U B' D R' F' U2
F2 U B' D' R' F' U2
F2 U B' D2 R' F' U2
F2 U B' F R' F' U2
F2 U B' F' R' F' U2
F2 U B' F2 R' F' U2
F2 U' L' F' B' L' F
F2 U' L' B' F' L' F
U D' B' L2 R' F' U2
U D' B' R' L2 F' U2
U D' B' R' F' L2 U2
D U' B2 R2 F' L' B'
F2 U' F' L2 F L B'
B' U' F2 D R' B U'
F2 D U B' R' F' U2
F2 D' U B' R' F' U2
L2 F2 L2 U' F' L' B'
R' F2 U B' R' F' U2
R2 F2 U B' R' F' U2
R F2 U B' R' F' U2
B D2 L F B2 U F
B D2 L B2 F U F
L' F2 D' B' L R' U'
L' F2 D' B' R' L U'
L' F2 B' L' R' U' F
L' F2 B' R' L' U' F
F2 D2 U B' R' F' U2
L' B' L' R' F2 U' F'
L' B' R' L' F2 U' F'
L' B' R' F2 L' U' F
U B' R' U2 D R2 B
U B' R' D U2 R2 B
U B' R' D F' U2 R2
U B' R' D' L2 F' U2
U B' R' D' F' L2 U2
U B' R' F' U' F' U'
U B' D R' F' U2 R'
U B' D' L2 R' F' U2
B' F' U' F' R' U' L'
U B' D' R' L2 F' U2
U B' D' R' F' L2 U2
F' B' U' F' R' U' L'
L' B' F2 L' R' U' F
L' B' F2 R' L' U' F
U' B2 D R2 F' L' B'
