F2 L' R2 B' U' R2
F2 L' B' R2 U' R2
U' R F' U L' B'
R U2 R B U' R2
R2 U2 R' F' U R'
F2 R2 L' B' U' R2
U R2 B U' L F
D2 L R F L U R'
U' L R F' U L' B'
D L R F U R' B2
L' R U2 R B' U' R2
R2 L U2 R' F U R'
U L R2 B U' L F
R2 L U2 F R' U R'
F2 L U L2 R2 B' U'
F2 L U L2 B' R2 U'
F2 L U R2 L2 B' U'
D2 L U' R F L U
D L U' R F U B2
L R F U D R' B
R L F U D R' B
L R F D U R' B
R L F D U R' B
L R F2 L' F' U R'
L2 R F2 L' F U R'
R L F2 L' F' U R'
D L B2 U' R F U
R L' U2 R B' U' R2
U' L' R F' U L' B'
F2 L' R2 D' F2 B' U'
F2 L' R2 D' B' F2 U'
F2 L' R2 F B' U' R2
F2 L' R2 F' B' U' R2
F2 L' R2 F2 B' U' R2
F2 L' R2 B' U' R2 D
F2 L' R2 B' U' R2 D'
F2 L' R2 B' U' R2 D2
F2 L' R2 B' D' F2 U'
F2 L' R2 B' F U' R2
F2 L' R2 B' F' U' R2
F2 L' R2 B' F2 U' R2
U L' R2 B U' L F
F2 L' U B' R2 U' F'
R2 L' B2 L B U' R2
F2 L' F R2 B' U' R2
F2 L' F B' R2 U' R2
F2 L' F' R2 B' U' R2
F2 L' F' B' R2 U' R2
F2 L' F2 R2 B' U' R2
F2 L' F2 B' R2 U' R2
F2 L' B R2 B2 U' R2
L R2 U2 R' F U R'
L R2 U2 F R' U R'
F2 L' B' R2 U' R2 D
F2 L' B' R2 U' R2 D'
F2 L' B' R2 U' R2 D2
F2 L' B' R2 D' F2 U'
F2 L' B' R2 F U' R2
F2 L' B' R2 F' U' R2
F2 L' B' R2 F2 U' R2
F2 L' B' F R2 U' R2
F2 L' B' F' R2 U' R2
F2 L' B' F2 R2 U' R2
U' L2 R F' U L' B'
F2 L2 U L R2 B' U'
F2 L2 U L B' R2 U'
U L2 R2 B U' L F
F2 L2 U R2 L B' U'
R L2 F2 L' F U R'
L' R2 B2 L B U' R2
L2 R2 B2 L B' U' R2
R2 L2 B2 L B' U' R2
D2 L2 D2 R F' U R'
R U R' D B L B
R U R' B L D B2
R U R' B D L B2
R U R' B' D B2 L
L' U R2 B2 L B U'
L U R2 U2 R' F U
L U R2 U2 F R' U
L2 U R2 B2 L B' U'
D2 R L F L U R'
U' R L F' U L' B'
D R L F U R' B2
U' R L' F' U L' B'
U' R L2 F' U L' B'
D R U R' B L B
L' U B R2 B2 L U'
B' R U2 R B U' R2
U' R U2 R B U' L
B2 R U2 R B U' R2
B R U2 R B U' R2
U' R U2 B R U' L
L' U B' R2 U2 R' U
U2 R U2 B R U' R'
U' R D F' U L' B'
U' R D' F' U L' B'
U' R D2 F' U L' B'
U' R F' U L' D B'
U' R F' U L' D' B'
U' R F' U L' D2 B'
U' R F' U L' B' D
U' R F' U L' B' D'
U' R F' U L' B' D2
U' R F' U D L' B'
U' R F' U D' L' B'
U' R F' U D2 L' B'
U' R F' U B L' B'
U' R F' U B' L' B'
U' R F' U B2 L' B'
U' R F' D U L' B'
U' R F' D' U L' B'
L' U' R U2 R B' U'
U' R F' D2 U L' B'
L' U' R U2 B' R U'
U' R F2 L' F U L'
L2 U' R F2 L' F U
U' R F2 D' L' F U
L U' R F2 L' F' U
L U' D R F U B2
L' U' D2 L2 R F U
L' U' D2 R L2 F U
L2 U' D2 L2 R F' U
L2 U' D2 R L2 F' U
L2 U' D2 R F' L2 U
L U' D2 R F L2 U
R U2 R D' F2 B U'
R U2 R D' B F2 U'
R U2 R F B U' R2
R U2 R F' B U' R2
R U2 R F2 B U' R2
R U2 R B U' R2 D
R U2 R B U' R2 D'
R U2 R B U' R2 D2
R U2 R B D' F2 U'
R U2 R B F U' R2
R U2 R B F' U' R2
R U2 R B F2 U' R2
R2 U2 R' D F' U R'
R2 U2 R' D' F' U R'
R2 U2 R' D2 F' U R'
R2 U2 R' F' U R' D
R2 U2 R' F' U R' D'
R2 U2 R' F' U R' D2
R2 U2 R' F' U D R'
R2 U2 R' F' U D' R'
R2 U2 R' F' U D2 R'
R2 U2 R' F' D U R'
R2 U2 R' F' D' U R'
R2 U2 R' F' D2 U R'
R2 U2 D R' F' B2 U
R2 U2 D R' B2 F' U
R U2 D R B U' R2
R U2 D' R B U' R2
F2 R2 L' D' F2 B' U'
F2 R2 L' D' B' F2 U'
R U2 D2 R B U' R2
F2 R2 L' F B' U' R2
F2 R2 L' F' B' U' R2
U R2 L B U' L F
F2 R2 L' F2 B' U' R2
F2 R2 L' B' U' R2 D
F2 R2 L' B' U' R2 D'
F2 R2 L' B' U' R2 D2
F2 R2 L' B' D' F2 U'
F2 R2 L' B' F U' R2
F2 R2 L' B' F' U' R2
F2 R2 L' B' F2 U' R2
R2 U2 F R' F' U R'
U R2 L' B U' L F
R2 U2 F' R' F' U R'
U R2 L2 B U' L F
F' R2 U' R' F' L' R'
F' R2 U' R' F' R' L'
R2 U2 F2 R' F' U R'
B' R2 U2 R' F' U R'
B2 R2 U2 R' F' U R'
B R2 U2 R' F' U R'
U R2 U2 R' F' U L'
U R2 U2 F' R' U L'
R U2 B' R B U' R'
F2 R2 D' L' F2 B' U'
F2 R2 D' L' B' F2 U'
U R2 D B U' L F
U R2 D' B U' L F
U R2 D2 B U' L F
F R2 F L' B' U' R2
F' R2 F' L' B' U' R2
L D R F U R' B2
F2 R2 B L' B' U' R2
F2 R2 B' L' B' U' R2
U R2 B U' L D F
U R2 B U' L D' F
U R2 B U' L D2 F
U R2 B U' L F D
U R2 B U' L F D'
U R2 B U' L F D2
U R2 B U' D L F
U R2 B U' D' L F
U R2 B U' D2 L F
U R2 B U' F L F
U R2 B U' F' L F
U R2 B U' F2 L F
U R2 B D U' L F
U R2 B D' U' L F
U R2 B D2 U' L F
F2 R2 B2 L' B' U' R2
U R2 B2 L B' U' L
L D U' R F U B2
U R2 B2 D L B' U'
R2 D U2 R' F' B2 U
R2 D U2 R' B2 F' U
F2 U L' R2 B U' L
R D U2 R B U' R2
F2 U L' B R2 U' L
L2 D F B2 D' L' F
U' D R F' U L' B2
U' D R F' U B2 L'
F2 U R2 L' B U' L
B' U R2 B U' L F
B2 U R2 B U' L F
F2 U R2 B L' U' L2
B U R2 B U' L F
L2 D B2 F D' L' F
L D B2 U' R F U
F2 U B L' R2 U' L2
F2 U B R2 L' U' L2
D2 U' L2 R F' U L'
D2 U' R L2 F' U L'
D2 U' R F' L2 U L
R D' U2 R B U' R2
D U' R F' U L' B2
D U' R F' U B2 L'
B' U' R F' U L' B'
B2 U' R F' U L' B'
R2 D' F2 U2 R' F' U
D2 U' F' L2 U L F
B U' R F' U L' B'
L' D2 L2 R F U R'
L2 D2 L2 R F' U R'
L' D2 R L2 F U R'
L2 D2 R L2 F' U R'
U' D2 L2 R F' U L'
L2 D2 R F' L2 U R'
L D2 R F L2 U R'
U' D2 R L2 F' U L'
U' D2 R F' L2 U L
L' D2 U' L2 R F U
L' D2 U' R L2 F U
L2 D2 U' L2 R F' U
L2 D2 U' R L2 F' U
L2 D2 U' R F' L2 U
L D2 U' R F L2 U
U' D2 F' L2 U L F
R D2 U2 R B U' R2
R F L F L' U R'
R F U D R' B L
R2 F U2 R' F' U R'
R F D U R' B L
R2 F' U2 R' F' U R'
U' F' D2 L2 U L F
R F2 L F L2 U R'
L F2 L' R2 B U' R2
L' F2 R2 B' L' U' R2
L' F2 U R2 B' L' U'
L' F2 U B' L' R2 U'
L' F2 U B' R2 L' U'
L F2 R2 L' B U' R2
L F2 R2 B L' U' R2
L F2 U L' R2 B U'
L F2 U R2 L' B U'
L F2 U R2 B L' U'
R2 F2 U2 R' F' U R'
L' F2 B' L' R2 U' R2
L' F2 B' R2 L' U' R2
D B R U R' B L
L' B R2 B2 L U' R2
L' B U R2 B2 L U'
U B R2 U2 R' U L
F2 B L' R2 B' U' R2
F2 B L' B' R2 U' R2
F2 B R2 L' B' U' R2
R2 B' L' B' L U' R2
L' B' R2 U2 R' U R'
F2 B' L' R2 B' U' R2
F2 B' L' B' R2 U' R2
F2 B' R2 L' B' U' R2
R B' U2 R B U' R'
L' B' F2 L' R2 U' R2
L' B' F2 R2 L' U' R2
R' B2 L R2 F U R'
R2 B2 L U2 F U R2
D B2 L U' R F U
R2 B2 L' B' L2 U' R2
B' F2 L' R2 B' U' R2
B2 F2 L' R2 B' U' R2
B' F2 L' B' R2 U' R2
F2 B2 L' R2 B' U' R2
B2 F2 L' B' R2 U' R2
R' B2 R2 L F U R'
F2 B2 L' B' R2 U' R2
B F2 L' R2 B' U' R2
B F2 L' B' R2 U' R2
B' F2 R2 L' B' U' R2
B2 F2 R2 L' B' U' R2
F2 B2 R2 L' B' U' R2
D B2 U' R F' U L'
B F2 R2 L' B' U' R2
