U L B U2 L B2
L B U F U B2
R' L U F R U B'
R2 L U F U F2 B'
R2 L U F U B' F2
U L R2 U2 F' B' L'
U L R2 U2 B' F' L'
R2 L U2 F' D' B' L2
R2 L U2 F' B' D' L2
R2 L U2 B' F' D' L2
U L D B U2 L B2
U L D' B U2 L B2
U L D2 B U2 L B2
U' L F B R U2 B2
U L F B U2 L B2
U' L F' B U2 L' B2
U' L F' B U2 B2 L'
U L F' B U2 L B2
U L F2 B U2 L B2
F' L B U F U B2
F2 L B U F U B2
U L B R U2 L B2
D L B U F L' U
U L B R' U2 L B2
F L B U F U B2
U' L B U2 B L B
U L B R2 U2 L B2
U L B U2 L B2 D
U L B U2 L B2 D'
U L B U2 L B2 D2
U L B U2 L' B2 L2
U L B U2 L2 B2 L'
U' L B F R U2 B2
U' L B F' U2 L' B2
U' L B F' U2 B2 L'
U L B D2 F2 U2 L
L R' U F R U B'
U L B F U2 L B2
U L B F' U2 L B2
U L B F2 U2 L B2
U L B' R' B2 U2 B2
U' L' F L2 B R U2
U L' F L2 B U2 L
U' L' F B L2 R U2
U' L' F B R L2 U2
U L' F B L2 U2 L'
L R2 U F U F2 B'
L R2 U F U B' F2
U L' B L2 U2 B' L'
U' L' B F L2 R U2
U' L' B F R L2 U2
L R2 U2 F' D' B' L2
L R2 U2 F' B' D' L2
L R2 U2 B' F' D' L2
U L' B F L2 U2 L'
B2 L2 R' D F L' B'
B2 L2 D R' F L' B'
B2 L2 D F L' R' B'
B2 L2 D F R' L' B'
R2 U L U2 F' B' L'
R2 U L U2 B' F' L'
U L2 B L' U2 B' L2
L U R2 F U F2 B'
L U R2 F U B' F2
L U F R2 U F' B'
L U F R2 U B' F'
L U F U B' D2 F2
L U F U' B U2 B2
B2 R' L2 D F L' B'
U R2 L U2 F' B' L'
U R2 L U2 B' F' L'
F' U L B U2 L B2
F2 U L B U2 L B2
F U L B U2 L B2
L D B U F U B2
L2 D' L' B R' U2 B2
L2 D' L' B U2 B2 L
B U B U L R' B'
B U B U R' L B'
L2 D' B L' R' U2 B'
L2 D' B R' L' U2 B'
L D' B U F U B2
L D2 B U F U B2
U' F L B R U2 B2
U F L B U2 L B2
L' F L2 B U F U
L' F B L2 U' B2 U'
L' F B L2 U2 D L2
L' F B L2 D U2 L2
L' F B L2 D' R2 U2
L F B U2 B2 D L2
U' F' L B U2 L2 B2
U' F' L B U2 B2 L2
U F' L B U2 L B2
L F' D R2 U2 F' B'
L F' D R2 U2 B' F'
L F' D B R2 U2 B2
L F' D' B U2 L2 B2
L F' D' B U2 B2 L2
L F' B U F2 U B2
L F' B U2 B2 D' L2
U F2 L B U2 L B2
L F2 B U F' U B2
L2 B L' U F U B'
L' B L2 U' B2 U' B
L' B L2 U2 D B' L2
L' B L2 D U2 B' L2
L' B L2 D' R2 U2 B'
L B R U F U B2
L B R' U F U B2
L B R2 U F U B2
U' B U2 B L R' B'
U' B U2 B R' L B'
L B U D F L2 U
L B U F L U B2
L B U F L' U B2
L B U F L2 U B2
L B U F U B2 D
L B U F U B2 D'
L B U F U B2 D2
L B U F D L2 U
U B U2 L B R' B2
L2 B D' L' U2 B' L
L B U2 B2 U' F U
L B D U F L2 U
L' B F L2 U' B2 U'
L' B F L2 U2 D L2
L' B F L2 D U2 L2
L' B F L2 D' R2 U2
L B D2 F2 U F' U
L B F U2 B2 D L2
L B F' U F2 U B2
L B F' U2 B2 D' L2
L B F2 U F' U B2
L' B' U L2 B2 U2 B
L' B' U F L2 B2 U2
L' B' U F B2 L2 U2
L' B' U B2 L2 U2 B'
L' B' U B2 F L2 U2
L' B' U' D2 F2 R2 B
L' B' D L2 F2 U' B'
L' B' D2 U' F2 R2 B
U B2 L R' B' L F
U B2 R' L B' L F
