R2 U R2 B L
B L U' R2 F U
B L U' F R2 U
B L F' D' L2 F2
B L F' D' F2 L2
D' L' F2 B D L2
D' L' B F2 D L2
R2 U L R2 B L
R2 U L' R2 B L
R2 U L2 R2 B L
R2 U R2 L B L
R2 U R2 L' B L
R2 U R2 L2 B L
R2 U R2 D B L
R2 U R2 D' B L
R2 U R2 D2 B L
R2 U R2 B L D
R2 U R2 B L D'
R2 U R2 B L D2
R2 U R2 B D L
R2 U R2 B D' L
R2 U R2 B D2 L
R2 U B L R2 B
R2 U B R2 L B
R2 U' F' U2 L' R2
R2 U' F' U2 R2 L'
F' R2 U R2 B L
F2 R2 U R2 B L
F R2 U R2 B L
L' D' F2 B D L2
L' D' B F2 D L2
L2 D' F2 B' L B2
L2 D' B' L F2 B2
L2 D' B' L B2 F2
L2 D' B' F2 L B2
B U' R2 F' U L'
B U' F' R2 U L'
L' D2 B D L2 F2
L' D2 B D F2 L2
L F R2 U R2 B
L F' D' L2 F2 B
L F' D' L2 B F2
L F' D' F2 L2 B
L F' D' F2 B L2
L F' D' B L2 F2
L F' D' B F2 L2
L F' B D' L2 F2
L F' B D' F2 L2
D' F2 L' B D L2
L' B D L2 D2 F2
R2 B U R2 B L
L' B D' F2 D2 L2
L B U' R2 F U
L B U' F R2 U
L B F' D' L2 F2
L B F' D' F2 L2
R2 B' U R2 B L
R2 B2 U R2 B L
L2 B2 D' F2 B' L
L2 B2 D' B' L F2
L2 B2 D' B' F2 L
B' L R2 F U R2 B2
B' L R2 F U B2 R2
B L U D2 L2 B' U'
B' L U' R2 F U B2
B L U' R' F R' U
B L U' R2 D F U
B L U' R2 D' F U
B L U' R2 D2 F U
B L U' R2 F U D
B L U' R2 F U D'
B L U' R2 F U D2
B L U' R2 F D U
B L U' R2 F D' U
B L U' R2 F D2 U
B' L U' F R2 U B2
D' L U' F U F B
D' L U' F U B F
B L U' D' F U F
B L U' F R2 U D
B L U' F R2 U D'
B L U' F R2 U D2
B L U' F R2 D U
B L U' F R2 D' U
B L U' F R2 D2 U
B L U' F U D' F2
B L U' F D' U F2
B L U' F' R2 F2 U
R2 L F U R2 D2 B2
R2 L F U' F2 U2 R2
B L D' U' F U F
B L D' U' F U F
B L D' F' D' L2 F'
B L D' F' D' F' L2
B L D' F2 U' F' U
B L D2 U L2 B' U'
F' L F R2 U R2 B
B' L F R2 U R2 B2
B' L F R2 U B2 R2
F2 L F R2 U R2 B
F L F R2 U R2 B
B L F D' F2 D' L2
B L F' L D' L2 F2
B L F' L D' F2 L2
B L F' L' D' L2 F2
B L F' L' D' F2 L2
B L F' L2 D' L2 F2
B L F' L2 D' F2 L2
D' L F' D' L2 F' B
D' L F' D' L2 B F'
F' L F' D' L2 F2 B
F' L F' D' L2 B F2
D' L F' D' F' L2 B
D' L F' D' F' B L2
D' L F' D' B L2 F'
D' L F' D' B F' L2
F' L F' D' F2 L2 B
F' L F' D' F2 B L2
F' L F' D' B L2 F2
