F' R U' L' R B
F' R U' R L' B
F' R U' R B L'
R U' R U B U'
U' R2 U R' B U'
R U2 B U L R
R U2 B U R L
F' U L' B' R2 F'
F' U' L' R B R
F' U' R L' B R
F' U' R B L' R
F' U' R B R L'
R' F' R2 U' L' R
R' F' R2 U' R L'
R2 F' R' U' L' R
R2 F' R' U' R L'
R2 L U L' R' B' U'
R2 L U R' L' B' U'
U' L R2 U R' B U'
U' L' R2 U R' B U'
U L' U' R B' U' R
U L' U' B' R U' R
L R2 U L' R' B' U'
L R2 U R' L' B' U'
U L' B' R U' R F'
U' L2 R2 U R' B U'
D2 L2 U' L2 R B U'
D2 L2 U' R L2 B U'
D2 L2 U' R B L2 U'
L U L' R B' U' R
R U L' U' B' U' R
L U L' B' R U' R
L U R L' B' U' R
F' R U' L R B L2
F' R U' L' R D B
F' R U' L' R D' B
F' R U' L' R D2 B
F' R U' L' R B D
F' R U' L' R B D'
F' R U' L' R B D2
F' R U' L' D R B
F' R U' L' D' R B
F' R U' L' D2 R B
F' R U' L' B R B
F' R U' L' B' R B
F' R U' L' B2 R B
F' R U' R L B L2
F' R U' R L' D B
F' R U' R L' D' B
F' R U' R L' D2 B
F' R U' R L' B D
F' R U' R L' B D'
F' R U' R L' B D2
F' R U' R D L' B
F' R U' R D B L'
F' R U' R D' L' B
B' R U' R U B U'
F' R U' R D' B L'
F' R U' R D2 L' B
F' R U' R D2 B L'
F' R U' R B L' D
F' R U' R B L' D'
F' R U' R B L' D2
F' R U' R B D L'
F' R U' R B D' L'
F' R U' R B D2 L'
F' R U' R B' L' B2
B2 R U' R U B U'
F' R U' D L' R B
F' R U' D R L' B
F' R U' D R B L'
F' R U' D' L' R B
F' R U' D' R L' B
F' R U' D' R B L'
F' R U' D2 L' R B
F' R U' D2 R L' B
F' R U' D2 R B L'
B R U' R U B U'
F' R U' B L' R B
F' R U' B R L' B
F' R U' B R B L'
F' R U' B' L' R B
F' R U' B' R L' B
F' R U' B' R B L'
F' R U' B2 L' R B
F' R U' B2 R L' B
F' R U' B2 R B L'
B' R U2 B U L R
B' R U2 B U R L
B2 R U2 B U L R
B2 R U2 B U R L
B R U2 B U L R
B R U2 B U R L
F' R D U' L' R B
F' R D U' R L' B
F' R D U' R B L'
D' R D F' U' L' R2
D' R D F' U' R2 L'
F' R D' U' L' R B
F' R D' U' R L' B
F' R D' U' R B L'
L' U' L R B U' R
D R D' F' U' L' R2
D R D' F' U' R2 L'
R U' L R U B U'
F' R D2 U' L' R B
F' R D2 U' R L' B
F' R D2 U' R B L'
D2 R D2 F' U' L' R2
D2 R D2 F' U' R2 L'
L U' L' R B U' R
D2 R F U L2 R U2
D2 R F U R L2 U2
R U' L' R U B U'
D2 R F D F2 U' L'
L2 U' L2 R B U' R
U' R F B U' F' R
D R F D2 F2 U' L'
R U' L2 R U B U'
D2 R F' U L2 U2 L
D2 R F' U' D2 L' R2
D2 R F' U' D2 R2 L'
L' U' R L B U' R
D2 R F' D2 U' L' R2
D2 R F' D2 U' R2 L'
D R F' U' L' D' R2
D R F' U' D' L' R2
D R F' U' D' R2 L'
L2 U' R L2 B U' R
D R F' U2 B2 U L'
D R F' D' U' L' R2
D R F' D' U' R2 L'
L U' R L' B U' R
R U' R L U B U'
R U' R L' U B U'
R U' R L2 U B U'
D' R F2 U' F L' F'
R U' R U D B U'
D' R F2 U2 F U L'
R U' R U D' B U'
R U' R U D2 B U'
R U' R U B U' D
R U' R U B U' D'
R U' R U B U' D2
R U' R U B D U'
R U' R U B D' U'
R U' R U B D2 U'
L2 U' R B L2 U' R
R U' R D U B U'
D' R F2 D2 B' U' L
R U' R D' U B U'
R U' R D2 U B U'
U' R F2 B U' F2 R
L U' R B L' U' R
R U' R B' D L2 B
R U' R B' D B L2
F' R B U' L' R B
F' R B U' R L' B
F' R B U' R B L'
R U' R' U' F' U R2
U2 R B U' L R F
U2 R B U' R L F
U' R B F U' F' R
U' R B F2 U' F2 R
D R B U2 B U L
F' R B' U' L' R B
F' R B' U' R L' B
F' R B' U' R B L'
R U' D R U B U'
F' R B2 U' L' R B
F' R B2 U' R L' B
F' R B2 U' R B L'
R U' D' R U B U'
R U' D2 R U B U'
U' R' U R2 B U' R
F' R' U' L' R B R2
F' R' U' R L' B R2
F' R' U' R B L' R2
F' R' U' R B R2 L'
R U' B R B' D L2
B' R' F' R2 U' L' R
