D' L' F L' R U2
D' L' F R L' U2
U' R F' B R U'
U' R B F' R U'
R U' F' R B U'
D R' U2 B L R'
D R' U2 B R' L
U2 D R' B L R'
U2 D R' B R' L
U2 D B L R' B
U2 D B R' L B
D U2 R' B L R'
D U2 R' B R' L
D U2 B L R' B
D U2 B R' L B
D' F L' R F U2
D' F R L' F U2
U' F' R F' B U'
U' F' R B F' U'
D L R' U2 B L R'
D L R' U2 B R' L
L' R U' F' R B U'
L R U' F' R B U'
L2 R U' F' R B U'
R L U' F' R B U'
D2 L U B' L F U
F' L U' R F' U' L2
D L U2 R' B L R'
D L U2 R' B R' L
D L U2 B L R' B
D L U2 B R' L B
U2 L D R' B L R'
U2 L D R' B R' L
U2 L D B L R' B
U2 L D B R' L B
D' L F' U2 R B' L'
D' L F' U2 B' L' R
D' L F' U2 B' R L'
D' L B' R2 F' L' R
D' L B' R2 F' R L'
R L' U' F' R B U'
D' L' R F L' R U2
D' L' R F R L' U2
D L' R' U2 B L R'
D L' R' U2 B R' L
D' L' R' F L' R U2
D' L' R' F R L' U2
D' L' R2 F L' R U2
D' L' R2 F R L' U2
D L' U2 R' B L R'
D L' U2 R' B R' L
D L' U2 B L R' B
D L' U2 B R' L B
U2 L' D R' B L R'
U2 L' D R' B R' L
U2 L' D B L R' B
U2 L' D B R' L B
D' L' F L' R U2 D
D' L' F L' R U2 D'
D' L' F L' R U2 D2
D' L' F L' R D U2
D' L' F L' R D' U2
D' L' F L' R D2 U2
D' L' F L' D R U2
D' L' F L' D' R U2
D' L' F L' D2 R U2
D' L' F R L' U2 D
D' L' F R L' U2 D'
D' L' F R L' U2 D2
D' L' F R L' D U2
D' L' F R L' D' U2
D' L' F R L' D2 U2
D' L' F R D L' U2
D' L' F R D' L' U2
D' L' F R D2 L' U2
D' L' F D L' R U2
D' L' F D R L' U2
D' L' F D' L' R U2
D' L' F D' R L' U2
D' L' F D2 L' R U2
D' L' F D2 R L' U2
R L2 U' F' R B U'
D L2 R' U2 B L R'
D L2 R' U2 B R' L
F' L2 U' R F' U' L
D L2 U2 R' B L R'
D L2 U2 R' B R' L
D L2 U2 B L R' B
D L2 U2 B R' L B
U2 L2 D R' B L R'
U2 L2 D R' B R' L
U2 L2 D B L R' B
U2 L2 D B R' L B
R' U L F L' B U
R' U L F B L' U
R' U L B F L' U
R2 U L F L' U R
D' L2 F L' R U2 B'
D' L2 F R L' U2 B'
D' L2 F' U2 L' R B
D' L2 F' U2 R L' B
D' L2 F' U2 R B L'
D' R L' F L' R U2
D' R L' F R L' U2
F R U L' U2 F' U'
U2 R U F' R B U'
R' U B L F L' U
F R U' F2 R F U'
D R U2 R2 B L R'
D R U2 R2 B R' L
U' R D2 F' B R' U'
U' R D2 B F' R' U'
D' R F L' R F U2
D R D2 F' U2 L' R
D R D2 F' U2 R L'
D' R F R L' F U2
B' R F' R U' L' F'
U' R F' D B R U'
U' R F' D' B R U'
U' R F' D2 B R U'
U' R F' B R U' D
U' R F' B R U' D'
U' R F' B R U' D2
U' R F' B R D U'
U' R F' B R D' U'
U' R F' B R D2 U'
U' R F' B D R U'
U' R F' B D' R U'
U' R F' B D2 R U'
U' R F' B' R B2 U'
U' R F' B2 R B' U'
L' U' R F' B R U'
L' U' R B F' R U'
L2 U' R F' B R U'
L2 U' R B F' R U'
L U' R F' B R U'
L U' R B F' R U'
F R F2 U' R F U'
U' R B F' R U' D
U' R B F' R U' D'
U' R B F' R U' D2
U' R B F' R D U'
U' R B F' R D' U'
U' R B F' R D2 U'
U' R B F' D R U'
U' R B F' D' R U'
U' R B F' D2 R U'
U' R B' F' R B2 U'
U' R B2 F' R B' U'
D R' L U2 B L R'
D R' L U2 B R' L
D' R' L' F L' R U2
D' R' L' F R L' U2
D R' L' U2 B L R'
D R' L' U2 B R' L
L' U' F' R F' B U'
L' U' F' R B F' U'
D R' L2 U2 B L R'
D R' L2 U2 B R' L
L2 U' F' R F' B U'
L2 U' F' R B F' U'
L U' F' R F' B U'
L U' F' R B F' U'
R U' F' R D B U'
R U' F' R D' B U'
R U' F' R D2 B U'
R U' F' R B U' D
R U' F' R B U' D'
R U' F' R B U' D2
R U' F' R B D U'
R U' F' R B D' U'
R U' F' R B D2 U'
R U' F' D R B U'
R U' F' D' R B U'
R U' F' D2 R B U'
R U' F' B R B U'
R U' F' B' R B U'
R U' F' B2 R B U'
D R' U2 L B L R'
D R' U2 L B R' L
D R' U2 L' B L R'
D R' U2 L' B R' L
D R' U2 L2 B L R'
D R' U2 L2 B R' L
R U' B F' R B U'
D R' U2 B L R' D
D R' U2 B L R' D'
D R' U2 B L R' D2
D R' U2 B L D R'
D R' U2 B L D' R'
D R' U2 B L D2 R'
D R' U2 B R' L D
D R' U2 B R' L D'
D R' U2 B R' L D2
D R' U2 B R' D L
D R' U2 B R' D' L
D R' U2 B R' D2 L
D R' U2 B D L R'
D R' U2 B D R' L
D R' U2 B D' L R'
D R' U2 B D' R' L
D R' U2 B D2 L R'
D R' U2 B D2 R' L
R U' B' F' R B U'
R U' B2 F' R B U'
D' R' F L' R F U2
D' R' F R L' F U2
D R' F' U2 L' B R'
D R' F' U2 B L' R'
D R' F' U2 B R' L'
L' U2 D R' B L R'
L' U2 D R' B R' L
L' U2 D B L R' B
L' U2 D B R' L B
L2 U2 D R' B L R'
L2 U2 D R' B R' L
L2 U2 D B L R' B
L2 U2 D B R' L B
L U2 D R' B L R'
L U2 D R' B R' L
L U2 D B L R' B
L U2 D B R' L B
D' R2 L' F L' R U2
D' R2 L' F R L' U2
D' R2 F L' R F U2
D' R2 F R L' F U2
D R2 F R U2 B R'
L' D R' U2 B L R'
L' D R' U2 B R' L
L2 D R' U2 B L R'
L2 D R' U2 B R' L
L D R' U2 B L R'
L D R' U2 B R' L
U2 D L R' B L R'
L' D U2 R' B L R'
U2 D L R' B R' L
L' D U2 R' B R' L
D2 U L F B' L U
L' D U2 B L R' B
D2 U L B' F L U
L' D U2 B R' L B
L2 D U2 R' B L R'
L2 D U2 R' B R' L
U2 D L B L R' B
U2 D L B R' L B
L2 D U2 B L R' B
L2 D U2 B R' L B
U2 D L' R' B L R'
U2 D L' R' B R' L
L D U2 R' B L R'
L D U2 R' B R' L
L D U2 B L R' B
L D U2 B R' L B
U2 D L' B L R' B
U2 D L' B R' L B
U2 D L2 R' B L R'
U2 D L2 R' B R' L
U2 D L2 B L R' B
U2 D L2 B R' L B
U2 D R' L B L R'
U2 D R' L B R' L
U2 D R' L' B L R'
U2 D R' L' B R' L
U2 D R' L2 B L R'
U2 D R' L2 B R' L
U2 D R' B L R' D
U2 D R' B L R' D'
U2 D R' B L R' D2
U2 D R' B L D R'
U2 D R' B L D' R'
U2 D R' B L D2 R'
U2 D R' B R' L D
U2 D R' B R' L D'
U2 D R' B R' L D2
U2 D R' B R' D L
U2 D R' B R' D' L
U2 D R' B R' D2 L
U2 D R' B D L R'
U2 D R' B D R' L
U2 D R' B D' L R'
U2 D R' B D' R' L
U2 D R' B D2 L R'
U2 D R' B D2 R' L
L' D' L' F L' R U2
L' D' L' F R L' U2
L2 D' L' F L' R U2
L2 D' L' F R L' U2
U' D B U' R' B L
U2 D B L R' D B
U2 D B L R' D' B
U2 D B L R' D2 B
U2 D B L R' B D
U2 D B L R' B D'
U2 D B L R' B D2
U2 D B L' R' B L2
U2 D B L2 R' B L'
U2 D B R' L D B
U2 D B R' L D' B
U2 D B R' L D2 B
U2 D B R' L B D
U2 D B R' L B D'
U2 D B R' L B D2
U2 D B R' L' B L2
U2 D B R' L2 B L'
U2 D B R' D L B
U2 D B R' D' L B
U2 D B R' D2 L B
L D' L' F L' R U2
L D' L' F R L' U2
D2 U B' L F B' U
D2 U B' L B' F U
U2 D B D2 L R' B'
U2 D B D2 R' L B'
D U B U R' B L
U D B U R' B L
L' D' F L' R F U2
L' D' F R L' F U2
L2 D' F L' R F U2
L2 D' F R L' F U2
L D' F L' R F U2
L D' F R L' F U2
D U' B U' R' B L
D U2 L R' B L R'
D U2 L R' B R' L
D U2 L B L R' B
D U2 L B R' L B
U D2 L F B' L U
D U2 L' R' B L R'
D U2 L' R' B R' L
U D2 L B' F L U
D U2 L' B L R' B
D U2 L' B R' L B
D U2 L2 R' B L R'
D U2 L2 R' B R' L
D U2 L2 B L R' B
D U2 L2 B R' L B
D U2 R' L B L R'
D U2 R' L B R' L
D U2 R' L' B L R'
D U2 R' L' B R' L
D U2 R' L2 B L R'
D U2 R' L2 B R' L
D U2 R' B L R' D
D U2 R' B L R' D'
D U2 R' B L R' D2
D U2 R' B L D R'
D U2 R' B L D' R'
D U2 R' B L D2 R'
D U2 R' B R' L D
D U2 R' B R' L D'
D U2 R' B R' L D2
D U2 R' B R' D L
D U2 R' B R' D' L
D U2 R' B R' D2 L
D U2 R' B D L R'
D U2 R' B D R' L
D U2 R' B D' L R'
D U2 R' B D' R' L
D U2 R' B D2 L R'
D U2 R' B D2 R' L
F' U2 L' U R F' U'
F' U2 R F' U' F L'
D U2 B L R' D B
D U2 B L R' D' B
D U2 B L R' D2 B
D U2 B L R' B D
D U2 B L R' B D'
D U2 B L R' B D2
D U2 B L' R' B L2
D U2 B L2 R' B L'
D U2 B R' L D B
D U2 B R' L D' B
D U2 B R' L D2 B
D U2 B R' L B D
D U2 B R' L B D'
D U2 B R' L B D2
D U2 B R' L' B L2
D U2 B R' L2 B L'
D U2 B R' D L B
D U2 B R' D' L B
D U2 B R' D2 L B
D U2 B D2 L R' B'
D U2 B D2 R' L B'
U D2 B' L F B' U
U D2 B' L B' F U
D' F L' R D F U2
D' F L' R D' F U2
D' F L' R D2 F U2
D' F L' R F U2 D
D' F L' R F U2 D'
D' F L' R F U2 D2
D' F L' R F D U2
D' F L' R F D' U2
D' F L' R F D2 U2
D' F L' R' F R2 U2
D' F L' R2 F R' U2
D' F L' D R F U2
D' F L' D' R F U2
D' F L' D2 R F U2
D' F R L' D F U2
D' F R L' D' F U2
D' F R L' D2 F U2
D' F R L' F U2 D
D' F R L' F U2 D'
D' F R L' F U2 D2
D' F R L' F D U2
D' F R L' F D' U2
D' F R L' F D2 U2
D' F R' L' F R2 U2
R2 F R U L' B U
R2 F R U B L' U
D F R U2 R2 B R'
D F R D2 F' U2 R
D' F R2 L' F R' U2
R F R U' F2 R U'
R F U' F2 R U' L'
D' F D2 L' R F' U2
D' F D2 R L' F' U2
B' D R' B R' F' L'
D' F' L U2 R B' L2
D' F' L U2 B' L2 R
D' F' L U2 B' R L2
D' F' L2 U2 L R B
D' F' L2 U2 R L B
U' F' R D F' B U'
U' F' R D B F' U'
U' F' R D' F' B U'
U' F' R D' B F' U'
U' F' R D2 F' B U'
U' F' R D2 B F' U'
U' F' R F' D B U'
U' F' R F' D' B U'
U' F' R F' D2 B U'
U' F' R F' B U' D
U' F' R F' B U' D'
U' F' R F' B U' D2
U' F' R F' B D U'
U' F' R F' B D' U'
U' F' R F' B D2 U'
U' F' R B D F' U'
U' F' R B D' F' U'
U' F' R B D2 F' U'
U' F' R B F' U' D
U' F' R B F' U' D'
U' F' R B F' U' D2
U' F' R B F' D U'
U' F' R B F' D' U'
U' F' R B F' D2 U'
B' D B U2 R' B L
D F' R' U2 L' B R'
D F' R' U2 B L' R'
D F' R' U2 B R' L'
D' F' U2 L R B' L2
D' F' U2 L B' L2 R
D' F' U2 L B' R L2
D' F' U2 R L B' L2
U' F' D R B U' R'
R F' U' R U' L' R'
R F' U' R U' R' L'
D F' U2 L' R' B R'
D F' U2 L' B R' B
D F' U2 R' L' B R'
D F' U2 R' B L' R'
D F' U2 R' B R' L'
U F' U2 R F' B U'
U F' U2 R B F' U'
D F' U2 B L' R' B
D F' U2 B R' L' B
D F' U2 B R' B L'
U' F' B R F' B U'
U' F' B R B F' U'
U' F' B' R F' B U'
U' F' B' R B F' U'
U' F' B2 R F' B U'
U' F' B2 R B F' U'
D' F2 L' F U2 L' R
D' F2 L' F U2 R L'
U2 B L D R' B R'
U2 B L D B R' B
U' B R F' B R U'
U' B R B F' R U'
U2 B D L R' B R'
U2 B D L B R' B
U2 B D R' L B R'
U' B F' R F' B U'
U' B F' R B F' U'
U' B' R F' B R U'
U' B' R B F' R U'
U2 B' D B R' B L
U' B' F' R F' B U'
U' B' F' R B F' U'
U' B2 R F' B R U'
U' B2 R B F' R U'
U' B2 F' R F' B U'
U' B2 F' R B F' U'
