F' U L' D2 R2 B
F' U' L F' U2 L2
F U' R F L U2
D2 F' U B2 L' R'
D2 F' U B2 R' L'
U' L R F2 U' B U'
U' L R' F2 U F U
D' L U L F U F'
F2 L U F U L' F'
F' L F' U2 L2 D F2
U' L F2 R U' B U'
U' L F2 R' U F' U
U' L F2 U F' U L'
U' L F2 U' B U' L
U L F2 U F' U F'
F' L' D2 R2 D' F2 B
F' L' D2 R2 D' B F2
F' L' D2 R2 B D' F2
F' L2 U L D2 R2 B
F' L2 U' L' F' U2 L2
F L2 F2 U R B' L'
F L2 F2 U B' L' R
F L2 F2 U B' R L'
U' R L F2 U' B U'
F R F L U R' U
U' R F2 L U' B U'
U' R' L F2 U F U
F' U L F' U2 F L2
F' U L' R2 D2 B R2
F' U L' R2 B D2 R2
F' U L' U2 L2 F' U2
F' U L' U2 F' L2 U2
F' U L' D2 R2 D B
F' U L' D2 R2 D' B
F' U L' D2 R2 D2 B
F' U L' D2 R2 B D
F' U L' D2 R2 B D'
F' U L' D2 R2 B D2
F' U L' D2 B R2 B
F' U L' D2 B' R2 B
F' U L' D2 B2 R2 B
F' U L' B D2 R2 B
F' U L' B' D2 R2 B
F' U L' B2 D2 R2 B
F U R F L U2 F'
F' U R' B2 L' R' B
F' U R' B2 R' L' B
F' U R' B2 R' B L'
F' U R2 L' D2 B R2
F' U R2 L' B D2 R2
F' U R2 B2 R' B' L'
F' U D L' D2 R2 B
F' U D' L' D2 R2 B
F' U D2 L' D2 R2 B
L' D' L2 F' B2 U L'
L' D' L2 B2 F' U L'
F' U B L' R2 B R'
F' U B R2 L' B R'
F' U B R2 B L' R'
F' U B R2 B R' L'
F' U B2 L' R2 B R
F' U B2 R2 L' B R
F' U B2 R2 B L' R
F' U B2 R2 B R L'
F' U' L R2 U2 L2 B
F' U' L R2 U2 B L2
F' U' L D2 R2 U2 B
F' U' L D2 F' R2 U2
F U B2 R' D2 L2 B'
F' U' L F' R U2 L2
F' U' L F' R' U2 L2
F' U' L F' R2 U2 L2
F' U' L F' U2 L2 D
F' U' L F' U2 L2 D'
F' U' L F' U2 L2 D2
F' U' L F' D2 R2 U2
F' U' L F2 U2 L2 B'
F' U' L' F' L2 U2 L2
F U' L D2 R F' U2
L' D' F' B2 L2 U L
F U' R D F L U2
F U' R D' F L U2
F U' R D2 F L U2
F U' R F L U2 D
F U' R F L U2 D'
F U' R F L U2 D2
F U' R F L D U2
F U' R F L D' U2
F U' R F L D2 U2
F' U' R2 L U2 L2 B
F' U' R2 L U2 B L2
F U' R F D L U2
F U' R F D' L U2
F U' R F D2 L U2
F U' R F' L F2 U2
F U' R F2 L F' U2
F U' R' F L R2 U2
F U' R' F R2 L U2
F' U' D L F' U2 L2
L' D' B2 L2 F' U L'
L' D' B2 F' L2 U L
F' U' D' L F' U2 L2
F U' R2 F L R' U2
F U' R2 F R' L U2
F U' D R F L U2
F' U' D2 L F' U2 L2
F U' D' R F L U2
F U' D2 R F L U2
F' U' F2 R F L U2
F U' F2 L F' U2 L2
L' D2 F U R2 B2 L
L' D2 F' U L' R2 B2
L' D2 F' U L' B2 R2
L' D2 F' U R2 L' B2
L' D2 F' U R2 B2 L'
L' D2 F' U B2 L' R2
L' D2 F' U B2 R2 L'
D2 U2 B U' L B R'
U2 D2 B U' L B R'
D' F L2 U' L' R U2
D' F L2 U' R L' U2
D' F L2 F2 U L' R
D' F L2 F2 U R L'
L F R F U R' U
D2 F U R2 B2 L R'
D2 F U R2 B2 R' L
D2 F U B2 R' D2 L2
D2 F U' L R U2 B2
D2 F U' R L U2 B2
D2 F U' R U2 B2 R'
L' F U' L2 R U2 B'
L' F U' R L2 U2 B'
L' F U' R F L2 U2
F' D U L' D2 R2 B
F' D U' L F' U2 L2
F D U' R F L U2
D' F' L2 U L D2 R2
D' F' L2 U' L' U2 L2
D' F' L2 F2 U L R
D' F' L2 F2 U R L
D2 F' U L' B2 D2 R2
D2 F' U R B2 L' R'
D2 F' U R B2 R' L'
D2 F' U R' B2 L' R'
D2 F' U R' B2 R' L'
D2 F' U R2 B2 L' R'
D2 F' U R2 B2 R' L'
D' F' U D' B2 L' R'
D' F' U D' B2 R' L'
L' F' U D2 L' R2 B
L' F' U D2 R2 L' B
L' F' U D2 R2 B L'
D2 F' U B L' B R'
D2 F' U B2 L' R' D
D2 F' U B2 L' R' D'
D2 F' U B2 L' R' D2
D2 F' U B2 L' D R'
D2 F' U B2 L' D' R'
D2 F' U B2 L' D2 R'
D2 F' U B2 R' L' D
D2 F' U B2 R' L' D'
D2 F' U B2 R' L' D2
D2 F' U B2 R' D L'
D2 F' U B2 R' D' L'
D2 F' U B2 R' D2 L'
D2 F' U B2 D L' R'
D2 F' U B2 D R' L'
D2 F' U B2 D' L' R'
D2 F' U B2 D' R' L'
D2 F' U B2 D2 L' R'
D2 F' U B2 D2 R' L'
D2 F' U' L U2 L2 B2
D2 F' U' L U2 B2 L2
L' F' U' L2 F' U2 L
D F' U D B2 L' R'
D F' U D B2 R' L'
D' F' D' U B2 L' R'
D' F' D' U B2 R' L'
B2 D' L2 F' U L' R'
B2 D' L2 F' U R' L'
D F' D U B2 L' R'
D F' D U B2 R' L'
L' F' D2 U L' R2 B
L' F' D2 U R2 L' B
L' F' D2 U R2 B L'
D2 F' B U L' B R'
D2 F' B U B L' R'
D2 F' B U B R' L'
D' F' B2 L2 U L R'
D' F' B2 L2 U R' L
F' D' U L' D2 R2 B
U' F2 L R U' B U'
U' F2 L R' U F' U
U' F2 L U F' U L'
U' F2 L U' B U' L
F' D' U' L F' U2 L2
U2 F2 L U' L' B' U'
F D' U' R F L U2
U F2 L U F U F
U' F2 R L U' B U'
B2 D' F' L2 U L R'
B2 D' F' L2 U R' L
U' F2 R' L U F' U
L F2 U F U L' F'
F' D2 U L' D2 R2 B
F' D2 U' L F' U2 L2
F D2 U' R F L U2
B2 D2 F' U L' R' B2
B2 D2 F' U R' L' B2
B2 D2 F' U R' B2 L'
B D2 F' U L' R B2
B D2 F' U L' B2 R
B D2 F' U R L' B2
B D2 F' U R B2 L'
B D2 F' U B2 L' R
B D2 F' U B2 R L'
D2 B F' U L' B R'
D2 B F' U B L' R'
D2 B F' U B R' L'
F' B U L' R2 B R'
F' B U R2 L' B R'
F' B U R2 B L' R'
F' B U R2 B R' L'
B2 F U R' D2 L2 B'
B2 F U' R F U2 R2
B2 F' U L' R2 B R
B2 F' U R2 L' B R
B2 F' U R2 B L' R
B2 F' U R2 B R L'
B F' U L' R2 B R'
B F' U R2 L' B R'
B F' U R2 B L' R'
B F' U R2 B R' L'
D' B2 L2 F' U L' R'
D' B2 L2 F' U R' L'
F' B2 U L' R2 B R
F' B2 U R2 L' B R
F' B2 U R2 B L' R
F' B2 U R2 B R L'
F B2 U R' D2 L2 B'
F B2 U' R F U2 R2
D' B2 F' L2 U L R'
D' B2 F' L2 U R' L
