R' L F' L' D R2
R' L F' D L' R2
R' L F' D R2 L'
L2 R' D F' L' R
L2 R' D F' R L'
F' L' U' B' R' U
L R' F' L' D R2
L R' F' D L' R2
L R' F' D R2 L'
R' L2 D F' L' R
R' L2 D F' R L'
U L' B' U' R' F'
L' U' B' R' F' U
L2 D R' F' L' R
L2 D R' F' R L'
R' F' L' U' B' U
U F' L' B' U' R'
U B' U' R' F' L'
F' L R' F' L2 D R2
D' L R' F' L' D R2
D2 L R' F' L' D R2
D' L R' F' D L' R2
D' L R' F' D R2 L'
D2 L R' F' D L' R2
D2 L R' F' D R2 L'
D L R' F' L' D R2
D L R' F' D L' R2
D L R' F' D R2 L'
L2 R D R2 F' L' R
L2 R D R2 F' R L'
R' L D F' L' D R2
R' L D F' D L' R2
R' L D F' D R2 L'
R' L D' F' L' D R2
R' L D' F' D L' R2
R' L D' F' D R2 L'
R' L D2 F' L' D R2
R' L D2 F' D L' R2
R' L D2 F' D R2 L'
R' L F' L' R D R2
R' L F' L' R' D R2
R' L F' L' R2 D R2
R' L F' L' U F2 U'
R' L F' L' D R2 D
R' L F' L' D R2 D'
R' L F' L' D R2 D2
R' L F' L2 D L R2
R' L F' L2 D R2 L
R' L F' R L' D R2
R' L F' R D L' R2
R' L F' R D R2 L'
R' L F' R' L' D R2
L R F' L' D R2 F'
R' L F' R' D L' R2
R' L F' R' D R2 L'
R' L F' R2 L' D R2
R' L F' R2 D L' R2
R' L F' R2 D R2 L'
R L F' L' D R2 F'
R' L F' D L' R2 D
R' L F' D L' R2 D'
R' L F' D L' R2 D2
R' L F' D R2 L' D
R' L F' D R2 L' D'
R' L F' D R2 L' D2
R' L F' D R2 D L'
R' L F' D R2 D' L'
R' L F' D R2 D2 L'
R' L F' D2 L' D' R2
L R F' D L' R2 F'
L R F' D R2 L' F'
R L F' D L' R2 F'
R L F' D R2 L' F'
R' L' U' B' U F' L'
L' R' U' B' U F' L'
L2 R' D L F' L' R
L2 R' D L F' R L'
L2 R' D L' F' L' R
L2 R' D L' F' R L'
L2 R' D L2 F' L' R
L2 R' D L2 F' R L'
F' L' R' U' B' U F'
L R' D F' L' D R2
L2 R' D F' L' R D
L2 R' D F' L' R D'
L2 R' D F' L' R D2
L2 R' D F' L' D R
L2 R' D F' L' D' R
L2 R' D F' L' D2 R
L2 R' D F' R L' D
L2 R' D F' R L' D'
L2 R' D F' R L' D2
L R' D F' D L' R2
L2 R' D F' R D L'
L2 R' D F' R D' L'
L2 R' D F' R D2 L'
L R' D F' D R2 L'
L2 R' D F' D L' R
L2 R' D F' D R L'
L2 R' D F' D' L' R
L2 R' D F' D' R L'
L2 R' D F' D2 L' R
L2 R' D F' D2 R L'
F' L' R' F' U' B' U
L R' D' F' L' D R2
L R' D' F' D L' R2
L R' D' F' D R2 L'
L R' D2 F' L' D R2
L R' D2 F' D L' R2
L R' D2 F' D R2 L'
F' L' U' R B' R' U
F' L' U' R' B' R' U
F' L' U' R2 B' R' U
F' L' U' D B' R' U
F' L' U' D' B' R' U
F' L' U' D2 B' R' U
D2 L' U' B' R' F' U
D' L' U' B' R' F' U
F' L' U' B' R' U D
F' L' U' B' R' U D'
F' L' U' B' R' U D2
F' L' U' B' R' D U
F' L' U' B' R' D' U
F' L' U' B' R' D2 U
F' L' U' B' D R' U
F' L' U' B' D' R' U
F' L' U' B' D2 R' U
D L' U' B' R' F' U
L2 R' F' L' U F U'
L R' F' L' R D R2
L R' F' L' R' D R2
L R' F' L' R2 D R2
L R' F' L' U F2 U'
L R' F' L' D R2 D
L R' F' L' D R2 D'
L R' F' L' D R2 D2
