L' F' U' L' B2
L' F' U' B2 L'
D' L' F' R2 U' L'
B L' F' U' L' B
B L' F' U' B L'
U L' F' B' U' B'
U L' B' F' U' B'
B2 U L' F' B' U'
B2 U L' B' F' U'
L' D' F' R2 U' L'
F' U' B2 D' L' F
L' F' R U' L' B2
L' F' R U' B2 L'
L2 F' L U' L2 B2
L2 F' L U' B2 L2
L' F' R' U' L' B2
L' F' R' U' B2 L'
L' F' R2 U' L' B2
L' F' R2 U' B2 L'
L F' L2 U' L B2
L' F' U' L B2 L2
L' F' U' L' B2 D
L' F' U' L' B2 D'
L' F' U' L' B2 D2
L' F' U' B L' B
L' F' U' B2 L' D
L' F' U' B2 L' D'
L' F' U' B2 L' D2
L' F' U' B2 D L'
L' F' U' B2 D' L'
L' F' U' B2 D2 L'
L' F' D' R2 U' L'
L' F' B U' L' B
L' F' B U' B L'
L' F' B' U' B' L'
F' D' R2 U' L' F
L' B F' U' L' B
L' B F' U' B L'
L' B' F' U' B' L'
B2 L F D F2 L' R2
B2 L F D F2 R2 L'
D' L F' L2 R2 U' L
B' L F' L2 U' L B'
D' L F' R2 L2 U' L
B L F' L2 U' L B
R2 L' U2 B U L B
U L' R B' U' B' R'
D' L' R2 U2 B U L
R2 L' D' R2 F' U' L'
D2 L' D F' R2 U' L'
D' L' D F' U' L' B2
D' L' D F' U' B2 L'
B' L' D F' R U' L'
B L' D F' U' L' B
B L' D F' U' B L'
B L' D' F' U' L' B
B L' D' F' U' B L'
U L' D' F' R2 B' U'
U L' D' F' B' R2 U'
U L' D' B' F' R2 U'
D2 L' D2 F' U' L' B2
D2 L' D2 F' U' B2 L'
B L' D2 F' U' L' B
B L' D2 F' U' B L'
D2 L' F' R2 U' L' B
D' L' F' R2 U' L' D
D' L' F' R2 U' L' D'
D' L' F' R2 U' L' D2
D2 L' F' R2 U' B L'
D' L' F' R2 U' D L'
D' L' F' R2 U' D' L'
U' L' F' R B U' B
D' L' F' R2 U' D2 L'
D' L' F' R2 D U' L'
D' L' F' R2 D' U' L'
D' L' F' R2 D2 U' L'
D' L' F' R2 B U' L'
D' L' F' R2 B' U' L'
D' L' F' R2 B2 U' L'
D' L' F' U' L' D B2
D' L' F' U' D L' B2
D' L' F' U' D B2 L'
B' L' F' U' L B' L2
U' L' F' U' B L B
D' L' F' D U' L' B2
D' L' F' D U' B2 L'
U L' F' R B' U' B'
B L' F' U' L B L2
B L' F' U' L' D B
B L' F' U' L' D' B
B L' F' U' L' D2 B
B L' F' U' L' B D
B L' F' U' L' B D'
B L' F' U' L' B D2
D' L' F' B R2 U' L'
B L' F' U' D L' B
B L' F' U' D B L'
B L' F' U' D' L' B
B L' F' U' D' B L'
B L' F' U' D2 L' B
B L' F' U' D2 B L'
U L' F' R' B' U' B'
B L' F' U' B L' D
B L' F' U' B L' D'
B L' F' U' B L' D2
B L' F' U' B D L'
B L' F' U' B D' L'
B L' F' U' B D2 L'
B L' F' U' B' L' B2
D' L' F' B' R2 U' L'
U L' F' R2 B' U' B'
D' L' F' B2 R2 U' L'
U' L' F' B U' B L
B L' F' D U' L' B
B L' F' D U' B L'
B L' F' D' U' L' B
U2 L' F' B U' L B
B L' F' D' U' B L'
B2 L' F' B U' B' L'
B L' F' D2 U' L' B
B L' F' D2 U' B L'
B2 L' F' B' U' L' B
B2 L' F' B' U' B L'
B2 L' F' B2 U' L' B2
B2 L' F' B2 U' B2 L'
B L' F' B' U' L' B2
B L' F' B' U' B2 L'
U L' F' D' R2 B' U'
U L' F' D' B' R2 U'
B L' F' B2 U' B' L'
D' L' F2 R2 F U' L'
U L' F' B' R U' B'
U L' F' B' R' U' B'
U L' F' B' R2 U' B'
U L' F' B' U' D B'
U L' F' B' U' D' B'
U L' F' B' U' D2 B'
U L' F' B' U' B' D
U L' F' B' U' B' D'
U L' F' B' U' B' D2
U L' F' B' D U' B'
U L' F' B' D' U' B'
U L' F' B' D2 U' B'
D L' F2 R F U' L'
L' R2 U2 B U L B
D' L' B F' R2 U' L'
U' L' B F' U' B L
U2 L' B F' U' L B
B2 L' B F' U' B' L'
U L' B' R U' B' R'
D' L' B' F' R2 U' L'
B2 L' B' F' U' L' B
B2 L' B' F' U' B L'
U L' B' D F' U' B'
U L' B' D' F' U' B'
B L' B' F' U' L' B2
B L' B' F' U' B2 L'
L' R2 D' R2 F' U' L'
U L' B' D2 F' U' B'
U L' B' F' R U' B'
U L' B' F' R' U' B'
U L' B' F' R2 U' B'
U L' B' F' U' D B'
U L' B' F' U' D' B'
U L' B' F' U' D2 B'
U L' B' F' U' B' D
U L' B' F' U' B' D'
U L' B' F' U' B' D2
U L' B' F' D U' B'
U L' B' F' D' U' B'
U L' B' F' D2 U' B'
D' L' B2 F' R2 U' L'
B2 L' B2 F' U' L' B2
B2 L' B2 F' U' B2 L'
B L' B2 F' U' B' L'
D' L2 F' L R2 U' L2
D' L2 F' R2 L U' L2
