U B' R U B L
B L R F' B2 U L'
B L R B2 F' U L'
B L B2 R F' U L'
B R L F' B2 U L'
B R L B2 F' U L'
U R U B L D' R2
U R U B D' L R2
U R U B D' R2 L
B' R U2 R2 B U' L
B' R U2 B R2 U' L
B' R D F' U L' B2
B' R D F' U B2 L'
B' R D2 L2 F' U L'
B' R D2 F' L2 U L
B' R F' U L' D B2
B' R F' U D L' B2
B' R F' U D B2 L'
B' R F' U2 R2 U' L'
B R F' L B2 U L2
B' R F' D U L' B2
B' R F' D U B2 L'
B' R F' D2 L2 U L
U2 R B' U' R' F' U2
U R B' L F U B2
U R B' U B L B
U R' B' R2 U B L
B' R2 F' R' U L' B'
B U L R F B2 U
B U L R B2 F U
B U L B2 R F U
B U R L F B2 U
B U R L B2 F U
D' U B' R U B L
D2 U B' R U B L
D U B' R U B L
U D B' R U B L
U D' B' R U B L
U D2 B' R U B L
F' U2 B' R' U L' B'
R F' B L B2 U L2
R F' B' U2 R' U' L'
L' F2 L' F U' L' B'
R B L F' B2 U L'
R B L B2 F' U L'
R B F' L B2 U L2
U B' L R F U B
U B' R L F U B
U B' R U L B L
U B' R U L' B L
U B' R U L2 B L
U B' R U D B L
U B' R U D' B L
U B' R U D2 B L
U B' R U B L D
U B' R U B L D'
U B' R U B L D2
U B' R U B D L
U B' R U B D' L
U B' R U B D2 L
R' B' R2 F' U L' B'
U B' R D U B L
U B' R D' U B L
U B' R D2 U B L
U B' R F U B L
U B' R F' U B L
U B' R F2 U B L
R B' U2 R' B U' L
U B' D R U B L
U B' D' R U B L
U B' D2 R U B L
R B' F' U2 R' U' L'
