L F D R U2 F'
F L R F U' L' U'
U L U R F U B
R' L D F R B2 U2
R' L D F B2 R U2
R' L D B2 F R U2
R' L D' F R U2 F
F L D R F U2 F2
R' L F R U R U
R2 L F R U R2 U
R2 L F R U2 D' F2
L R F R U R' U
R2 L F R D B2 U2
R2 L F R D' U2 F2
R L F R U R' U
R' L F U2 D' F2 L'
R' L F D R B2 U2
R' L F D B2 R U2
R' L F D' R U2 F2
R' L F D' U2 F2 L'
F' L F U R U L2
F2 L F U' L2 U' L
D2 L F D R U2 F'
D' L F D R U2 F'
F2 L F U2 D L' F2
D L F D R U2 F'
F2 L F D U2 L' F2
F2 L F D' B2 U2 L'
L R' D F R B2 U2
L R' D F B2 R U2
L R' D B2 F R U2
L R' D' F R U2 F
F2 L' U L2 F U2 L'
L R' F R U R U
F2 L' U' D2 R2 B' L
F2 L' U' D2 B' L R2
F2 L' U' D2 B' R2 L
L R' F U2 D' F2 L'
L R' F D R B2 U2
L R' F D B2 R U2
L R' F D' R U2 F2
L R' F D' U2 F2 L'
F2 L' D2 U' R2 B' L
F2 L' D2 U' B' L R2
F2 L' D2 U' B' R2 L
L R2 F R U R2 U
L R2 F R U2 D' F2
L R2 F R D B2 U2
L R2 F R D' U2 F2
L U R U' F R U2
F R L F U' L' U'
U R U' L F R U2
F R D' L F B' U2
F R D' L B' F U2
U2 R B2 U R' B' L
B2 R' D' F' L' F' B'
B2 R' D' F' L' B' F'
B2 R' F D' F2 L' B'
B2 R' F' L' D' F2 B'
B2 R' F' L' D' B' F2
B2 R' F' L' B' D' F2
B2 R' F' D' L' F2 B'
B2 R' F' D' L' B' F2
R' D L F R B2 U2
R' D L F B2 R U2
R' D L B2 F R U2
L D F D R U2 F'
B' U R B L F U
R' D' L F R U2 F
L D' F D R U2 F'
L D2 F D R U2 F'
L F R2 D R' B U2
F D L R F U2 F2
L F U2 D' F2 L' F
L F D R U2 D F'
L F D R U2 D' F'
L F D R U2 D2 F'
L F D R U2 F' D
L F D R U2 F' D'
L F D R U2 F' D2
L F D R D U2 F'
L F D R D' U2 F'
L F D R D2 U2 F'
L F D R B U2 F'
L F D R B' U2 F'
L F D R B2 U2 F'
L F D R' B R2 U2
L F D B R U2 F'
L F D B' R U2 F'
L F D B2 R U2 F'
F D R L F U2 F2
L F D' U2 F2 L' F
L F B D R U2 F'
L F B' D R U2 F'
L F B2 D R U2 F'
F D' L R F B' U2
F D' L R B' F U2
F D' L B' R F U2
F D' R L F B' U2
F D' R L B' F U2
U2 B R U L B R'
L B F D R U2 F'
L B' F D R U2 F'
L B2 F D R U2 F'
