B' F L' U F2 L'
F B' L' U F2 L'
F2 B' U F L' B'
B' F2 U F L' B'
B' L F L' U F2 L'
U L F L' B' U F2
B' L F2 U F L' B'
F' L' U D2 R F' U'
F' L' D' B R' D B2
F' L' D2 U R F' U'
B' L' F L' U F2 L'
B' L' F2 U F L' B'
F' L2 R F U' L F'
F' L2 R F U' F' L
F' L2 U R F U' L
B' L2 F L' U F2 L'
D' L2 F' L' D R2 B'
D' L2 F' L' D B' R2
D' L2 F' L' B' D R2
D' L2 F' D L' R2 B'
D' L2 F' D L' B' R2
D' L2 F' D R2 L' B'
B' L2 F2 U F L' B'
F' R L2 F U' L F'
F' R L2 F U' F' L
F R U B' L' U F2
F' R U' B' U L' B
F' R U' B' U B L'
F2 R B' U F L' B'
F2 R' B' U F L' B'
F2 R2 B' U F L' B'
L' D F' L' R' B R2
L' D F' R' L' B R2
L' D F' R' B L' R2
L' D F' R' B R2 L'
F' U R U2 B' U L'
D2 U B' L F U F2
F U B' L' U F2 L'
D2 U' B' L U F' L'
F' U' B' U2 R U' L'
F U' B' L' U F2 L'
U' D2 B' L U F' L'
U D2 B' L F U F2
L F L' B' U F2 L'
F U2 B' L' U F2 L'
L2 F U2 L' U F2 L'
D2 F B' L U F2 L'
L' F' L' U R F U'
D2 F' L' D' R' B R'
D2 F' L' D' B R' B
L2 F' L' R' D R2 B2
L2 F' L' R' D B2 R2
L2 F' L' U R F2 U'
D F' L' R' D' B R'
L2 F' R F2 U' F2 L'
L2 F' R' L' D R2 B2
L2 F' R' L' D B2 R2
L2 F' R' D L' R2 B2
L2 F' R' D L' B2 R2
L2 F' R' D R2 L' B2
L2 F' R' D R2 B2 L'
L2 F' R' D B2 L' R2
L2 F' R' D B2 R2 L'
D F' R' L' D' B R'
D F' R' B L' D' R2
D F' R' B D' L' R2
D F' R' B D' R2 L'
D2 F' U' B' L U L2
B D' L F' R2 B' L'
B D' L F' B' L' R2
B D' L F' B' R2 L'
B D' L B' F' L' R2
B D' L B' F' R2 L'
B D' L2 F' L' R2 B'
B D' L2 F' L' B' R2
B D' L2 F' R2 L' B'
B D' F' L R2 B' L2
B D' F' L B' L2 R2
B D' F' L B' R2 L2
B D' F' R2 L B' L2
L F2 U F L' B' R'
L F2 U' F L' R B
L F2 U' F R L' B
L F2 U' F R B L'
B' F L' U L F2 L'
B' F L' U L' F2 L'
B' F L' U L2 F2 L'
B' F L' U F2 L' D
B' F L' U F2 L' D'
B' F L' U F2 L' D2
B' F L' U F2 D L'
B' F L' U F2 D' L'
B' F L' U F2 D2 L'
B' F L' U' R U2 F2
B' F L' F U F L'
B2 F L' B U F2 L'
B F L' B2 U F2 L'
U2 B D' L F' R2 B'
U2 B D' L F' B' R2
U2 B D' L B' F' R2
F B L' B2 U F2 L'
U2 B D' F' L R2 B'
U2 B D' F' L B' R2
U2 B D' F' R2 L B'
D2 B' L F U F2 L'
D2 B' L F2 U F L'
U B' L F L' U F2
B' F' L' U R U' R'
F' B' L' U R U' R'
F B' L' U L F2 L'
F B' L' U L' F2 L'
F B' L' U L2 F2 L'
F B' L' U F2 L' D
F B' L' U F2 L' D'
F B' L' U F2 L' D2
F B' L' U F2 D L'
F B' L' U F2 D' L'
F B' L' U F2 D2 L'
F B' L' U' R U2 F2
F B' L' F U F L'
F2 B' R U F L' B'
F2 B' R' U F L' B'
F2 B' R2 U F L' B'
B' F' U R U' L' R'
B' F' U R U' R' L'
F' B' U R U' L' R'
F' B' U R U' R' L'
D2 B' F L U F2 L'
F2 B' U F L' D B'
F2 B' U F L' D' B'
F2 B' U F L' D2 B'
F2 B' U F L' B' D
F2 B' U F L' B' D'
F2 B' U F L' B' D2
F2 B' U F D L' B'
F2 B' U F D' L' B'
F2 B' U F D2 L' B'
F2 B' U F B L' B'
F2 B' U F B' L' B'
F2 B' U F B2 L' B'
F2 B' U B F L' B'
F2 B' U B' F L' B'
F2 B' U B2 F L' B'
B' F2 R U F L' B'
F B2 L' B U F2 L'
B' F2 R' U F L' B'
B' F2 R2 U F L' B'
B' F2 U F L' D B'
B' F2 U F L' D' B'
B' F2 U F L' D2 B'
B' F2 U F L' B' D
B' F2 U F L' B' D'
B' F2 U F L' B' D2
B' F2 U F D L' B'
B' F2 U F D' L' B'
B' F2 U F D2 L' B'
B' F2 U F B L' B'
B' F2 U F B' L' B'
B' F2 U F B2 L' B'
B' F2 U B F L' B'
B' F2 U B' F L' B'
B' F2 U B2 F L' B'
