F' L U' L2 F R
F' U2 B' U L' F
F L U R B' U2 R'
F' L U B' U2 L2 R'
F' L U B' U2 R' L2
F L U B' R U2 R2
F' L U' L2 R F R
F' L U' L2 R' F R
F' L U' L2 R2 F R
F' L U' L2 D F R
F' L U' L2 D' F R
F' L U' L2 D2 F R
F' L U' L2 F R D
F' L U' L2 F R D'
F' L U' L2 F R D2
F' L U' L2 F D R
F' L U' L2 F D' R
F' L U' L2 F D2 R
F' L U' R L2 F R
F' L U' R' L2 F R
F2 L U' L2 F L' R
F2 L U' L2 F R L'
F' L U' R2 L2 F R
F' L U' F L2 R F
F' L U' F R L2 F
F' L F U' L2 F R
F' L F' U' L2 F R
F' L F2 U' L2 F R
B2 L' U2 B U F L
F' L2 F L' U' L2 F
F' L2 F L2 U' L' F
F2 L2 F L U' F L2
D2 L2 F U R U2 F'
D L2 F L' U R U2
F L2 F L U' F L'
B' R' F' U L' F B'
B' R' F' U L' B' F
B' R' F2 L' U F L'
B2 R2 F' R2 U' L' F
L' D F' U' L' R F2
L' D F' U' R L' F2
F' U' L' D F' R F2
F' U' L' F2 D F' R
F' U' B' U L' F B
F' U' B' U L' B F
F' U' B' U B L' F
F' U2 R B' U L' F
F' U2 R' B' U L' F
D2 U2 B' U' R' B U2
F' U2 R2 B' U L' F
U2 D2 B' U' R' B U2
B2 U2 D' B R' U L
L2 F L U R U2 F
L2 F L U' F2 L' F'
L2 F L' U R B' U2
L2 F L' U B' R U2
F2 U2 F B' U L' F
L2 F L2 U' F2 L' F
B2 U2 B U L' F L2
F' U2 B' R U L' F
F' U2 B' R' U L' F
F U2 F2 B' U L' F
F' U2 B' R2 U L' F
F' U2 B' U L' D F
F' U2 B' U L' D' F
F' U2 B' U L' D2 F
F' U2 B' U L' F D
F' U2 B' U L' F D'
F' U2 B' U L' F D2
F2 U2 B' U L' F L'
F2 U2 B' U F L' F
F2 U2 B' F U L' F
F U2 B' U F2 L' F
L F U R B' U2 R'
F U2 B' F2 U L' F
L2 F U' F2 D' L' F
L F U B' R U2 R2
F' D L2 F L' U' L2
L2 F' L F2 U' L2 F'
L2 F' L F2 U' F' L2
L F' U B' U2 L' R'
L F' U B' U2 R' L'
F2 D' L B' L F U'
L F' U' L2 F L R
L F' U' L2 F R L
D F' U2 R B' U L'
D F' U2 B' R U L'
D F' U2 B' R U L'
R' F' B' U L' F B'
R' F' B' U L' B' F
L2 F2 L F' U' F2 L'
B2 D' U2 B R' U L
L' F2 L' F U' L' F2
L F2 U' L2 F L' R
L F2 U' L2 F R L'
R' F2 B' L' U F L'
F' B U' L' D' R2 F
F' B U' L' D' F R2
F' B U' L' F D' R2
F' B U2 B2 U L' F
U2 B' R2 U F2 L' F
U' B' U F' L' F B
U' B' U F' L' B F
U' B' U F' B L' F
U' B' U B F' L' F
U2 B' R2 F2 U L' F
U2 B' U' D2 R' B U2
U2 B' D2 U' R' B U2
R' B' F' U L' F B'
R' B' F' U L' B' F
B F' U' L' D' R2 F
B F' U' L' D' F R2
B F' U' L' F D' R2
R' B' F2 L' U F L'
B2 F' U2 B U L' F
B F' U2 B2 U L' F
R2 B2 R2 F' U' L' F
D' B2 U2 B U L F
F' B2 U2 B U L' F
