B' U F R U2 R2
B U F L R U2
B U F R L U2
U F R U B U
R B U F L U2
U2 L D F L' U R
U2 L F L U R B'
U2 L F L U B' R
L2 R B' R' D L2 F2
L2 R B' R' D F2 L2
L2 R B' D L2 R' F2
L2 R B' D L2 F2 R'
L2 R B' D R' L2 F2
L2 R B' D R' F2 L2
L2 R B' D F2 L2 R'
L2 R B' D F2 R' L2
L2 R2 D F2 B' L R'
L2 R2 D F2 B' R' L
R2 L2 D F2 B' L R'
R2 L2 D F2 B' R' L
L2 R2 D B' L R' F2
L2 R2 D B' L F2 R'
L2 R2 D B' R' L F2
R2 L2 D B' L R' F2
L2 R2 D B' R' F2 L
R2 L2 D B' L F2 R'
R2 L2 D B' R' L F2
R2 L2 D B' R' F2 L
L2 R2 D B' F2 L R'
L2 R2 D B' F2 R' L
R2 L2 D B' F2 L R'
R2 L2 D B' F2 R' L
R L2 B' R' D L2 F2
R L2 B' R' D F2 L2
R L2 B' D L2 R' F2
R L2 B' D L2 F2 R'
R L2 B' D R' L2 F2
R L2 B' D R' F2 L2
R L2 B' D F2 L2 R'
R L2 B' D F2 R' L2
U' L2 D' B L R' B2
U' L2 D' B R' L B2
B' R F2 B U' R2 B
D2 R B U F L U2
D' R B U F L U2
B' R B U F U2 R2
F' R B U L F2 U2
F' R B U F2 L U2
F' R B U' D2 B2 R'
B2 R B U F U2 R'
F' R B D2 U' B2 R'
D R B U F L U2
B' R B F2 U' R2 B
U R' F R U' F2 U'
U R' F R U2 D R2
U R' F R D U2 R2
U R' F R D' L2 U2
U R' F U' F2 U' L'
U R' F D R U2 R
U R' F D' L2 R U2
U R' F D' R L2 U2
R' U2 F' U' L' F2 U2
R' U2 F' U' F2 U2 R
U R2 D' F L' R U2
U R2 D' F R L' U2
U R2 F R U' F' U'
B U L U2 B L B'
B' U R F R U2 R
B U R F L R U2
B U R F R L U2
B' U R' F R U2 R'
B U R' F L R U2
B U R' F R L U2
R D B U F L U2
D' U F R U B U
D2 U F R U B U
B' U D F R U2 R2
B U R2 F L R U2
B U R2 F R L U2
D U F R U B U
B' U D' F R U2 R2
B U D F L R U2
B U D F R L U2
U D F R U B U
B' U D2 F R U2 R2
B U D' F L R U2
B U D' F R L U2
B2 U D2 F L' R U2
B2 U D2 F R L' U2
B' U F L R U2 R2
B' U F L' R U2 R2
B' U F L2 R U2 R2
B' U F R L U2 R2
B' U F R L' U2 R2
B' U F R L2 U2 R2
B' U F R U2 R2 D
B' U F R U2 R2 D'
B' U F R U2 R2 D2
B' U F R D2 L2 U2
B U D2 F L R U2
B U D2 F R L U2
B' U F U2 R' D2 L2
B' U F D R U2 R2
B' U F D' R U2 R2
B' U F D2 R U2 R2
B U F L R U2 D
B U F L R U2 D'
B U F L R U2 D2
B U F L R D U2
B U F L R D' U2
B U F L R D2 U2
B U F L D R U2
B U F L D' R U2
B U F L D2 R U2
B U F R L U2 D
B U F R L U2 D'
B U F R L U2 D2
B U F R L D U2
B U F R L D' U2
B U F R L D2 U2
B U F R D L U2
B U F R D' L U2
B U F R D2 L U2
B U F D L R U2
B U F D R L U2
B U F D' L R U2
B U F D' R L U2
B U F D2 L R U2
B U F D2 R L U2
B U F' L F2 U2 L2
B U F2 L F' R U2
B' U' L R' B L B'
B' U' L D2 R' B L
B' U' L B L B' R'
B2 U' L B L R' B'
B2 U' L B R' L B'
B' U' L2 R' B L B2
B2 U' L2 B L R' B2
B2 U' L2 B R' L B2
B' U' R' L B L B'
B' U' R' L2 B L B2
B' U' R' U2 F R U2
B' U' R' B L2 B' L'
B' U' R' B2 L2 B' L
U D' F R U B U
R D' B U F L U2
B' U' F U2 F' L' R'
B' U' F U2 F' R' L'
B U' F L U2 F' L'
B' U' B L2 B' L' R'
B' U' B L2 B' R' L'
B2 U' B L D2 R' B
B2 U' B L2 R' B' L'
B2 U' B R' L2 B' L'
B2 U' B2 L2 B' L R'
B2 U' B2 L2 B' R' L
B U' B2 L2 R' B' L
B U' B2 R' L2 B' L
U D2 F R U B U
R D2 B U F L U2
U F L R U B U
U F L' R U B U
U F L2 R U B U
U F R L U B U
U F R L' U B U
U F R L2 U B U
U F R U D B U
U F R U D' B U
U F R U D2 B U
U F R U B U D
U F R U B U D'
U F R U B U D2
U F R U B D U
U F R U B D' U
U F R U B D2 U
U F R D U B U
U F R D' U B U
U F R D2 U B U
U F D R U B U
U F D' R U B U
U F D2 R U B U
B' D U F R U2 R2
B D U F L R U2
B D U F R L U2
B' D' U F R U2 R2
R F' B U L F2 U2
R F' B U F2 L U2
R F' B U' D2 B2 R'
R F' B D2 U' B2 R'
B D' U F L R U2
B D' U F R L U2
U2 F2 U' F' U2 L' R
U2 F2 U' F' U2 R L'
B' D2 U F R U2 R2
B2 D2 U F L' R U2
B2 D2 U F R L' U2
R F2 B U L F' U2
R F2 B U F' L U2
B D2 U F L R U2
B D2 U F R L U2
R B R U F L U2
D2 B U F L R U2
D2 B U F R L U2
D' B U F L R U2
D' B U F R L U2
R B R' U F L U2
R B R2 U F L U2
D B U F L R U2
D B U F R L U2
R B U D F L U2
R B U D' F L U2
R B U D2 F L U2
R B U F L U2 D
R B U F L U2 D'
R B U F L U2 D2
R B U F L D U2
R B U F L D' U2
R B U F L D2 U2
R B U F D L U2
R B U F D' L U2
R B U F D2 L U2
R B U F' L F2 U2
R B U F2 L F' U2
R B D U F L U2
R B D' U F L U2
R B D2 U F L U2
F2 B U L F' U2 L'
F2 B U F' L U2 L2
R B F' U L F2 U2
R B F' U F2 L U2
R B F' U' D2 B2 R'
R B F' D2 U' B2 R'
R B F2 U L F' U2
R B F2 U F' L U2
D2 B' U F R U2 R2
D' B' U F R U2 R2
D B' U F R U2 R2
R B' U' R' D L2 B'
R B' U' D L2 R' B'
R B' U' D R' L2 B'
R B' D U' L2 R' B'
R B' D U' R' L2 B'
F2 B' U F' U2 L' R'
F2 B' U F' U2 R' L'
F2 B' U' R2 B L R
F2 B' U' R2 B R L
L2 B2 L2 U' B L R'
L2 B2 L2 U' B R' L
B' F2 U F' U2 L' R'
B' F2 U F' U2 R' L'
B' F2 U' R2 B L R
B' F2 U' R2 B R L
B F2 U L F' U2 L'
B2 F2 U' R2 B L R'
B2 F2 U' R2 B R' L
F2 B2 U' R2 B L R'
F2 B2 U' R2 B R' L
B F2 U F' L U2 L2
