U2 L' B D L2 F
R2 D' F' R U2 F
R2 F' U2 D' F L'
R2 F' D' U2 F L'
U2 B L2 D F L'
F2 L U' F2 B L R
F2 L U' F2 B R L
F2 L U' B F2 L R
F2 L U' B F2 R L
B L U2 L' U' B' U'
U2 L F' D' B L2 F
U2 L F' B D' L2 F
L' R B2 R' B D L2
U2 L B F' D' L2 F
B L' U2 L U F U
U2 L' D B D L2 F
U2 L' D' B D L2 F
U2 L' D2 B D L2 F
R L' B2 R' B D L2
U2 L' F B D L2 F
U2 L' F' B D L2 F
U2 L' F2 B D L2 F
U2 L' B L2 D F L2
U2 L' B L2 F D L2
U2 L' B D L2 D F
U2 L' B D L2 D' F
U2 L' B D L2 D2 F
U2 L' B D L2 F D
U2 L' B D L2 F D'
U2 L' B D L2 F D2
U2 L' B D F L2 F
U2 L' B D F' L2 F
U2 L' B D F2 L2 F
U2 L' B F D L2 F
U2 L' B F' D L2 F
U2 L' B F2 D L2 F
B' L' B2 R' U' F' U
U2 L2 D B L2 F L'
U2 L2 B D L2 F L'
R' U F' L' U2 L U'
B R U B U2 B' U
B2 R B' D L2 D2 R2
L2 U' D' B2 U B' L
R' U' F' U2 F R U'
F' R' U F' L' U F2
F2 R' U F' L' U F'
B R' U' F' U2 F U'
L' U' B2 U R' B' L
L' U2 L U F U B
L U2 L' U' B' U' B2
L U2 L' U2 B D L2
R2 U2 D' F' R U2 R'
D2 R2 D' F' R U2 F
D' R2 D' F' R U2 F
F R2 D F' B R' U2
F' R2 D' F' R U2 F2
F' R2 D' F' U2 F2 L'
F R2 D B F' R' U2
D R2 D' F' R U2 F
F R2 D' F' B R U2
F R2 D' B F' R U2
D' R2 F' U2 D' F L'
D2 R2 F' U2 D' F L'
D' R2 F' D' U2 F L'
D2 R2 F' D' U2 F L'
D R2 F' U2 D' F L'
D R2 F' D' U2 F L'
F R2 F' D B R' U2
F R2 B D' F' R U2
U2 D L' B D L2 F
R2 D F' U2 D2 F L'
R2 D F' D2 U2 F L'
R2 D F' B R' U2 F
R2 D F' B' U2 F L
L2 D F2 U' F2 B L
L2 D F2 U' B L F2
L2 D F2 U' B F2 L
R2 D B F' R' U2 F
R2 D B' F' U2 F L
U2 D B L2 D F L'
B U F U R U2 R'
F' U F' U L' F2 B
F' U F' U L' B F2
B' U F' U' L' B2 R'
F' U F' U B L' F2
F U F U F2 L' B
F U F U F2 B L'
F U F U B F2 L'
F2 U F' U L' F' B
F2 U F' U L' B F'
F2 U F' U B L' F'
F U F2 U F L' B
F U F2 U F B L'
F U F2 U B F L'
B U B' U2 B U L
U2 D' L' B D L2 F
L2 D' U' B2 U B' L
R2 D' U2 F' R U2 R'
R2 D' F' R U2 D F
R2 D' F' R U2 D' F
R2 D' F' R U2 D2 F
R2 D' F' R U2 F D
R2 D' F' R U2 F D'
R2 D' F' R U2 F D2
R2 D' F' R D U2 F
R2 D' F' R D' U2 F
R2 D' F' R D2 U2 F
R2 D' F' R B U2 F
R2 D' F' R B' U2 F
R2 D' F' R B2 U2 F
R2 D' F' U2 F2 L' F'
R2 D' F' D R U2 F
R2 D' F' D' R U2 F
R2 D' F' D2 R U2 F
R2 D' F' B R U2 F
R2 D' F' B' R U2 F
R2 D' F' B2 R U2 F
L2 D' B U' B U L
R2 D' B F' R U2 F
R2 D' B' F' R U2 F
U2 D' B L2 D F L'
R2 D' B2 F' R U2 F
B U' F U2 F' U' L'
D' U2 L' B D L2 F
D2 U2 L' B D L2 F
F2 U' F2 D B L R2
F2 U' F2 D B R2 L
F2 U' F2 B L D R2
F2 U' F2 B D L R2
F2 U' F2 B D R2 L
U2 D2 L' B D L2 F
F2 U' B L F2 D R2
D U2 L' B D L2 F
F2 U' B F2 L D R2
F2 U' B F2 D L R2
F2 U' B F2 D R2 L
F' U' B' U' F B2 L
F' U' B' U' B2 F L
F2 U' B' U' F2 B2 L
F2 U' B' U' B2 L F2
F2 U' B' U' B2 F2 L
F' U' B2 U' F B' L
B U' B' U' R' U2 R
F' U' B2 U' B' F L
F2 U' B2 U' F2 B' L
F2 U' B2 U' B' L F2
F2 U' B2 U' B' F2 L
F U' B' U' F' B2 L
F U' B' U' B2 L F'
F U' B' U' B2 F' L
F U' B2 U' F' B' L
F U' B2 U' B' L F'
F U' B2 U' B' F' L
F2 U2 L' F2 B D L2
F U2 L F' D' L2 B
F U2 L F' D' B L2
F U2 L F' B D' L2
F2 U2 L' B F2 D L2
F U2 L B F' D' L2
F U2 L' F' B D L2
F U2 L' B D L2 F'
F U2 L' B D F' L2
F U2 L' B F' D L2
R2 D2 F' U2 D F L'
R2 D2 F' D U2 F L'
D' U2 B L2 D F L'
D2 U2 B L2 D F L'
U2 D2 B L2 D F L'
D U2 B L2 D F L'
L2 D2 B2 R2 D B' L
F' U2 F L' B D L2
U2 F L' B D L2 F
F2 U2 F2 L' B D L2
F U2 F' L' B D L2
F U2 B L F' D' L2
U F U R U2 R' B
U' F U2 F' U' L' B
U' F U2 F' U' B L'
U2 F B L2 D F L'
U2 F' L' B D L2 F
U' F' L2 B' U B2 L
R2 F' R U F' U F2
R2 F' R U2 F D' L2
R2 F' R' U' B U' F
R2 F' U R F' U F2
U F' U L B L2 F
U F' U B L2 F L
U F' U' L' B2 R' B'
R2 F' U2 D' F L' D
R2 F' U2 D' F L' D'
R2 F' U2 D' F L' D2
R2 F' U2 D' F D L'
R2 F' U2 D' F D' L'
R2 F' U2 D' F D2 L'
U F' U' B' L' B2 R'
R2 F' D B R' U2 F
R2 F' D B' U2 F L
R2 F' D' R U2 F L'
R2 F' D' R' U2 F L'
R2 F' D' R2 U2 F L'
R2 F' D' U2 F L' D
R2 F' D' U2 F L' D'
R2 F' D' U2 F L' D2
R2 F' D' U2 F D L'
R2 F' D' U2 F D' L'
R2 F' D' U2 F D2 L'
R2 F' D' B U2 F L'
R2 F' D' B' U2 F L'
R2 F' D' B2 U2 F L'
U2 F' B L2 D F L'
R2 F' B U2 D' F L'
R2 F' B D' U2 F L'
R2 F' B' U2 D' F L'
R2 F' B' D' U2 F L'
R2 F' B2 U2 D' F L'
R2 F' B2 D' U2 F L'
U2 F2 L' B D L2 F
U F2 U B L2 F L'
L F2 U' B L R F2
L F2 U' B R L F2
L F2 U' B R F2 L
U' F2 D2 B2 U B' L
U2 F2 B L2 D F L'
U2 B L U' F R U
U2 B L2 D F L' D
U2 B L2 D F L' D'
U2 B L2 D F L' D2
U2 B L2 D F D L'
U2 B L2 D F D' L'
U2 B L2 D F D2 L'
L' B R U B U' R'
L' B U' B U L R'
L' B U' B U R' L
U2 B D L2 D F L'
L B U2 L' U' B' U'
U2 B D' L2 D F L'
R2 B D' F' R U2 F
U2 B D2 L2 D F L'
U2 B F L2 D F L'
U2 B F' L2 D F L'
U2 B F2 L2 D F L'
R2 B F' U2 D' F L'
R2 B F' D' U2 F L'
U' B' U L' B2 L R'
U' B' U L' B2 R' L
U' B' U' R' U2 R B2
U' B' U' R' U2 B2 R
U' B' U' B2 L D2 F2
U' B' U' B2 D2 L F2
U' B' U' B2 D2 F2 L
U B' R2 F' U' L' B2
U B' R2 F' U' B2 L'
U B' U2 B U L B
R2 B' D' F' R U2 F
U B' D' R2 F' U' L'
R2 B' F' U2 D' F L'
R2 B' F' D' U2 F L'
L' B2 R B' R2 D L2
L' B2 R' U' F' U B'
L' B2 R' B' U' F' U
L' B2 R2 D R B' L
L' B2 R2 D B' L R
L' B2 R2 D B' R L
R2 B2 D' F' R U2 F
L2 B2 D2 R2 D B' L
R2 B2 F' U2 D' F L'
R2 B2 F' D' U2 F L'
