R U F' B R2 U'
R U B F' R2 U'
U R F' R2 U' L'
R' U' F' B U B'
R' U' B F' U B'
U R' U2 B U L
R F' B R2 U' F
R B F' R2 U' F
L' R U F' B R2 U'
L' R U B F' R2 U'
L2 R U F' B R2 U'
L R U F' B R2 U'
L2 R U B F' R2 U'
L R U B F' R2 U'
R L U F' B R2 U'
R L U B F' R2 U'
B2 L R' F' B U F
B2 L R' B F' U F
R' L U' F' B U B'
R' L U' B F' U B'
L' R F' B R2 U' F
L R F' B R2 U' F
L2 R F' B R2 U' F
R L F' B R2 U' F
L' R B F' R2 U' F
L R B F' R2 U' F
L2 R B F' R2 U' F
R L B F' R2 U' F
R L' U F' B R2 U'
R L' U B F' R2 U'
R' L' U' F' B U B'
L' R' U' F' B U B'
R' L' U' B F' U B'
L' R' U' B F' U B'
L R' U' F' B U B'
L2 R' U' F' B U B'
L R' U' B F' U B'
L2 R' U' B F' U B'
R L' F' B R2 U' F
R L' B F' R2 U' F
R L2 U F' B R2 U'
R L2 U B F' R2 U'
R' L2 U' F' B U B'
R' L2 U' B F' U B'
R L2 F' B R2 U' F
R L2 B F' R2 U' F
L' U R F' R2 U' L'
L2 U R F' R2 U' L'
L U R F' R2 U' L'
L' U R' U2 B U L
L2 U R' U2 B U L
L U R' U2 B U L
R U R2 U2 F' B U
R U R2 U2 B F' U
R U D F' B U' B
R U D B F' U' B
R U F B R2 F2 U'
R U F' R2 U2 F' U
B' R U F' B R' U'
B' R U B F' R' U'
R U F' D B U' B
R U F' B R2 U' D
R U F' B R2 U' D'
R U F' B R2 U' D2
R U F' B R2 D U'
R U F' B R2 D' U'
R U F' B R2 D2 U'
R U F' B U' D B2
R U F' B D U' B2
R U F' B' R2 B2 U'
D R U B R2 U' R
R U F' B2 R2 B' U'
U2 R U' F' R2 U' L'
R U F2 B R2 F U'
R U B R2 U2 B U
R U B D F' U' B2
R U B F R2 F2 U'
R U B F' R2 U' D
R U B F' R2 U' D'
R U B F' R2 U' D2
R U B F' R2 D U'
R U B F' R2 D' U'
R U B F' R2 D2 U'
R U B F' U' D B2
R U B F' D U' B2
R U B F2 R2 F U'
R U B' F' R2 B2 U'
U R D F' U' L' B2
U R D F' U' B2 L'
R' U' L F' B U B'
R U B2 F' R2 B' U'
R' U' L B F' U B'
R' U' L' F' B U B'
R' U' L' B F' U B'
R' U' L2 F' B U B'
R' U' L2 B F' U B'
B' R F' B R' U' F
F' R F' B R2 U' F2
U R F' R2 U' L' D
U R F' R2 U' L' D'
U R F' R2 U' L' D2
U R F' R2 U' D L'
U R F' R2 U' D' L'
U R F' R2 U' D2 L'
U R F' R2 D U' L'
U R F' R2 D' U' L'
U R F' R2 D2 U' L'
U R F' R2 B U' L'
U R F' R2 B' U' L'
U R F' R2 B2 U' L'
U R F' U' L' D B2
U R F' U' D L' B2
U R F' U' D B2 L'
U R F' D U' L' B2
U R F' D U' B2 L'
U R F' B R2 U' L'
U R F' B' R2 U' L'
U R F' B2 R2 U' L'
U R F2 R2 F U' L'
B' R B F' R' U' F
F' R B F' R2 U' F2
U R B F' R2 U' L'
R' U' D F' B U B'
R' U' D B F' U B'
D R B' D B2 L2 R'
D R B' D B2 R' L2
R' U' D' F' B U B'
U R B' F' R2 U' L'
R' U' D' B F' U B'
R' U' D2 F' B U B'
R' U' D2 B F' U B'
B2 R' L F' B U F
U R B2 F' R2 U' L'
B2 R' L B F' U F
R' U' F' L B U B'
R' U' F' L' B U B'
R' U' F' L2 B U B'
R' U' F' D B U B'
R' U' F' D' B U B'
R' U' F' D2 B U B'
R' U' F' B U D B'
R' U' F' B U D' B'
R' U' F' B U D2 B'
R' U' F' B U B' D
R' U' F' B U B' D'
R' U' F' B U B' D2
R' U' F' B D U B'
R' U' F' B D' U B'
R' U' F' B D2 U B'
B2 R' U' L F' B U
B2 R' U' L B F' U
B2 R' U' F' L B U
R' U' B D F' U B'
R' U' B D' F' U B'
R' U' B D2 F' U B'
R' U' B F' U D B'
R' U' B F' U D' B'
R' U' B F' U D2 B'
