L U' R F B L
L U' R B F L
B' L U' R F B L
B' L U' R B F L
D2 L U' R F B L
D' L U' R F B L
D2 L U' R B F L
D' L U' R B F L
B2 L U' R F B L
B2 L U' R B F L
D L U' R F B L
B L U' R F B L
D L U' R B F L
B L U' R B F L
L R F U B R U'
R L F U B R U'
R' L F' L' U R2 F2
R' L F' L' U F2 R2
L2 R' F' L' U R2 F
L2 R' F' L' U F R2
L R' F' L' U R2 F2
L R' F' L' U F2 R2
U2 L' B' R' U' F' R2
R' L2 F' L' U R2 F
R' L2 F' L' U F R2
R U L' B L U' B2
R U L2 B L U' B'
L2 U R F' L' F B'
L2 U R F' L' B' F
L U R F' L' F2 B'
L U R F' L' B' F2
L2 U D2 R F' L' B'
L2 U F' L' F R B'
L2 U F' L' F B' R
L2 U F' L' B' F R
R U B L U F U2
L' U B' U2 R B L
L' U' L R B L F
L2 U' L' R F B L
L2 U' L' R B F L
L U' L' R B L F
L' U' L2 R F B L
L' U' L2 R B F L
L2 U' L2 R B L F
L' U' R L B L F
L' U' R L2 F B L
L' U' R L2 B F L
U' R F' B L D F2
L2 U' R L' F B L
L2 U' R L' B F L
L2 U' R L2 B L F
L' U' R B L D2 F2
L U' R L' B L F
L' U' R B D2 L F2
L' U' R B D2 F2 L
L U' R D F B L
L U' R D B F L
L2 U' R B L' F L2
L U' R D' F B L
L U' R D' B F L
L U' R D2 F B L
L U' R D2 B F L
L U' R F L B L
L U' R F L' B L
L U' R F L2 B L
L U' R F D B L
L U' R F D' B L
L U' R F D2 B L
L U' R F B L D
L U' R F B L D'
L U' R F B L D2
L U' R F B D L
L U' R F B D' L
L U' R F B D2 L
L U' R F' B L F2
L U' R F2 B L F'
L U' R B D F L
L U' R B D' F L
L U' R B D2 F L
L U' R B F L D
L U' R B F L D'
L U' R B F L D2
L U' R B F D L
L U' R B F D' L
L U' R B F D2 L
L U' R B F' L F2
L U' R B F2 L F'
U' R B F' L D F2
L U' R2 F R' B L
L U' D R F B L
L U' D R B F L
L U' D' R F B L
L U' D' R B F L
L2 U' D2 R F' B L
L2 U' D2 R B L F'
L2 U' D2 R B F' L
L U' D2 R F B L
L U' D2 R B F L
U2 R' U' F' L' R2 B'
U2 R' U' F' L' B' R2
U2 R' U' F' R2 L' B'
L U' B R F L B
L' U' B' R' U2 R2 B
L' U' B' R' F' U2 R2
L D U' R F B L
L D U' R B F L
L D' U' R F B L
L D' U' R B F L
L2 D2 U R F' L' B'
L2 D2 U' R F' B L
L2 D2 U' R B L F'
L2 D2 U' R B F' L
L D2 U' R F B L
L D2 U' R B F L
R F U B L R U'
R F U B R L U'
R' F' L' U' B' U2 R2
R' F' L' B2 U R2 F'
L B U' R F B L
L B U' R B F L
U2 B' R' U' F' L' R2
U2 B' R' U' F' R2 L'
L B' U' R F B L
L B' U' R B F L
L B2 U' R F B L
L B2 U' R B F L
U B2 D' R F' L' B'
