F R B' U2 B2 U' B2
F R' U F' R2 B' U
F R' U F' B' R2 U
F R' U B' F' R2 U
B' U L2 F' B' L' F
B' U L2 B' F' L' F
F U R F' B' U L'
F U R B' F' U L'
B' U F R U2 R' F'
B' U F' L F L2 B'
F U B' R F' U L'
B' U' R F B U2 L
B' U' R B F U2 L
B' U' F R B U2 L
B' U' F R' U2 F' L'
B' U' F B U2 L F
B' U' F B' R' U2 F'
B' U' B F U2 L F
B' U' B' R' F U2 F2
B' U' B' F R' U2 F'
F U2 R B' U B L
U F R U B' R' U
R' F U R F2 B' U
R' F U R B' F2 U
R' F U B' R F2 U
R2 F U R F' B' U
R2 F U R B' F' U
R2 F U B' R F' U
B' F R U2 B U' B'
U2 B' R' U' F R U2
F B' R U2 B U' B'
