B' U F' L' R' B'
B' U F' R' L' B'
B' L U F' L' R' B'
B' L U F' R' L' B'
U2 L F U R F2 B
U2 L F U R B F2
B' L' U F' L' R' B'
B' L' U F' R' L' B'
B' L2 U F' L' R' B'
B' L2 U F' R' L' B'
U' L2 D F' R B L
F R B L2 U' F2 R
F R B U L U2 F2
F' R' U' L' F' B' U
F' R' U' L' B' F' U
B U L F R U2 F2
B U L F U2 F2 L'
B' U L' F' R' B' L'
B' U D F' L' R' B'
B' U D F' R' L' B'
B' U D' F' L' R' B'
B' U D' F' R' L' B'
B' U D2 F' L' R' B'
B' U D2 F' R' L' B'
B2 U D2 F' L' R B'
B2 U D2 F' L' B' R
B2 U D2 F' R L' B'
B' U F' L' R B' R2
B' U F' L' R' D B'
B' U F' L' R' D' B'
B' U F' L' R' D2 B'
B' U F' L' R' B' D
B' U F' L' R' B' D'
B' U F' L' R' B' D2
B' U F' L' R2 B' R
B' U F' L' D R' B'
B' U F' L' D' R' B'
B' U F' L' D2 R' B'
B' U F' R L' B' R2
B' U F' R' L' D B'
B' U F' R' L' D' B'
B' U F' R' L' D2 B'
B' U F' R' L' B' D
B' U F' R' L' B' D'
B' U F' R' L' B' D2
B' U F' R' D L' B'
B' U F' R' D' L' B'
B' U F' R' D2 L' B'
B' U F' R' B L' B'
B' U F' R' B' L' B'
B' U F' R' B2 L' B'
B' U F' R2 L' B' R
B2 U F' L' B R' B2
B' U F' D L' R' B'
B' U F' D R' L' B'
B' U F' D' L' R' B'
B' U F' D' R' L' B'
B' U F' D2 L' R' B'
B' U F' D2 R' L' B'
B' U F' B L' B' R'
B U F' L' D2 R2 B'
B U F' L' D2 B' R2
B U F' L' B' D2 R2
B2 U F' B L' R' B'
B2 U F' B R' L' B'
B2 U F' B2 L' B' R'
B' U F2 R' F L' B'
B U F' B' L' B' R'
B U F' B2 L' R' B'
B U F' B2 R' L' B'
B' U B F' L' B' R'
B2 U B F' L' R' B'
B2 U B F' R' L' B'
B U B' F' L' B' R'
B2 U B2 F' L' B' R'
B U B2 F' L' R' B'
B U B2 F' R' L' B'
B U' L U2 F' L' B'
F' U' L' B' U' R' U2
B2 U' R B L R' F'
B2 U' R B R' L F'
B2 U' R B R' F' L
B2 U' D2 F' R B L
B' U' F' R B L R2
B' U' F' R B R2 L
B2 U' F' R B L R'
B2 U' F' R B R' L
F' U' B L' B' U L2
F' U' B2 L' B' U L
U2 F U R F2 B L
U2 F U R B L F2
U2 F U R B F2 L
B' D U F' L' R' B'
B' D U F' R' L' B'
U F' L' R B' D' R2
U F' R L' B' D' R2
B' D' U F' L' R' B'
B' D' U F' R' L' B'
B' D2 U F' L' R' B'
B' D2 U F' R' L' B'
B2 D2 U F' L' R B'
B2 D2 U F' L' B' R
B2 D2 U F' R L' B'
B2 D2 U' F' R B L
U2 B L F U R F2
B' F R B U' R2 F2
B' F R B U' F2 R2
B2 F R B U' R' F2
B2 F R B U' F2 R'
D2 B' U F' L' R' B'
D2 B' U F' R' L' B'
D' B' U F' L' R' B'
D' B' U F' R' L' B'
L' B' U F' L' R' B'
L' B' U F' R' L' B'
L2 B' U F' L' R' B'
L2 B' U F' R' L' B'
D B' U F' L' R' B'
D B' U F' R' L' B'
L B' U F' L' R' B'
L B' U F' R' L' B'
B' F' R' U' L' F' U
F' B' R' U' L' F' U
F B' R B U' R2 F2
F B' R B U' F2 R2
F B2 R B U' R' F2
F B2 R B U' F2 R'
