B2 L2 U' F B L
B2 L2 U' B F L
L2 U F B R U2
L2 U B F R U2
R2 U' D F' B' L
R2 U' D B' L F'
R2 U' D B' F' L
R2 U' F' D B' L
R2 D U' F' B' L
R2 D U' B' L F'
R2 D U' B' F' L
B2 U' L B L F
B2 U' L2 F B L
B2 U' L2 B F L
B2 U' B L D2 F2
B2 U' B D2 L F2
B2 U' B D2 F2 L
U F B R U2 B2
U F' B U2 L' B2
U F' B U2 B2 L'
U' B L B2 D2 F2
R B R U' F' B2
R B R U' B2 F'
U B U2 B L B
U B F R U2 B2
U B F' U2 L' B2
U B F' U2 B2 L'
U' B' U2 R' B2 U2
U' B' U2 B2 U2 L
B2 L' U' L' F B L
B2 L' U' L' B F L
B2 L' U' L2 B L F
B2 L' U' B L' F L2
U' L' B2 L B' L F
D2 L2 U F B R U2
D' L2 U F B R U2
D2 L2 U B F R U2
D' L2 U B F R U2
D L2 U F B R U2
D L2 U B F R U2
B2 L2 U' L' B L F
B2 L2 U' D F B L
B2 L2 U' D B F L
B2 L2 U' D' F B L
B2 L2 U' D' B F L
B2 L2 U' D2 F B L
B2 L2 U' D2 B F L
B2 L2 U' F L B L
B2 L2 U' F L' B L
B2 L2 U' F L2 B L
B2 L2 U' F D B L
B2 L2 U' F D' B L
B2 L2 U' F D2 B L
B2 L2 U' F B L D
B2 L2 U' F B L D'
B2 L2 U' F B L D2
B2 L2 U' F B D L
B2 L2 U' F B D' L
B2 L2 U' F B D2 L
B2 L2 U' F' B L F2
B2 L2 U' F2 B L F'
B2 L2 U' B D F L
B2 L2 U' B D' F L
B2 L2 U' B D2 F L
B2 L2 U' B F L D
B2 L2 U' B F L D'
B2 L2 U' B F L D2
B2 L2 U' B F D L
B2 L2 U' B F D' L
B2 L2 U' B F D2 L
B2 L2 U' B F' L F2
B2 L2 U' B F2 L F'
U' L2 U2 F B R U2
U' L2 U2 B F R U2
B2 L2 D U' F B L
B2 L2 D U' B F L
B2 L2 D' U' F B L
B2 L2 D' U' B F L
B2 L2 D2 U' F B L
B2 L2 D2 U' B F L
U L2 F L2 B R U2
U L2 F B L2 R U2
U L2 F B R L2 U2
L2 U R F R U2 F'
L2 U R' F R B U2
L2 U R2 F R U2 F2
L2 U R2 F U2 F2 L'
U L2 B F L2 R U2
U L2 B F R L2 U2
U' L2 B2 L2 F B' L
U' L2 B2 L2 B' F L
L2 U D F B R U2
L2 U D B F R U2
L2 U D' F B R U2
L2 U D' B F R U2
L2 U D2 F B R U2
L2 U D2 B F R U2
L2 U F D B R U2
L2 U F D' B R U2
L2 U F D2 B R U2
L2 U F B R U2 D
L2 U F B R U2 D'
L2 U F B R U2 D2
L2 U F B R D U2
L2 U F B R D' U2
L2 U F B R D2 U2
L2 U F B D R U2
L2 U F B D' R U2
L2 U F B D2 R U2
L2 U F B' R B2 U2
L2 U F B2 R B' U2
L2 U B R F R U2
L' U B U2 B L B'
L2 U B R' F R U2
L2 U B R2 F R U2
L2 U B D F R U2
L2 U B D' F R U2
L U B U L F U
L2 U B D2 F R U2
L2 U B F R U2 D
L2 U B F R U2 D'
L2 U B F R U2 D2
L2 U B F R D U2
L2 U B F R D' U2
L2 U B F R D2 U2
L2 U B F D R U2
L2 U B F D' R U2
L2 U B F D2 R U2
B' R D L2 B U' B'
L2 U B' F R B2 U2
L2 U B2 F R B' U2
B' R D2 B U' F2 B'
B' R D2 B U' B' F2
U R F R U2 F' B'
U R F R U2 B' F'
D2 R B R U' F' B2
D2 R B R U' B2 F'
D' R B R U' F' B2
D' R B R U' B2 F'
B' R B R2 U' F' B'
B' R B R2 U' B' F'
B' R B U B U2 B2
B' R B U' B' D2 F2
D R B R U' F' B2
D R B R U' B2 F'
B R B L2 U' F B
B R B L2 U' B F
B R B U B' U2 B2
B R B U' B D2 F2
R2 U' D F B' L F2
R2 U' D F' B' L D
R2 U' D F' B' L D'
R2 U' D F' B' L D2
R2 U' D F' B' D L
R2 U' D F' B' D' L
R2 U' D F' B' D2 L
R2 U' D B' L D F'
R2 U' D B' L D' F'
R2 U' D B' L D2 F'
R2 U' D B' L F' D
R2 U' D B' L F' D'
R2 U' D B' L F' D2
R2 U' D B' L' F' L2
R2 U' D B' D L F'
R2 U' D B' D F' L
R2 U' D B' D' L F'
R2 U' D B' D' F' L
R2 U' D B' D2 L F'
R2 U' D B' D2 F' L
R2 U' D B' F L F2
R2 U' D B' F' L D
R2 U' D B' F' L D'
R2 U' D B' F' L D2
R2 U' D B' F' D L
R2 U' D B' F' D' L
R2 U' D B' F' D2 L
R2 U' D' F B' L' F2
R2 U' D' B' F L' F2
R2 U' D2 F' D' B' L
R2 U' F' D B' L D
R2 U' F' D B' L D'
R2 U' F' D B' L D2
R2 U' F' D B' D L
R2 U' F' D B' D' L
R2 U' F' D B' D2 L
R2 U' F2 D F B' L
R2 U' F2 D B' F L
R2 U' F2 D' F B' L'
R2 U' F2 D' B' F L'
R2 U' F2 B' D' F L'
R' U' B' U' F' R' U
B R' U2 F' U F B2
B R' U2 F' U B2 F
L' U' B2 L B' L F
U R' U2 B L F B2
U R' U2 B L B2 F
R2 U' B' D' F L' F2
L2 U' B2 L2 F B' L
L2 U' B2 L2 B' F L
R2 U' B' F2 D' F L'
U R' F R B U2 B2
U R' B2 U2 B L F
U2 R2 U F' B L B2
U2 R2 U B L F' B2
U2 R2 U B L B2 F'
U2 R2 U B F' L B2
D2 R2 U' D F' B' L
D2 R2 U' D B' L F'
D2 R2 U' D B' F' L
D' R2 U' D F' B' L
D' R2 U' D B' L F'
D' R2 U' D B' F' L
D2 R2 U' F' D B' L
D' R2 U' F' D B' L
D R2 U' D F' B' L
D R2 U' D B' L F'
D R2 U' D B' F' L
D R2 U' F' D B' L
U' R2 U2 F' R2 B' L'
U' R2 U2 F' B' L' R2
U' R2 U2 F' B' R2 L'
U' R2 U2 B' F' L' R2
U' R2 U2 B' F' R2 L'
D2 R2 D U' F' B' L
D2 R2 D U' B' L F'
D2 R2 D U' B' F' L
D' R2 D U' F' B' L
D' R2 D U' B' L F'
D' R2 D U' B' F' L
U R2 U2 F' B L B2
U R2 U2 B L F' B2
U R2 U2 B L B2 F'
U R2 U2 B F' L B2
F2 R2 D F' R2 B' L
F2 R2 D F' B' L R2
F2 R2 D F' B' R2 L
F2 R2 D B' L F' R2
D R2 D U' F' B' L
D R2 D U' B' L F'
D R2 D U' B' F' L
F2 R2 D B' F' L R2
F2 R2 D B' F' R2 L
U' R2 F B' R2 F2 L'
U R2 F R U2 F2 B'
U R2 F R U2 B' F2
U' R2 F' R2 B L B2
F' R2 F' D R2 B' L
F' R2 F' D B' L R2
F' R2 F' D B' R2 L
U R2 F U2 F2 B' L'
U R2 F U2 B' F2 L'
U' R2 F' B L R2 B2
U' R2 F' B L B2 R2
U' R2 F' B R2 L B2
U R2 F' B L' B2 R'
U' R2 B L F' R2 B2
U' R2 B L F' B2 R2
U' R2 B L B2 F' R2
U R2 F2 U2 F B' L'
U R2 F2 U2 B' F L'
U' R2 B F' L R2 B2
U' R2 B F' L B2 R2
U' R2 B F' R2 L B2
U' R2 B' F R2 F2 L'
U R2 B F' L' B2 R'
L2 D U F B R U2
L2 D U B F R U2
R2 D U' F B' L F2
R2 D U' F' B' L D
R2 D U' F' B' L D'
R2 D U' F' B' L D2
R2 D U' F' B' D L
R2 D U' F' B' D' L
R2 D U' F' B' D2 L
R2 D U' B' L D F'
R2 D U' B' L D' F'
R2 D U' B' L D2 F'
R2 D U' B' L F' D
R2 D U' B' L F' D'
R2 D U' B' L F' D2
R2 D U' B' L' F' L2
R2 D U' B' D L F'
R2 D U' B' D F' L
R2 D U' B' D' L F'
R2 D U' B' D' F' L
R2 D U' B' D2 L F'
R2 D U' B' D2 F' L
R2 D U' B' F L F2
R2 D U' B' F' L D
R2 D U' B' F' L D'
R2 D U' B' F' L D2
R2 D U' B' F' D L
R2 D U' B' F' D' L
R2 D U' B' F' D2 L
U R2 B2 U2 F' B L
U R2 B2 U2 B L F'
U R2 B2 U2 B F' L
R2 D B U' F' B2 L
R2 D B U' B2 L F'
R2 D B U' B2 F' L
B2 U R2 F' B' U2 L'
R D B U2 R' U B2
B2 U R2 B' F' U2 L'
R D B' L B2 U' B2
F2 U D R2 F' B' L'
D' U F B R U2 B2
F2 U D R2 B' F' L'
D2 U F B R U2 B2
D U F B R U2 B2
D' U F' B U2 L' B2
D' U F' B U2 B2 L'
D2 U F' B U2 L' B2
D2 U F' B U2 B2 L'
U D F B R U2 B2
D U F' B U2 L' B2
D U F' B U2 B2 L'
U' D B L B2 D2 F2
U D F' B U2 L' B2
U D F' B U2 B2 L'
D' U B U2 B L B
D2 U B U2 B L B
B2 U F B' R U2 B2
D' U B F R U2 B2
D2 U B F R U2 B2
D' U B F' U2 L' B2
D' U B F' U2 B2 L'
D2 U B F' U2 L' B2
D2 U B F' U2 B2 L'
U' D B' U2 R' B2 U2
D U B U2 B L B
U' D B' U2 B2 U2 L
B2 U F' B' U2 L' B2
B2 U F' B' U2 B2 L'
D U B F R U2 B2
D U B F' U2 L' B2
D U B F' U2 B2 L'
U D B U2 B L B
U D B F R U2 B2
U D B F' U2 L' B2
U D B F' U2 B2 L'
B2 U B' U2 B L B
B2 U B' F R U2 B2
B2 U B' F' U2 L' B2
B2 U B' F' U2 B2 L'
L2 D' U F B R U2
L2 D' U B F R U2
R2 D' U' F B' L' F2
B2 U' L D B L F
B2 U' L D' B L F
R2 D' U' B' F L' F2
B2 U' L D2 B L F
B2 U' L F B L F
B2 U' L F' B L F
B2 U' L F2 B L F
B2 U' L B L D F
B2 U' L B L D' F
B2 U' L B L D2 F
B2 U' L B L F D
B2 U' L B L F D'
B2 U' L B L F D2
B2 U' L B D L F
B2 U' L B D' L F
B2 U' L B D2 L F
B2 U' L B F L F
B2 U' L B F' L F
B2 U' L B F2 L F
B2 U' L' B L' F L2
B2 U' L2 D F B L
B2 U' L2 D B F L
B2 U' L2 D' F B L
B2 U' L2 D' B F L
B2 U' L2 D2 F B L
B2 U' L2 D2 B F L
B2 U' L2 F L B L
B2 U' L2 F L' B L
B2 U' L2 F L2 B L
B2 U' L2 F D B L
B2 U' L2 F D' B L
B2 U' L2 F D2 B L
B2 U' L2 F B L D
B2 U' L2 F B L D'
B2 U' L2 F B L D2
B2 U' L2 F B D L
B2 U' L2 F B D' L
B2 U' L2 F B D2 L
B2 U' L2 F' B L F2
B2 U' L2 F2 B L F'
B2 U' L2 B D F L
B2 U' L2 B D' F L
B2 U' L2 B D2 F L
B2 U' L2 B F L D
B2 U' L2 B F L D'
B2 U' L2 B F L D2
B2 U' L2 B F D L
B2 U' L2 B F D' L
B2 U' L2 B F D2 L
B2 U' L2 B F' L F2
B2 U' L2 B F2 L F'
U D' F B R U2 B2
D' U' B L B2 D2 F2
U' D' B L B2 D2 F2
B2 U' D L B L F
B2 U' D L2 F B L
B2 U' D L2 B F L
D2 U' B L B2 D2 F2
U D' F' B U2 L' B2
U D' F' B U2 B2 L'
B2 U' D B L D2 F2
B2 U' D B D2 L F2
B2 U' D B D2 F2 L
B2 U' D' L B L F
B2 U' D' L2 F B L
B2 U' D' L2 B F L
D U' B L B2 D2 F2
B2 U' D' B L D2 F2
B2 U' D' B D2 L F2
B2 U' D' B D2 F2 L
U' D' B' U2 R' B2 U2
D' U' B' U2 R' B2 U2
U' D' B' U2 B2 U2 L
D' U' B' U2 B2 U2 L
B2 U' D2 L B L F
D2 U' B' U2 R' B2 U2
D2 U' B' U2 B2 U2 L
B2 U' D2 L2 F B L
B2 U' D2 L2 B F L
B2 U' D2 B L D2 F2
U D' B U2 B L B
B2 U' D2 B D2 L F2
B2 U' D2 B D2 F2 L
U D' B F R U2 B2
B2 U' F L B L F
U D' B F' U2 L' B2
U D' B F' U2 B2 L'
B2 U' F L2 F B L
B2 U' F L2 B F L
D U' B' U2 R' B2 U2
D U' B' U2 B2 U2 L
B2 U' F B L D2 F2
B2 U' F B D2 L F2
B2 U' F B D2 F2 L
B2 U' F' L B L F
B2 U' F' L2 F B L
B2 U' F' L2 B F L
B2 U' F' B L D2 F2
B2 U' F' B D2 L F2
B2 U' F' B D2 F2 L
B2 U' F2 L B L F
B2 U' F2 L2 F B L
B2 U' F2 L2 B F L
B2 U' F2 B L D2 F2
B2 U' F2 B D2 L F2
B2 U' F2 B D2 F2 L
B2 U' B L U2 B2 U2
B2 U' B L D2 F2 D
B2 U' B L D2 F2 D'
B2 U' B L D2 F2 D2
