U R2 F' L' B' R'
U B L F R U2
L R F B R U' F'
R L F B R U' F'
U L F B L R U2
U L F B R L U2
L R B F R U' F'
R L B F R U' F'
U L B F L R U2
U L B F R L U2
U L' R' B' R' F' L'
U L' R2 F' B' L' R'
U L' R2 F' B' R' L'
U L' R2 B' F' L' R'
U L' R2 B' F' R' L'
U' R F B L R F'
U' R F B R L F'
U' R F B R F' L
U' R B L F R F'
U' R B F L R F'
U' R B F R L F'
U' R B F R F' L
F R B U' F R F'
U R' L' B' R' F' L'
U R' F' L' B' R' F'
U R' B' R' F' L' B'
U R2 L' F' B' L' R'
U R2 L' F' B' R' L'
U R2 L' B' F' L' R'
U R2 L' B' F' R' L'
U R2 D F' L' B' R'
U R2 D' F' L' B' R'
U R2 D2 F' L' B' R'
U R2 F' L' R B' R'
U R2 F' L' R' B' R'
U R2 F' L' R2 B' R'
U R2 F' L' D B' R'
U R2 F' L' D' B' R'
U R2 F' L' D2 B' R'
U R2 F' L' B' R' D
U R2 F' L' B' R' D'
U R2 F' L' B' R' D2
U R2 F' L' B' D R'
U R2 F' L' B' D' R'
U R2 F' L' B' D2 R'
U R2 F' R L' B' R'
U R2 F' R' L' B' R'
U R2 F' R2 L' B' R'
U R2 F' D L' B' R'
U R2 F' D' L' B' R'
U R2 F' D2 L' B' R'
U R2 F' B' L' R' B'
U R2 F' B' R' L' B'
U R2 B' F' L' R' B'
U R2 B' F' R' L' B'
D' U R2 F' L' B' R'
D2 U R2 F' L' B' R'
D U R2 F' L' B' R'
U D R2 F' L' B' R'
D' U B L F R U2
D2 U B L F R U2
D U B L F R U2
U D B L F R U2
B2 U' L2 F R B L
U D' R2 F' L' B' R'
U D' B L F R U2
B2 U' B' R' F' L' U2
U D2 R2 F' L' B' R'
U D2 B L F R U2
U' F R2 F' R' B L
U F B L R F U2
U F B R L F U2
R' F' L' R' B' U F'
R' F' L' B' R' U F'
U F' L' R' B' R' F'
U F' L' R2 F' B' R'
U F' L' R2 B' F' R'
U F' L' B' R' D2 F2
U F' L' B' D2 R' F2
U F' L' B' D2 F2 R'
R' F' R' L' B' U F'
U F' R' L' B' R' F'
U F' R2 L' F' B' R'
U F' R2 L' B' F' R'
U F' B L U2 L2 B'
U F' B L F U2 L2
U F2 B L F U2 L'
U' B L2 U2 L' B' R'
U B L R F R U2
U B L R' F R U2
U B L R2 F R U2
U B L D F R U2
U B L D' F R U2
U B L D2 F R U2
U B L F R U2 D
U B L F R U2 D'
U B L F R U2 D2
U B L F R D U2
U B L F R D' U2
U B L F R D2 U2
U B L F D R U2
U B L F D' R U2
U B L F D2 R U2
R B L F R U' F'
U' B R' F' L' U2 L2
U B R L F R U2
U B R' L F R U2
U B R2 L F R U2
U' B U2 L' B' L2 R'
U' B U2 L' B' R' L2
R B U' F R F' B
R B U' F R B F'
U B D L F R U2
U B D' L F R U2
U B D2 L F R U2
U B F L R F U2
U B F R L F U2
U B F' L U2 L2 B'
U B F' L F U2 L2
U B F2 L F U2 L'
U' B' R' F' L' B2 U2
U' B' R' F' B2 L' U2
U' B' R' B2 F' L' U2
