F' U F' B U2 L'
F' U B F' U2 L'
F' L U F' B U2 L'
F' L U B F' U2 L'
F' L' U F' B U2 L'
F' L' U B F' U2 L'
F' L2 U F' B U2 L'
F' L2 U B F' U2 L'
F' R B R U' F' B
F' R B R U' B F'
F' U R2 U2 F' B L
F' U R2 U2 B L F'
F' U R2 U2 B F' L
F' U D F' B U2 L'
F' U D B F' U2 L'
F' U D' F' B U2 L'
F' U D' B F' U2 L'
U2 D F' R2 U' F' L'
F' U D2 F' B U2 L'
D U F' R2 U' L' F'
F' U D2 B F' U2 L'
U D F' R2 U' L' F'
F' U F B R F2 U2
F' U F' R2 U2 L' F'
F' U F' D B U2 L'
F' U F' D' B U2 L'
F' U F' D2 B U2 L'
F' U F' B R U2 L'
F' U F' B R' U2 L'
F' U F' B R2 U2 L'
F' U F' B U2 L' D
F' U F' B U2 L' D'
F' U F' B U2 L' D2
F' U F' B U2 D L'
F' U F' B U2 D' L'
F' U F' B U2 D2 L'
F' U F' B D U2 L'
F' U F' B D' U2 L'
F' U F' B D2 U2 L'
F' U B R2 U2 B L
F' U B D F' U2 L'
F' U B D' F' U2 L'
F' U B D2 F' U2 L'
F' U B F R F2 U2
F' U B F' R U2 L'
F' U B F' R' U2 L'
F' U B F' R2 U2 L'
F' U B F' U2 L' D
F' U B F' U2 L' D'
F' U B F' U2 L' D2
F' U B F' U2 D L'
F' U B F' U2 D' L'
F' U B F' U2 D2 L'
F' U B F' D U2 L'
F' U B F' D' U2 L'
F' U B F' D2 U2 L'
F' U' R2 F' B L R2
F' U' R2 F' B R2 L
F' U' R2 B L F' R2
F' U' R2 B F' L R2
F' U' R2 B F' R2 L
D U2 F' R2 U' F' L'
F' U2 R2 U F' B L
F' U2 R2 U B L F'
F' U2 R2 U B F' L
F' D U F' B U2 L'
F' D U B F' U2 L'
D F' R B R U' F'
U2 F' R2 U' F' L' B
U2 F' R2 U' F' B L'
U2 F' R2 U' B F' L'
D2 F' U B U2 B L
L' F' U F' B U2 L'
L' F' U B F' U2 L'
U F' R2 U' L' F' B
U F' R2 U' L' B F'
U F' R2 U' B L' F'
U2 F' U F' B U2 L
L2 F' U F' B U2 L'
U2 F' U B F' U2 L
L2 F' U B F' U2 L'
L F' U F' B U2 L'
L F' U B F' U2 L'
F' D' U F' B U2 L'
F' D' U B F' U2 L'
U' F2 B U' F U' L
F' D2 U F' B U2 L'
F' D2 U B F' U2 L'
U F2 B U' F U' L'
F2 B R U' F B U'
F2 B R U' B F U'
U' B F2 U' F U' L
F2 B U' F B U' L
F2 B U' B F U' L
U B F2 U' F U' L'
B' F' U F' B2 U2 L'
B' F' U B2 F' U2 L'
F' B' U F' B2 U2 L'
B2 F' U F' B' U2 L'
F' B' U B2 F' U2 L'
B2 F' U B' F' U2 L'
B F2 R U' F B U'
B F2 R U' B F U'
F' B2 U F' B' U2 L'
F' B2 U B' F' U2 L'
B F2 U' F B U' L
B F2 U' B F U' L
