U' D R2 F' B L
U' D R2 B L F'
U' D R2 B F' L
U D R2 F' L' B
D U R2 F' L' B
U D R2 F' B L'
D U R2 F' B L'
U D R2 B F' L'
D U R2 B F' L'
F2 U F B R U2
F2 U B F R U2
D U' R2 F' B L
D U' R2 B L F'
D U' R2 B F' L
D L U R2 F' L' B
D L U R2 F' B L'
D L U R2 B F' L'
D L U' R2 F' B L
D L U' R2 B L F'
D L U' R2 B F' L
U' L D R2 F' B L
U' L D R2 B L F'
U' L D R2 B F' L
U L D R2 F' L' B
U L D R2 F' B L'
U L D R2 B F' L'
D L' U R2 F' L' B
D L' U R2 F' B L'
D L' U R2 B F' L'
D L' U' R2 F' B L
D L' U' R2 B L F'
D L' U' R2 B F' L
U' L' D R2 F' B L
U' L' D R2 B L F'
U' L' D R2 B F' L
U L' D R2 F' L' B
U L' D R2 F' B L'
U L' D R2 B F' L'
D L2 U R2 F' L' B
D L2 U R2 F' B L'
D L2 U R2 B F' L'
D L2 U' R2 F' B L
D L2 U' R2 B L F'
D L2 U' R2 B F' L
U' L2 D R2 F' B L
U' L2 D R2 B L F'
U' L2 D R2 B F' L
U L2 D R2 F' L' B
U L2 D R2 F' B L'
U L2 D R2 B F' L'
L' U D R2 F' L' B
L' U D R2 F' B L'
L' U D R2 B F' L'
L2 U D R2 F' L' B
L2 U D R2 F' B L'
L2 U D R2 B F' L'
L U D R2 F' L' B
L U D R2 F' B L'
L U D R2 B F' L'
L' U' D R2 F' B L
L' U' D R2 B L F'
L' U' D R2 B F' L
L2 U' D R2 F' B L
L2 U' D R2 B L F'
L2 U' D R2 B F' L
L U' D R2 F' B L
L U' D R2 B L F'
L U' D R2 B F' L
U' R2 D F' B L R2
U' R2 D F' B R2 L
U' R2 D B L F' R2
U' R2 D B F' L R2
U' R2 D B F' R2 L
D R2 D F' B' L B2
D R2 D B' L F' B2
D R2 D B' L B2 F'
D R2 D B' F' L B2
U R2 D F' L' B R2
U R2 D F' B L' R2
U R2 D F' B R2 L'
U R2 D B F' L' R2
U R2 D B F' R2 L'
D R2 D' F L' F2 B
D R2 D' F L' B F2
D R2 D' F B L' F2
D R2 D' B F L' F2
D R2 F' D B' L B2
D R2 F' B2 D B' L
U' R2 B L D F' R2
D R2 F2 D' F L' B
D R2 F2 D' F B L'
D R2 F2 D' B F L'
U' R2 B D L F' R2
