L' R U' L2 B U'
L' R U' B L2 U'
R L' U' L2 B U'
R L' U' B L2 U'
L' U' L2 B U' L
L' U' B L2 U' L'
L' R U D2 R2 F' U
L' R U' L' B L' U'
L' R U' L2 D B U'
L' R U' L2 D' B U'
L' R U' L2 D2 B U'
L' R U' L2 B U' D
L' R U' L2 B U' D'
L' R U' L2 B U' D2
L' R U' L2 B D U'
L' R U' L2 B D' U'
L' R U' L2 B D2 U'
L' R U' D B U' F2
L' R U' B L2 U' D
L' R U' B L2 U' D'
L' R U' B L2 U' D2
L' R U' B L2 D U'
L' R U' B L2 D' U'
L' R U' B L2 D2 U'
L' R U' B U' D F2
L' R U' B D U' F2
L' R U' B' L2 B2 U'
L' R D U' B U' F2
L' R D' B2 U' B' U'
L' R D2 U R2 F' U
U' L D F2 B U' L
U' L D B F2 U' L
U' L D2 B U' L R2
U' L D2 B U' R2 L
L' R B U' L2 U' L2
L' R B' U' L2 B2 U'
L' R B' U' B2 L2 U'
L' R B' U2 D L2 F2
L' R B' U2 D F2 L2
L' R B' D U2 L2 F2
L' R B' D U2 F2 L2
L' R B' D' R2 B2 U2
L' R B' D' B2 R2 U2
L' R B2 U' B' L2 U'
U' L B U L2 U2 L'
U' L B U' D2 L R2
U' L B U' D2 R2 L
U' L B D F2 U' L
L' R' U D F' U F'
R' L' U D F' U F'
U' L B D2 U' L R2
U' L B D2 U' R2 L
L' R' U D2 F' R2 U
R' L' U D2 F' R2 U
L' R' U F' U D F2
R' L' U F' U D F2
L' R' U F' U2 L2 U'
R' L' U F' U2 L2 U'
L' R' U F' D U F2
R' L' U F' D U F2
L' R' U F' D2 R2 U
R' L' U F' D2 R2 U
R L' U D2 R2 F' U
U' L B' U L2 R' U2
U' L B' U R' L2 U2
R' L' U' L2 U2 F' U
L' R' U' L2 U2 F' U
R L' U' L' B L' U'
R L' U' L2 D B U'
R L' U' L2 D' B U'
R L' U' L2 D2 B U'
R L' U' L2 B U' D
R L' U' L2 B U' D'
R L' U' L2 B U' D2
R L' U' L2 B D U'
R L' U' L2 B D' U'
R L' U' L2 B D2 U'
R L' U' D B U' F2
R L' U' B L2 U' D
R L' U' B L2 U' D'
R L' U' B L2 U' D2
R L' U' B L2 D U'
R L' U' B L2 D' U'
R L' U' B L2 D2 U'
R L' U' B U' D F2
R L' U' B D U' F2
R L' U' B' L2 B2 U'
D2 L' R U' L2 B U'
D' L' R U' L2 B U'
D2 L' R U' B L2 U'
D' L' R U' B L2 U'
B2 L' R U R2 F' U
D L' R U' L2 B U'
D L' R U' B L2 U'
R' L' D U F' U F'
L' R' D U F' U F'
B2 L' R' U F' U F
R L' D U' B U' F2
R2 L' D B R' U2 F2
R2 L' D B' U2 L F2
R2 L' D B' U2 F2 L
B2 L' R2 U R F' U
R' L' D' B2 U F' U
L' R' D' B2 U F' U
R L' D' B2 U' B' U'
R' L' D2 U F' R2 U
L' R' D2 U F' R2 U
B2 L' U R' F' U L'
R L' D2 U R2 F' U
B2 L' U F' R' U L'
D2 L' U' L2 B U' L
D' L' U' L2 B U' L
D L' U' L2 B U' L
D2 L' U' B L2 U' L'
D' L' U' B L2 U' L'
D L' U' B L2 U' L'
B2 L' U' B U' L F
R L' B U' L2 U' L2
R L' B' U' L2 B2 U'
R L' B' U' B2 L2 U'
R L' B' U2 D L2 F2
R L' B' U2 D F2 L2
R L' B' D U2 L2 F2
R L' B' D U2 F2 L2
R L' B' D' R2 B2 U2
R L' B' D' B2 R2 U2
R L' B2 U' B' L2 U'
L' R2 D B R' U2 F2
L' R2 D B' U2 L F2
L' R2 D B' U2 F2 L
L' U D F' U L' F'
L' U D2 R2 F' U L'
L' U D2 F' R2 U L'
D2 R L' U' L2 B U'
D2 R L' U' B L2 U'
D' R L' U' L2 B U'
D' R L' U' B L2 U'
B2 R L' U R2 F' U
D R L' U' L2 B U'
L' U F U D F2 L'
D R L' U' B L2 U'
L' U F D U F2 L'
L' U F' U D L' F2
L' U F' U2 L2 U' L
L' U F' D U L' F2
L' U F' D2 R2 U L'
R U' L D F2 B U'
R U' L D B F2 U'
R U' L D2 B U' R2
R U' L B U L2 U2
R U' L B U' D2 R2
R U' L B D F2 U'
R U' L B D2 U' R2
L' U' L' B L' U' L2
L' U' L2 U2 F' U L'
L' U' L2 D B U' L
L' U' L2 D' B U' L
L' U' L2 D2 B U' L
L' U' L2 B U' L D
L' U' L2 B U' L D'
L' U' L2 B U' L D2
L' U' L2 B U' D L
L' U' L2 B U' D' L
L' U' L2 B U' D2 L
L' U' L2 B D U' L
L' U' L2 B D' U' L
L' U' L2 B D2 U' L
L' U' L2 B' U R' U2
L' U' D B U' L F2
L' U' D B U' F2 L
B2 R' L' U F' U F
R U' F2 L B U' R
L' U' B L2 U' L' D
L' U' B L2 U' L' D'
L' U' B L2 U' L' D2
L' U' B L2 U' D L'
L' U' B L2 U' D' L'
L' U' B L2 U' D2 L'
L' U' B L2 D U' L'
L' U' B L2 D' U' L'
L' U' B L2 D2 U' L'
L' U' B L2 B U' L'
L' U' B L2 B' U' L'
L' U' B L2 B2 U' L'
L' U' B U' D L F2
L' U' B U' D F2 L
L' U' B D U' L F2
L' U' B D U' F2 L
L' U' B' L2 U R' U2
L' U' B' L2 B2 U' L
L' U' B2 L2 B' U' L
L' U2 L' U B' L' U'
B2 R' F' U' F L' U2
B2 R2 L' U R F' U
R D L' U' L2 B U'
R D L' U' B L2 U'
L' D R U' B U' F2
L' D R' U F' U F'
L' D U F' U L' F'
L' D U' B U' L F2
L' D U' B U' F2 L
R D' L' U' L2 B U'
R D' L' U' B L2 U'
L' D' R B2 U' B' U'
L' D' R' B2 U F' U
L' D' B2 R U' B U'
L' D' B2 R' U F' U
L' D' B2 U F' U L'
L' D' B2 U' B U' L
R2 D2 L' U' L2 B' U'
R D2 L' U' L2 B U'
R D2 L' U' B L2 U'
L' D2 R' U F' R' U
L' D2 U R2 F' U L'
L' D2 U F' R2 U L'
L D2 F U' R2 B L
L F U L2 F' U2 L'
L F U F' L2 U2 L
L F U' D2 R2 B L
L F D2 U' R2 B L
L F' U F L2 R U2
L F' U F R L2 U2
U' F2 L B U' L R
U' F2 L B U' R L
L' B R U' L2 B U'
L' B R U' B L2 U'
L' B U' L2 B U' L
L' B U' B L2 U' L'
L' B' R U' L2 B U'
L' B' R U' B L2 U'
U' B' U L' R' U2 F'
U' B' U R' L' U2 F'
L' B' U' L2 B U' L
L' B' U' B L2 U' L'
R' B2 L' U F' R' U
L' B2 R U' L2 B U'
L' B2 R U' B L2 U'
L' B2 U' L2 B U' L
B2 F2 R' F' U R2 B
F2 B2 R' F' U R2 B
L' B2 U' B L2 U' L'
