R' U L2 F' R U
U L2 F' R U L'
R' U F' L2 R U
R' U F' R L2 U
U F' L2 R U L
U F' R L2 U L
U L F' L R U L2
U L F' R L U L2
L2 R' F' R U D2 R2
L2 R' F' R U' L2 U2
L2 R' F' R D' B2 U
L2 R' F' R D2 U R2
L2 R' F' D' R B2 U
L2 R' F' D' B2 R U
L2 R' F' D2 R U R
D' L' B2 R' F D' L2
U L2 R F' R U L'
U L2 R' F' R U L'
R' L2 F' R U D2 R2
R' L2 F' R U' L2 U2
R' L2 F' R D' B2 U
R' L2 F' R D2 U R2
R' L2 F' D' R B2 U
R' L2 F' D' B2 R U
R' L2 F' D2 R U R
U L2 R2 F' R U L'
R' U L F' L R U
R' U L F' R L U
U L2 D' F' U L' F
F L2 D' B2 R' F' U
R2 U L2 R F' R U
R' U L2 F' R U D
R' U L2 F' R U D'
R' U L2 F' R U D2
R' U L2 F' R D U
R' U L2 F' R D' U
R' U L2 F' R D2 U
R' U L2 F' D R U
R' U L2 F' D' R U
R' U L2 F' D2 R U
R U L2 R2 F' R U
R2 U L2 F' R F' U
U L2 F' R U L' D
U L2 F' R U L' D'
U L2 F' R U L' D2
U L2 F' R U D L'
U L2 F' R U D' L'
U L2 F' R U D2 L'
U L2 F' R D U L'
U L2 F' R D' U L'
U L2 F' R D2 U L'
R2 U R L2 F' R U
U L2 F' D R U L'
U L2 F' D' R U L'
U L2 F' D2 R U L'
R2 U R F' L2 R U
R2 U R F' R L2 U
U L2 F2 U L F L'
R U R2 L2 F' R U
R U R2 F' L2 R U
R U R2 F' R L2 U
R' U F' L2 R U D
R' U F' L2 R U D'
R' U F' L2 R U D2
R' U F' L2 R D U
R' U F' L2 R D' U
R' U F' L2 R D2 U
R' U F' L2 D R U
R' U F' L2 D' R U
R' U F' L2 D2 R U
R' U F' R L2 U D
R' U F' R L2 U D'
R' U F' R L2 U D2
R' U F' R L2 D U
R' U F' R L2 D' U
R' U F' R L2 D2 U
R' U F' R U D' B2
R' U F' R D' U B2
R' U F' D' R U B2
R2 U F' L2 R F' U
R2 U F' R L2 F' U
R2 U F' R F' L2 U
U R L2 F' R U L'
U R F' L2 R U L
U R F' R L2 U L
D R F2 U' B U' F
R' U' F' L2 R B' U
R' U' F' L2 B' R U
R' U' F' R L2 B' U
B' R' U L2 F' R U
F' R' U L2 F' R2 U
B2 R' U L2 F' R U
U R' L2 F' R U L'
B' R' U F' L2 R U
B' R' U F' R L2 U
F' R' U F' L2 R2 U
F' R' U F' R2 L2 U
B R' U L2 F' R U
B2 R' U F' L2 R U
B2 R' U F' R L2 U
B R' U F' L2 R U
B R' U F' R L2 U
R' U2 L2 F' R U R'
U R' F' L2 R U L
U R' F' R L2 U L
D R' F2 B U F U
D R' B F2 U F U
R2 U2 D' L' F L' B2
R2 U2 D' L' F B2 L'
R2 U2 D' L' B2 F L'
R2 U2 D' F L' F B2
R2 U2 D' F L' B2 F
R2 U2 D' F B2 L' F
R2 U2 D' B2 L' F L'
R2 U2 D' B2 F L' F
R' U2 F' L2 R U R'
R' U2 F' R L2 U R'
U R2 L2 F' R U L'
U R2 F' L2 R U L
U R2 F' R L2 U L
R2 D R' F2 B R' U2
R2 D R' B R' F2 U2
R2 D R' B F2 R' U2
F' U L2 R F' U L'
B' U L2 F' R U L'
B2 U L2 F' R U L'
F2 U L2 F' U L' F
F' U R L2 F' U L'
B U L2 F' R U L'
F' U R F' L2 U L
R2 D F2 R' B R' U2
R2 D F2 B R' B U2
R2 D B R' F2 B U2
R2 D B R' B F2 U2
R2 D B F2 R' B U2
D' U F' U L' F B2
D' U F' U L' B2 F
D' U F' U B2 L' F
R2 D' L' F B2 L' R'
R2 D' L' F B2 R' L'
B' U F' L2 R U L
F' U F' L2 U L F
B' U F' R L2 U L
R2 D' L' B2 R' F L'
R2 D' L' B2 F L' R'
R2 D' L' B2 F R' L'
B2 U F' L2 R U L
B2 U F' R L2 U L
B U F' L2 R U L
B U F' R L2 U L
R2 D' U2 L' F L' B2
R2 D' U2 L' F B2 L'
R2 D' U2 L' B2 F L'
R2 D' U2 F L' F B2
R2 D' U2 F L' B2 F
R2 D' U2 F B2 L' F
R2 D' U2 B2 L' F L'
R2 D' U2 B2 F L' F
R2 D' F L' F B2 R'
R2 D' F L' B2 R' F
R2 D' F L' B2 F R'
R2 D' F U2 L' F B2
R2 D' F U2 L' B2 F
R2 D' F U2 B2 L' F
U D' F' U L' F B2
U D' F' U L' B2 F
U D' F' U B2 L' F
L2 D' B2 U F' L' F
L2 D2 B R' F' U R'
R' F U F2 L2 R U
R' F U F2 R L2 U
R' F' L2 R U D2 R2
R' F' L2 R U' L2 U2
R' F' L2 R D' B2 U
R' F' L2 R D2 U R2
R' F' L2 D' R B2 U
R' F' L2 D' B2 R U
R' F' L2 D2 R U R
R' F' R L2 U D2 R2
R' F' R L2 U' L2 U2
R' F' R L2 D' B2 U
R' F' R L2 D2 U R2
U F' L2 R U L D
U F' L2 R U L D'
U F' L2 R U L D2
U F' L2 R U D L
U F' L2 R U D' L
U F' L2 R U D2 L
U F' L2 R D U L
U F' L2 R D' U L
U F' L2 R D2 U L
U F' L2 R F U L
U F' L2 R F' U L
U F' L2 R F2 U L
U F' L2 D R U L
U F' L2 D' R U L
U F' L2 D2 R U L
U F' L2 F' U L F
U F' R L2 U L D
U F' R L2 U L D'
U F' R L2 U L D2
U F' R L2 U D L
U F' R L2 U D' L
U F' R L2 U D2 L
U F' R L2 D U L
U F' R L2 D' U L
U F' R L2 D2 U L
U F' R L2 F U L
U F' R L2 F' U L
U F' R L2 F2 U L
U F' R U D' L' B2
U F' R U D' B2 L'
U F' R D' U L' B2
U F' R D' U B2 L'
R' F' U L2 R U L2
R' F' U R L2 U L2
R2 F' U L2 R F' U
R2 F' U R L2 F' U
R2 F' U R F' L2 U
U F' D' R U L' B2
U F' D' R U B2 L'
U F2 L2 U L F L'
U F2 L2 F R U L'
D F2 R U' B U' F'
D F2 R' B U F' U
R' B U L2 F' R U
R' B U F' L2 R U
R' B U F' R L2 U
R' B' U L2 F' R U
R' B' U F' L2 R U
R' B' U F' R L2 U
R' B2 U L2 F' R U
R' B2 U F' L2 R U
R' B2 U F' R L2 U
