D2 L' R' F D' L2
R U B U' F' R2
D2 R' L' F D' L2
R' U' F' R2 U F'
R' U' F' U' B U2
D' R' U' F' R U
R' U2 B U F' U
R F' R2 U' F' U
R F' U B U' R2
R F2 R2 F D' L2
R B U' F' R2 B'
R B U' F' B' R2
R B U' B' F' R2
L' R U B U' F' R2
L2 R U B U' F' R2
L R U B U' F' R2
D' L R' U' F' R U
R L U B U' F' R2
D2 L R' F D' L2 F
R' L U' F' R2 U F'
R' L U' F' U' B U2
R' L U2 B U F' U
L' R F' R2 U' F' U
L' R F' U B U' R2
L R F' R2 U' F' U
L2 R F' R2 U' F' U
L R F' U B U' R2
R L F' R2 U' F' U
L2 R F' U B U' R2
R L F' U B U' R2
L' R F2 R2 F D' L2
L R F2 R2 F D' L2
L2 R F2 R2 F D' L2
R L F2 R2 F D' L2
L' R B U' F' R2 B'
L' R B U' F' B' R2
L' R B U' B' F' R2
L R B U' F' R2 B'
L R B U' F' B' R2
L2 R B U' F' R2 B'
L2 R B U' F' B' R2
L R B U' B' F' R2
L2 R B U' B' F' R2
R L B U' F' R2 B'
R L B U' F' B' R2
R L B U' B' F' R2
R L' U B U' F' R2
R' L' U' F' R2 U F'
L' R' U' F' R2 U F'
R' L' U' F' U' B U2
L' R' U' F' U' B U2
L R' U' F' R2 U F'
L R' U' F' U' B U2
L2 R' U' F' R2 U F'
L2 R' U' F' U' B U2
R' L' U2 B U F' U
L' R' U2 B U F' U
L R' U2 B U F' U
L2 R' U2 B U F' U
D2 L' R' U' F' U F2
D' L' R' U' F' R U
D2 L' R' D F D' L2
D2 L' R' D' F D' L2
D2 L' R' D2 F D' L2
D2 L' R' F L D' L2
D2 L' R' F L' D' L2
D2 L' R' F L2 D' L2
D2 L' R' F U' F2 U
D2 L' R' F D' L2 D
D2 L' R' F D' L2 D'
D2 L' R' F D' L2 D2
D2 L' R2 D' R F L'
R L' F' R2 U' F' U
R L' F' U B U' R2
D2 L' D R' F D' L2
R L' F2 R2 F D' L2
D2 L' D' R' F D' L2
R L' B U' F' R2 B'
R L' B U' F' B' R2
R L' B U' B' F' R2
D2 L' D2 R' F D' L2
D2 L' F R' U' F' U
R L2 U B U' F' R2
R' L2 U' F' R2 U F'
R' L2 U' F' U' B U2
R' L2 U2 B U F' U
D' L2 R' U' F' R U
R L2 F' R2 U' F' U
R L2 F' U B U' R2
R L2 F2 R2 F D' L2
R L2 B U' F' R2 B'
R L2 B U' F' B' R2
R L2 B U' B' F' R2
R U L B U' F' R2
R U L' B U' F' R2
R U L2 B U' F' R2
R U D' F2 B U' F
R U D' B F2 U' F
R U F B U' R2 F2
R U F B U' F2 R2
F' R U B U' F' R2
F2 R U B U' F' R2
F R U B U' F' R2
R' U B U2 F' U F
R U F2 B U' R2 F
R U F2 B U' F R2
R U B L U' F' R2
R U B L' U' F' R2
R U B L2 U' F' R2
R U B U' F R2 F2
R U B U' F' R2 D
R U B U' F' R2 D'
R U B U' F' R2 D2
R U B U' F2 R2 F
R U B D' F2 U' F
R U B F U' R2 F2
R U B F U' F2 R2
R U B F2 U' R2 F
R U B F2 U' F R2
F' R F' R2 U' F' U
F' R F' U B U' R2
F2 R F' R2 U' F' U
F2 R F' U B U' R2
F R F' R2 U' F' U
F R F' U B U' R2
B R F' B' R' D L2
B R F' B' D L2 R'
B R F' B' D R' L2
F' R F2 R2 F D' L2
