B U' B U2 L B
B L U' B U2 L B
B L' U' B U2 L B
B' L2 R' F D' L2 R2
B' L2 R' F D' R2 L2
B' L2 R2 D' R2 F L'
B' L2 R2 D' F L' R2
B' L2 R2 D' F R2 L'
B L2 U' B U2 L B
B' L2 D' R2 D' F L'
B' R' L2 F D' L2 R2
B' R' L2 F D' R2 L2
B2 R' U F' B' L' U
B2 R' U B' F' L' U
B' R' F D' L2 R2 F
B' R' F D' L2 F R2
B' R' F D' R2 L2 F
B R' F' R' U F' B2
B R' F' R' U B2 F'
B' R2 L2 D' R2 F L'
B' R2 L2 D' F L' R2
B' R2 L2 D' F R2 L'
B' R2 D' L2 R2 F L'
B' R2 D' L2 F L' R2
B' R2 D' L2 F R2 L'
B' R2 D' R2 L2 F L'
R D B L2 U' R' B2
B U R2 F' L' R2 B2
B U R2 F' L' B2 R2
B U R2 F' R2 L' B2
B U R2 F' R2 B2 L'
B U R2 F' B2 L' R2
B U R2 F' B2 R2 L'
B U R2 B2 F' L' R2
B U R2 B2 F' R2 L'
R D B' D L2 F2 R
B U F' L B2 L2 F
B2 U F' B' U L' B2
B2 U F' B' U B2 L'
B U F' B2 L2 F L
B U F2 B2 L2 F L'
B2 U B' F' U L' B2
B2 U B' F' U B2 L'
R D' R2 F' U R B'
R D' R2 F' U B' R
B U B2 L' F' L' F
B U B2 L2 F' L' F2
B U B2 U2 B' R' U2
B U B2 F' L2 F L
B U B2 F2 L2 F L'
B U' R2 U2 F' L' B2
B U' R2 U2 F' B2 L'
B U' R2 U2 B2 F' L'
D' U' B R2 U L B2
U' D' B R2 U L B2
D2 U' B U L F2 B2
D2 U' B U L B2 F2
D2 U' B U F2 L B2
U' D' B' D' R2 F2 L'
D' U' B' D' R2 F2 L'
B U' D2 F2 B U2 L
B U' D2 B F2 U2 L
B U' F B U2 L B
B U' F' B U2 L B
B U' F2 B U2 L B
B U' B R2 F' U2 L
B U' B U2 L D B
B U' B U2 L D' B
B U' B U2 L D2 B
B U' B U2 L B D
B U' B U2 L B D'
B U' B U2 L B D2
B U' B U2 L' B L2
B U' B U2 L2 B L'
B U' B U2 D L B
B U' B U2 D' L B
B U' B U2 D2 L B
B U' B D U2 L B
B U' B D' U2 L B
B U' B D2 U2 L B
B U' B F U2 L B
B U' B F' U2 L B
B U' B F2 U2 L B
B U' B' R' B2 U2 B
B' U' B2 U' B R' U2
U' D2 B U L F2 B2
U' D2 B U L B2 F2
U' D2 B U F2 L B2
B U2 R2 U' F' L' B2
B U2 R2 U' F' B2 L'
B U2 R2 U' B2 F' L'
B U2 D' R2 U' F' L'
B D L2 U' B U2 L
R' F' U' B2 U2 B R'
B' D' L2 R2 D' F L'
D2 F' B U F' L' B2
D2 F' B U F' B2 L'
D2 F' B U B2 F' L'
B' D' R2 L2 D' F L'
B' D' R2 D' L2 F L'
B D' U2 R2 U' F' L'
D2 F2 U' B U L B2
U' B L' U B2 L2 F
B D2 U' F2 B U2 L
B D2 U' B F2 U2 L
D2 B R' F' U F' B2
D2 B R' F' U B2 F'
D' B R' F' R' U B2
U' B R2 U L F' B2
U' B R2 U L B2 F'
U' B R2 U F' L B2
U' B U L' B2 L2 F
D2 B U F' L' F' B2
D2 B U F' L' B2 F'
D2 B U F' B2 L' F'
D2 B U B2 F' L' F'
L' B U' B U2 L B'
L2 B U' F B U2 L
U2 B U' B U2 B L
L2 B U' B F U2 L
R B D' R2 U' F' R
D2 B F' U F' L' B2
D2 B F' U F' B2 L'
D2 B F' U B2 F' L'
F' B U' B U2 L B
F2 B U' B U2 L B
B F U' B U2 L B
F B U' B U2 L B
B F' U' B U2 L B
D B2 L2 F U' B L
U' B2 U B' U L B2
U2 B2 U B' U B2 L
U B2 U2 B L D' R2
U B2 U2 B D' L R2
U B2 U2 B D' R2 L
B F2 U' B U2 L B
